trading_date,P_total_oi
2013-11-05,863554.0
2013-11-06,848806.0
2013-11-07,845830.0
2013-11-08,847708.0
2013-11-11,782258.0
2013-11-12,762330.0
2013-11-13,792274.0
2013-11-14,800264.0
2013-11-15,783356.0
2013-11-18,760182.0
2013-11-19,740780.0
2013-11-20,770028.0
2013-11-21,840278.0
2013-11-22,837160.0
2013-11-25,848594.0
2013-11-26,744676.0
2013-11-27,723366.0
2013-11-28,717940.0
2013-11-29,723478.0
2013-12-02,713928.0
2013-12-03,712016.0
2013-12-04,702478.0
2013-12-05,718704.0
2013-12-06,679576.0
2013-12-09,651490.0
2013-12-10,635282.0
2013-12-11,636314.0
2013-12-12,616248.0
2013-12-13,629090.0
2013-12-16,616964.0
2013-12-17,602080.0
2013-12-18,621652.0
2013-12-19,605244.0
2013-12-20,615014.0
2013-12-23,609588.0
2013-12-24,597608.0
2013-12-25,560804.0
2013-12-26,571762.0
2013-12-27,577344.0
2013-12-30,582522.0
2013-12-31,572202.0
2014-01-02,590836.0
2014-01-03,563294.0
2014-01-06,552816.0
2014-01-07,541804.0
2014-01-08,544522.0
2014-01-09,528902.0
2014-01-10,539362.0
2014-01-13,539868.0
2014-01-14,538116.0
2014-01-15,556066.0
2014-01-16,556272.0
2014-01-17,552778.0
2014-01-20,610784.0
2014-01-21,595010.0
2014-01-22,567844.0
2014-01-23,594404.0
2014-01-24,572026.0
2014-01-27,563908.0
2014-01-28,568808.0
2014-01-29,543510.0
2014-01-30,529492.0
2014-02-07,512518.0
2014-02-10,586236.0
2014-02-11,596894.0
2014-02-12,619282.0
2014-02-13,670390.0
2014-02-14,702172.0
2014-02-17,693766.0
2014-02-18,711552.0
2014-02-19,743116.0
2014-02-20,751138.0
2014-02-21,757684.0
2014-02-24,838938.0
2014-02-25,813038.0
2014-02-26,877684.0
2014-02-27,822796.0
2014-02-28,795438.0
2014-03-03,802760.0
2014-03-04,787490.0
2014-03-05,787640.0
2014-03-06,780512.0
2014-03-07,776002.0
2014-03-10,785866.0
2014-03-11,865512.0
2014-03-12,815326.0
