trading_date,rank,volume,volume_change
2013-11-05,210,4496475235,4543
2013-11-06,210,4082734185,-1165
2013-11-07,210,4125282318,-3440
2013-11-08,210,4244921483,12821
2013-11-11,210,3127165953,-20882
2013-11-12,210,3148310144,8469
2013-11-13,210,3519050118,11519
2013-11-14,210,3700147745,5496
2013-11-15,210,3593668417,3314
2013-11-18,210,3384914054,-1352
2013-11-19,210,3391361290,-1947
2013-11-20,210,3463212221,8256
2013-11-21,210,3474790187,18872
2013-11-22,210,3921387332,12385
2013-11-25,210,4119124989,6433
2013-11-26,210,2823984624,-20164
2013-11-27,210,2808143371,1780
2013-11-28,210,2691569362,234
2013-11-29,210,2718361842,6309
2013-12-02,210,2659611733,445
2013-12-03,210,2683416271,5255
2013-12-04,210,2702090162,2821
2013-12-05,210,2842025035,6495
2013-12-06,210,2755519907,-765
2013-12-09,210,2739884678,7645
2013-12-10,210,2558838473,-3217
2013-12-11,210,2567781941,6351
2013-12-12,210,2430183721,-2134
2013-12-13,210,2828839070,9995
2013-12-16,210,2687463858,-1337
2013-12-17,210,2831500664,6629
2013-12-18,210,2908558778,12132
2013-12-19,210,2899775806,-3877
2013-12-20,210,3044113490,5747
2013-12-23,210,2707101111,-3844
2013-12-24,210,2802602584,-797
2013-12-25,210,2361455653,-8533
2013-12-26,210,2424347644,6080
2013-12-27,210,2682462276,10818
2013-12-30,210,2869680145,9361
2013-12-31,210,2590825857,-6733
2014-01-02,210,2267503600,6050
2014-01-03,210,2095966016,344
2014-01-06,210,2014096016,3521
2014-01-07,210,1947897916,-2025
2014-01-08,210,1936594677,14097
2014-01-09,210,1943743556,-2073
2014-01-10,210,1899326728,8210
2014-01-13,210,1954535437,9193
2014-01-14,210,1892000291,-2625
2014-01-15,210,1897703023,9847
2014-01-16,210,1921180817,8024
2014-01-17,210,1957161300,1682
2014-01-20,210,2252669783,20039
2014-01-21,210,2224515791,2586
2014-01-22,210,1716130102,-16346
2014-01-23,210,2079034341,20614
2014-01-24,210,2031142838,-345
2014-01-27,210,2010698867,2630
2014-01-28,210,2113822497,6190
2014-01-29,210,2096531702,2695
2014-01-30,210,2020726635,-3391
2014-02-07,210,1955485454,-2404
2014-02-10,210,2398101409,26390
2014-02-11,210,2553786724,2075
2014-02-12,210,2629063773,3943
2014-02-13,210,2813649496,7622
2014-02-14,210,3088641488,18931
2014-02-17,210,2985899454,-6862
2014-02-18,210,3165837038,6273
2014-02-19,210,3366043319,14924
2014-02-20,210,3495772732,12679
2014-02-21,210,3569742599,10776
2014-02-24,210,4170629390,26115
2014-02-25,210,3825023993,-792
2014-02-26,210,5027609450,28310
2014-02-27,210,4496292696,-2606
2014-02-28,210,4696760147,8388
2014-03-03,210,4667423747,-1338
2014-03-04,210,4551699744,-1603
2014-03-05,210,5302202308,9687
2014-03-06,210,4603258845,384
2014-03-07,210,5320479891,4503
2014-03-10,210,5467830972,2978
2014-03-11,210,6989993356,35324
2014-03-12,210,5326656513,-7274
2014-03-13,210,5130648898,-8912
2014-03-14,210,5129148246,-3051
2014-03-17,210,4699171984,-9299
2014-03-18,210,4280381918,-8659
2014-03-19,210,3814524471,-7927
2014-03-20,210,3598033998,-3580
2014-03-21,210,2617107600,-547
2014-03-24,210,2598348714,3894
2014-03-25,210,2560320107,-2722
2014-03-26,210,2524551914,-938
2014-03-27,210,2818200140,8377
2014-03-28,210,2608367130,-4078
2014-03-31,210,2599686713,1685
2014-04-01,210,2676224437,-4299
2014-04-02,210,2702677751,2739
2014-04-03,210,2748915364,1202
2014-04-04,210,2580200062,2233
2014-04-08,210,2606362533,-515
2014-04-09,210,2744793083,2243
2014-04-10,210,2957987568,12420
2014-04-11,210,2915714411,-3777
2014-04-14,210,2654972959,-3666
2014-04-15,210,3099889977,9351
2014-04-16,210,2983003772,-3261
2014-04-17,210,2843569932,-247
2014-04-18,210,2746684697,-5223
2014-04-21,210,2831315368,3149
2014-04-22,210,2742397682,-1420
2014-04-23,210,2936903500,4752
2014-04-24,210,2849074023,-1456
2014-04-25,210,2758310321,-535
2014-04-28,210,2450642390,-2132
2014-04-29,210,2555087092,9705
2014-04-30,210,2565620047,-19
2014-05-05,210,2766113482,6017
2014-05-06,210,2816501652,-1725
2014-05-07,210,2721069932,-1843
2014-05-08,210,2458551027,-3331
2014-05-09,210,2218747878,-4924
2014-05-12,210,2205670841,3936
2014-05-13,210,2745381762,29952
2014-05-14,210,2473331939,-16855
2014-05-15,210,2512807107,14964
2014-05-16,210,2141979393,-13357
2014-05-19,210,2134702862,476
2014-05-20,210,2060093900,2316
2014-05-21,210,2417435952,17800
2014-05-22,210,2997735990,10012
2014-05-23,210,3423766822,8803
2014-05-26,210,4060600994,12365
2014-05-27,210,4558613313,10114
2014-05-28,210,4861786686,13725
2014-05-29,210,4587770781,-2868
2014-05-30,210,5229981852,13495
2014-06-03,210,5424552758,7039
2014-06-04,210,5878698562,2825
2014-06-05,210,6045749929,12148
2014-06-06,210,6048865039,657
2014-06-09,210,6151701176,617
2014-06-10,210,6092827394,4221
2014-06-11,210,5437235723,-5727
2014-06-12,210,5051278775,1997
2014-06-13,210,4887071686,6702
2014-06-16,210,3931332086,-6593
2014-06-17,210,4032738200,16502
2014-06-18,210,4096217697,8093
2014-06-19,210,3935395978,-9458
2014-06-20,210,3572300894,-3566
2014-06-23,210,3333189714,-174
2014-06-24,210,3031434791,-7176
2014-06-25,210,3112186779,10579
2014-06-26,210,3062848470,1225
2014-06-27,210,3082279721,2722
2014-06-30,210,3254838579,1348
2014-07-01,210,3261508391,3047
2014-07-02,210,3490170849,10113
2014-07-03,210,3670117749,7013
2014-07-04,210,3783204026,4886
2014-07-07,210,3267803824,-12055
2014-07-08,210,3148967191,5936
2014-07-09,210,2409249505,-14120
2014-07-10,210,1914569874,-310
2014-07-11,210,1636227279,-11477
2014-07-14,210,1722231358,2407
2014-07-15,210,1912802324,11124
2014-07-16,210,2123277265,6464
2014-07-17,210,2222107065,4746
2014-07-18,210,2485716794,13941
2014-07-21,210,2698334448,10706
2014-07-22,210,2992796320,8164
2014-07-23,210,3319181044,8513
2014-07-24,210,2331781212,-25640
2014-07-25,210,2374490802,3599
2014-07-28,210,2639485270,14885
2014-07-29,210,2481261131,-293
2014-07-30,210,2263132634,-6063
2014-07-31,210,2397538886,9953
2014-08-01,210,2416774914,-462
2014-08-04,210,2263387289,1077
2014-08-05,210,2597601511,11183
2014-08-06,210,2712455124,4836
2014-08-07,210,2676083090,-935
2014-08-08,210,2693447912,1511
2014-08-11,210,2722927476,5533
2014-08-12,210,2696817865,2633
2014-08-13,210,2760590101,-208
2014-08-14,210,3000492954,3842
2014-08-15,210,3945719314,29297
2014-08-18,210,3554996423,2595
2014-08-19,210,3185288212,-11522
2014-08-20,210,3368007802,7682
2014-08-21,210,3528979400,-1213
2014-08-22,210,3392420691,1154
2014-08-25,210,3208430686,5806
2014-08-26,210,3716073489,10721
2014-08-27,210,4163532498,8265
2014-08-28,210,4133515090,-1225
2014-08-29,210,3935122997,-2715
2014-09-01,210,3587040459,-8571
2014-09-02,210,3543497406,3609
2014-09-03,210,4024859387,522
2014-09-04,210,4494500087,10834
2014-09-05,210,5177885344,23849
2014-09-09,210,5135317898,-860
2014-09-10,210,5023114721,8995
2014-09-11,210,5304074022,19878
2014-09-12,210,5659232018,16482
2014-09-15,210,4926692136,-14753
2014-09-16,210,4772648688,-775
2014-09-17,210,4646505678,-95
2014-09-18,210,4583033753,6694
2014-09-19,210,4399046801,-2656
2014-09-22,210,3409855890,-31766
2014-09-23,210,3356008414,2310
2014-09-24,210,3989223736,17839
2014-09-25,210,3965193710,8172
2014-09-26,210,4320898930,18626
2014-09-29,210,4114273274,-8836
2014-09-30,210,4517491289,13832
2014-10-08,210,4174126001,-9095
2014-10-09,210,4055522524,9088
2014-10-10,210,4794617090,20962
2014-10-13,210,4830457794,6050
2014-10-14,210,5253029225,9683
2014-10-15,210,4979036499,-10046
2014-10-16,210,4492699303,-12052
2014-10-17,210,4044322080,-1667
2014-10-20,210,3831902972,-1348
2014-10-21,210,3797898523,-1608
2014-10-22,210,3604043775,-4540
2014-10-23,210,3298654572,-8795
2014-10-24,210,3138678115,7814
2014-10-27,210,3033683108,-6616
2014-10-28,210,3171737414,4886
2014-10-29,210,4080817454,29940
2014-10-30,210,4659526683,20487
2014-10-31,210,4508020058,3354
2014-11-03,210,4307769897,-130
2014-11-04,210,3779515266,-9484
2014-11-05,210,2336624834,-9706
2014-11-06,210,2004752382,-10613
2014-11-07,210,1796260833,-189
2014-11-10,210,1320228611,-16550
2014-11-11,210,1214477670,8656
2014-11-12,210,997109246,-7761
2014-11-13,210,1022408450,1452
2014-11-14,210,1210317968,7795
2014-11-17,210,1262576293,1614
2014-11-18,210,1198154669,89
2014-11-19,210,1165015421,1317
2014-11-20,210,1375026253,16259
2014-11-21,210,1332783265,966
2014-11-24,210,1426036875,6525
2014-11-25,210,1282533162,-5275
2014-11-26,210,1117347422,-7434
2014-11-27,210,966606769,-3359
2014-11-28,210,1252759449,31599
2014-12-01,210,1351498242,14044
2014-12-02,210,1464900430,14623
2014-12-03,210,2046870828,19634
2014-12-04,210,2195950817,6890
2014-12-05,210,2252385451,-1104
2014-12-08,210,2209076557,1093
2014-12-09,210,2168965931,-4349
2014-12-10,210,2560897187,19149
2014-12-11,210,2436194134,-1806
2014-12-12,210,2217291956,-6733
2014-12-15,210,2052133141,-6973
2014-12-16,210,2323310602,20798
2014-12-17,210,2276894395,-608
2014-12-18,210,2334370165,5628
2014-12-19,210,2461919479,6517
2014-12-22,210,2369906269,4293
2014-12-23,210,2563397561,7782
2014-12-24,210,2706408287,1514
2014-12-25,210,2672329476,-467
2014-12-26,210,2591647900,998
2014-12-29,210,2543401754,80
2014-12-30,210,2445972797,-5156
2014-12-31,210,2534176452,949
2015-01-05,210,2570688538,1026
2015-01-06,210,2409677725,-2011
2015-01-07,210,2555118268,4806
2015-01-08,210,2504320332,4216
2015-01-09,210,2629943842,-170
2015-01-12,210,2675181342,2430
2015-01-13,210,2815619436,8004
2015-01-14,210,2820279913,63
2015-01-15,210,2963480562,6585
2015-01-16,210,2784564812,-7612
2015-01-19,210,2184703912,-18513
2015-01-20,210,2237971805,2662
2015-01-21,210,2317523305,5504
2015-01-22,210,2295257614,1978
2015-01-23,210,2258664583,12541
2015-01-26,210,1956504245,-7152
2015-01-27,210,1705603586,10624
2015-01-28,210,1840588603,6691
2015-01-29,210,2279268007,20400
2015-01-30,210,2808672679,19994
2015-02-02,210,3082704428,14074
2015-02-03,210,3252046926,9127
2015-02-04,210,3313775329,8058
2015-02-05,210,3649228780,12151
2015-02-06,210,3430439100,-2706
2015-02-09,210,3956312537,26498
2015-02-10,210,3806789865,-1791
2015-02-11,210,3287739109,-7043
2015-02-12,210,3106353094,-7832
2015-02-13,210,2835736668,-4907
2015-02-16,210,2602087261,-5482
2015-02-17,210,2534504610,-3491
2015-02-25,210,2528257852,1397
2015-02-26,210,2760175591,5512
2015-02-27,210,2926254087,18546
2015-03-02,210,2854921019,431
2015-03-03,210,2750998904,8425
2015-03-04,210,2972974301,15637
2015-03-05,210,3155772208,-3615
2015-03-06,210,3266900924,1974
2015-03-09,210,3274111774,-527
2015-03-10,210,2812815587,-3451
2015-03-11,210,2943274698,14097
2015-03-12,210,2912926452,-3456
2015-03-13,210,2611439533,-3765
2015-03-16,210,1967057402,-14038
2015-03-17,210,2303230392,11267
2015-03-18,210,2732520916,43488
2015-03-19,210,2500204397,8211
2015-03-20,210,2812075900,10968
2015-03-23,210,2865565912,17104
2015-03-24,210,3065307732,5747
2015-03-25,210,3092880072,2130
2015-03-26,210,3124278686,-130
2015-03-27,210,3079131606,-1210
2015-03-30,210,2889671382,-1803
2015-03-31,210,2781986870,-5054
2015-04-01,210,2830479367,2677
2015-04-02,210,2935670364,7085
2015-04-03,210,2808132181,-4330
2015-04-07,210,2755968141,-1918
2015-04-08,210,2808332309,2670
2015-04-09,210,2947426425,4387
2015-04-10,210,3192717272,3253
2015-04-13,210,3141732395,5887
2015-04-14,210,3176262084,4714
2015-04-15,210,3247098649,11866
2015-04-16,210,3191653091,10518
2015-04-17,210,3195556564,1654
2015-04-20,210,3546039762,16320
2015-04-21,210,3235532741,-2430
2015-04-22,210,3233437214,6097
2015-04-23,210,2938655588,3254
2015-04-24,210,2813391681,63
2015-04-27,210,3187467251,22074
2015-04-28,210,3198701016,3296
2015-04-29,210,3481245713,8609
2015-04-30,210,3434637485,6925
2015-05-04,210,3662830226,9630
2015-05-05,210,3485992322,-5584
2015-05-06,210,4380367037,30718
2015-05-07,210,4752043322,19254
2015-05-08,210,4512529477,-9128
2015-05-11,210,4764823805,3071
2015-05-12,210,5109858778,13125
2015-05-13,210,5204461385,5588
2015-05-14,210,5851967862,18371
2015-05-15,210,5962182603,709
2015-05-18,210,5308072455,-11047
2015-05-19,210,5578490658,816
2015-05-20,210,5565985621,-7603
2015-05-21,210,5642718055,5060
2015-05-22,210,5520109289,-4979
2015-05-25,210,5766340936,6464
2015-05-26,210,5939961215,13552
2015-05-27,210,5980098364,9327
2015-05-28,210,5374146172,1156
2015-05-29,210,5408799121,-1954
2015-06-01,210,4620635714,5857
2015-06-02,210,5020607811,13054
2015-06-03,210,4950243612,4336
2015-06-04,210,4621935183,-9419
2015-06-05,210,4931591703,23339
2015-06-08,210,5125258164,13394
2015-06-09,210,4780152450,-6128
2015-06-10,210,4679479046,-4376
2015-06-11,210,4049093855,-16441
2015-06-12,210,3313717403,-22862
2015-06-15,210,2824125029,-11681
2015-06-16,210,2628862658,5526
2015-06-17,210,2739043188,2768
2015-06-18,210,2448974706,-8313
2015-06-19,210,2425809390,-356
2015-06-23,210,2280135269,-3901
2015-06-24,210,2489162925,8181
2015-06-25,210,2557634233,5411
2015-06-26,210,2126332270,-11794
2015-06-29,210,2103632112,-3963
2015-06-30,210,1905737211,-10263
2015-07-01,210,1979850378,5945
2015-07-02,210,1902510777,61
2015-07-03,210,1837761552,6624
2015-07-06,210,1649546218,-8388
2015-07-07,210,1555032335,3859
2015-07-08,210,1475363758,-6047
2015-07-09,210,1361756670,-3769
2015-07-10,210,1674224646,11456
2015-07-13,210,1436647571,-4412
2015-07-14,210,1435550554,4760
2015-07-15,210,1580016759,11690
2015-07-16,210,1652775593,5062
2015-07-17,210,1771390317,4564
2015-07-20,210,1818880989,6396
2015-07-21,210,2045617596,21745
2015-07-22,210,1832149663,-322
2015-07-23,210,1786775553,-3515
2015-07-24,210,1676311648,-6476
2015-07-27,210,1551790713,-6188
2015-07-28,210,1470818289,-2642
2015-07-29,210,1502763171,571
