trading_date,rank,volume,volume_change
2013-11-05,210,5838612982,-1069
2013-11-06,210,5986449868,-635
2013-11-07,210,6215171083,4890
2013-11-08,210,6091135992,-2822
2013-11-11,210,5261657019,-24243
2013-11-12,210,5000092497,-9014
2013-11-13,210,5469493836,11771
2013-11-14,210,5470409526,1569
2013-11-15,210,5233891989,-4124
2013-11-18,210,5110974067,-1008
2013-11-19,210,4831669188,-3355
2013-11-20,210,5263247489,9390
2013-11-21,210,5723840296,16648
2013-11-22,210,5982854844,6515
2013-11-25,210,5891436419,5398
2013-11-26,210,5175248391,-24988
2013-11-27,210,4897573666,-8091
2013-11-28,210,4443339053,-5165
2013-11-29,210,4341190409,2424
2013-12-02,210,4364681060,-175
2013-12-03,210,4467663655,7278
2013-12-04,210,4569161404,1844
2013-12-05,210,4516718440,7184
2013-12-06,210,4375916810,-2481
2013-12-09,210,3336958255,-11083
2013-12-10,210,3187354497,-4506
2013-12-11,210,3159125977,3341
2013-12-12,210,3113985768,-3248
2013-12-13,210,3531684288,12626
2013-12-16,210,3531318626,-1354
2013-12-17,210,3464880854,64
2013-12-18,210,3317373464,-765
2013-12-19,210,3290889421,339
2013-12-20,210,3433390581,824
2013-12-23,210,3243614652,-1498
2013-12-24,210,3259202979,-1346
2013-12-25,210,3051658636,-6595
2013-12-26,210,3012732531,5280
2013-12-27,210,3078321267,1375
2013-12-30,210,3278643307,3124
2013-12-31,210,3204671999,-2783
2014-01-02,210,3509256172,4660
2014-01-03,210,3610288582,-2857
2014-01-06,210,2857858205,-6657
2014-01-07,210,2772148402,-4152
2014-01-08,210,2270905523,-3073
2014-01-09,210,2183418328,-607
2014-01-10,210,2315690787,3604
2014-01-13,210,1997859846,-2757
2014-01-14,210,2126027253,8079
2014-01-15,210,2254641260,12479
2014-01-16,210,2356831893,1483
2014-01-17,210,2360023962,-285
2014-01-20,210,3127151085,27552
2014-01-21,210,3255765702,1941
2014-01-22,210,3034432784,-7144
2014-01-23,210,3274773155,11824
2014-01-24,210,3164899155,-5879
2014-01-27,210,2897220202,-4556
2014-01-28,210,2833005348,3478
2014-01-29,210,2654977506,-5772
2014-01-30,210,2579123256,-3031
2014-02-07,210,2422722958,-5539
2014-02-10,210,2981505692,22953
2014-02-11,210,3381351902,10322
2014-02-12,210,3794022455,11270
2014-02-13,210,4314645598,11253
2014-02-14,210,4458211589,3019
2014-02-17,210,4520323660,-891
2014-02-18,210,4851302022,5965
