trading_date,rank,volume,volume_change
2013-11-05,210,611118,15649
2013-11-06,210,587256,-9396
2013-11-07,210,552598,-13808
2013-11-08,210,558456,7766
2013-11-11,210,519258,-28165
2013-11-12,210,522772,3514
2013-11-13,210,533391,10619
2013-11-14,210,533937,6506
2013-11-15,210,545537,6646
2013-11-18,210,528655,-1727
2013-11-19,210,582768,5506
2013-11-20,210,628082,41732
2013-11-21,210,605836,-12460
2013-11-22,210,597394,-16063
2013-11-25,210,596171,-636
2013-11-26,210,586592,-9241
2013-11-27,210,597269,13128
2013-11-28,210,583066,-13474
2013-11-29,210,564254,-18469
2013-12-02,210,563774,1112
2013-12-03,210,549682,-9481
2013-12-04,210,557435,16635
2013-12-05,210,573273,7613
2013-12-06,210,599329,27774
2013-12-09,210,609609,12552
2013-12-10,210,605668,-7433
2013-12-11,210,627629,26700
2013-12-12,210,624948,13764
2013-12-13,210,571279,-39109
2013-12-16,210,554453,-15012
2013-12-17,210,580601,20357
2013-12-18,210,560798,-23179
2013-12-19,210,562311,14840
2013-12-20,210,545572,-16831
2013-12-23,210,526981,7330
2013-12-24,210,542731,6280
2013-12-25,210,539931,6801
2013-12-26,210,552442,4774
2013-12-27,210,541590,-1270
2013-12-30,210,576267,25305
2013-12-31,210,549501,-28307
2014-01-02,210,529543,-19199
2014-01-03,210,528630,-472
2014-01-06,210,532538,5452
2014-01-07,210,544933,5439
2014-01-08,210,513864,-11438
2014-01-09,210,531422,8284
2014-01-10,210,522379,-2018
2014-01-13,210,536398,4091
2014-01-14,210,533506,-1986
2014-01-15,210,549625,9447
2014-01-16,210,546319,10376
2014-01-17,210,549344,3025
2014-01-20,210,542610,-7208
2014-01-21,210,573720,32514
2014-01-22,210,555297,-14905
2014-01-23,210,566963,13948
2014-01-24,210,556063,-8045
2014-01-27,210,554176,-4056
2014-01-28,210,525096,-14772
2014-01-29,210,516344,-9782
2014-01-30,210,502733,-12196
2014-02-07,210,525806,25155
2014-02-10,210,548776,31668
2014-02-11,210,569136,25829
2014-02-12,210,583215,14199
2014-02-13,210,588465,7248
2014-02-14,210,586964,-9949
2014-02-17,210,638582,45117
2014-02-18,210,633653,-3938
2014-02-19,210,643227,10050
2014-02-20,210,644354,1420
2014-02-21,210,635440,10433
2014-02-24,210,631908,9169
2014-02-25,210,612717,-24796
2014-02-26,210,595251,-1216
2014-02-27,210,592725,-8539
2014-02-28,210,604957,-2372
2014-03-03,210,602851,-2286
2014-03-04,210,618103,15252
2014-03-05,210,608148,-8048
2014-03-06,210,609612,21224
2014-03-07,210,647739,33125
2014-03-10,210,610359,-696
2014-03-11,210,564090,-40757
2014-03-12,210,574295,16552
2014-03-13,210,576361,9251
2014-03-14,210,574738,4143
2014-03-17,210,572762,1055
2014-03-18,210,579751,236
2014-03-19,210,580431,7587
2014-03-20,210,565103,-17078
2014-03-21,210,575726,13392
2014-03-24,210,600073,26562
