trading_date,rank,volume,volume_change
2013-11-05,210,622335,19016
2013-11-06,210,619247,8873
2013-11-07,210,548903,-35918
2013-11-08,210,579798,35608
2013-11-11,210,558177,-17422
2013-11-12,210,574904,12262
2013-11-13,210,578580,3666
2013-11-14,210,557105,-6202
2013-11-15,210,592159,43953
2013-11-18,210,595109,10537
2013-11-19,210,602760,-26282
2013-11-20,210,665731,57508
2013-11-21,210,648497,-2435
2013-11-22,210,637122,-11355
2013-11-25,210,640477,14529
2013-11-26,210,660351,6143
2013-11-27,210,676177,15826
2013-11-28,210,654355,-4800
2013-11-29,210,646066,-4569
2013-12-02,210,634901,4130
2013-12-03,210,631369,-295
2013-12-04,210,655946,21309
2013-12-05,210,655866,-80
2013-12-06,210,674861,18088
2013-12-09,210,696674,29084
2013-12-10,210,698035,1548
2013-12-11,210,678049,-14399
2013-12-12,210,714894,36845
2013-12-13,210,611056,-59871
2013-12-16,210,594827,-8949
2013-12-17,210,629692,39269
2013-12-18,210,592502,-38701
2013-12-19,210,608834,14293
2013-12-20,210,570030,-16404
2013-12-23,210,542765,-27034
2013-12-24,210,559739,16974
2013-12-25,210,578751,26900
2013-12-26,210,569131,-9620
2013-12-27,210,560901,-8230
2013-12-30,210,571401,18417
2013-12-31,210,546621,-4691
2014-01-02,210,508372,-33754
2014-01-03,210,499233,-1906
2014-01-06,210,512546,10640
2014-01-07,210,500362,27144
2014-01-08,210,482305,-15976
2014-01-09,210,483746,4379
2014-01-10,210,495544,21385
2014-01-13,210,517776,17794
2014-01-14,210,516579,-1197
2014-01-15,210,530103,14824
2014-01-16,210,536353,27356
2014-01-17,210,517798,-18555
2014-01-20,210,512236,1117
2014-01-21,210,545311,55767
2014-01-22,210,517570,-18181
2014-01-23,210,537844,26623
2014-01-24,210,512743,-12260
2014-01-27,210,515868,19471
2014-01-28,210,521391,10070
2014-01-29,210,516121,-4108
2014-01-30,210,503379,-12739
2014-02-07,210,507719,12946
2014-02-10,210,548504,41949
2014-02-11,210,584433,43658
2014-02-12,210,610089,34946
2014-02-13,210,612960,4275
2014-02-14,210,601807,-2001
2014-02-17,210,669566,74922
2014-02-18,210,663351,-2013
2014-02-19,210,675795,21511
2014-02-20,210,681570,9688
2014-02-21,210,704839,17242
2014-02-24,210,673916,50625
2014-02-25,210,656222,-16674
2014-02-26,210,646437,-8501
2014-02-27,210,604135,-25098
2014-02-28,210,599601,3664
2014-03-03,210,624059,46495
2014-03-04,210,643557,24741
2014-03-05,210,634872,1567
2014-03-06,210,663606,52199
2014-03-07,210,767903,97480
2014-03-10,210,764461,-6842
2014-03-11,210,663249,-43879
2014-03-12,210,646513,-10055
2014-03-13,210,619433,-905
2014-03-14,210,631702,13979
2014-03-17,210,649376,23313
2014-03-18,210,647405,27614
2014-03-19,210,647159,25709
2014-03-20,210,651502,-11849
2014-03-21,210,671515,21020
2014-03-24,210,726349,56992
2014-03-25,210,746374,56709
2014-03-26,210,758372,12312
2014-03-27,210,750093,17450
2014-03-28,210,718804,-18466
2014-03-31,210,717503,11334
2014-04-01,210,706923,-10580
2014-04-02,210,733096,29406
2014-04-03,210,720536,-12560
2014-04-04,210,705238,126
2014-04-08,210,674899,3430
2014-04-09,210,701032,37806
2014-04-10,210,720032,32558
2014-04-11,210,718003,7059
2014-04-14,210,679273,-35858
2014-04-15,210,710703,37968
2014-04-16,210,745444,40720
2014-04-17,210,755629,10631
2014-04-18,210,748140,3713
2014-04-21,210,735324,-12784
2014-04-22,210,725875,-8987
2014-04-23,210,750527,-3876
2014-04-24,210,760312,10676
2014-04-25,210,761815,1675
2014-04-28,210,769600,22488
2014-04-29,210,737357,-25581
2014-04-30,210,772654,39809
2014-05-05,210,768077,-5917
2014-05-06,210,772640,4780
2014-05-07,210,786798,55027
2014-05-08,210,800853,12463
2014-05-09,210,847264,58883
2014-05-12,210,838800,2142
2014-05-13,210,850448,12633
2014-05-14,210,860962,14163
2014-05-15,210,885234,27026
2014-05-16,210,938951,53271
2014-05-19,210,941413,28461
2014-05-20,210,956889,10001
2014-05-21,210,940180,-15442
2014-05-22,210,946596,20041
2014-05-23,210,937483,-7554
2014-05-26,210,859426,-5459
2014-05-27,210,843029,-17078
2014-05-28,210,874047,36466
2014-05-29,210,853657,-22399
2014-05-30,210,857184,17836
2014-06-03,210,884318,26150
2014-06-04,210,879932,-839
2014-06-05,210,892359,18418
2014-06-06,210,841831,-44644
2014-06-09,210,833454,-8377
2014-06-10,210,875649,42746
2014-06-11,210,886131,7556
2014-06-12,210,882639,-186
2014-06-13,210,897070,14149
2014-06-16,210,945291,54086
2014-06-17,210,949986,10071
2014-06-18,210,943003,-6983
2014-06-19,210,934718,-10362
2014-06-20,210,952470,27359
2014-06-23,210,939377,39193
2014-06-24,210,950618,12198
2014-06-25,210,934984,-15634
2014-06-26,210,914708,-14926
2014-06-27,210,892139,-19918
2014-06-30,210,858692,-29368
2014-07-01,210,853913,702
2014-07-02,210,846862,8443
2014-07-03,210,840425,-6437
2014-07-04,210,847321,386
2014-07-07,210,836460,-10802
2014-07-08,210,861863,23111
2014-07-09,210,831267,-30596
2014-07-10,210,828744,12432
2014-07-11,210,879651,47837
2014-07-14,210,932231,68570
2014-07-15,210,891856,-22044
2014-07-16,210,907596,-1189
2014-07-17,210,848999,-28392
2014-07-18,210,803486,-31806
2014-07-21,210,795486,-7863
2014-07-22,210,804743,5173
2014-07-23,210,787016,-7400
2014-07-24,210,828481,31913
2014-07-25,210,831281,7226
2014-07-28,210,822570,1629
2014-07-29,210,966476,80418
2014-07-30,210,941692,-11016
2014-07-31,210,948329,4317
2014-08-01,210,909543,-30423
2014-08-04,210,979069,71544
2014-08-05,210,986751,17007
2014-08-06,210,1023042,32696
2014-08-07,210,1039050,31676
2014-08-08,210,1018746,-2722
2014-08-11,210,1024715,30157
2014-08-12,210,974905,-31519
2014-08-13,210,1016430,53308
2014-08-14,210,1000016,-9697
2014-08-15,210,1027265,30800
2014-08-18,210,1050829,28489
2014-08-19,210,1071168,20502
2014-08-20,210,1075090,25035
2014-08-21,210,1072250,6347
2014-08-22,210,1087721,16472
2014-08-25,210,1009450,-71356
2014-08-26,210,1023898,18187
2014-08-27,210,1021678,5123
2014-08-28,210,1048890,44461
2014-08-29,210,985214,-46275
2014-09-01,210,937850,-18872
2014-09-02,210,1056262,128117
2014-09-03,210,1090135,61009
2014-09-04,210,1095341,5271
2014-09-05,210,1082586,-11846
2014-09-09,210,1045369,4742
2014-09-10,210,1056570,70125
2014-09-11,210,1083151,50680
2014-09-12,210,1096015,5884
2014-09-15,210,1090558,54633
2014-09-16,210,1058205,-8071
2014-09-17,210,1092802,53144
2014-09-18,210,1150000,67647
2014-09-19,210,1247013,123619
2014-09-22,210,1272668,32762
2014-09-23,210,1232546,-34674
2014-09-24,210,1271089,47157
2014-09-25,210,1332235,78870
2014-09-26,210,1302311,-14387
2014-09-29,210,1321694,51954
2014-09-30,210,1243612,-76985
2014-10-08,210,1317195,87936
2014-10-09,210,1358277,52183
2014-10-10,210,1241855,-101234
2014-10-13,210,1296075,97771
2014-10-14,210,1295051,7229
2014-10-15,210,1262189,-31840
2014-10-16,210,1202307,-38067
2014-10-17,210,1215538,37197
2014-10-20,210,1282010,61374
2014-10-21,210,1317044,78043
2014-10-22,210,1432492,106137
2014-10-23,210,1480134,59788
2014-10-24,210,1464018,-7780
2014-10-27,210,1476314,4314
2014-10-28,210,1495469,45445
2014-10-29,210,1452311,-22745
2014-10-30,210,1424836,-12129
2014-10-31,210,1411508,-13328
2014-11-03,210,1409139,18287
2014-11-04,210,1386703,-7563
2014-11-05,210,1414676,51006
2014-11-06,210,1422158,23571
2014-11-07,210,1489458,75395
2014-11-10,210,1476220,26724
2014-11-11,210,1471593,-2934
2014-11-12,210,1491004,19411
2014-11-13,210,1510723,37093
2014-11-14,210,1497677,-9000
2014-11-17,210,1550703,71879
2014-11-18,210,1602587,69545
2014-11-19,210,1465500,-106042
2014-11-20,210,1523672,-1499
2014-11-21,210,1539899,21239
2014-11-24,210,1524978,9843
2014-11-25,210,1554329,65215
2014-11-26,210,1530699,-24887
2014-11-27,210,1423990,-55082
2014-11-28,210,1310184,-101702
2014-12-01,210,1267230,-24813
2014-12-02,210,1276471,80278
2014-12-03,210,1242152,3356
2014-12-04,210,1247355,-1067
2014-12-05,210,1233923,1629
2014-12-08,210,1193194,-45692
2014-12-09,210,1205977,34140
2014-12-10,210,1174245,-24074
2014-12-11,210,1121529,-42720
2014-12-12,210,1098710,-9313
2014-12-15,210,1090282,-8832
2014-12-16,210,1010246,-65161
2014-12-17,210,993253,-9758
2014-12-18,210,976361,4373
2014-12-19,210,972808,25192
2014-12-22,210,926625,-53321
2014-12-23,210,898593,-18454
2014-12-24,210,875415,-6426
2014-12-25,210,867424,-7484
2014-12-26,210,868405,1264
2014-12-29,210,918578,55908
2014-12-30,210,895124,5231
2014-12-31,210,866999,-19740
2015-01-05,210,905291,51210
2015-01-06,210,903746,11838
2015-01-07,210,913329,9785
2015-01-08,210,904722,-7827
2015-01-09,210,854838,-21499
2015-01-12,210,854099,3891
2015-01-13,210,850472,5091
2015-01-14,210,822433,-11792
2015-01-15,210,833160,14120
2015-01-16,210,842792,19943
2015-01-19,210,781040,-52679
2015-01-20,210,825021,58794
2015-01-21,210,860429,22152
2015-01-22,210,834212,3068
2015-01-23,210,915448,84668
2015-01-26,210,890803,-13512
2015-01-27,210,890118,4539
2015-01-28,210,910489,10353
2015-01-29,210,952573,37909
2015-01-30,210,967676,12582
2015-02-02,210,920923,-7033
2015-02-03,210,882477,-8807
2015-02-04,210,907237,35276
2015-02-05,210,883884,-5374
2015-02-06,210,827076,-50740
2015-02-09,210,839084,11025
2015-02-10,210,819440,-18655
2015-02-11,210,812781,-11504
2015-02-12,210,797431,-6050
2015-02-13,210,809553,23957
2015-02-16,210,833218,39552
2015-02-17,210,839701,3631
2015-02-25,210,790928,-36994
2015-02-26,210,837018,42680
2015-02-27,210,884609,44319
2015-03-02,210,971145,105803
2015-03-03,210,965888,12350
2015-03-04,210,967045,20072
2015-03-05,210,950156,30550
2015-03-06,210,942018,-196
2015-03-09,210,952396,21799
2015-03-10,210,972294,27653
2015-03-11,210,930527,-25177
2015-03-12,210,888966,-16046
2015-03-13,210,886985,9365
2015-03-16,210,925531,50745
2015-03-17,210,918166,13357
2015-03-18,210,852521,-47777
2015-03-19,210,828848,-23127
2015-03-20,210,828117,-9409
2015-03-23,210,881830,122161
2015-03-24,210,935404,83056
2015-03-25,210,931926,-11989
2015-03-26,210,923173,-12248
2015-03-27,210,873611,2271
2015-03-30,210,882057,15115
2015-03-31,210,947499,78107
2015-04-01,210,1013150,71115
2015-04-02,210,1108563,101198
2015-04-03,210,1163883,66256
2015-04-07,210,1295118,131947
2015-04-08,210,1251387,-8623
2015-04-09,210,1244967,-6420
2015-04-10,210,1282835,28975
2015-04-13,210,1260189,-8267
2015-04-14,210,1219423,626
2015-04-15,210,1229803,20644
2015-04-16,210,1195947,-23747
2015-04-17,210,1201704,5900
2015-04-20,210,1274171,79136
2015-04-21,210,1302347,32274
2015-04-22,210,1303117,11040
2015-04-23,210,1228302,-61380
2015-04-24,210,1171879,-28692
2015-04-27,210,1169535,-18314
2015-04-28,210,1144185,-10751
2015-04-29,210,1090806,-52000
2015-04-30,210,1044952,-30910
2015-05-04,210,1028951,-13129
2015-05-05,210,1036275,13029
2015-05-06,210,974854,-25685
2015-05-07,210,955317,1597
2015-05-08,210,933439,-18508
2015-05-11,210,928983,3914
2015-05-12,210,923871,-735
2015-05-13,210,947952,30961
2015-05-14,210,1003132,58673
2015-05-15,210,1017071,14443
2015-05-18,210,1034713,51726
2015-05-19,210,1018946,-13031
2015-05-20,210,978141,-34590
2015-05-21,210,999080,22494
2015-05-22,210,972444,10481
2015-05-25,210,999383,28088
2015-05-26,210,981674,-10424
2015-05-27,210,985429,7524
2015-05-28,210,940891,-8299
2015-05-29,210,928460,-28145
2015-06-01,210,919152,17902
2015-06-02,210,909066,2614
2015-06-03,210,919237,10952
2015-06-04,210,931174,7994
2015-06-05,210,929955,15836
2015-06-08,210,892434,-14530
2015-06-09,210,884433,3855
2015-06-10,210,941022,64726
2015-06-11,210,964604,58455
2015-06-12,210,1073706,122607
2015-06-15,210,1157182,65969
2015-06-16,210,1255612,109019
2015-06-17,210,1285901,35379
2015-06-18,210,1240292,-26002
