trading_date,RB_total_oi
2013-11-05,2277170.0
2013-11-06,2248316.0
2013-11-07,2152328.0
2013-11-08,2153476.0
2013-11-11,2118736.0
2013-11-12,2141850.0
2013-11-13,2177252.0
2013-11-14,2176794.0
2013-11-15,2241214.0
2013-11-18,2200076.0
2013-11-19,2166252.0
2013-11-20,2261468.0
2013-11-21,2244408.0
2013-11-22,2178578.0
2013-11-25,2166172.0
2013-11-26,2203028.0
2013-11-27,2213960.0
2013-11-28,2122602.0
2013-11-29,2083040.0
2013-12-02,2075638.0
2013-12-03,2086372.0
2013-12-04,2166284.0
2013-12-05,2166154.0
2013-12-06,2241930.0
2013-12-09,2312996.0
2013-12-10,2304656.0
2013-12-11,2324872.0
2013-12-12,2415996.0
2013-12-13,2196788.0
2013-12-16,2145584.0
2013-12-17,2194488.0
2013-12-18,2102292.0
2013-12-19,2116198.0
2013-12-20,2049186.0
2013-12-23,2037826.0
2013-12-24,2053680.0
2013-12-25,2076412.0
2013-12-26,2058830.0
2013-12-27,2070502.0
2013-12-30,2149640.0
2013-12-31,2020302.0
2014-01-02,1944930.0
2014-01-03,1944244.0
2014-01-06,1927010.0
2014-01-07,1892970.0
2014-01-08,1832762.0
2014-01-09,1842290.0
2014-01-10,1876238.0
2014-01-13,1884170.0
2014-01-14,1897636.0
2014-01-15,1918334.0
2014-01-16,1955808.0
2014-01-17,1945324.0
2014-01-20,1930206.0
2014-01-21,2049558.0
2014-01-22,1978320.0
2014-01-23,1998706.0
2014-01-24,1928288.0
2014-01-27,1895522.0
2014-01-28,1839644.0
2014-01-29,1764888.0
2014-01-30,1717436.0
2014-02-07,1799090.0
2014-02-10,1949976.0
2014-02-11,2060164.0
2014-02-12,2130888.0
2014-02-13,2137910.0
2014-02-14,2102820.0
2014-02-17,2250008.0
2014-02-18,2235896.0
2014-02-19,2323116.0
2014-02-20,2370110.0
2014-02-21,2434356.0
2014-02-24,2391318.0
2014-02-25,2331256.0
2014-02-26,2321546.0
2014-02-27,2261110.0
2014-02-28,2263826.0
2014-03-03,2289264.0
2014-03-04,2363676.0
2014-03-05,2336776.0
2014-03-06,2442960.0
2014-03-07,2583056.0
2014-03-10,2478946.0
