trading_date,rank,volume,volume_change
2013-11-05,210,25085434604,15649
2013-11-06,210,23270524908,-9396
2013-11-07,210,21276812796,-13808
2013-11-08,210,20460045244,7766
2013-11-11,210,18207139440,-28165
2013-11-12,210,18455850546,3514
2013-11-13,210,18419700085,10619
2013-11-14,210,18339337211,6506
2013-11-15,210,18699051071,6646
2013-11-18,210,18153904027,-1727
2013-11-19,210,22405263700,5506
2013-11-20,210,29013903266,41732
2013-11-21,210,25212690664,-12460
2013-11-22,210,23769259516,-16063
2013-11-25,210,23892593877,-636
2013-11-26,210,24599741464,-9241
2013-11-27,210,25492491609,13128
2013-11-28,210,24338337774,-13474
2013-11-29,210,22918076572,-18469
2013-12-02,210,22723236112,1112
2013-12-03,210,21425784376,-9481
2013-12-04,210,23254144609,16635
2013-12-05,210,23479474293,7613
2013-12-06,210,26741110799,27774
2013-12-09,210,31683708853,12552
2013-12-10,210,30558961038,-7433
2013-12-11,210,36978534611,26700
2013-12-12,210,36479898784,13764
2013-12-13,210,25009686597,-39109
2013-12-16,210,22789973277,-15012
2013-12-17,210,25791063763,20357
2013-12-18,210,22729659670,-23179
2013-12-19,210,22739493255,14840
2013-12-20,210,21062888140,-16831
2013-12-23,210,20170016827,7330
2013-12-24,210,21487979085,6280
2013-12-25,210,21724930603,6801
2013-12-26,210,22942469858,4774
2013-12-27,210,22541747678,-1270
2013-12-30,210,22802597379,25305
2013-12-31,210,20456307631,-28307
2014-01-02,210,19164126925,-19199
2014-01-03,210,18742436116,-472
2014-01-06,210,18986304986,5452
2014-01-07,210,18985297013,5439
2014-01-08,210,17577554426,-11438
2014-01-09,210,18706220660,8284
2014-01-10,210,18401477551,-2018
2014-01-13,210,19213293976,4091
2014-01-14,210,19299402968,-1986
2014-01-15,210,19830743963,9447
2014-01-16,210,19824185179,10376
2014-01-17,210,19935799452,3025
2014-01-20,210,19015533220,-7208
2014-01-21,210,21059807112,32514
2014-01-22,210,19808502175,-14905
2014-01-23,210,20462239949,13948
2014-01-24,210,20084767049,-8045
2014-01-27,210,19720452390,-4056
