trading_date,rank,volume,volume_change
2013-11-05,210,24471430073,19016
2013-11-06,210,24893919359,8873
2013-11-07,210,20341992247,-35918
2013-11-08,210,21908006350,35608
2013-11-11,210,20320939413,-17422
2013-11-12,210,21568586820,12262
2013-11-13,210,21638506804,3666
2013-11-14,210,20279597417,-6202
2013-11-15,210,23307402769,43953
2013-11-18,210,23691558605,10537
2013-11-19,210,23035636476,-26282
2013-11-20,210,28212296737,57508
2013-11-21,210,26941203913,-2435
2013-11-22,210,26678691604,-11355
2013-11-25,210,26900992033,14529
2013-11-26,210,28085076527,6143
2013-11-27,210,29333442677,15826
2013-11-28,210,27515642405,-4800
2013-11-29,210,26426989190,-4569
2013-12-02,210,25251898399,4130
2013-12-03,210,25683756785,-295
2013-12-04,210,27822514220,21309
2013-12-05,210,27354485608,-80
2013-12-06,210,28010908337,18088
2013-12-09,210,30400664192,29084
2013-12-10,210,31043786561,1548
2013-12-11,210,28129576863,-14399
2013-12-12,210,32084068932,36845
2013-12-13,210,24013253366,-59871
2013-12-16,210,22509509627,-8949
2013-12-17,210,24765677306,39269
2013-12-18,210,20980740662,-38701
2013-12-19,210,21630473914,14293
2013-12-20,210,19274020118,-16404
2013-12-23,210,16887966693,-27034
2013-12-24,210,18695735699,16974
2013-12-25,210,19545745337,26900
2013-12-26,210,18640119303,-9620
2013-12-27,210,18658091835,-8230
2013-12-30,210,19046269419,18417
2013-12-31,210,17659396273,-4691
2014-01-02,210,15579457026,-33754
2014-01-03,210,14031447523,-1906
2014-01-06,210,14806338586,10640
2014-01-07,210,15373637270,27144
2014-01-08,210,13432972981,-15976
2014-01-09,210,13472311666,4379
2014-01-10,210,14928958586,21385
2014-01-13,210,15610014366,17794
2014-01-14,210,15977093245,-1197
2014-01-15,210,16912860809,14824
2014-01-16,210,16986765049,27356
2014-01-17,210,15818182474,-18555
2014-01-20,210,15963844110,1117
2014-01-21,210,19159217203,55767
2014-01-22,210,17293967274,-18181
2014-01-23,210,19104528192,26623
2014-01-24,210,18262945139,-12260
2014-01-27,210,18721492472,19471
2014-01-28,210,19413292773,10070
2014-01-29,210,19366552541,-4108
2014-01-30,210,16703225013,-12739
2014-02-07,210,17043674417,12946
2014-02-10,210,19782034418,41949
2014-02-11,210,22139752271,43658
2014-02-12,210,23758040979,34946
2014-02-13,210,24169181258,4275
2014-02-14,210,23317159803,-2001
2014-02-17,210,28604653416,74922
2014-02-18,210,27809369681,-2013
2014-02-19,210,28909615025,21511
2014-02-20,210,29095776276,9688
2014-02-21,210,30318937773,17242
2014-02-24,210,30961928758,50625
2014-02-25,210,28748056358,-16674
2014-02-26,210,27717283351,-8501
2014-02-27,210,24260025483,-25098
2014-02-28,210,25358320805,3664
2014-03-03,210,24872106189,46495
2014-03-04,210,27916153643,24741
2014-03-05,210,28460896538,1567
2014-03-06,210,31894272338,52199
2014-03-07,210,41679173039,97480
2014-03-10,210,39955435999,-6842
2014-03-11,210,28546846169,-43879
2014-03-12,210,26666153139,-10055
2014-03-13,210,25412526725,-905
2014-03-14,210,26830721440,13979
2014-03-17,210,29003728268,23313
2014-03-18,210,29657963407,27614
2014-03-19,210,31538593397,25709
2014-03-20,210,30448358744,-11849
2014-03-21,210,32349963181,21020
2014-03-24,210,37487437645,56992
2014-03-25,210,42099056300,56709
2014-03-26,210,42344593410,12312
2014-03-27,210,42026713461,17450
2014-03-28,210,40076748436,-18466
2014-03-31,210,40656855533,11334
2014-04-01,210,40040511463,-10580
2014-04-02,210,43856347828,29406
2014-04-03,210,39428027118,-12560
2014-04-04,210,37562805694,126
2014-04-08,210,37343832369,3430
2014-04-09,210,45158914284,37806
2014-04-10,210,46783314406,32558
2014-04-11,210,41207524509,7059
2014-04-14,210,33141281417,-35858
2014-04-15,210,39411068911,37968
2014-04-16,210,45386441306,40720
2014-04-17,210,47376514053,10631
2014-04-18,210,41647592724,3713
2014-04-21,210,39337723216,-12784
2014-04-22,210,37803524127,-8987
2014-04-23,210,40545686181,-3876
2014-04-24,210,43359247072,10676
2014-04-25,210,43663520557,1675
2014-04-28,210,47127835316,22488
2014-04-29,210,40876640839,-25581
2014-04-30,210,44064782714,39809
2014-05-05,210,44153699471,-5917
2014-05-06,210,44853627794,4780
2014-05-07,210,49290411494,55027
2014-05-08,210,49549893615,12463
2014-05-09,210,53594812882,58883
2014-05-12,210,51730139414,2142
2014-05-13,210,52474560494,12633
2014-05-14,210,51942030946,14163
2014-05-15,210,55442035958,27026
2014-05-16,210,64586409251,53271
2014-05-19,210,66531682785,28461
2014-05-20,210,69465740325,10001
2014-05-21,210,68424546176,-15442
2014-05-22,210,67955206552,20041
2014-05-23,210,64168128275,-7554
2014-05-26,210,54731764444,-5459
2014-05-27,210,54534160005,-17078
2014-05-28,210,57243816771,36466
2014-05-29,210,53637419815,-22399
2014-05-30,210,53360954276,17836
2014-06-03,210,56600781602,26150
2014-06-04,210,57363994110,-839
2014-06-05,210,59531266327,18418
