trading_date,rank,volume,volume_change
2013-11-05,210,417209,-26666
2013-11-06,210,469491,57102
2013-11-07,210,406005,-58264
2013-11-08,210,359730,-33168
2013-11-11,210,352534,-3532
2013-11-12,210,334906,-15237
2013-11-13,210,331653,-50
2013-11-14,210,342077,16121
2013-11-15,210,323276,-18051
2013-11-18,210,343332,29865
2013-11-19,210,327051,-15167
2013-11-20,210,342933,17466
2013-11-21,210,339090,4552
2013-11-22,210,319388,-17670
2013-11-25,210,296944,-15621
2013-11-26,210,300030,16261
2013-11-27,210,344255,46714
2013-11-28,210,328673,-12071
2013-11-29,210,331948,10453
2013-12-02,210,346668,15478
2013-12-03,210,350067,5187
2013-12-04,210,369892,20835
2013-12-05,210,377975,14826
2013-12-06,210,369860,2309
2013-12-09,210,370892,4228
2013-12-10,210,359678,-9994
2013-12-11,210,390111,33835
2013-12-12,210,386039,-4072
2013-12-13,210,380322,-5025
2013-12-16,210,392408,18034
2013-12-17,210,402711,16125
2013-12-18,210,404843,15293
2013-12-19,210,409427,9200
2013-12-20,210,397595,-11832
2013-12-23,210,375875,-21720
2013-12-24,210,427556,61475
2013-12-25,210,456450,43426
2013-12-26,210,430058,-10149
2013-12-27,210,494909,72259
2013-12-30,210,454765,-27972
2013-12-31,210,459942,24193
2014-01-02,210,541077,95057
2014-01-03,210,567498,31000
2014-01-06,210,585361,24106
2014-01-07,210,598755,17248
2014-01-08,210,577742,-21013
2014-01-09,210,563111,-14631
2014-01-10,210,558969,-4142
2014-01-13,210,560167,3411
2014-01-14,210,571175,13670
2014-01-15,210,571620,445
2014-01-16,210,585553,13933
2014-01-17,210,610747,30712
2014-01-20,210,611706,4103
2014-01-21,210,589964,-16496
2014-01-22,210,571910,-11694
2014-01-23,210,594293,28234
2014-01-24,210,581795,-11343
2014-01-27,210,564565,-12582
2014-01-28,210,565434,3752
2014-01-29,210,518825,-46609
2014-01-30,210,490555,-26844
2014-02-07,210,521336,33774
2014-02-10,210,563945,42609
2014-02-11,210,573415,24992
2014-02-12,210,566910,-2191
2014-02-13,210,566143,9968
2014-02-14,210,530501,-29475
2014-02-17,210,503354,-21179
2014-02-18,210,498585,-3213
2014-02-19,210,490745,-7046
2014-02-20,210,484938,-1292
2014-02-21,210,506833,23946
2014-02-24,210,515703,9155
2014-02-25,210,489889,-17035
2014-02-26,210,496094,8652
2014-02-27,210,500359,4265
2014-02-28,210,461843,-37311
2014-03-03,210,448497,-4384
2014-03-04,210,448157,-340
2014-03-05,210,478593,51309
2014-03-06,210,452979,-19305
2014-03-07,210,499225,46915
2014-03-10,210,442969,-24999
2014-03-11,210,461099,27575
2014-03-12,210,459481,305
2014-03-13,210,452322,4221
2014-03-14,210,448708,7941
2014-03-17,210,445035,2633
2014-03-18,210,423801,-17187
2014-03-19,210,415025,3202
2014-03-20,210,413563,970
2014-03-21,210,419238,9111
2014-03-24,210,423811,4573
2014-03-25,210,399467,-18586
2014-03-26,210,374382,-23651
2014-03-27,210,367269,591
2014-03-28,210,369495,2523
2014-03-31,210,363857,-5638
2014-04-01,210,320200,-29970
2014-04-02,210,314867,3739
2014-04-03,210,316865,2281
2014-04-04,210,322580,8574
2014-04-08,210,321515,6326
2014-04-09,210,325976,9597
2014-04-10,210,327088,18298
2014-04-11,210,335656,13289
2014-04-14,210,331893,6215
2014-04-15,210,354063,24293
2014-04-16,210,338874,-13182
2014-04-17,210,345423,9870
2014-04-18,210,345808,7899
2014-04-21,210,360621,20612
2014-04-22,210,368456,8893
2014-04-23,210,390868,27267
2014-04-24,210,386765,2420
2014-04-25,210,364535,-19233
2014-04-28,210,354066,-6144
2014-04-29,210,353492,1664
2014-04-30,210,333890,-18990
2014-05-05,210,326082,3063
2014-05-06,210,366188,54117
2014-05-07,210,375476,12690
2014-05-08,210,408770,38292
2014-05-09,210,401327,5033
2014-05-12,210,373485,-21841
2014-05-13,210,386349,23468
2014-05-14,210,429690,51420
2014-05-15,210,432017,14414
2014-05-16,210,442243,15422
2014-05-19,210,471969,35372
2014-05-20,210,433722,-36624
2014-05-21,210,448875,15795
2014-05-22,210,476114,29692
2014-05-23,210,470424,-2116
2014-05-26,210,480422,11376
2014-05-27,210,422436,-49191
2014-05-28,210,417706,-2823
2014-05-29,210,418491,3127
2014-05-30,210,418136,-355
2014-06-03,210,440706,22570
2014-06-04,210,438908,-913
2014-06-05,210,389637,-25091
2014-06-06,210,380027,11546
2014-06-09,210,453402,103238
2014-06-10,210,422242,-27367
2014-06-11,210,438498,20225
2014-06-12,210,444010,17020
2014-06-13,210,434766,4381
2014-06-16,210,469294,34950
2014-06-17,210,471745,15274
2014-06-18,210,480714,22676
2014-06-19,210,464836,-15878
2014-06-20,210,430056,-31358
2014-06-23,210,418000,12229
2014-06-24,210,416879,32960
2014-06-25,210,435176,18494
2014-06-26,210,447358,16753
2014-06-27,210,427006,-16920
2014-06-30,210,456194,37623
2014-07-01,210,443993,7352
2014-07-02,210,498123,66170
2014-07-03,210,509241,20572
2014-07-04,210,529872,22789
2014-07-07,210,546607,29222
2014-07-08,210,534434,1764
2014-07-09,210,526754,15860
2014-07-10,210,511771,-11078
2014-07-11,210,489035,-20736
2014-07-14,210,497662,12992
2014-07-15,210,499964,4885
2014-07-16,210,490260,-8437
2014-07-17,210,482466,4407
2014-07-18,210,456088,-25425
2014-07-21,210,463517,8082
2014-07-22,210,445953,-16540
2014-07-23,210,436492,-2718
2014-07-24,210,442428,7321
2014-07-25,210,431133,-9382
2014-07-28,210,413410,-17010
2014-07-29,210,397095,-11059
2014-07-30,210,414596,24720
2014-07-31,210,421226,22964
2014-08-01,210,409828,-7967
2014-08-04,210,410593,2694
2014-08-05,210,414017,8465
2014-08-06,210,424774,10757
2014-08-07,210,409396,-12785
2014-08-08,210,416968,10522
2014-08-11,210,385357,-12161
2014-08-12,210,393294,8112
2014-08-13,210,391779,3353
2014-08-14,210,367991,-23788
2014-08-15,210,346480,-16051
2014-08-18,210,337038,-8455
2014-08-19,210,350951,26903
2014-08-20,210,340437,-9820
2014-08-21,210,318171,-15562
2014-08-22,210,312321,-5007
2014-08-25,210,311037,-1284
2014-08-26,210,304034,-5983
2014-08-27,210,290188,-9398
2014-08-28,210,281471,-8018
2014-08-29,210,303793,32158
2014-09-01,210,300069,-3039
2014-09-02,210,297356,-1944
2014-09-03,210,310412,16817
2014-09-04,210,321656,18663
2014-09-05,210,312100,-4535
2014-09-09,210,311295,5306
2014-09-10,210,313394,5099
2014-09-11,210,310489,1816
2014-09-12,210,328092,34949
2014-09-15,210,316529,-8233
2014-09-16,210,309647,199
2014-09-17,210,334840,28003
2014-09-18,210,334713,8761
2014-09-19,210,356489,32296
2014-09-22,210,369221,17813
2014-09-23,210,385852,22578
2014-09-24,210,384831,9784
2014-09-25,210,392624,7793
2014-09-26,210,385746,-6205
2014-09-29,210,356229,-25207
2014-09-30,210,339563,-16666
2014-10-08,210,329487,-9399
2014-10-09,210,322475,6390
2014-10-10,210,346373,42869
2014-10-13,210,316187,-24528
2014-10-14,210,291082,2942
2014-10-15,210,300445,9923
2014-10-16,210,298090,-2317
2014-10-17,210,302751,7670
2014-10-20,210,303813,2032
2014-10-21,210,298601,1557
2014-10-22,210,307672,14546
2014-10-23,210,313283,7452
2014-10-24,210,319243,17894
2014-10-27,210,331818,15819
2014-10-28,210,330575,5730
2014-10-29,210,393021,65889
2014-10-30,210,404216,17374
2014-10-31,210,423013,18843
2014-11-03,210,430692,15627
2014-11-04,210,428098,2249
2014-11-05,210,418091,2227
2014-11-06,210,450819,36332
2014-11-07,210,427321,-15933
2014-11-10,210,424212,-2289
2014-11-11,210,422928,-990
2014-11-12,210,389534,-17521
2014-11-13,210,411167,22779
2014-11-14,210,409659,6977
2014-11-17,210,408473,395
2014-11-18,210,407765,-708
2014-11-19,210,420519,13743
2014-11-20,210,439314,19895
2014-11-21,210,452495,19165
2014-11-24,210,441403,-11092
2014-11-25,210,450427,9024
2014-11-26,210,458339,12107
2014-11-27,210,454446,-2186
2014-11-28,210,418760,-35686
2014-12-01,210,414701,-1218
2014-12-02,210,405648,-8846
2014-12-03,210,424540,40278
2014-12-04,210,419090,-3199
2014-12-05,210,450876,32428
2014-12-08,210,416859,-17107
2014-12-09,210,414180,10029
2014-12-10,210,427965,17967
2014-12-11,210,443576,15611
2014-12-12,210,434400,-6812
2014-12-15,210,425232,-7486
2014-12-16,210,430282,12239
2014-12-17,210,452383,28711
2014-12-18,210,469890,17534
2014-12-19,210,449785,-20105
2014-12-22,210,445143,8004
2014-12-23,210,435711,-5035
2014-12-24,210,442617,7585
2014-12-25,210,454460,13261
2014-12-26,210,430935,-9329
2014-12-29,210,397187,-20507
2014-12-30,210,386938,-9508
2014-12-31,210,384911,134
2015-01-05,210,406739,33430
2015-01-06,210,386100,-17192
2015-01-07,210,395972,17163
2015-01-08,210,384378,-5942
2015-01-09,210,408455,28955
2015-01-12,210,404058,-4397
2015-01-13,210,452459,50813
2015-01-14,210,480999,39042
2015-01-15,210,463848,-15825
2015-01-16,210,487631,33656
2015-01-19,210,400884,-82944
2015-01-20,210,403167,2533
2015-01-21,210,406602,4073
2015-01-22,210,416339,20397
2015-01-23,210,443060,27150
2015-01-26,210,440685,-2375
2015-01-27,210,417108,-21337
2015-01-28,210,404402,-10092
2015-01-29,210,411662,7856
2015-01-30,210,404228,-6262
2015-02-02,210,438981,39270
2015-02-03,210,404523,-24207
2015-02-04,210,362485,-35935
2015-02-05,210,364630,2420
2015-02-06,210,365523,930
2015-02-09,210,370747,6611
2015-02-10,210,378368,8497
2015-02-11,210,380012,7364
2015-02-12,210,375118,-1535
2015-02-13,210,358397,-11919
2015-02-16,210,346268,-5655
2015-02-17,210,339066,-5510
2015-02-25,210,339545,1678
2015-02-26,210,391824,55617
2015-02-27,210,400814,26434
2015-03-02,210,386304,-4595
2015-03-03,210,365769,-11280
2015-03-04,210,370963,7915
2015-03-05,210,355102,-11463
2015-03-06,210,356444,6886
2015-03-09,210,379860,25070
2015-03-10,210,391668,11808
2015-03-11,210,468795,82888
2015-03-12,210,500510,39951
2015-03-13,210,484833,-7065
2015-03-16,210,471424,-12195
2015-03-17,210,471854,601
2015-03-18,210,478753,8018
2015-03-19,210,479560,9821
2015-03-20,210,492387,14283
2015-03-23,210,488058,9006
2015-03-24,210,505433,20195
2015-03-25,210,490394,1286
2015-03-26,210,502017,13702
2015-03-27,210,510294,9791
2015-03-30,210,523830,13949
2015-03-31,210,521137,309
2015-04-01,210,516296,-3441
