trading_date,rank,volume,volume_change
2013-11-05,210,449181,-8635
2013-11-06,210,494868,45687
2013-11-07,210,452137,-34231
2013-11-08,210,413005,-36240
2013-11-11,210,401130,-11082
2013-11-12,210,376683,-21212
2013-11-13,210,374171,-2512
2013-11-14,210,383405,12134
2013-11-15,210,366509,-6443
2013-11-18,210,373457,9483
2013-11-19,210,358004,-8931
2013-11-20,210,359742,3870
2013-11-21,210,380252,20510
2013-11-22,210,346151,-34101
2013-11-25,210,323851,-18077
2013-11-26,210,333143,9292
2013-11-27,210,363375,40255
2013-11-28,210,351285,-2534
2013-11-29,210,341639,-8265
2013-12-02,210,363905,22533
2013-12-03,210,367840,6148
2013-12-04,210,390054,24795
2013-12-05,210,389452,6826
2013-12-06,210,383939,-4654
2013-12-09,210,394347,13555
2013-12-10,210,365541,-23671
2013-12-11,210,396854,31313
2013-12-12,210,388996,-7319
2013-12-13,210,380461,-8052
2013-12-16,210,389739,16700
2013-12-17,210,395782,11019
2013-12-18,210,387130,-24
2013-12-19,210,386556,4730
2013-12-20,210,385064,2057
2013-12-23,210,372728,-8496
2013-12-24,210,390662,24008
2013-12-25,210,423671,49146
2013-12-26,210,421291,-694
2013-12-27,210,465881,50922
2013-12-30,210,445469,-4780
2013-12-31,210,441443,2539
2014-01-02,210,486484,56831
2014-01-03,210,494269,13073
2014-01-06,210,510706,42886
2014-01-07,210,510012,13680
2014-01-08,210,500370,-8743
2014-01-09,210,513880,14666
2014-01-10,210,497793,-14896
2014-01-13,210,513973,16427
2014-01-14,210,527036,15495
2014-01-15,210,529331,5109
2014-01-16,210,536359,11560
2014-01-17,210,580085,47150
2014-01-20,210,587069,6984
2014-01-21,210,570257,-15243
2014-01-22,210,543090,-26308
2014-01-23,210,556855,13785
2014-01-24,210,546662,-10069
2014-01-27,210,534318,-11887
2014-01-28,210,529127,-4185
2014-01-29,210,511266,-17861
2014-01-30,210,497463,-13803
2014-02-07,210,505512,30250
2014-02-10,210,578910,81254
2014-02-11,210,608584,29751
2014-02-12,210,615766,7182
2014-02-13,210,620009,4243
2014-02-14,210,594344,-20172
2014-02-17,210,592571,1602
2014-02-18,210,560930,-17254
2014-02-19,210,543536,-9548
2014-02-20,210,551557,12050
2014-02-21,210,566866,19571
2014-02-24,210,551063,-14136
2014-02-25,210,538816,-11826
2014-02-26,210,554965,20732
2014-02-27,210,553562,-1393
2014-02-28,210,531710,-18270
2014-03-03,210,522316,-6715
2014-03-04,210,521469,3230
2014-03-05,210,542752,24800
2014-03-06,210,540397,-1938
2014-03-07,210,564639,27517
2014-03-10,210,533003,-26203
2014-03-11,210,548771,19966
2014-03-12,210,523391,-23981
2014-03-13,210,535143,20216
2014-03-14,210,519086,-8592
2014-03-17,210,518727,13891
2014-03-18,210,510810,-6045
2014-03-19,210,477204,-31210
2014-03-20,210,466559,-6036
2014-03-21,210,474077,7518
2014-03-24,210,493664,20010
2014-03-25,210,477683,-15802
2014-03-26,210,464864,-12410
2014-03-27,210,442694,-22170
2014-03-28,210,449257,6563
2014-03-31,210,431725,-17532
2014-04-01,210,409626,-13989
2014-04-02,210,397174,-8587
2014-04-03,210,396114,699
2014-04-04,210,390956,2520
2014-04-08,210,387355,1710
2014-04-09,210,376275,-3292
2014-04-10,210,393408,17133
2014-04-11,210,406664,17285
2014-04-14,210,407591,8043
2014-04-15,210,424047,17938
2014-04-16,210,389822,-23086
2014-04-17,210,395541,11847
2014-04-18,210,392305,256
2014-04-21,210,403336,21487
2014-04-22,210,421797,18461
2014-04-23,210,441655,21096
2014-04-24,210,437375,-1178
2014-04-25,210,428833,-6149
2014-04-28,210,395893,-17787
2014-04-29,210,408705,18145
2014-04-30,210,402458,7303
2014-05-05,210,418278,18673
2014-05-06,210,459486,42892
2014-05-07,210,482441,23064
2014-05-08,210,528227,47581
2014-05-09,210,477616,-37076
2014-05-12,210,462712,-14766
2014-05-13,210,494798,32086
2014-05-14,210,508381,19528
2014-05-15,210,521353,13554
