trading_date,RM_total_oi
2013-11-05,1536890.0
2013-11-06,1677000.0
2013-11-07,1505626.0
2013-11-08,1370504.0
2013-11-11,1316098.0
2013-11-12,1215906.0
2013-11-13,1198984.0
2013-11-14,1278618.0
2013-11-15,1221056.0
2013-11-18,1281640.0
2013-11-19,1212342.0
2013-11-20,1223620.0
2013-11-21,1232686.0
2013-11-22,1152430.0
2013-11-25,1072862.0
2013-11-26,1094932.0
2013-11-27,1189930.0
2013-11-28,1155434.0
2013-11-29,1147440.0
2013-12-02,1206082.0
2013-12-03,1209802.0
2013-12-04,1271574.0
2013-12-05,1307226.0
2013-12-06,1302810.0
2013-12-09,1313398.0
2013-12-10,1243984.0
2013-12-11,1300120.0
2013-12-12,1265890.0
2013-12-13,1214746.0
2013-12-16,1295664.0
2013-12-17,1319382.0
2013-12-18,1280922.0
2013-12-19,1320780.0
2013-12-20,1291832.0
2013-12-23,1241466.0
2013-12-24,1346738.0
2013-12-25,1453662.0
2013-12-26,1427784.0
2013-12-27,1600612.0
2013-12-30,1505924.0
2013-12-31,1518182.0
2014-01-02,1719694.0
2014-01-03,1749870.0
2014-01-06,1813490.0
2014-01-07,1792452.0
2014-01-08,1748140.0
2014-01-09,1718108.0
2014-01-10,1699766.0
2014-01-13,1722180.0
2014-01-14,1801660.0
2014-01-15,1835226.0
2014-01-16,1895388.0
2014-01-17,1985342.0
2014-01-20,2000136.0
2014-01-21,1930862.0
2014-01-22,1822886.0
2014-01-23,1842314.0
2014-01-24,1795366.0
2014-01-27,1760314.0
2014-01-28,1712372.0
2014-01-29,1597090.0
2014-01-30,1520428.0
2014-02-07,1587098.0
2014-02-10,1778644.0
2014-02-11,1872936.0
2014-02-12,1891280.0
2014-02-13,1916622.0
2014-02-14,1851374.0
2014-02-17,1829034.0
2014-02-18,1782258.0
2014-02-19,1747378.0
2014-02-20,1763102.0
2014-02-21,1808058.0
2014-02-24,1745672.0
2014-02-25,1691134.0
2014-02-26,1726734.0
2014-02-27,1721130.0
2014-02-28,1649084.0
2014-03-03,1610180.0
2014-03-04,1596244.0
2014-03-05,1711232.0
2014-03-06,1662882.0
2014-03-07,1765598.0
2014-03-10,1607640.0
2014-03-11,1609552.0
2014-03-12,1581160.0
2014-03-13,1597950.0
2014-03-14,1578122.0
2014-03-17,1606680.0
2014-03-18,1554902.0
2014-03-19,1443336.0
2014-03-20,1360474.0
2014-03-21,1377032.0
2014-03-24,1402654.0
2014-03-25,1368420.0
2014-03-26,1328246.0
2014-03-27,1279126.0
2014-03-28,1287628.0
2014-03-31,1265068.0
2014-04-01,1158510.0
2014-04-02,1144902.0
2014-04-03,1164598.0
2014-04-04,1160710.0
2014-04-08,1163048.0
2014-04-09,1144866.0
2014-04-10,1173260.0
2014-04-11,1205590.0
2014-04-14,1229264.0
2014-04-15,1297214.0
2014-04-16,1228920.0
2014-04-17,1252660.0
2014-04-18,1259260.0
2014-04-21,1289172.0
2014-04-22,1346292.0
2014-04-23,1399016.0
2014-04-24,1394854.0
2014-04-25,1340530.0
2014-04-28,1276222.0
2014-04-29,1266396.0
2014-04-30,1242324.0
2014-05-05,1303364.0
2014-05-06,1436350.0
2014-05-07,1489050.0
2014-05-08,1645838.0
2014-05-09,1539008.0
2014-05-12,1485510.0
2014-05-13,1599678.0
2014-05-14,1681022.0
2014-05-15,1708006.0
2014-05-16,1756804.0
2014-05-19,1815804.0
2014-05-20,1724552.0
2014-05-21,1742310.0
2014-05-22,1752914.0
2014-05-23,1734942.0
2014-05-26,1806256.0
2014-05-27,1608552.0
2014-05-28,1587126.0
2014-05-29,1596230.0
2014-05-30,1582268.0
2014-06-03,1678504.0
2014-06-04,1661384.0
2014-06-05,1563762.0
2014-06-06,1495686.0
2014-06-09,1738470.0
2014-06-10,1682494.0
2014-06-11,1676762.0
2014-06-12,1791280.0
2014-06-13,1817282.0
2014-06-16,1927294.0
2014-06-17,1993226.0
2014-06-18,2039252.0
2014-06-19,2040766.0
2014-06-20,1887160.0
2014-06-23,1827700.0
2014-06-24,1838648.0
2014-06-25,1891760.0
2014-06-26,1898578.0
2014-06-27,1873632.0
2014-06-30,1997374.0
2014-07-01,1892306.0
2014-07-02,1988060.0
2014-07-03,2008902.0
2014-07-04,2088920.0
2014-07-07,2114054.0
2014-07-08,2051466.0
2014-07-09,2048458.0
2014-07-10,1993840.0
2014-07-11,1937464.0
2014-07-14,1990656.0
2014-07-15,1976098.0
2014-07-16,1892468.0
2014-07-17,1970224.0
2014-07-18,1830838.0
2014-07-21,1878558.0
2014-07-22,1836474.0
2014-07-23,1833064.0
2014-07-24,1750268.0
2014-07-25,1708924.0
2014-07-28,1645398.0
2014-07-29,1580104.0
2014-07-30,1683256.0
2014-07-31,1719820.0
2014-08-01,1661442.0
2014-08-04,1696348.0
2014-08-05,1649902.0
2014-08-06,1686780.0
2014-08-07,1645602.0
2014-08-08,1688186.0
2014-08-11,1568954.0
2014-08-12,1578364.0
2014-08-13,1595536.0
2014-08-14,1433662.0
2014-08-15,1392672.0
2014-08-18,1384358.0
2014-08-19,1451092.0
2014-08-20,1394410.0
2014-08-21,1319624.0
2014-08-22,1282272.0
2014-08-25,1281936.0
2014-08-26,1229150.0
2014-08-27,1171468.0
2014-08-28,1159658.0
2014-08-29,1212674.0
2014-09-01,1208182.0
2014-09-02,1190232.0
2014-09-03,1252608.0
2014-09-04,1257350.0
2014-09-05,1184232.0
2014-09-09,1180570.0
2014-09-10,1164598.0
2014-09-11,1156030.0
2014-09-12,1195552.0
2014-09-15,1183690.0
2014-09-16,1167722.0
2014-09-17,1202222.0
2014-09-18,1217550.0
2014-09-19,1295492.0
2014-09-22,1289366.0
2014-09-23,1326938.0
2014-09-24,1341600.0
2014-09-25,1336100.0
2014-09-26,1318478.0
2014-09-29,1227952.0
2014-09-30,1136550.0
2014-10-08,1115094.0
2014-10-09,1121876.0
2014-10-10,1199480.0
2014-10-13,1115296.0
2014-10-14,1066764.0
2014-10-15,1073374.0
2014-10-16,1087006.0
2014-10-17,1077440.0
2014-10-20,1070778.0
2014-10-21,1103246.0
2014-10-22,1091280.0
2014-10-23,1108002.0
2014-10-24,1149480.0
2014-10-27,1193514.0
2014-10-28,1200118.0
2014-10-29,1379380.0
2014-10-30,1383020.0
2014-10-31,1388670.0
2014-11-03,1430480.0
2014-11-04,1394376.0
2014-11-05,1302410.0
2014-11-06,1385448.0
