trading_date,rank,volume,volume_change
2013-11-05,210,10773078743,-26666
2013-11-06,210,13953384517,57102
2013-11-07,210,9323364793,-58264
2013-11-08,210,7281125020,-33168
2013-11-11,210,7096347402,-3532
2013-11-12,210,6352467712,-15237
2013-11-13,210,6413229383,-50
2013-11-14,210,6943071753,16121
2013-11-15,210,6162509734,-18051
2013-11-18,210,7117884190,29865
2013-11-19,210,6340848887,-15167
2013-11-20,210,6791618403,17466
2013-11-21,210,6622223552,4552
2013-11-22,210,5953819612,-17670
2013-11-25,210,5134242722,-15621
2013-11-26,210,5274466242,16261
2013-11-27,210,6738021627,46714
2013-11-28,210,6105937115,-12071
2013-11-29,210,6087563270,10453
2013-12-02,210,6696014868,15478
2013-12-03,210,6972628417,5187
2013-12-04,210,8314060980,20835
2013-12-05,210,8937822027,14826
2013-12-06,210,8515559620,2309
2013-12-09,210,7775216476,4228
2013-12-10,210,7524232946,-9994
2013-12-11,210,8651843009,33835
2013-12-12,210,8387892925,-4072
2013-12-13,210,8104392764,-5025
2013-12-16,210,8599828930,18034
2013-12-17,210,9008277169,16125
2013-12-18,210,9478239057,15293
2013-12-19,210,9264825923,9200
2013-12-20,210,8657966195,-11832
2013-12-23,210,7650407155,-21720
2013-12-24,210,10574835946,61475
2013-12-25,210,13449076292,43426
2013-12-26,210,12566741114,-10149
2013-12-27,210,18183423105,72259
2013-12-30,210,13135263341,-27972
2013-12-31,210,13428903764,24193
2014-01-02,210,21808129535,95057
2014-01-03,210,23564304916,31000
2014-01-06,210,25540130083,24106
2014-01-07,210,26223868397,17248
2014-01-08,210,22504054478,-21013
2014-01-09,210,21647709635,-14631
2014-01-10,210,21102409123,-4142
2014-01-13,210,21488620063,3411
2014-01-14,210,22590505271,13670
2014-01-15,210,22543886918,445
2014-01-16,210,23027890253,13933
2014-01-17,210,24238779863,30712
2014-01-20,210,23503293716,4103
2014-01-21,210,20689531592,-16496
2014-01-22,210,19084612260,-11694
2014-01-23,210,20882386649,28234
2014-01-24,210,20081245045,-11343
2014-01-27,210,19386730499,-12582
2014-01-28,210,19292894224,3752
2014-01-29,210,15684829575,-46609
2014-01-30,210,14593534567,-26844
2014-02-07,210,16690323022,33774
2014-02-10,210,18288749029,42609
2014-02-11,210,19292339993,24992
2014-02-12,210,18667621658,-2191
2014-02-13,210,18702044579,9968
2014-02-14,210,16269523939,-29475
2014-02-17,210,15063588360,-21179
2014-02-18,210,14828244211,-3213
2014-02-19,210,14356741201,-7046
2014-02-20,210,13751807680,-1292
2014-02-21,210,14744916081,23946
2014-02-24,210,15336287139,9155
2014-02-25,210,14253931833,-17035
2014-02-26,210,13989489360,8652
2014-02-27,210,14329881967,4265
2014-02-28,210,12252796025,-37311
2014-03-03,210,11581610921,-4384
2014-03-04,210,11779672705,-340
2014-03-05,210,13033661475,51309
2014-03-06,210,11865803919,-19305
2014-03-07,210,15179608537,46915
2014-03-10,210,12077273797,-24999
2014-03-11,210,12993112313,27575
2014-03-12,210,13041251281,305
2014-03-13,210,12068992640,4221
2014-03-14,210,12377280358,7941
2014-03-17,210,12201094097,2633
2014-03-18,210,10752465507,-17187
2014-03-19,210,10784159061,3202
2014-03-20,210,9938978831,970
2014-03-21,210,10298951458,9111
2014-03-24,210,10856521459,4573
2014-03-25,210,9800807481,-18586
2014-03-26,210,8447920022,-23651
2014-03-27,210,7970578525,591
2014-03-28,210,7935445881,2523
2014-03-31,210,7576273685,-5638
2014-04-01,210,5837193564,-29970
2014-04-02,210,5923256119,3739
2014-04-03,210,6147502413,2281
2014-04-04,210,5927721836,8574
2014-04-08,210,6060851281,6326
2014-04-09,210,6141308068,9597
2014-04-10,210,6141439570,18298
2014-04-11,210,6883634388,13289
2014-04-14,210,6603132931,6215
2014-04-15,210,8023637883,24293
2014-04-16,210,6906015312,-13182
2014-04-17,210,6839327593,9870
2014-04-18,210,6815459042,7899
2014-04-21,210,7504059973,20612
2014-04-22,210,7775330760,8893
2014-04-23,210,9023187524,27267
2014-04-24,210,9284629469,2420
2014-04-25,210,7686143315,-19233
2014-04-28,210,7151502164,-6144
2014-04-29,210,7257179088,1664
2014-04-30,210,6389733494,-18990
2014-05-05,210,6115626088,3063
