trading_date,rank,volume,volume_change
2013-11-05,210,12258212669,-8635
2013-11-06,210,15033672628,45687
2013-11-07,210,12257963171,-34231
2013-11-08,210,10209690659,-36240
2013-11-11,210,9359123374,-11082
2013-11-12,210,8359452821,-21212
2013-11-13,210,8469211973,-2512
2013-11-14,210,8895831445,12134
2013-11-15,210,7898754813,-6443
2013-11-18,210,8713988881,9483
2013-11-19,210,8378916426,-8931
2013-11-20,210,8223674000,3870
2013-11-21,210,9094237158,20510
2013-11-22,210,7756896545,-34101
2013-11-25,210,6479438607,-18077
2013-11-26,210,6852105887,9292
2013-11-27,210,7911454765,40255
2013-11-28,210,7629853717,-2534
2013-11-29,210,7132216365,-8265
2013-12-02,210,7912037789,22533
2013-12-03,210,8034653630,6148
2013-12-04,210,9036685756,24795
2013-12-05,210,9366275486,6826
2013-12-06,210,8916123207,-4654
2013-12-09,210,9279934767,13555
2013-12-10,210,8076752459,-23671
2013-12-11,210,9315937294,31313
2013-12-12,210,8924430578,-7319
2013-12-13,210,8682075479,-8052
2013-12-16,210,9118092401,16700
2013-12-17,210,9179856992,11019
2013-12-18,210,8403153506,-24
2013-12-19,210,8422597508,4730
2013-12-20,210,8155614422,2057
2013-12-23,210,7812128408,-8496
2013-12-24,210,8294482458,24008
2013-12-25,210,9866304049,49146
2013-12-26,210,9528683001,-694
2013-12-27,210,12082410151,50922
2013-12-30,210,11195610755,-4780
2013-12-31,210,10676172365,2539
2014-01-02,210,13345516964,56831
2014-01-03,210,13508097889,13073
2014-01-06,210,14181034714,42886
2014-01-07,210,14916081168,13680
2014-01-08,210,14453471110,-8743
2014-01-09,210,15455254712,14666
2014-01-10,210,14139721899,-14896
2014-01-13,210,15005229347,16427
2014-01-14,210,15836728988,15495
2014-01-15,210,16064416709,5109
2014-01-16,210,16116787101,11560
2014-01-17,210,19051543583,47150
2014-01-20,210,19191364855,6984
2014-01-21,210,18218984281,-15243
2014-01-22,210,16450104400,-26308
2014-01-23,210,17233595419,13785
2014-01-24,210,16549871816,-10069
2014-01-27,210,16046849758,-11887
2014-01-28,210,15880557621,-4185
2014-01-29,210,14604266156,-17861
2014-01-30,210,13932591229,-13803
2014-02-07,210,14147083336,30250
2014-02-10,210,18603599702,81254
2014-02-11,210,20303699688,29751
2014-02-12,210,21012824670,7182
2014-02-13,210,20912395181,4243
