trading_date,rank,volume,volume_change
2013-11-05,55,15,0
2013-11-06,66,15,0
2013-11-07,55,10,-5
2013-11-08,45,10,0
2013-11-11,45,10,0
2013-11-12,45,10,0
2013-11-13,120,14,4
2013-11-14,55,14,0
2013-11-15,55,13,-1
2013-11-18,45,13,0
2013-11-19,45,12,-1
2013-11-20,55,12,0
2013-11-21,66,10,-2
2013-11-22,36,10,0
2013-11-25,66,10,0
2013-11-26,28,9,-1
2013-11-27,21,9,0
2013-11-28,78,13,4
2013-11-29,66,13,0
2013-12-02,55,13,0
2013-12-03,55,13,0
2013-12-04,66,13,0
2013-12-05,78,13,0
2013-12-06,55,13,0
2013-12-09,55,13,0
2013-12-10,66,13,0
2013-12-11,45,13,0
2013-12-12,55,13,0
2013-12-13,66,13,0
2013-12-16,66,13,0
2013-12-17,91,14,1
2013-12-18,120,20,6
2013-12-19,105,22,2
2013-12-20,105,16,-6
2013-12-23,91,16,0
2013-12-24,66,15,-1
2013-12-25,136,19,4
2013-12-26,105,20,1
2013-12-27,105,20,0
2013-12-30,210,22,2
2013-12-31,210,16,-4
2014-01-02,136,16,0
2014-01-03,105,17,1
2014-01-06,210,30,13
2014-01-07,171,21,-9
2014-01-08,171,15,-6
2014-01-09,105,14,-1
2014-01-10,210,39,26
2014-01-13,210,41,3
2014-01-14,210,55,17
2014-01-15,210,52,0
2014-01-16,210,49,-2
2014-01-17,210,49,0
2014-01-20,210,47,-2
2014-01-21,190,48,1
2014-01-22,210,76,28
2014-01-23,153,76,0
2014-01-24,210,107,32
2014-01-27,210,104,-3
2014-01-28,190,102,-2
2014-01-29,153,101,-1
2014-01-30,210,100,-1
2014-02-07,210,100,0
2014-02-10,171,100,0
2014-02-11,190,102,2
2014-02-12,153,101,-1
2014-02-13,210,100,-1
2014-02-14,210,101,2
2014-02-17,210,102,1
2014-02-18,210,84,-18
2014-02-19,210,84,0
2014-02-20,210,82,-1
2014-02-21,210,85,3
2014-02-24,210,76,-9
2014-02-25,210,79,4
2014-02-26,210,79,0
2014-02-27,210,79,1
2014-02-28,210,78,0
2014-03-03,210,77,1
2014-03-04,210,85,10
2014-03-05,210,101,20
2014-03-06,210,115,27
2014-03-07,210,163,55
2014-03-10,210,159,-3
2014-03-11,210,162,6
2014-03-12,210,163,18
2014-03-13,210,161,6
2014-03-14,210,155,2
2014-03-17,210,156,5
2014-03-18,210,156,4
2014-03-19,210,155,2
2014-03-20,210,142,1
2014-03-21,210,145,4
2014-03-24,210,144,5
2014-03-25,210,147,5
2014-03-26,210,145,-1
2014-03-27,210,146,2
2014-03-28,210,145,0
2014-03-31,210,156,14
2014-04-01,210,184,39
2014-04-02,210,171,-13
2014-04-03,210,156,-14
2014-04-04,210,159,4
2014-04-08,210,157,-1
2014-04-09,210,152,15
2014-04-10,210,157,7
2014-04-11,210,158,1
2014-04-14,210,157,-1
2014-04-15,210,171,16
2014-04-16,210,177,6
2014-04-17,210,179,3
2014-04-18,210,182,3
2014-04-21,210,255,91
2014-04-22,210,283,36
2014-04-23,210,307,28
2014-04-24,210,394,89
2014-04-25,210,443,58
2014-04-28,210,470,41
2014-04-29,210,644,228
2014-04-30,210,829,202
2014-05-05,210,851,34
2014-05-06,210,919,83
2014-05-07,210,939,26
2014-05-08,210,904,-28
2014-05-09,210,900,6
2014-05-12,210,906,63
2014-05-13,210,911,17
