trading_date,rank,volume,volume_change
2013-11-05,55,15,0
2013-11-06,66,15,0
2013-11-07,55,10,-5
2013-11-08,45,10,0
2013-11-11,45,10,0
2013-11-12,45,10,0
2013-11-13,120,14,4
2013-11-14,55,14,0
2013-11-15,55,13,-1
2013-11-18,45,13,0
2013-11-19,45,12,-1
2013-11-20,55,12,0
2013-11-21,66,10,-2
2013-11-22,36,10,0
2013-11-25,66,10,0
2013-11-26,28,9,-1
2013-11-27,21,9,0
2013-11-28,78,13,4
2013-11-29,66,13,0
2013-12-02,55,13,0
2013-12-03,55,13,0
2013-12-04,66,13,0
2013-12-05,78,13,0
2013-12-06,55,13,0
2013-12-09,55,13,0
2013-12-10,66,13,0
2013-12-11,45,13,0
2013-12-12,55,13,0
2013-12-13,66,13,0
2013-12-16,66,13,0
2013-12-17,91,14,1
2013-12-18,120,20,6
2013-12-19,105,22,2
2013-12-20,105,16,-6
2013-12-23,91,16,0
2013-12-24,66,15,-1
2013-12-25,136,19,4
2013-12-26,105,20,1
2013-12-27,105,20,0
2013-12-30,210,22,8
2013-12-31,210,16,-6
2014-01-02,136,16,0
2014-01-03,105,17,1
2014-01-06,210,30,13
2014-01-07,171,21,-9
2014-01-08,171,15,-6
2014-01-09,105,14,-1
2014-01-10,210,39,25
2014-01-13,210,41,2
2014-01-14,210,55,14
2014-01-15,210,52,0
2014-01-16,210,49,-2
2014-01-17,210,49,0
2014-01-20,210,47,-2
2014-01-21,190,48,1
2014-01-22,210,76,28
2014-01-23,153,76,0
2014-01-24,210,107,31
2014-01-27,210,104,-3
2014-01-28,190,102,-2
2014-01-29,153,101,-1
2014-01-30,210,100,-1
2014-02-07,210,100,0
2014-02-10,171,100,0
2014-02-11,190,102,2
2014-02-12,153,101,-1
2014-02-13,210,100,-1
2014-02-14,210,101,1
2014-02-17,210,102,1
2014-02-18,210,84,-18
2014-02-19,210,84,0
2014-02-20,210,82,-2
2014-02-21,210,85,3
2014-02-24,210,76,-9
2014-02-25,210,80,4
2014-02-26,210,80,0
2014-02-27,210,81,1
2014-02-28,210,78,-3
2014-03-03,210,77,-1
2014-03-04,210,85,8
2014-03-05,210,103,19
2014-03-06,210,121,31
2014-03-07,210,167,47
2014-03-10,210,161,-5
2014-03-11,210,166,5
2014-03-12,210,171,11
2014-03-13,210,170,4
2014-03-14,210,163,2
2014-03-17,210,162,-1
2014-03-18,210,161,-1
2014-03-19,210,158,-2
2014-03-20,210,146,-11
2014-03-21,210,147,4
2014-03-24,210,145,0
2014-03-25,210,150,6
2014-03-26,210,149,-1
2014-03-27,210,148,-1
2014-03-28,210,147,0
2014-03-31,210,160,14
2014-04-01,210,186,29
2014-04-02,210,176,-10
2014-04-03,210,162,-5
2014-04-04,210,163,2
2014-04-08,210,162,0
2014-04-09,210,157,-4
2014-04-10,210,161,4
2014-04-11,210,162,1
2014-04-14,210,160,-2
2014-04-15,210,176,17
2014-04-16,210,181,7
2014-04-17,210,184,3
2014-04-18,210,188,4
2014-04-21,210,273,88
2014-04-22,210,304,33
2014-04-23,210,334,35
2014-04-24,210,426,94
2014-04-25,210,488,65
2014-04-28,210,526,38
2014-04-29,210,704,179
2014-04-30,210,921,220
2014-05-05,210,970,52
2014-05-06,210,1067,99
2014-05-07,210,1093,31
2014-05-08,210,1028,-65
2014-05-09,210,1019,21
2014-05-12,210,1013,17
