trading_date,RS_total_oi
2013-11-05,30.0
2013-11-06,30.0
2013-11-07,20.0
2013-11-08,20.0
2013-11-11,20.0
2013-11-12,20.0
2013-11-13,28.0
2013-11-14,28.0
2013-11-15,26.0
2013-11-18,26.0
2013-11-19,24.0
2013-11-20,24.0
2013-11-21,20.0
2013-11-22,20.0
2013-11-25,20.0
2013-11-26,18.0
2013-11-27,18.0
2013-11-28,26.0
2013-11-29,26.0
2013-12-02,26.0
2013-12-03,26.0
2013-12-04,26.0
2013-12-05,26.0
2013-12-06,26.0
2013-12-09,26.0
2013-12-10,26.0
2013-12-11,26.0
2013-12-12,26.0
2013-12-13,26.0
2013-12-16,26.0
2013-12-17,28.0
2013-12-18,40.0
2013-12-19,44.0
2013-12-20,32.0
2013-12-23,32.0
2013-12-24,30.0
2013-12-25,38.0
2013-12-26,40.0
2013-12-27,40.0
2013-12-30,44.0
2013-12-31,32.0
2014-01-02,32.0
2014-01-03,34.0
2014-01-06,60.0
2014-01-07,42.0
2014-01-08,30.0
2014-01-09,28.0
2014-01-10,78.0
2014-01-13,82.0
2014-01-14,110.0
2014-01-15,104.0
2014-01-16,98.0
2014-01-17,98.0
2014-01-20,94.0
2014-01-21,96.0
2014-01-22,152.0
2014-01-23,152.0
2014-01-24,214.0
2014-01-27,208.0
2014-01-28,204.0
2014-01-29,202.0
2014-01-30,200.0
2014-02-07,200.0
2014-02-10,200.0
2014-02-11,204.0
2014-02-12,202.0
2014-02-13,200.0
2014-02-14,202.0
2014-02-17,204.0
2014-02-18,168.0
2014-02-19,168.0
2014-02-20,164.0
2014-02-21,170.0
2014-02-24,152.0
2014-02-25,160.0
2014-02-26,160.0
2014-02-27,162.0
2014-02-28,156.0
2014-03-03,154.0
2014-03-04,170.0
2014-03-05,206.0
2014-03-06,242.0
2014-03-07,334.0
2014-03-10,322.0
2014-03-11,332.0
2014-03-12,342.0
2014-03-13,340.0
2014-03-14,326.0
2014-03-17,324.0
2014-03-18,322.0
2014-03-19,316.0
2014-03-20,292.0
2014-03-21,294.0
2014-03-24,290.0
2014-03-25,300.0
2014-03-26,298.0
2014-03-27,296.0
2014-03-28,294.0
2014-03-31,320.0
2014-04-01,372.0
2014-04-02,352.0
2014-04-03,324.0
2014-04-04,326.0
2014-04-08,324.0
2014-04-09,314.0
2014-04-10,322.0
2014-04-11,324.0
2014-04-14,320.0
2014-04-15,352.0
2014-04-16,362.0
2014-04-17,368.0
2014-04-18,376.0
2014-04-21,546.0
2014-04-22,608.0
2014-04-23,668.0
2014-04-24,852.0
2014-04-25,976.0
2014-04-28,1052.0
2014-04-29,1408.0
2014-04-30,1842.0
2014-05-05,1940.0
2014-05-06,2134.0
2014-05-07,2186.0
2014-05-08,2056.0
2014-05-09,2038.0
2014-05-12,2026.0
2014-05-13,2068.0
2014-05-14,2094.0
2014-05-15,2476.0
2014-05-16,2496.0
2014-05-19,2510.0
2014-05-20,2500.0
2014-05-21,2512.0
2014-05-22,2454.0
2014-05-23,2286.0
2014-05-26,2274.0
2014-05-27,2160.0
2014-05-28,2140.0
2014-05-29,2142.0
2014-05-30,2100.0
2014-06-03,2042.0
2014-06-04,2024.0
2014-06-05,2002.0
2014-06-06,2058.0
2014-06-09,2028.0
2014-06-10,1906.0
2014-06-11,1666.0
2014-06-12,1670.0
2014-06-13,1662.0
2014-06-16,1664.0
2014-06-17,1658.0
2014-06-18,1660.0
2014-06-19,1660.0
2014-06-20,1654.0
2014-06-23,1698.0
2014-06-24,1724.0
2014-06-25,1704.0
2014-06-26,1710.0
2014-06-27,1720.0
2014-06-30,1712.0
2014-07-01,1700.0
2014-07-02,1716.0
2014-07-03,1716.0
2014-07-04,1710.0
2014-07-07,1706.0
2014-07-08,1698.0
2014-07-09,1698.0
2014-07-10,1694.0
2014-07-11,1692.0
2014-07-14,1694.0
2014-07-15,1692.0
2014-07-16,1692.0
2014-07-17,1694.0
2014-07-18,1694.0
2014-07-21,1692.0
2014-07-22,1692.0
2014-07-23,1690.0
2014-07-24,1686.0
2014-07-25,1710.0
2014-07-28,1704.0
2014-07-29,1704.0
2014-07-30,1682.0
2014-07-31,1690.0
2014-08-01,1720.0
2014-08-04,1722.0
2014-08-05,1748.0
2014-08-06,1746.0
2014-08-07,1744.0
2014-08-08,1734.0
2014-08-11,1730.0
2014-08-12,1754.0
2014-08-13,1790.0
2014-08-14,2220.0
2014-08-15,2196.0
2014-08-18,2082.0
2014-08-19,1866.0
2014-08-20,1786.0
2014-08-21,1806.0
2014-08-22,1888.0
2014-08-25,1906.0
2014-08-26,1852.0
2014-08-27,1902.0
2014-08-28,1900.0
2014-08-29,298.0
2014-09-01,346.0
2014-09-02,360.0
2014-09-03,364.0
2014-09-04,362.0
2014-09-05,382.0
2014-09-09,642.0
2014-09-10,642.0
2014-09-11,640.0
2014-09-12,644.0
2014-09-15,534.0
2014-09-16,528.0
2014-09-17,526.0
2014-09-18,498.0
2014-09-19,486.0
2014-09-22,516.0
2014-09-23,504.0
2014-09-24,488.0
2014-09-25,484.0
2014-09-26,486.0
2014-09-29,480.0
2014-09-30,480.0
2014-10-08,480.0
2014-10-09,436.0
2014-10-10,432.0
2014-10-13,426.0
2014-10-14,442.0
2014-10-15,432.0
2014-10-16,378.0
2014-10-17,378.0
2014-10-20,380.0
2014-10-21,380.0
2014-10-22,382.0
2014-10-23,380.0
2014-10-24,370.0
2014-10-27,370.0
2014-10-28,370.0
2014-10-29,368.0
2014-10-30,372.0
2014-10-31,372.0
2014-11-03,372.0
2014-11-04,372.0
2014-11-05,346.0
2014-11-06,336.0
2014-11-07,334.0
2014-11-10,334.0
2014-11-11,334.0
2014-11-12,96.0
2014-11-13,96.0
2014-11-14,92.0
2014-11-17,92.0
2014-11-18,92.0
2014-11-19,90.0
2014-11-20,94.0
2014-11-21,92.0
2014-11-24,92.0
2014-11-25,92.0
2014-11-26,92.0
2014-11-27,92.0
2014-11-28,88.0
2014-12-01,64.0
2014-12-02,64.0
2014-12-03,62.0
2014-12-04,72.0
2014-12-05,80.0
2014-12-08,78.0
2014-12-09,76.0
2014-12-10,76.0
2014-12-11,76.0
2014-12-12,76.0
2014-12-15,76.0
2014-12-16,76.0
2014-12-17,76.0
2014-12-18,76.0
2014-12-19,76.0
2014-12-22,76.0
2014-12-23,74.0
2014-12-24,76.0
2014-12-25,78.0
2014-12-26,80.0
2014-12-29,80.0
2014-12-30,74.0
2014-12-31,78.0
2015-01-05,76.0
2015-01-06,76.0
2015-01-07,76.0
2015-01-08,76.0
2015-01-09,72.0
2015-01-12,70.0
2015-01-13,54.0
2015-01-14,54.0
2015-01-15,70.0
2015-01-16,70.0
2015-01-19,72.0
2015-01-20,72.0
2015-01-21,74.0
2015-01-22,74.0
2015-01-23,74.0
2015-01-26,74.0
2015-01-27,72.0
2015-01-28,72.0
2015-01-29,74.0
2015-01-30,74.0
2015-02-02,74.0
2015-02-03,74.0
2015-02-04,74.0
2015-02-05,74.0
2015-02-06,74.0
2015-02-09,76.0
2015-02-10,72.0
2015-02-11,74.0
2015-02-12,82.0
2015-02-13,78.0
2015-02-16,78.0
2015-02-17,74.0
2015-02-25,74.0
2015-02-26,72.0
2015-02-27,70.0
2015-03-02,70.0
2015-03-03,70.0
2015-03-04,70.0
2015-03-05,72.0
2015-03-06,70.0
2015-03-09,70.0
2015-03-10,70.0
2015-03-11,70.0
2015-03-12,70.0
2015-03-13,62.0
2015-03-16,62.0
2015-03-17,60.0
2015-03-18,60.0
2015-03-19,60.0
