trading_date,rank,volume,volume_change
2013-11-05,55,49,0
2013-11-06,66,49,0
2013-11-07,55,24,-5
2013-11-08,45,24,0
2013-11-11,45,24,0
2013-11-12,45,24,0
2013-11-13,120,72,4
2013-11-14,55,72,0
2013-11-15,55,57,-1
2013-11-18,45,57,0
2013-11-19,45,44,-1
2013-11-20,55,44,0
2013-11-21,66,24,-2
2013-11-22,36,24,0
2013-11-25,66,26,0
2013-11-26,28,25,-1
2013-11-27,21,25,0
2013-11-28,78,29,4
2013-11-29,66,35,0
2013-12-02,55,33,0
2013-12-03,55,33,0
2013-12-04,66,33,0
2013-12-05,78,33,0
2013-12-06,55,33,0
2013-12-09,55,33,0
2013-12-10,66,41,0
2013-12-11,45,51,0
2013-12-12,55,33,0
2013-12-13,66,27,0
2013-12-16,66,27,0
2013-12-17,91,34,1
2013-12-18,120,70,6
2013-12-19,105,98,2
2013-12-20,105,54,-6
2013-12-23,91,42,0
2013-12-24,66,53,-1
2013-12-25,136,59,4
2013-12-26,105,62,1
2013-12-27,105,62,0
2013-12-30,210,76,2
2013-12-31,210,34,-4
2014-01-02,136,38,0
2014-01-03,105,51,1
2014-01-06,210,172,13
2014-01-07,171,77,-9
2014-01-08,171,27,-6
2014-01-09,105,26,-1
2014-01-10,210,211,26
2014-01-13,210,201,3
2014-01-14,210,403,17
2014-01-15,210,396,0
2014-01-16,210,295,-2
2014-01-17,210,291,0
2014-01-20,210,301,-2
2014-01-21,190,306,1
2014-01-22,210,958,28
2014-01-23,153,958,0
2014-01-24,210,2501,32
2014-01-27,210,2496,-3
2014-01-28,190,2488,-2
2014-01-29,153,2483,-1
2014-01-30,210,2476,-1
2014-02-07,210,2476,0
2014-02-10,171,2476,0
2014-02-11,190,2506,2
2014-02-12,153,2271,-1
2014-02-13,210,2252,-1
2014-02-14,210,1977,2
2014-02-17,210,1978,1
2014-02-18,210,1688,-18
2014-02-19,210,1558,0
2014-02-20,210,1556,-1
2014-02-21,210,1561,3
2014-02-24,210,1254,-9
2014-02-25,210,1217,4
2014-02-26,210,1217,0
2014-02-27,210,1217,1
2014-02-28,210,1216,0
2014-03-03,210,1215,1
2014-03-04,210,915,10
2014-03-05,210,1285,20
2014-03-06,210,1417,27
2014-03-07,210,5031,55
2014-03-10,210,5193,-3
2014-03-11,210,5056,6
2014-03-12,210,4107,18
2014-03-13,210,4079,6
2014-03-14,210,4031,2
2014-03-17,210,4040,5
2014-03-18,210,4052,4
2014-03-19,210,4065,2
2014-03-20,210,3918,1
2014-03-21,210,4105,4
2014-03-24,210,4182,5
2014-03-25,210,4037,5
2014-03-26,210,4047,-1
2014-03-27,210,4026,2
2014-03-28,210,4025,0
2014-03-31,210,4114,14
2014-04-01,210,6536,39
2014-04-02,210,5357,-13
2014-04-03,210,3776,-14
2014-04-04,210,3827,4
2014-04-08,210,3815,-1
2014-04-09,210,3874,15
2014-04-10,210,4051,7
2014-04-11,210,4118,1
2014-04-14,210,4249,-1
2014-04-15,210,5081,16
2014-04-16,210,5205,6
2014-04-17,210,5295,3
2014-04-18,210,5308,3
2014-04-21,210,8365,91
2014-04-22,210,9557,36
2014-04-23,210,13141,28
2014-04-24,210,25210,89
2014-04-25,210,27277,58
2014-04-28,210,30026,41
