trading_date,rank,volume,volume_change
2013-11-05,55,99,0
2013-11-06,66,99,0
2013-11-07,55,42,-5
2013-11-08,45,42,0
2013-11-11,45,42,0
2013-11-12,45,42,0
2013-11-13,120,104,4
2013-11-14,55,104,0
2013-11-15,55,103,-1
2013-11-18,45,103,0
2013-11-19,45,84,-1
2013-11-20,55,84,0
2013-11-21,66,66,-2
2013-11-22,36,66,0
2013-11-25,66,66,0
2013-11-26,28,65,-1
2013-11-27,21,65,0
2013-11-28,78,63,4
2013-11-29,66,63,0
2013-12-02,55,63,0
2013-12-03,55,63,0
2013-12-04,66,63,0
2013-12-05,78,63,0
2013-12-06,55,63,0
2013-12-09,55,63,0
2013-12-10,66,63,0
2013-12-11,45,63,0
2013-12-12,55,63,0
2013-12-13,66,63,0
2013-12-16,66,63,0
2013-12-17,91,58,1
2013-12-18,120,94,6
2013-12-19,105,126,2
2013-12-20,105,66,-6
2013-12-23,91,70,0
2013-12-24,66,69,-1
2013-12-25,136,117,4
2013-12-26,105,134,1
2013-12-27,105,134,0
2013-12-30,210,174,8
2013-12-31,210,154,-6
2014-01-02,136,154,0
2014-01-03,105,155,1
2014-01-06,210,264,13
2014-01-07,171,183,-9
2014-01-08,171,131,-6
2014-01-09,105,110,-1
2014-01-10,210,461,25
2014-01-13,210,465,2
2014-01-14,210,999,14
2014-01-15,210,1406,0
2014-01-16,210,1401,-2
2014-01-17,210,1401,0
2014-01-20,210,1397,-2
2014-01-21,190,1398,1
2014-01-22,210,5626,28
2014-01-23,153,5626,0
2014-01-24,210,11027,31
2014-01-27,210,10610,-3
2014-01-28,190,10202,-2
2014-01-29,153,10001,-1
2014-01-30,210,9802,-1
2014-02-07,210,9802,0
2014-02-10,171,9802,0
2014-02-11,190,9806,2
2014-02-12,153,9803,-1
2014-02-13,210,9802,-1
2014-02-14,210,9803,1
2014-02-17,210,9804,1
2014-02-18,210,6564,-18
2014-02-19,210,6564,0
2014-02-20,210,6088,-2
2014-02-21,210,6093,3
2014-02-24,210,5188,-9
2014-02-25,210,5198,4
2014-02-26,210,5198,0
2014-02-27,210,5205,1
2014-02-28,210,5190,-3
2014-03-03,210,5191,-1
2014-03-04,210,5223,8
2014-03-05,210,5323,19
2014-03-06,210,11905,31
2014-03-07,210,23145,47
2014-03-10,210,21379,-5
2014-03-11,210,21362,5
2014-03-12,210,21417,11
2014-03-13,210,21390,4
2014-03-14,210,22527,2
2014-03-17,210,22526,-1
2014-03-18,210,22513,-1
2014-03-19,210,22508,-2
2014-03-20,210,17710,-11
2014-03-21,210,17707,4
2014-03-24,210,17705,0
2014-03-25,210,17726,6
2014-03-26,210,17725,-1
2014-03-27,210,17714,-1
2014-03-28,210,17711,0
2014-03-31,210,17774,14
2014-04-01,210,18592,29
2014-04-02,210,18354,-10
2014-04-03,210,18106,-5
2014-04-04,210,18103,2
2014-04-08,210,18138,0
2014-04-09,210,18093,-4
2014-04-10,210,18223,4
2014-04-11,210,17842,1
2014-04-14,210,17742,-2
2014-04-15,210,17900,17
2014-04-16,210,18181,7
2014-04-17,210,18274,3
2014-04-18,210,26330,4
2014-04-21,210,58057,88
2014-04-22,210,63422,33
2014-04-23,210,80504,35
2014-04-24,210,140114,94
2014-04-25,210,193654,65
2014-04-28,210,235822,38
2014-04-29,210,432316,179
2014-04-30,210,773243,220
2014-05-05,210,818262,52
2014-05-06,210,825341,99
2014-05-07,210,826117,31
2014-05-08,210,820018,-65
2014-05-09,210,820235,21
2014-05-12,210,820019,17
2014-05-13,210,822018,25
2014-05-14,210,823227,14
2014-05-15,210,862031,200
2014-05-16,210,865594,33
2014-05-19,210,868587,10
2014-05-20,210,866690,-5
2014-05-21,210,861406,7
2014-05-22,210,852865,-23
2014-05-23,210,845917,9
2014-05-26,210,841579,10
2014-05-27,210,822611,-51
2014-05-28,210,824361,46
2014-05-29,210,866823,10
2014-05-30,210,864706,-20
2014-06-03,210,863487,-17
2014-06-04,210,863228,-6
2014-06-05,210,863005,-10
2014-06-06,210,915773,36
2014-06-09,210,915424,-9
2014-06-10,210,802517,-60
2014-06-11,210,648167,-82
2014-06-12,210,648193,4
2014-06-13,210,648159,2
2014-06-16,210,648168,1
2014-06-17,210,648149,5
2014-06-18,210,648154,3
2014-06-19,210,648158,2
2014-06-20,210,648151,-1
2014-06-23,210,674177,22
2014-06-24,210,679162,16
2014-06-25,210,679120,-1
2014-06-26,210,679143,5
2014-06-27,210,679136,5
2014-06-30,210,679130,-4
2014-07-01,210,679118,-1
2014-07-02,210,679148,11
2014-07-03,210,679152,3
2014-07-04,210,679133,3
2014-07-07,210,679129,1
2014-07-08,210,679115,0
2014-07-09,210,679117,2
2014-07-10,210,679113,-2
2014-07-11,210,679104,-1
2014-07-14,210,679099,1
2014-07-15,210,679100,1
2014-07-16,210,679100,0
2014-07-17,210,679097,1
2014-07-18,210,679101,1
2014-07-21,210,679096,-1
2014-07-22,210,679096,0
2014-07-23,210,679077,-1
2014-07-24,210,679059,-1
2014-07-25,210,679129,12
2014-07-28,210,679092,-3
2014-07-29,210,679094,1
2014-07-30,210,679019,-3
2014-07-31,210,679035,4
2014-08-01,210,712378,16
2014-08-04,210,712381,1
2014-08-05,210,720922,15
2014-08-06,210,720897,3
2014-08-07,210,720894,-1
2014-08-08,210,720853,-3
2014-08-11,210,720839,0
2014-08-12,210,720887,12
2014-08-13,210,721013,19
2014-08-14,210,778504,228
2014-08-15,210,778414,-10
2014-08-18,210,703241,-56
2014-08-19,210,549137,-108
2014-08-20,120,494177,-40
2014-08-21,210,419673,10
2014-08-22,210,419326,44
2014-08-25,210,421577,12
2014-08-26,210,417948,-27
2014-08-27,210,421767,26
2014-08-28,210,422292,0
2014-08-29,210,9117,-589
2014-09-01,210,11203,24
2014-09-02,210,11354,8
2014-09-03,210,11390,3
2014-09-04,210,11607,1
2014-09-05,210,12089,10
2014-09-09,210,26237,131
2014-09-10,210,28123,7
2014-09-11,210,28230,0
2014-09-12,210,29210,5
2014-09-15,210,25897,-55
2014-09-16,210,25954,-3
2014-09-17,210,25451,-1
2014-09-18,210,21915,-14
2014-09-19,210,20619,-6
2014-09-22,210,23634,15
2014-09-23,210,23346,-6
2014-09-24,210,21764,-7
2014-09-25,210,21760,-1
2014-09-26,210,22291,4
2014-09-29,210,20970,-3
2014-09-30,210,21230,0
2014-10-08,210,21230,0
2014-10-09,210,12648,-22
2014-10-10,210,12650,0
2014-10-13,210,10027,8
2014-10-14,210,10077,8
2014-10-15,210,10038,-4
2014-10-16,210,9667,-10
2014-10-17,210,9503,0
2014-10-20,210,9340,2
2014-10-21,210,9340,0
2014-10-22,210,9341,1
2014-10-23,210,9332,1
2014-10-24,210,9007,-3
2014-10-27,210,8757,1
2014-10-28,210,9227,0
2014-10-29,210,9224,0
2014-10-30,210,9388,2
2014-10-31,210,9388,0
2014-11-03,210,9388,0
2014-11-04,210,9876,0
2014-11-05,210,7147,-13
2014-11-06,210,7156,-2
2014-11-07,210,7155,0
2014-11-10,210,7155,0
2014-11-11,210,7155,0
2014-11-12,210,368,-118
2014-11-13,210,368,0
2014-11-14,210,364,-2
2014-11-17,210,364,0
2014-11-18,210,364,0
2014-11-19,210,363,-1
2014-11-20,210,365,2
2014-11-21,210,364,-1
2014-11-24,210,364,0
2014-11-25,210,364,0
2014-11-26,210,364,0
2014-11-27,210,372,0
2014-11-28,210,388,-2
2014-12-01,210,234,-12
2014-12-02,210,198,0
2014-12-03,210,311,0
2014-12-04,210,550,5
2014-12-05,210,804,4
2014-12-08,210,803,-1
2014-12-09,210,804,-1
2014-12-10,210,916,0
2014-12-11,171,916,0
2014-12-12,171,916,0
2014-12-15,210,916,0
2014-12-16,171,916,0
2014-12-17,210,916,0
2014-12-18,190,916,0
2014-12-19,190,916,0
2014-12-22,190,916,0
2014-12-23,190,913,-1
2014-12-24,171,974,1
2014-12-25,153,975,1
2014-12-26,190,976,1
2014-12-29,190,978,0
2014-12-30,190,801,-3
2014-12-31,136,813,2
2015-01-05,136,806,-1
2015-01-06,136,806,0
2015-01-07,153,806,0
2015-01-08,120,806,0
2015-01-09,120,798,-2
2015-01-12,105,797,-1
2015-01-13,91,453,-8
2015-01-14,66,453,0
2015-01-15,153,497,8
2015-01-16,136,493,0
2015-01-19,136,498,1
2015-01-20,91,496,0
2015-01-21,105,497,1
2015-01-22,120,501,0
2015-01-23,91,501,0
2015-01-26,91,501,0
2015-01-27,105,498,-1
2015-01-28,91,498,0
2015-01-29,105,505,1
2015-01-30,105,505,0
2015-02-02,105,505,0
2015-02-03,105,505,0
2015-02-04,105,513,0
2015-02-05,153,505,0
2015-02-06,105,467,0
2015-02-09,105,472,1
2015-02-10,105,460,-2
2015-02-11,153,465,1
2015-02-12,120,499,4
2015-02-13,120,479,-2
2015-02-16,190,473,0
2015-02-17,136,471,-2
2015-02-25,91,471,0
2015-02-26,136,460,-1
2015-02-27,105,457,-1
2015-03-02,120,457,0
2015-03-03,78,457,0
2015-03-04,78,457,0
2015-03-05,120,458,1
2015-03-06,105,457,-1
2015-03-09,91,457,0
2015-03-10,78,457,0
2015-03-11,78,457,0
2015-03-12,105,463,0
2015-03-13,120,453,-4
2015-03-16,55,453,0
2015-03-17,78,440,-1
2015-03-18,66,440,0
2015-03-19,66,440,0
2015-03-20,153,440,0
2015-03-23,78,440,0
2015-03-24,210,471,7
2015-03-25,153,458,-3
2015-03-26,120,458,0
2015-03-27,171,431,-3
2015-03-30,153,432,1
2015-03-31,210,437,3
2015-04-01,210,433,-2
2015-04-02,210,435,1
2015-04-03,136,435,0
2015-04-07,210,449,1
2015-04-08,120,416,-5
2015-04-09,136,417,1
2015-04-10,66,417,0
2015-04-13,120,414,-1
2015-04-14,78,414,0
