trading_date,rank,volume,volume_change
2013-11-05,210,57705,1869
2013-11-06,210,60427,2321
2013-11-07,210,60587,2132
2013-11-08,210,58381,-2007
2013-11-11,210,59050,2819
2013-11-12,210,64164,5778
2013-11-13,210,62365,-1566
2013-11-14,210,60017,883
2013-11-15,210,55726,-1901
2013-11-18,210,56016,999
2013-11-19,210,54722,-610
2013-11-20,210,55318,1372
2013-11-21,210,52305,712
2013-11-22,210,61117,6113
2013-11-25,210,63390,2886
2013-11-26,210,61708,-1289
2013-11-27,210,61177,1655
2013-11-28,210,55005,-3906
2013-11-29,210,57409,4617
2013-12-02,210,56152,-796
2013-12-03,210,55229,1601
2013-12-04,210,57867,5640
2013-12-05,210,60965,4682
2013-12-06,210,62912,1884
2013-12-09,210,60085,1738
2013-12-10,210,60995,433
2013-12-11,210,59579,-1330
2013-12-12,210,62861,7723
2013-12-13,210,54486,-3929
2013-12-16,210,54701,-1462
2013-12-17,210,57904,7228
2013-12-18,210,57348,290
2013-12-19,210,59128,1968
2013-12-20,210,60544,-535
2013-12-23,210,62498,5218
2013-12-24,210,65314,1738
2013-12-25,210,65646,1237
2013-12-26,210,66185,990
2013-12-27,210,63371,-1327
2013-12-30,210,66902,1575
2013-12-31,210,61611,-899
2014-01-02,210,65486,775
2014-01-03,210,67911,2815
2014-01-06,210,67379,2008
2014-01-07,210,71226,3794
2014-01-08,210,71457,22
2014-01-09,210,69525,-216
2014-01-10,210,70291,-403
2014-01-13,210,72474,3369
2014-01-14,210,72425,1887
2014-01-15,210,70804,-988
2014-01-16,210,71087,1109
2014-01-17,210,69159,-559
2014-01-20,210,68670,-226
2014-01-21,210,71949,4533
2014-01-22,210,67901,-3565
2014-01-23,210,66189,-742
2014-01-24,210,68288,1388
2014-01-27,210,73878,7723
2014-01-28,210,74628,1105
2014-01-29,210,73235,-1679
2014-01-30,210,69671,838
2014-02-07,210,71305,3329
2014-02-10,210,76468,1896
2014-02-11,210,72828,-1961
2014-02-12,210,78409,7386
2014-02-13,210,74700,-5726
2014-02-14,210,69071,-1119
2014-02-17,210,74708,6009
2014-02-18,210,71300,-669
2014-02-19,210,71976,1191
2014-02-20,210,72725,1563
2014-02-21,210,78751,1418
2014-02-24,210,83687,4090
2014-02-25,210,85332,4115
2014-02-26,210,87983,1545
2014-02-27,210,83363,-50
2014-02-28,210,77577,-3737
2014-03-03,210,84873,4427
2014-03-04,210,87891,4598
2014-03-05,210,88313,2199
2014-03-06,210,90151,575
2014-03-07,210,89571,-252
2014-03-10,210,81275,-6024
2014-03-11,210,84029,4225
2014-03-12,210,89109,9587
2014-03-13,210,90047,-1851
2014-03-14,210,90495,2247
2014-03-17,210,90645,892
2014-03-18,210,84597,-2951
2014-03-19,210,83694,4109
2014-03-20,210,83006,-49
2014-03-21,210,81593,-1867
2014-03-24,210,85197,3924
2014-03-25,210,85436,1662
2014-03-26,210,86745,2636
2014-03-27,210,86867,2627
2014-03-28,210,84955,1007
2014-03-31,210,80570,-669
2014-04-01,210,85923,4005
2014-04-02,210,87982,3514
2014-04-03,210,87732,-588
2014-04-04,210,85255,351
2014-04-08,210,87840,3869
2014-04-09,210,91754,5238
2014-04-10,210,93305,5510
2014-04-11,210,95076,472
2014-04-14,210,97789,3986
2014-04-15,210,95120,-2530
2014-04-16,210,96661,2953
2014-04-17,210,104421,6693
2014-04-18,210,111090,5169
2014-04-21,210,113541,3431
2014-04-22,210,115851,2707
2014-04-23,210,119593,1539
2014-04-24,210,114697,-1436
2014-04-25,210,109654,-4883
2014-04-28,210,117010,11325
2014-04-29,210,110270,-6416
2014-04-30,210,110792,-1254
2014-05-05,210,112560,2949
