trading_date,rank,volume,volume_change
2013-11-05,210,67703,3928
2013-11-06,210,67314,907
2013-11-07,210,68619,-343
2013-11-08,210,65703,-1521
2013-11-11,210,69322,5440
2013-11-12,210,70401,4202
2013-11-13,210,70565,-1830
2013-11-14,210,73341,1916
2013-11-15,210,72353,716
2013-11-18,210,69075,-857
2013-11-19,210,73095,1646
2013-11-20,210,70915,-427
2013-11-21,210,78176,5484
2013-11-22,210,83037,5881
2013-11-25,210,87273,4404
2013-11-26,210,85989,-2147
2013-11-27,210,84705,-698
2013-11-28,210,74247,-4890
2013-11-29,210,77021,5474
2013-12-02,210,78312,629
2013-12-03,210,82764,4669
2013-12-04,210,86194,6100
2013-12-05,210,92687,8628
2013-12-06,210,90393,-1307
2013-12-09,210,91204,2919
2013-12-10,210,90153,-821
2013-12-11,210,86162,-3374
2013-12-12,210,83305,-1477
2013-12-13,210,80818,-1851
2013-12-16,210,80106,3489
2013-12-17,210,87045,6200
2013-12-18,210,84947,1762
2013-12-19,210,86540,1359
2013-12-20,210,83427,-2156
2013-12-23,210,87605,6105
2013-12-24,210,88916,2588
2013-12-25,210,88773,-522
2013-12-26,210,89530,931
2013-12-27,210,88419,-1046
2013-12-30,210,88066,1155
2013-12-31,210,85352,-2015
2014-01-02,210,85303,866
2014-01-03,210,88763,4832
2014-01-06,210,88384,785
2014-01-07,210,90162,1283
2014-01-08,210,89111,-36
2014-01-09,210,85926,-2903
2014-01-10,210,85743,-183
2014-01-13,210,92458,7778
2014-01-14,210,86887,-4979
2014-01-15,210,84085,-959
2014-01-16,210,82476,963
2014-01-17,210,81757,-572
2014-01-20,210,81793,36
2014-01-21,210,86072,4585
2014-01-22,210,81403,-2829
2014-01-23,210,82077,977
2014-01-24,210,83307,2681
2014-01-27,210,88485,5782
2014-01-28,210,89767,1282
2014-01-29,210,88766,-1155
2014-01-30,210,85427,-3811
2014-02-07,210,92261,7798
2014-02-10,210,88839,186
2014-02-11,210,88067,-212
2014-02-12,210,91572,4495
2014-02-13,210,91899,2526
2014-02-14,210,89818,-679
2014-02-17,210,95760,7779
2014-02-18,210,98455,4176
2014-02-19,210,100586,3530
2014-02-20,210,101942,3074
2014-02-21,210,106569,1417
2014-02-24,210,104602,2454
2014-02-25,210,107047,2823
2014-02-26,210,110142,2519
2014-02-27,210,109364,404
2014-02-28,210,108860,744
2014-03-03,210,113388,4640
2014-03-04,210,118052,4273
2014-03-05,210,116817,2814
2014-03-06,210,119308,984
2014-03-07,210,124159,6829
2014-03-10,210,105524,-14414
2014-03-11,210,105882,-1399
2014-03-12,210,112143,8836
2014-03-13,210,113884,1311
2014-03-14,210,112105,2444
2014-03-17,210,116423,4838
2014-03-18,210,107276,-7923
2014-03-19,210,111691,4945
2014-03-20,210,111099,-1206
2014-03-21,210,111199,115
2014-03-24,210,112783,3727
2014-03-25,210,109906,-1561
2014-03-26,210,114287,4091
2014-03-27,210,113547,2866
2014-03-28,210,112450,-1145
2014-03-31,210,108925,-3501
2014-04-01,210,112732,3421
2014-04-02,210,114591,4853
2014-04-03,210,108769,-1105
2014-04-04,210,108603,1754
2014-04-08,210,114714,4890
2014-04-09,210,122411,12027
2014-04-10,210,120667,-1710
2014-04-11,210,120497,1891
2014-04-14,210,124186,4212
2014-04-15,210,124829,-996
2014-04-16,210,125060,1961
2014-04-17,210,132316,9014
2014-04-18,210,138726,9399
2014-04-21,210,146672,7214
2014-04-22,210,147960,2338
2014-04-23,210,151327,267
2014-04-24,210,148388,-2939
2014-04-25,210,141962,-4903
2014-04-28,210,141067,1694
2014-04-29,210,147068,4058
2014-04-30,210,141573,-3260
2014-05-05,210,143117,602
2014-05-06,210,141240,2315
2014-05-07,210,142810,-55
2014-05-08,210,141968,3006
2014-05-09,210,144193,4976
2014-05-12,210,146344,-1226
2014-05-13,210,143286,-1081
2014-05-14,210,144522,1663
2014-05-15,210,143541,2815
2014-05-16,210,139001,-1195
2014-05-19,210,112834,-20655
2014-05-20,210,124883,10576
2014-05-21,210,133350,5495
2014-05-22,210,131208,-130
2014-05-23,210,132085,-437
2014-05-26,210,133577,4172
2014-05-27,210,132803,1788
2014-05-28,210,128441,-2043
2014-05-29,210,133918,4359
2014-05-30,210,125004,-4912
2014-06-03,210,124014,-98
2014-06-04,210,125034,2443
2014-06-05,210,124756,693
2014-06-06,210,124448,-1201
2014-06-09,210,124447,-645
2014-06-10,210,127867,1914
2014-06-11,210,124706,-2362
2014-06-12,210,128600,2964
2014-06-13,210,129195,2967
2014-06-16,210,130382,2772
2014-06-17,210,130508,987
2014-06-18,210,130369,-1269
2014-06-19,210,125002,-2512
2014-06-20,210,135273,9350
2014-06-23,210,141244,6368
2014-06-24,210,138922,-2088
2014-06-25,210,136232,-2666
2014-06-26,210,143579,3527
2014-06-27,210,134275,-5881
2014-06-30,210,134840,2045
2014-07-01,210,133583,-1732
2014-07-02,210,133567,-2712
2014-07-03,210,130600,-1244
2014-07-04,210,127751,-2179
2014-07-07,210,126968,8668
2014-07-08,210,128270,770
2014-07-09,210,127713,-3933
2014-07-10,210,126525,2531
2014-07-11,210,131781,1823
2014-07-14,210,127821,-2578
2014-07-15,210,128446,595
2014-07-16,210,125395,-2538
2014-07-17,210,115869,-6224
2014-07-18,210,117419,1960
2014-07-21,210,117942,523
2014-07-22,210,116624,-2082
2014-07-23,210,114773,-1826
2014-07-24,210,119320,7208
2014-07-25,210,119144,2
2014-07-28,210,116872,-1160
2014-07-29,210,120179,3488
2014-07-30,210,119508,-1218
2014-07-31,210,109089,-6522
2014-08-01,210,106359,-3442
2014-08-04,210,109109,2096
2014-08-05,210,108801,1034
2014-08-06,210,109436,635
2014-08-07,210,107305,-1902
2014-08-08,210,107372,-1233
2014-08-11,210,108216,3955
2014-08-12,210,107783,1732
2014-08-13,210,106507,-572
2014-08-14,210,101517,-4454
2014-08-15,210,101431,-144
2014-08-18,210,99837,-1281
2014-08-19,210,99768,489
2014-08-20,210,97778,164
2014-08-21,210,97706,-72
2014-08-22,210,95535,-200
2014-08-25,210,93442,-1673
2014-08-26,210,93012,3556
2014-08-27,210,89765,-664
2014-08-28,210,94809,6262
2014-08-29,210,95739,1929
2014-09-01,210,95200,-38
2014-09-02,210,92444,-2968
2014-09-03,210,93242,616
2014-09-04,210,89834,-1768
2014-09-05,210,92700,3292
2014-09-09,210,92519,-1027
2014-09-10,210,88156,-2392
2014-09-11,210,92509,3156
2014-09-12,210,93594,2526
2014-09-15,210,93850,-776
2014-09-16,210,92490,2011
2014-09-17,210,91722,-176
2014-09-18,210,95102,3707
2014-09-19,210,94753,164
2014-09-22,210,93205,-2492
2014-09-23,210,93715,1428
2014-09-24,210,89910,-1656
2014-09-25,210,86917,1170
2014-09-26,210,82864,-5302
2014-09-29,210,81904,-814
2014-09-30,210,75118,-5658
2014-10-08,210,74476,-1151
2014-10-09,210,75250,1890
