trading_date,RU_total_oi
2013-11-05,265294.0
2013-11-06,270934.0
2013-11-07,273932.0
2013-11-08,262814.0
2013-11-11,277348.0
2013-11-12,286000.0
2013-11-13,272506.0
2013-11-14,275852.0
2013-11-15,275064.0
2013-11-18,267632.0
2013-11-19,271836.0
2013-11-20,268886.0
2013-11-21,272156.0
2013-11-22,287350.0
2013-11-25,304488.0
2013-11-26,294932.0
2013-11-27,291216.0
2013-11-28,267810.0
2013-11-29,271644.0
2013-12-02,270598.0
2013-12-03,275258.0
2013-12-04,286444.0
2013-12-05,306562.0
2013-12-06,302368.0
2013-12-09,301622.0
2013-12-10,298488.0
2013-12-11,286104.0
2013-12-12,288746.0
2013-12-13,264274.0
2013-12-16,264698.0
2013-12-17,280428.0
2013-12-18,281046.0
2013-12-19,284630.0
2013-12-20,277272.0
2013-12-23,298464.0
2013-12-24,305842.0
2013-12-25,301746.0
2013-12-26,303614.0
2013-12-27,294788.0
2013-12-30,303106.0
2013-12-31,291904.0
2014-01-02,296152.0
2014-01-03,305484.0
2014-01-06,308278.0
2014-01-07,312554.0
2014-01-08,309650.0
2014-01-09,301704.0
2014-01-10,298458.0
2014-01-13,326038.0
2014-01-14,304340.0
2014-01-15,299878.0
2014-01-16,291442.0
2014-01-17,289394.0
2014-01-20,288764.0
2014-01-21,312526.0
2014-01-22,292908.0
2014-01-23,293614.0
2014-01-24,295294.0
2014-01-27,321774.0
2014-01-28,325232.0
2014-01-29,314472.0
2014-01-30,298784.0
2014-02-07,316210.0
2014-02-10,313168.0
2014-02-11,309922.0
2014-02-12,333156.0
2014-02-13,335162.0
2014-02-14,330110.0
2014-02-17,335576.0
2014-02-18,341614.0
2014-02-19,353276.0
2014-02-20,365926.0
2014-02-21,365546.0
2014-02-24,365808.0
2014-02-25,381340.0
2014-02-26,383998.0
2014-02-27,388768.0
2014-02-28,373520.0
2014-03-03,394146.0
2014-03-04,405692.0
2014-03-05,388306.0
2014-03-06,392024.0
2014-03-07,397742.0
2014-03-10,368934.0
2014-03-11,369288.0
2014-03-12,373350.0
2014-03-13,378520.0
2014-03-14,381092.0
2014-03-17,383494.0
2014-03-18,365528.0
2014-03-19,361970.0
2014-03-20,358224.0
2014-03-21,358410.0
2014-03-24,373912.0
2014-03-25,361982.0
2014-03-26,370026.0
2014-03-27,367312.0
2014-03-28,361082.0
2014-03-31,353642.0
2014-04-01,366736.0
2014-04-02,380146.0
2014-04-03,377202.0
2014-04-04,376572.0
2014-04-08,388890.0
2014-04-09,426774.0
2014-04-10,434886.0
2014-04-11,439022.0
2014-04-14,453712.0
2014-04-15,444856.0
2014-04-16,445236.0
2014-04-17,477222.0
2014-04-18,501284.0
2014-04-21,521692.0
2014-04-22,523710.0
2014-04-23,525572.0
2014-04-24,513108.0
2014-04-25,501380.0
2014-04-28,495148.0
