trading_date,rank,volume,volume_change
2013-11-05,210,209175881,1869
2013-11-06,210,215857161,2321
2013-11-07,210,227782091,2132
2013-11-08,210,199129069,-2007
2013-11-11,210,208069410,2819
2013-11-12,210,243163048,5778
2013-11-13,210,227743283,-1566
2013-11-14,210,213577857,883
2013-11-15,210,184765174,-1901
2013-11-18,210,181732114,999
2013-11-19,210,171500606,-610
2013-11-20,210,178233570,1372
2013-11-21,210,156857299,712
2013-11-22,210,206723927,6113
2013-11-25,210,230094340,2886
2013-11-26,210,215300534,-1289
2013-11-27,210,211409077,1655
2013-11-28,210,181584645,-3906
2013-11-29,210,191014913,4617
2013-12-02,210,179160702,-796
2013-12-03,210,170629035,1601
2013-12-04,210,192977705,5640
2013-12-05,210,208704277,4682
2013-12-06,210,222107056,1884
2013-12-09,210,202898347,1738
2013-12-10,210,210550585,433
2013-12-11,210,199562393,-1330
2013-12-12,210,233185053,7723
2013-12-13,210,170311448,-3929
2013-12-16,210,168690301,-1462
2013-12-17,210,184314558,7228
2013-12-18,210,179546852,290
2013-12-19,210,187868974,1968
2013-12-20,210,198412766,-535
2013-12-23,210,216639410,5218
2013-12-24,210,233252422,1738
2013-12-25,210,242574022,1237
2013-12-26,210,243499807,990
2013-12-27,210,225199709,-1327
2013-12-30,210,244535890,1575
2013-12-31,210,209247253,-899
2014-01-02,210,234391052,775
2014-01-03,210,254133421,2815
2014-01-06,210,252220547,2008
2014-01-07,210,280453098,3794
2014-01-08,210,282525415,22
2014-01-09,210,267816859,-216
2014-01-10,210,272121501,-403
2014-01-13,210,287942032,3369
2014-01-14,210,290252137,1887
2014-01-15,210,277859022,-988
2014-01-16,210,280043567,1109
2014-01-17,210,271728437,-559
2014-01-20,210,269022562,-226
2014-01-21,210,295828597,4533
2014-01-22,210,264099045,-3565
2014-01-23,210,248683675,-742
2014-01-24,210,263261204,1388
2014-01-27,210,311085416,7723
2014-01-28,210,321249430,1105
2014-01-29,210,311426579,-1679
2014-01-30,210,292657591,838
2014-02-07,210,304191753,3329
2014-02-10,210,337548848,1896
2014-02-11,210,311827284,-1961
2014-02-12,210,355696221,7386
2014-02-13,210,320113406,-5726
2014-02-14,210,281782307,-1119
2014-02-17,210,330215986,6009
2014-02-18,210,298626068,-669
2014-02-19,210,301597906,1191
2014-02-20,210,310664677,1563
2014-02-21,210,357057151,1418
2014-02-24,210,392736149,4090
2014-02-25,210,415544520,4115
2014-02-26,210,429392581,1545
2014-02-27,210,405796293,-50
2014-02-28,210,351893383,-3737
2014-03-03,210,405864533,4427
2014-03-04,210,450849511,4598
2014-03-05,210,433208807,2199
2014-03-06,210,458289849,575
2014-03-07,210,457106695,-252
2014-03-10,210,377976527,-6024
2014-03-11,210,403829543,4225
2014-03-12,210,463988553,9587
2014-03-13,210,467659047,-1851
2014-03-14,210,486203995,2247
2014-03-17,210,467492969,892
2014-03-18,210,408463107,-2951
2014-03-19,210,410372498,4109
2014-03-20,210,400983358,-49
2014-03-21,210,382706193,-1867
2014-03-24,210,412095785,3924
2014-03-25,210,422441386,1662
2014-03-26,210,446188835,2636
2014-03-27,210,445335007,2627
2014-03-28,210,423313075,1007
2014-03-31,210,387958464,-669
2014-04-01,210,425514411,4005
2014-04-02,210,442874790,3514
2014-04-03,210,440246758,-588
2014-04-04,210,407011429,351
2014-04-08,210,432356930,3869
2014-04-09,210,467760760,5238
2014-04-10,210,491468927,5510
2014-04-11,210,511178756,472
2014-04-14,210,539576561,3986
2014-04-15,210,510794758,-2530
2014-04-16,210,528510117,2953
2014-04-17,210,617138533,6693
2014-04-18,210,690496536,5169
2014-04-21,210,731310865,3431
2014-04-22,210,757641803,2707
2014-04-23,210,809294625,1539
2014-04-24,210,753238991,-1436
2014-04-25,210,691960688,-4883
2014-04-28,210,795052044,11325
2014-04-29,210,707695900,-6416
2014-04-30,210,704137810,-1254
2014-05-05,210,727612304,2949
2014-05-06,210,729400098,1267
2014-05-07,210,754551678,958
2014-05-08,210,712390030,-1078
2014-05-09,210,758224944,3908
2014-05-12,210,707222279,-1072
2014-05-13,210,695232162,477
2014-05-14,210,676032449,-2598
2014-05-15,210,713952423,2151
2014-05-16,210,705612888,1790
2014-05-19,210,569445287,-7750
2014-05-20,210,659666532,8899
2014-05-21,210,629634572,-603
2014-05-22,210,592094942,652
2014-05-23,210,577478685,-530
2014-05-26,210,614522115,3407
2014-05-27,210,586896732,-1384
2014-05-28,210,560431792,-1150
2014-05-29,210,619254942,5350
2014-05-30,210,620738149,144
2014-06-03,210,669429438,2574
2014-06-04,210,657742266,44
2014-06-05,210,664207440,2018
2014-06-06,210,645257853,-1603
2014-06-09,210,620616045,-1649
2014-06-10,210,629438050,515
2014-06-11,210,558967017,-4157
2014-06-12,210,571850228,3893
2014-06-13,210,595369014,2811
2014-06-16,210,552363665,-3632
2014-06-17,210,530267719,-83
2014-06-18,210,517938786,-1833
2014-06-19,210,572161511,5632
2014-06-20,210,754279647,14453
2014-06-23,210,814150462,6019
2014-06-24,210,776291101,855
2014-06-25,210,727527095,-4805
2014-06-26,210,842969839,5096
2014-06-27,210,686220914,-8607
2014-06-30,210,656792534,-1731
2014-07-01,210,653252851,-797
2014-07-02,210,581500359,-4062
2014-07-03,210,613822032,1939
2014-07-04,210,564474645,-2662
2014-07-07,210,640113128,7061
2014-07-08,210,626154359,1900
2014-07-09,210,609514746,-1513
2014-07-10,210,611647597,1920
2014-07-11,210,616459960,739
2014-07-14,210,593102568,-1763
2014-07-15,210,606292692,338
2014-07-16,210,579047011,-1016
2014-07-17,210,561359229,-2663
2014-07-18,210,537974944,-928
2014-07-21,210,547911326,1050
2014-07-22,210,525892669,-1263
2014-07-23,210,527910531,-74
2014-07-24,210,536188591,4057
2014-07-25,210,518756964,-895
2014-07-28,210,490458449,-644
2014-07-29,210,524858726,3834
2014-07-30,210,448441393,-6813
2014-07-31,210,417394847,-1668
2014-08-01,210,401618037,-1967
2014-08-04,210,407464884,1482
2014-08-05,210,411483359,1099
2014-08-06,210,406598286,-292
2014-08-07,210,384793698,-2115
2014-08-08,210,370038857,-1322
