trading_date,rank,volume,volume_change
2013-11-05,210,267254505,3928
2013-11-06,210,268117844,907
2013-11-07,210,268881533,-343
2013-11-08,210,251913083,-1521
2013-11-11,210,281741820,5440
2013-11-12,210,300839239,4202
2013-11-13,210,287103189,-1830
2013-11-14,210,322657361,1916
2013-11-15,210,315161507,716
2013-11-18,210,291932827,-857
2013-11-19,210,336777405,1646
2013-11-20,210,315601531,-427
2013-11-21,210,377699786,5484
2013-11-22,210,438074091,5881
2013-11-25,210,486176777,4404
2013-11-26,210,469103409,-2147
2013-11-27,210,462363931,-698
2013-11-28,210,366248535,-4890
2013-11-29,210,401075141,5474
2013-12-02,210,404093758,629
2013-12-03,210,451010256,4669
2013-12-04,210,488130638,6100
2013-12-05,210,559911355,8628
2013-12-06,210,525508229,-1307
2013-12-09,210,529753134,2919
2013-12-10,210,517016081,-821
2013-12-11,210,484641894,-3374
2013-12-12,210,430070699,-1477
2013-12-13,210,404271050,-1851
2013-12-16,210,424526382,3489
2013-12-17,210,502000507,6200
2013-12-18,210,472993001,1762
2013-12-19,210,484274398,1359
2013-12-20,210,453665507,-2156
2013-12-23,210,493841453,6105
2013-12-24,210,506955694,2588
2013-12-25,210,497216695,-522
2013-12-26,210,504212800,931
2013-12-27,210,487094739,-1046
2013-12-30,210,485971660,1155
2013-12-31,210,457089534,-2015
2014-01-02,210,464876133,866
2014-01-03,210,501757393,4832
2014-01-06,210,500935354,785
2014-01-07,210,502082234,1283
2014-01-08,210,482929365,-36
2014-01-09,210,459529036,-2903
2014-01-10,210,454668019,-183
2014-01-13,210,521159770,7778
2014-01-14,210,457780113,-4979
2014-01-15,210,450206229,-959
2014-01-16,210,439273954,963
2014-01-17,210,427640891,-572
2014-01-20,210,414096683,36
2014-01-21,210,471358602,4585
2014-01-22,210,424502447,-2829
2014-01-23,210,430017577,977
2014-01-24,210,449893339,2681
2014-01-27,210,495417781,5782
2014-01-28,210,500818999,1282
2014-01-29,210,496203484,-1155
2014-01-30,210,447182837,-3811
2014-02-07,210,521331349,7798
2014-02-10,210,490274871,186
2014-02-11,210,486117441,-212
2014-02-12,210,534085632,4495
2014-02-13,210,545406829,2526
2014-02-14,210,519149336,-679
2014-02-17,210,591674932,7779
2014-02-18,210,626075867,4176
2014-02-19,210,670549056,3530
2014-02-20,210,674401250,3074
2014-02-21,210,723600721,1417
2014-02-24,210,704063864,2454
2014-02-25,210,709281197,2823
2014-02-26,210,731704244,2519
2014-02-27,210,720588598,404
2014-02-28,210,716791700,744
2014-03-03,210,770212880,4640
2014-03-04,210,837559494,4273
2014-03-05,210,825844523,2814
2014-03-06,210,854462064,984
2014-03-07,210,946639921,6829
2014-03-10,210,757671432,-14414
2014-03-11,210,718624886,-1399
2014-03-12,210,811985303,8836
2014-03-13,210,815408816,1311
2014-03-14,210,813659653,2444
2014-03-17,210,833120803,4838
2014-03-18,210,704633004,-7923
