trading_date,rank,volume,volume_change
2014-08-08,210,14798,14798
2014-08-11,210,15617,1585
2014-08-12,210,19815,5826
2014-08-13,210,20587,2062
2014-08-14,210,14688,-387
2014-08-15,210,14695,1059
2014-08-18,210,15072,944
2014-08-19,210,14848,112
2014-08-20,210,15614,1325
2014-08-21,210,15668,143
2014-08-22,210,15721,303
2014-08-25,210,14040,-1526
2014-08-26,210,11610,-2171
2014-08-27,210,10305,-620
2014-08-28,210,9785,-461
2014-08-29,210,9418,-265
2014-09-01,210,9835,501
2014-09-02,210,11962,2328
2014-09-03,210,11919,-2
2014-09-04,210,11966,323
2014-09-05,210,12159,298
2014-09-09,210,15969,3927
2014-09-10,210,13435,-2250
2014-09-11,210,13386,-39
2014-09-12,210,12740,-564
2014-09-15,210,11752,-835
2014-09-16,210,11077,-488
2014-09-17,210,11054,10
2014-09-18,210,10876,-112
2014-09-19,210,10815,186
2014-09-22,210,11047,410
2014-09-23,210,11052,37
2014-09-24,210,10317,-584
2014-09-25,210,11375,1277
2014-09-26,210,11173,15
2014-09-29,210,10898,-204
2014-09-30,210,9436,-1452
2014-10-08,210,9457,64
2014-10-09,210,9246,-156
2014-10-10,210,8990,-126
2014-10-13,210,7650,-1114
2014-10-14,210,7549,10
2014-10-15,210,7614,93
2014-10-16,210,7200,-395
2014-10-17,210,6978,-200
2014-10-20,210,6889,-40
2014-10-21,210,6711,-149
2014-10-22,210,6823,133
2014-10-23,210,6655,-84
2014-10-24,210,6359,-267
2014-10-27,210,6310,-46
2014-10-28,210,6228,-76
2014-10-29,210,5974,-131
2014-10-30,210,5867,14
2014-10-31,210,5592,772
2014-11-03,210,5909,486
2014-11-04,210,4611,-1273
2014-11-05,210,4123,-114
2014-11-06,210,3995,-119
2014-11-07,210,3734,-226
2014-11-10,210,3616,-100
2014-11-11,210,3446,-129
2014-11-12,210,3386,-50
2014-11-13,210,3270,-42
2014-11-14,210,3226,-32
2014-11-17,210,3126,-100
2014-11-18,210,3105,55
2014-11-19,210,2826,-175
2014-11-20,210,2120,-687
2014-11-21,210,1636,-431
2014-11-24,210,1635,8
2014-11-25,210,1611,-22
2014-11-26,210,1582,-21
2014-11-27,210,945,-585
2014-11-28,210,696,-207
2014-12-01,210,659,-28
2014-12-02,210,565,-92
2014-12-03,210,491,-74
2014-12-04,210,394,0
2014-12-05,210,375,12
2014-12-08,210,358,-12
2014-12-09,210,336,-18
2014-12-10,210,291,-38
2014-12-11,210,223,-64
2014-12-12,210,203,-9
2014-12-15,210,185,-17
2014-12-16,210,187,3
2014-12-17,210,181,-5
2014-12-18,210,171,-9
2014-12-19,210,142,-26
2014-12-22,210,120,-20
2014-12-23,210,104,-16
2014-12-24,210,101,-3
2014-12-25,210,101,0
2014-12-26,210,100,-1
2014-12-29,210,85,-15
2014-12-30,210,66,-17
2014-12-31,210,67,2
2015-01-05,210,73,6
2015-01-06,210,75,2
2015-01-07,210,72,-2
2015-01-08,210,71,-1
2015-01-09,210,71,5
2015-01-12,210,84,15
2015-01-13,210,84,9
2015-01-14,210,82,-2
2015-01-15,210,83,1
2015-01-16,210,69,-14
2015-01-19,210,86,17
2015-01-20,190,81,-5
2015-01-21,120,79,-2
2015-01-22,153,74,-5
2015-01-23,120,75,1
2015-01-26,136,75,0
2015-01-27,210,77,2
2015-01-28,210,122,45
2015-01-29,210,136,31
2015-01-30,210,132,2
2015-02-02,210,134,2
2015-02-03,210,142,10
2015-02-04,210,133,9
2015-02-05,210,129,-2
2015-02-06,210,128,0
2015-02-09,210,127,-1
2015-02-10,210,95,-32
2015-02-11,210,93,-2
2015-02-12,210,92,-1
2015-02-13,210,91,-1
2015-02-16,210,86,-5
2015-02-17,210,80,-6
2015-02-25,153,81,1
2015-02-26,210,71,-10
2015-02-27,210,74,3
