trading_date,SF_total_oi
2014-08-08,31272.0
2014-08-11,34066.0
2014-08-12,47330.0
2014-08-13,47400.0
2014-08-14,36004.0
2014-08-15,34098.0
2014-08-18,34318.0
2014-08-19,32920.0
2014-08-20,34130.0
2014-08-21,33624.0
2014-08-22,34100.0
2014-08-25,30192.0
2014-08-26,25024.0
2014-08-27,22134.0
2014-08-28,20998.0
2014-08-29,20344.0
2014-09-01,21796.0
2014-09-02,25286.0
2014-09-03,25174.0
2014-09-04,24934.0
2014-09-05,25368.0
2014-09-09,33182.0
2014-09-10,27886.0
2014-09-11,27634.0
2014-09-12,26184.0
2014-09-15,24670.0
2014-09-16,23086.0
2014-09-17,23068.0
2014-09-18,22556.0
2014-09-19,22146.0
2014-09-22,22620.0
2014-09-23,22696.0
2014-09-24,21352.0
2014-09-25,24120.0
2014-09-26,23416.0
2014-09-29,22258.0
2014-09-30,19122.0
2014-10-08,19266.0
2014-10-09,18912.0
2014-10-10,18230.0
2014-10-13,16480.0
2014-10-14,16066.0
2014-10-15,16100.0
2014-10-16,15106.0
2014-10-17,14488.0
2014-10-20,14272.0
2014-10-21,13868.0
2014-10-22,14134.0
2014-10-23,13682.0
2014-10-24,13038.0
2014-10-27,12902.0
2014-10-28,12712.0
2014-10-29,12478.0
2014-10-30,12088.0
2014-10-31,11622.0
2014-11-03,12408.0
2014-11-04,9668.0
2014-11-05,8552.0
2014-11-06,8226.0
2014-11-07,7638.0
2014-11-10,7390.0
2014-11-11,6988.0
2014-11-12,6900.0
2014-11-13,6658.0
2014-11-14,6566.0
2014-11-17,6346.0
2014-11-18,6316.0
2014-11-19,5758.0
2014-11-20,4306.0
2014-11-21,3324.0
2014-11-24,3320.0
2014-11-25,3270.0
2014-11-26,3196.0
2014-11-27,1974.0
2014-11-28,1450.0
2014-12-01,1340.0
2014-12-02,1144.0
2014-12-03,994.0
2014-12-04,802.0
2014-12-05,762.0
2014-12-08,728.0
2014-12-09,676.0
2014-12-10,584.0
2014-12-11,446.0
2014-12-12,406.0
2014-12-15,370.0
2014-12-16,374.0
2014-12-17,362.0
2014-12-18,342.0
2014-12-19,284.0
2014-12-22,240.0
2014-12-23,208.0
2014-12-24,202.0
2014-12-25,202.0
2014-12-26,200.0
2014-12-29,170.0
2014-12-30,132.0
2014-12-31,134.0
2015-01-05,146.0
2015-01-06,150.0
2015-01-07,144.0
2015-01-08,142.0
2015-01-09,142.0
2015-01-12,168.0
2015-01-13,168.0
2015-01-14,164.0
2015-01-15,166.0
2015-01-16,138.0
2015-01-19,172.0
2015-01-20,162.0
2015-01-21,158.0
2015-01-22,148.0
2015-01-23,150.0
2015-01-26,150.0
2015-01-27,154.0
2015-01-28,246.0
2015-01-29,272.0
2015-01-30,264.0
2015-02-02,268.0
2015-02-03,284.0
2015-02-04,266.0
2015-02-05,258.0
2015-02-06,256.0
2015-02-09,254.0
2015-02-10,190.0
2015-02-11,186.0
2015-02-12,184.0
2015-02-13,182.0
2015-02-16,172.0
2015-02-17,160.0
2015-02-25,162.0
2015-02-26,142.0
2015-02-27,148.0
2015-03-02,126.0
2015-03-03,122.0
2015-03-04,132.0
2015-03-05,130.0
2015-03-06,134.0
2015-03-09,120.0
2015-03-10,122.0
2015-03-11,128.0
2015-03-12,128.0
2015-03-13,126.0
2015-03-16,122.0
2015-03-17,122.0
2015-03-18,120.0
2015-03-19,120.0
2015-03-20,118.0
2015-03-23,116.0
2015-03-24,116.0
2015-03-25,116.0
2015-03-26,116.0
2015-03-27,118.0
2015-03-30,118.0
2015-03-31,118.0
2015-04-01,118.0
2015-04-02,116.0
2015-04-03,116.0
2015-04-07,116.0
2015-04-08,116.0
2015-04-09,116.0
2015-04-10,82.0
2015-04-13,96.0
2015-04-14,94.0
2015-04-15,88.0
2015-04-16,84.0
