trading_date,rank,volume,volume_change
2014-08-08,210,46534476,14798
2014-08-11,210,46943321,1585
2014-08-12,210,38427059,5826
2014-08-13,210,43209991,2062
2014-08-14,210,29198336,-387
2014-08-15,210,36611461,1059
2014-08-18,210,34384078,944
2014-08-19,210,37077452,112
2014-08-20,210,39563238,1325
2014-08-21,210,39555564,143
2014-08-22,210,40345815,303
2014-08-25,210,35590966,-1526
2014-08-26,210,24555614,-2171
2014-08-27,210,23562939,-620
2014-08-28,210,22458481,-461
2014-08-29,210,22063746,-265
2014-09-01,210,22283111,501
2014-09-02,210,27690534,2328
2014-09-03,210,27957473,-2
2014-09-04,210,29726308,323
2014-09-05,210,29627407,298
2014-09-09,210,49831337,3927
2014-09-10,210,35557311,-2250
2014-09-11,210,35501370,-39
2014-09-12,210,32410876,-564
2014-09-15,210,28291658,-835
2014-09-16,210,24505683,-488
2014-09-17,210,24427972,10
2014-09-18,210,24395720,-112
2014-09-19,210,24361139,186
2014-09-22,210,24619641,410
2014-09-23,210,24553626,37
2014-09-24,210,21766467,-584
2014-09-25,210,23393631,1277
2014-09-26,210,23121631,15
2014-09-29,210,22494332,-204
2014-09-30,210,19424686,-1452
2014-10-08,210,19383209,64
2014-10-09,210,19298664,-156
2014-10-10,210,18618830,-126
2014-10-13,210,13021628,-1114
2014-10-14,210,12989077,10
2014-10-15,210,13019562,93
2014-10-16,210,12041294,-395
2014-10-17,210,11331638,-200
2014-10-20,210,11291527,-40
2014-10-21,210,11252517,-149
2014-10-22,210,10871065,133
2014-10-23,210,10835725,-84
2014-10-24,210,10374871,-267
2014-10-27,210,10364044,-46
2014-10-28,210,10339020,-76
2014-10-29,210,9205724,-131
2014-10-30,210,9013693,14
2014-10-31,210,8276642,772
2014-11-03,210,8316131,486
2014-11-04,210,4724391,-1273
2014-11-05,210,4567789,-114
2014-11-06,210,4363251,-119
2014-11-07,210,4042894,-226
2014-11-10,210,3869978,-100
2014-11-11,210,3492962,-129
2014-11-12,210,3043478,-50
2014-11-13,210,3032026,-42
2014-11-14,210,3027028,-32
2014-11-17,210,2827128,-100
2014-11-18,210,2847733,55
2014-11-19,210,2390312,-175
2014-11-20,210,1271422,-687
2014-11-21,210,813300,-431
2014-11-24,210,810941,8
2014-11-25,210,806683,-22
2014-11-26,210,796574,-21
2014-11-27,210,205255,-585
2014-11-28,210,116476,-207
2014-12-01,210,100575,-28
2014-12-02,210,74481,-92
2014-12-03,210,64463,-74
2014-12-04,210,53514,0
