trading_date,rank,volume,volume_change
2014-08-08,210,26493733,13373
2014-08-11,210,33739595,5478
2014-08-12,210,40902720,4437
2014-08-13,210,41457328,1189
2014-08-14,210,30771282,-1101
2014-08-15,210,30058689,830
2014-08-18,210,30126466,520
2014-08-19,210,32047148,15
2014-08-20,210,28638137,494
2014-08-21,210,30065453,314
2014-08-22,210,25647906,450
2014-08-25,210,20105719,551
2014-08-26,210,11872859,-2087
2014-08-27,210,8965823,-649
2014-08-28,210,8284003,227
2014-08-29,210,5250140,-116
2014-09-01,210,6780006,894
2014-09-02,210,13286430,2232
2014-09-03,210,13552431,99
2014-09-04,210,14978530,102
2014-09-05,210,15419146,526
2014-09-09,210,18140120,2609
2014-09-10,210,16800935,-574
2014-09-11,210,16619835,26
2014-09-12,210,16511870,-121
2014-09-15,210,16351767,-115
2014-09-16,210,15968568,-62
2014-09-17,210,15972998,95
2014-09-18,210,15812623,65
2014-09-19,210,9932164,-633
2014-09-22,210,15864526,1486
2014-09-23,210,16126681,267
2014-09-24,210,14899604,-579
2014-09-25,210,18222612,1224
2014-09-26,210,17278951,-40
2014-09-29,210,16914962,14
2014-09-30,210,12734610,-1091
2014-10-08,210,12695613,168
2014-10-09,210,11762502,-25
2014-10-10,210,10594100,-187
2014-10-13,210,10014509,-361
2014-10-14,210,8485291,-257
2014-10-15,210,7332001,-10
2014-10-16,210,7076427,-68
2014-10-17,210,6982963,-131
2014-10-20,210,6951066,-52
2014-10-21,210,6918573,-45
2014-10-22,210,6967834,118
2014-10-23,210,6852803,-46
2014-10-24,210,6773127,-28
2014-10-27,210,6799204,-9
2014-10-28,210,6761620,-46
2014-10-29,210,6747408,8
2014-10-30,210,6718192,-66
2014-10-31,210,8116114,1364
2014-11-03,210,8216707,160
2014-11-04,210,2962351,-1474
2014-11-05,210,2856033,-124
2014-11-06,210,2856498,51
2014-11-07,210,2824863,-89
2014-11-10,210,2809243,-35
2014-11-11,210,2787169,-120
2014-11-12,210,2791568,20
2014-11-13,210,2595412,-119
2014-11-14,210,2599165,-16
2014-11-17,210,2557130,-68
2014-11-18,210,1304628,-19
2014-11-19,210,1281008,-114
2014-11-20,210,820003,-278
2014-11-21,210,640279,-457
2014-11-24,210,640238,5
2014-11-25,210,640128,11
2014-11-26,210,464656,-47
2014-11-27,210,47888,-491
2014-11-28,210,29981,-146
2014-12-01,210,22530,-35
2014-12-02,210,14453,-70
2014-12-03,210,9670,14
2014-12-04,210,7504,-32
2014-12-05,210,6899,-4
2014-12-08,210,6215,-10
2014-12-09,210,6201,30
2014-12-10,210,5222,-23
2014-12-11,210,3164,-36
2014-12-12,210,2817,2
2014-12-15,210,2590,1
2014-12-16,210,2658,3
2014-12-17,210,2557,-2
2014-12-18,210,2369,0
2014-12-19,210,1803,-6
2014-12-22,210,1681,-8
2014-12-23,210,1380,-14
2014-12-24,210,1443,-3
2014-12-25,210,1443,0
2014-12-26,210,1496,3
2014-12-29,210,1395,-12
2014-12-30,210,1032,-17
2014-12-31,210,1437,1
2015-01-05,210,2067,6
2015-01-06,210,2231,2
2015-01-07,210,1988,-3
2015-01-08,210,1841,-1
2015-01-09,210,1837,0
2015-01-12,210,2596,13
2015-01-13,210,2590,0
2015-01-14,210,2410,-2
2015-01-15,210,1883,1
2015-01-16,210,1273,-14
2015-01-19,210,2344,17
2015-01-20,190,2175,-5
2015-01-21,120,2015,-2
2015-01-22,153,1718,-5
2015-01-23,120,2069,1
2015-01-26,136,1991,0
2015-01-27,210,1779,3
2015-01-28,210,1770,48
2015-01-29,210,2150,31
2015-01-30,210,2656,10
2015-02-02,210,3052,9
2015-02-03,210,3518,9
2015-02-04,210,2875,-7
2015-02-05,210,2925,-2
2015-02-06,210,3070,0
2015-02-09,210,3065,-1
2015-02-10,210,2245,-30
2015-02-11,210,2205,-2
2015-02-12,210,2286,-1
2015-02-13,210,2453,-1
2015-02-16,210,2278,-5
2015-02-17,210,2208,-6
2015-02-25,153,2293,1
2015-02-26,210,1169,-10
2015-02-27,210,1174,3
2015-03-02,210,1251,-3
2015-03-03,190,1251,-2
2015-03-04,210,1376,5
2015-03-05,210,1437,-1
2015-03-06,210,1569,2
2015-03-09,210,1342,-7
2015-03-10,171,1405,1
2015-03-11,210,1474,3
2015-03-12,171,1474,0
2015-03-13,190,1471,-1
2015-03-16,210,1465,-2
2015-03-17,171,1531,0
2015-03-18,190,1464,-1
2015-03-19,153,1464,0
2015-03-20,153,1461,-1
2015-03-23,210,1460,-1
2015-03-24,136,1460,0
2015-03-25,136,1460,0
2015-03-26,136,1460,0
2015-03-27,210,1461,1
2015-03-30,171,1461,0
2015-03-31,171,1461,0
2015-04-01,171,1461,0
2015-04-02,171,1460,-1
2015-04-03,153,1460,0
2015-04-07,210,1460,0
2015-04-08,210,1460,0
2015-04-09,210,1460,0
2015-04-10,210,545,-17
2015-04-13,210,560,7
2015-04-14,210,585,0
2015-04-15,210,532,-3
2015-04-16,210,492,-2
2015-04-17,210,492,0
2015-04-20,210,388,-8
2015-04-21,153,288,-4
2015-04-22,136,239,-7
2015-04-23,91,183,-2
2015-04-24,136,163,0
2015-04-27,120,87,-8
2015-04-28,136,92,1
2015-04-29,105,18,-4
2015-04-30,66,5,-7
2015-05-04,15,4,-1
2015-05-05,28,13,3
2015-05-06,21,9,-2
2015-05-07,6,9,0
2015-05-08,6,9,0
2015-05-11,36,64,5
2015-05-12,36,50,0
2015-05-13,21,49,-1
