trading_date,rank,volume,volume_change
2014-08-08,210,11584,11584
2014-08-11,210,11206,957
2014-08-12,210,12900,3391
2014-08-13,210,12101,284
2014-08-14,210,12962,1384
2014-08-15,210,10585,-248
2014-08-18,210,8679,-768
2014-08-19,210,8616,585
2014-08-20,210,9106,490
2014-08-21,210,8620,-432
2014-08-22,210,5794,-812
2014-08-25,210,5314,-281
2014-08-26,210,4612,-444
2014-08-27,210,3794,23
2014-08-28,210,3985,474
2014-08-29,210,3584,-245
2014-09-01,210,4341,901
2014-09-02,210,4971,699
2014-09-03,210,5994,1058
2014-09-04,210,5977,301
2014-09-05,210,6416,440
2014-09-09,210,7706,1429
2014-09-10,210,7707,37
2014-09-11,210,7762,88
2014-09-12,210,7825,63
2014-09-15,210,7449,-353
2014-09-16,210,7468,82
2014-09-17,210,7492,24
2014-09-18,210,7548,56
2014-09-19,210,7612,162
2014-09-22,210,7938,480
2014-09-23,210,7961,26
2014-09-24,210,7990,36
2014-09-25,210,8494,524
2014-09-26,210,8354,-73
2014-09-29,210,8320,-20
2014-09-30,210,8241,-76
2014-10-08,210,8230,-9
2014-10-09,210,8187,-37
2014-10-10,210,8130,-43
2014-10-13,210,8067,-6
2014-10-14,210,7866,-201
2014-10-15,210,7878,34
2014-10-16,210,7845,-14
2014-10-17,210,7797,-46
2014-10-20,210,7705,-68
2014-10-21,210,7661,-1
2014-10-22,210,7650,3
2014-10-23,210,7640,-2
2014-10-24,210,7494,-146
2014-10-27,210,7427,-54
2014-10-28,210,7362,-55
2014-10-29,210,7278,-63
2014-10-30,210,7252,-16
2014-10-31,210,7287,38
2014-11-03,210,7364,101
2014-11-04,210,7348,-14
2014-11-05,210,7328,-17
2014-11-06,210,7339,11
2014-11-07,210,7314,-25
2014-11-10,210,7280,-24
2014-11-11,210,7255,-6
2014-11-12,210,7193,-58
2014-11-13,210,7191,6
2014-11-14,210,7147,-39
2014-11-17,210,7147,1
2014-11-18,210,7082,-65
