trading_date,rank,volume,volume_change
2014-08-08,210,12396,12396
2014-08-11,210,11623,978
2014-08-12,210,14893,4023
2014-08-13,210,13500,61
2014-08-14,210,12919,1760
2014-08-15,210,10854,-1573
2014-08-18,210,9445,-834
2014-08-19,210,9285,156
2014-08-20,210,9353,203
2014-08-21,210,8847,-458
2014-08-22,210,6007,-2756
2014-08-25,210,5676,838
2014-08-26,210,5286,-384
2014-08-27,210,4476,165
2014-08-28,210,4437,200
2014-08-29,210,4004,-328
2014-09-01,210,4676,961
2014-09-02,210,5331,864
2014-09-03,210,6252,957
2014-09-04,210,6241,8
2014-09-05,210,6705,474
2014-09-09,210,7493,902
2014-09-10,210,7573,351
2014-09-11,210,7568,69
2014-09-12,210,7668,144
2014-09-15,210,7517,98
2014-09-16,210,7596,96
2014-09-17,210,7668,72
2014-09-18,210,7729,114
2014-09-19,210,7835,112
2014-09-22,210,7824,129
2014-09-23,210,7787,-13
2014-09-24,210,7811,26
2014-09-25,210,8141,383
2014-09-26,210,7986,-155
2014-09-29,210,7978,22
2014-09-30,210,7881,-97
2014-10-08,210,7850,-31
2014-10-09,210,7812,-12
2014-10-10,210,7819,25
2014-10-13,210,7792,18
2014-10-14,210,7641,-139
2014-10-15,210,7648,65
2014-10-16,210,7634,-4
2014-10-17,210,7590,-37
2014-10-20,210,7521,-69
2014-10-21,210,7477,4
2014-10-22,210,7426,-2
2014-10-23,210,7372,-45
2014-10-24,210,7363,25
2014-10-27,210,7330,-7
2014-10-28,210,7282,-41
2014-10-29,210,7214,-68
2014-10-30,210,7175,-29
2014-10-31,210,7181,25
2014-11-03,210,7089,-22
2014-11-04,210,7115,99
2014-11-05,210,7106,7
2014-11-06,210,7126,35
2014-11-07,210,7101,-25
2014-11-10,210,7081,11
2014-11-11,210,7058,-23
2014-11-12,210,7013,17
2014-11-13,210,7012,1
2014-11-14,210,6993,-12
2014-11-17,210,6980,-11
2014-11-18,210,6904,-61
2014-11-19,210,6409,-451
2014-11-20,210,4964,-957
2014-11-21,210,3722,-1236
2014-11-24,210,2915,-467
2014-11-25,210,2893,-22
2014-11-26,210,2833,-60
2014-11-27,210,2875,47
2014-11-28,210,2865,9
2014-12-01,210,2948,93
2014-12-02,210,2938,-8
2014-12-03,210,3493,565
2014-12-04,210,3781,309
2014-12-05,210,3871,127
2014-12-08,210,3880,73
2014-12-09,210,3867,-1
2014-12-10,210,3879,39
2014-12-11,210,3874,-1
2014-12-12,210,3876,3
2014-12-15,210,3876,1
2014-12-16,210,3878,2
2014-12-17,210,3917,46
2014-12-18,210,3922,6
2014-12-19,210,3914,-8
2014-12-22,210,3895,-19
2014-12-23,210,3888,-4
2014-12-24,210,3871,-4
2014-12-25,210,3859,-10
