trading_date,SM_total_oi
2014-08-08,26994.0
2014-08-11,28100.0
2014-08-12,34310.0
2014-08-13,30718.0
2014-08-14,30484.0
2014-08-15,25008.0
2014-08-18,21580.0
2014-08-19,20890.0
2014-08-20,21186.0
2014-08-21,19958.0
2014-08-22,13778.0
2014-08-25,13566.0
2014-08-26,12344.0
2014-08-27,10038.0
2014-08-28,10206.0
2014-08-29,9046.0
2014-09-01,10480.0
2014-09-02,11948.0
2014-09-03,13754.0
2014-09-04,13618.0
2014-09-05,14462.0
2014-09-09,16906.0
2014-09-10,16660.0
2014-09-11,16712.0
2014-09-12,16876.0
2014-09-15,16016.0
2014-09-16,16060.0
2014-09-17,16128.0
2014-09-18,16432.0
2014-09-19,16820.0
2014-09-22,16920.0
2014-09-23,16880.0
2014-09-24,16810.0
2014-09-25,17974.0
2014-09-26,17576.0
2014-09-29,17278.0
2014-09-30,17050.0
2014-10-08,16976.0
2014-10-09,16850.0
2014-10-10,16678.0
2014-10-13,16488.0
2014-10-14,16094.0
2014-10-15,16114.0
2014-10-16,16020.0
2014-10-17,15928.0
2014-10-20,15790.0
2014-10-21,15694.0
2014-10-22,15628.0
2014-10-23,15572.0
2014-10-24,15322.0
2014-10-27,15218.0
2014-10-28,15108.0
2014-10-29,14872.0
2014-10-30,14786.0
2014-10-31,14820.0
2014-11-03,14960.0
2014-11-04,14934.0
2014-11-05,14886.0
2014-11-06,14904.0
2014-11-07,14824.0
2014-11-10,14738.0
2014-11-11,14706.0
2014-11-12,14596.0
2014-11-13,14554.0
2014-11-14,14506.0
2014-11-17,14446.0
2014-11-18,14296.0
2014-11-19,13302.0
2014-11-20,10286.0
2014-11-21,7696.0
2014-11-24,6026.0
2014-11-25,5998.0
2014-11-26,5888.0
2014-11-27,5918.0
2014-11-28,5854.0
2014-12-01,6010.0
2014-12-02,5990.0
2014-12-03,7120.0
2014-12-04,7696.0
2014-12-05,7878.0
2014-12-08,7880.0
2014-12-09,7874.0
2014-12-10,7848.0
2014-12-11,7806.0
2014-12-12,7798.0
2014-12-15,7796.0
2014-12-16,7798.0
2014-12-17,7886.0
2014-12-18,7876.0
2014-12-19,7856.0
2014-12-22,7816.0
2014-12-23,7792.0
2014-12-24,7750.0
2014-12-25,7720.0
2014-12-26,7720.0
2014-12-29,7638.0
2014-12-30,7628.0
2014-12-31,7626.0
2015-01-05,7622.0
2015-01-06,7622.0
2015-01-07,7622.0
2015-01-08,7622.0
2015-01-09,7622.0
2015-01-12,7622.0
2015-01-13,7626.0
2015-01-14,7626.0
2015-01-15,7618.0
2015-01-16,252.0
2015-01-19,260.0
2015-01-20,260.0
2015-01-21,260.0
2015-01-22,260.0
2015-01-23,258.0
2015-01-26,258.0
2015-01-27,258.0
2015-01-28,4256.0
2015-01-29,4278.0
2015-01-30,4278.0
2015-02-02,5308.0
2015-02-03,5298.0
2015-02-04,5292.0
2015-02-05,5290.0
2015-02-06,5290.0
2015-02-09,5184.0
2015-02-10,4768.0
2015-02-11,4766.0
2015-02-12,4756.0
2015-02-13,4756.0
2015-02-16,4756.0
2015-02-17,4750.0
2015-02-25,4750.0
2015-02-26,4750.0
2015-02-27,4750.0
2015-03-02,4556.0
2015-03-03,4556.0
2015-03-04,4556.0
2015-03-05,4552.0
2015-03-06,4554.0
2015-03-09,4932.0
2015-03-10,6632.0
2015-03-11,4332.0
2015-03-12,4328.0
2015-03-13,4324.0
2015-03-16,4324.0
2015-03-17,4336.0
2015-03-18,4334.0
2015-03-19,4312.0
2015-03-20,4310.0
2015-03-23,4298.0
2015-03-24,4296.0
2015-03-25,4294.0
2015-03-26,4218.0
2015-03-27,4224.0
2015-03-30,4216.0
2015-03-31,3614.0
2015-04-01,3614.0
2015-04-02,3616.0
2015-04-03,3616.0
2015-04-07,3612.0
2015-04-08,1602.0
2015-04-09,1522.0
2015-04-10,1518.0
2015-04-13,1516.0
2015-04-14,1512.0
2015-04-15,1512.0
2015-04-16,1506.0
2015-04-17,1502.0
2015-04-20,1494.0
2015-04-21,1478.0
2015-04-22,1474.0
2015-04-23,1462.0
2015-04-24,1058.0
2015-04-27,1072.0
2015-04-28,1014.0
2015-04-29,20.0
2015-04-30,0.0
2015-05-04,6.0
2015-05-05,6.0
2015-05-06,4.0
2015-05-07,4.0
2015-05-08,4.0
2015-05-11,4.0
2015-05-12,4.0
2015-05-13,4.0
2015-05-14,4.0
2015-05-15,6.0
2015-05-18,6.0
2015-05-19,6.0
2015-05-20,6.0
2015-05-21,6.0
2015-05-22,4.0
2015-05-25,4.0
2015-05-26,4.0
2015-05-27,4.0
2015-05-28,4.0
2015-05-29,6.0
2015-06-01,6.0
2015-06-02,4.0
2015-06-03,4.0
2015-06-04,6.0
2015-06-05,6.0
2015-06-08,8.0
2015-06-09,8.0
2015-06-10,8.0
2015-06-11,8.0
2015-06-12,10.0
2015-06-15,10.0
2015-06-16,10.0
2015-06-17,10.0
2015-06-18,10.0
2015-06-19,10.0
2015-06-23,10.0
2015-06-24,14.0
2015-06-25,10.0
2015-06-26,8.0
2015-06-29,8.0
2015-06-30,16.0
2015-07-01,10.0
2015-07-02,14.0
2015-07-03,14.0
2015-07-06,14.0
2015-07-07,14.0
2015-07-08,14.0
2015-07-09,14.0
2015-07-10,14.0
2015-07-13,14.0
2015-07-14,4.0
2015-07-15,4.0
2015-07-16,4.0
2015-07-17,4.0
2015-07-20,4.0
2015-07-21,4.0
2015-07-22,4.0
2015-07-23,4.0
2015-07-24,4.0
2015-07-27,4.0
2015-07-28,6.0
2015-07-29,8.0
2015-07-30,6.0
2015-07-31,6.0
2015-08-03,8.0
2015-08-04,8.0
2015-08-05,8.0
2015-08-06,14.0
2015-08-07,12.0
2015-08-10,8.0
2015-08-11,8.0
2015-08-12,6.0
2015-08-13,6.0
2015-08-14,6.0
2015-08-17,6.0
2015-08-18,4.0
2015-08-19,2.0
2015-08-20,2.0
2015-08-21,2.0
2015-08-24,2.0
2015-08-25,4.0
2015-08-26,4.0
2015-08-27,2.0
2015-08-28,2.0
2015-08-31,4.0
2015-09-01,6.0
2015-09-02,4.0
2015-09-07,6.0
2015-09-08,6.0
2015-09-09,8.0
2015-09-10,8.0
2015-09-11,8.0
2015-09-14,8.0
2015-09-15,8.0
2015-09-16,8.0
2015-09-17,8.0
2015-09-18,8.0
2015-09-21,8.0
2015-09-22,8.0
2015-09-23,8.0
2015-09-24,8.0
2015-09-25,8.0
2015-09-28,10.0
2015-09-29,10.0
2015-09-30,12.0
2015-10-08,20.0
2015-10-09,72.0
2015-10-12,74.0
2015-10-13,74.0
2015-10-14,74.0
2015-10-15,76.0
2015-10-16,80.0
2015-10-19,88.0
2015-10-20,120.0
2015-10-21,174.0
2015-10-22,164.0
2015-10-23,156.0
2015-10-26,166.0
2015-10-27,200.0
2015-10-28,242.0
2015-10-29,470.0
2015-10-30,654.0
2015-11-02,554.0
2015-11-03,1254.0
2015-11-04,1642.0
2015-11-05,1732.0
2015-11-06,1434.0
2015-11-09,1188.0
2015-11-10,1014.0
2015-11-11,1690.0
2015-11-12,1928.0
2015-11-13,1890.0
2015-11-16,1784.0
2015-11-17,1882.0
2015-11-18,1854.0
2015-11-19,2256.0
2015-11-20,2180.0
2015-11-23,2518.0
2015-11-24,1874.0
2015-11-25,1428.0
2015-11-26,1556.0
2015-11-27,1480.0
2015-11-30,1458.0
2015-12-01,1408.0
2015-12-02,1302.0
2015-12-03,1340.0
2015-12-04,1142.0
2015-12-07,1130.0
2015-12-08,920.0
2015-12-09,856.0
2015-12-10,808.0
2015-12-11,726.0
2015-12-14,650.0
2015-12-15,592.0
2015-12-16,560.0
2015-12-17,536.0
2015-12-18,462.0
2015-12-21,406.0
2015-12-22,408.0
2015-12-23,442.0
