trading_date,rank,volume,volume_change
2014-08-08,210,30410760,11584
2014-08-11,210,22673948,957
2014-08-12,210,24239066,3391
2014-08-13,210,23979777,284
2014-08-14,210,24338274,1384
2014-08-15,210,21644695,-248
2014-08-18,210,13995009,-768
2014-08-19,210,14224236,585
2014-08-20,210,14648400,490
2014-08-21,210,14042764,-432
2014-08-22,210,5532090,-812
2014-08-25,210,2933196,-281
2014-08-26,210,2377608,-444
2014-08-27,210,2091688,23
2014-08-28,210,2134981,474
2014-08-29,210,2034776,-245
2014-09-01,210,2553791,901
2014-09-02,210,2873305,699
2014-09-03,210,3654246,1058
2014-09-04,210,3640157,301
2014-09-05,210,4229230,440
2014-09-09,210,6558130,1429
2014-09-10,210,6599905,37
2014-09-11,210,6605580,88
2014-09-12,210,6673495,63
2014-09-15,210,6109931,-353
2014-09-16,210,6124370,82
2014-09-17,210,6104580,24
2014-09-18,210,6117916,56
2014-09-19,210,6205944,162
2014-09-22,210,8170508,480
2014-09-23,210,8194791,26
2014-09-24,210,8287682,36
2014-09-25,210,9942066,524
2014-09-26,210,9865890,-73
2014-09-29,210,9838328,-20
2014-09-30,210,9707915,-76
2014-10-08,210,9709440,-9
2014-10-09,210,9729767,-37
2014-10-10,210,9677558,-43
2014-10-13,210,9626381,-6
2014-10-14,210,8916624,-201
2014-10-15,210,9013358,34
2014-10-16,210,9010577,-14
2014-10-17,210,8898935,-46
2014-10-20,210,8268145,-68
2014-10-21,210,8314419,-1
2014-10-22,210,8315432,3
2014-10-23,210,8314946,-2
2014-10-24,210,7803842,-146
2014-10-27,210,7584219,-54
2014-10-28,210,7372572,-55
2014-10-29,210,7197208,-63
2014-10-30,210,7129948,-16
2014-10-31,210,7230435,38
2014-11-03,210,7509180,101
2014-11-04,210,7409852,-14
2014-11-05,210,7402148,-17
2014-11-06,210,7441943,11
2014-11-07,210,7405320,-25
2014-11-10,210,7279630,-24
2014-11-11,210,7226131,-6
2014-11-12,210,6894483,-58
2014-11-13,210,6899671,6
2014-11-14,210,6912217,-39
2014-11-17,210,6912209,1
2014-11-18,210,6888068,-65
2014-11-19,210,5763495,-499
2014-11-20,210,4030278,-1390
2014-11-21,210,3283663,-1183
2014-11-24,210,2912330,-442
2014-11-25,210,2912598,0
2014-11-26,210,2908805,-24
2014-11-27,210,2916710,41
2014-11-28,210,2909861,-28
2014-12-01,210,3469987,96
2014-12-02,210,3464825,16
2014-12-03,210,4947677,568
2014-12-04,210,6399275,298
2014-12-05,210,6637140,94
2014-12-08,210,6690299,11
2014-12-09,210,6690988,34
2014-12-10,210,6687965,-7
2014-12-11,210,6687554,-15
2014-12-12,210,6713730,5
2014-12-15,210,6713727,0
2014-12-16,210,6713730,3
2014-12-17,210,7128344,68
2014-12-18,210,7096454,-5
2014-12-19,210,7094858,-8
2014-12-22,210,7094683,-13
2014-12-23,210,7094621,-5
2014-12-24,210,7090658,-21
2014-12-25,210,7114961,-15
2014-12-26,210,7112246,1
2014-12-29,210,7278661,32
2014-12-30,210,7278456,0
2014-12-31,210,13566967,0
2015-01-05,210,13566963,-2
2015-01-06,210,13566963,0
2015-01-07,210,13566963,0
2015-01-08,210,13566963,0
2015-01-09,210,13566963,0
2015-01-12,210,13566963,0
2015-01-13,210,13566967,2
2015-01-14,210,13566967,0
2015-01-15,210,13566951,-4
2015-01-16,210,9826,-3683
2015-01-19,210,9832,4
2015-01-20,153,9834,0
2015-01-21,171,9832,0
2015-01-22,153,9832,0
2015-01-23,153,9831,-1
2015-01-26,136,9831,0
2015-01-27,153,9831,0
2015-01-28,210,4013826,2001
2015-01-29,210,4013941,12
2015-01-30,210,4013941,0
2015-02-02,210,6280122,517
2015-02-03,210,4545299,-5
2015-02-04,210,4545252,-2
2015-02-05,210,4545251,0
2015-02-06,210,4545251,0
2015-02-09,210,4330282,-52
2015-02-10,210,3542778,-207
2015-02-11,210,3542769,-1
2015-02-12,210,3542744,-5
2015-02-13,210,3542744,0
2015-02-16,210,3542744,0
2015-02-17,210,3542687,-3
2015-02-25,210,3542687,0
2015-02-26,210,3542687,0
2015-02-27,210,3542687,0
2015-03-02,210,1746596,-97
2015-03-03,210,1746596,1
2015-03-04,210,1746596,0
2015-03-05,210,1746544,-2
2015-03-06,210,1746525,1
2015-03-09,210,2207622,199
2015-03-10,210,2960930,851
2015-03-11,210,1392740,-1150
2015-03-12,210,1392242,-1
2015-03-13,210,1394306,-1
2015-03-16,210,1394306,0
2015-03-17,210,1394342,7
2015-03-18,210,1394341,-1
2015-03-19,210,1386806,-11
2015-03-20,210,1386249,-1
2015-03-23,210,1388301,-6
2015-03-24,210,1387746,-1
2015-03-25,190,1385657,-1
2015-03-26,190,1362131,-38
2015-03-27,210,1362134,3
2015-03-30,210,1361632,-3
2015-03-31,210,1277327,-52
2015-04-01,136,1277327,0
2015-04-02,153,1277328,1
2015-04-03,210,1277328,1
2015-04-07,210,1265306,8
2015-04-08,210,178303,-1004
2015-04-09,153,176463,-40
2015-04-10,210,174897,-2
2015-04-13,210,174896,-1
2015-04-14,190,174398,-2
2015-04-15,136,174398,0
2015-04-16,153,173619,-3
2015-04-17,120,173567,-2
2015-04-20,190,172213,-4
2015-04-21,136,170567,-8
2015-04-22,153,168603,-2
2015-04-23,120,167993,-6
2015-04-24,120,97847,-202
2015-04-27,210,95534,7
2015-04-28,210,93963,-2
2015-04-29,210,24,-426
2015-04-30,36,0,-10
2015-05-04,3,9,3
2015-05-05,3,9,0
2015-05-06,10,2,-1
2015-05-07,6,2,0
2015-05-08,6,2,0
2015-05-11,6,2,0
2015-05-12,6,2,0
2015-05-13,10,2,0
2015-05-14,6,2,0
2015-05-15,10,3,1
2015-05-18,10,3,0
2015-05-19,45,3,0
2015-05-20,21,3,0
2015-05-21,15,3,0
2015-05-22,15,2,-1
2015-05-25,6,2,0
2015-05-26,6,2,0
2015-05-27,6,2,0
2015-05-28,6,2,0
2015-05-29,15,3,1
2015-06-01,10,3,0
2015-06-02,15,2,-1
2015-06-03,6,2,0
2015-06-04,15,3,1
2015-06-05,6,3,0
2015-06-08,10,4,1
2015-06-09,10,4,0
2015-06-10,10,4,0
2015-06-11,10,4,0
2015-06-12,21,5,1
2015-06-15,15,5,0
2015-06-16,15,5,0
2015-06-17,15,5,0
2015-06-18,15,5,0
2015-06-19,15,5,0
2015-06-23,15,5,0
2015-06-24,78,7,2
2015-06-25,45,5,-2
2015-06-26,15,4,-1
2015-06-29,10,4,0
2015-06-30,45,12,4
2015-07-01,36,7,-3
2015-07-02,55,11,2
2015-07-03,36,11,0
2015-07-06,66,11,0
2015-07-07,45,11,0
2015-07-08,36,11,0
2015-07-09,36,11,0
2015-07-10,36,11,0
2015-07-13,55,11,0
2015-07-14,45,2,-5
2015-07-15,10,2,0
2015-07-16,6,2,0
2015-07-17,6,2,0
2015-07-20,6,2,0
2015-07-21,6,2,0
2015-07-22,6,2,0
2015-07-23,6,2,0
2015-07-24,6,2,0
2015-07-27,6,2,0
2015-07-28,10,3,1
2015-07-29,28,4,1
2015-07-30,45,3,-1
2015-07-31,15,3,0
2015-08-03,28,4,1
2015-08-04,28,4,0
2015-08-05,28,4,0
2015-08-06,120,15,3
2015-08-07,66,12,-1
2015-08-10,55,4,-2
2015-08-11,28,4,0
2015-08-12,28,3,-1
2015-08-13,21,3,0
2015-08-14,15,3,0
2015-08-17,36,3,0
2015-08-18,15,2,-1
2015-08-19,15,1,-1
2015-08-20,3,1,0
2015-08-21,10,1,0
2015-08-24,3,1,0
2015-08-25,21,2,1
2015-08-26,6,2,0
2015-08-27,10,1,-1
2015-08-28,3,1,0
2015-08-31,6,2,1
2015-09-01,15,5,1
2015-09-02,15,2,-1
2015-09-07,15,3,1
2015-09-08,6,3,0
2015-09-09,21,6,1
2015-09-10,6,6,0
2015-09-11,6,6,0
2015-09-14,6,6,0
2015-09-15,6,6,0
2015-09-16,10,6,0
2015-09-17,6,6,0
2015-09-18,6,6,0
2015-09-21,6,6,0
