trading_date,rank,volume,volume_change
2014-08-08,210,28625404,12396
2014-08-11,210,28516323,978
2014-08-12,210,33401259,4023
2014-08-13,210,32161246,61
2014-08-14,210,29176933,1760
2014-08-15,210,22795590,-1573
2014-08-18,210,22484985,-834
2014-08-19,210,22124039,156
2014-08-20,210,21918803,203
2014-08-21,210,21691515,-458
2014-08-22,210,6683511,-2756
2014-08-25,210,3854994,838
2014-08-26,210,2984126,-384
2014-08-27,210,2724710,165
2014-08-28,210,2557589,200
2014-08-29,210,2373906,-328
2014-09-01,210,2743544,961
2014-09-02,210,3219087,864
2014-09-03,210,4164868,957
2014-09-04,210,4300271,8
2014-09-05,210,4575301,474
2014-09-09,210,4855729,902
2014-09-10,210,5501717,351
2014-09-11,210,5549568,69
2014-09-12,210,5663620,144
2014-09-15,210,6029597,98
2014-09-16,210,6136752,96
2014-09-17,210,6201002,72
2014-09-18,210,6173923,114
2014-09-19,210,6120417,112
2014-09-22,210,6029400,129
2014-09-23,210,5979411,-13
2014-09-24,210,6032131,26
2014-09-25,210,5968669,383
2014-09-26,210,5858636,-155
2014-09-29,210,5999278,22
2014-09-30,210,5927003,-97
2014-10-08,210,5925946,-31
2014-10-09,210,5913556,-12
2014-10-10,210,5918193,25
2014-10-13,210,6030668,18
2014-10-14,210,5993679,-139
2014-10-15,210,5992092,65
2014-10-16,210,6007422,-4
2014-10-17,210,6029598,-37
2014-10-20,210,5962195,-69
2014-10-21,210,5927629,4
2014-10-22,210,5715292,-2
2014-10-23,210,5595992,-45
2014-10-24,210,5655407,25
2014-10-27,210,5657524,-7
2014-10-28,210,5593030,-41
2014-10-29,210,5502904,-68
2014-10-30,210,5438387,-29
2014-10-31,210,5323023,25
2014-11-03,210,5055177,-22
2014-11-04,210,5085333,99
2014-11-05,210,5084016,7
2014-11-06,210,5096342,35
2014-11-07,210,5058789,-25
2014-11-10,210,5022917,11
2014-11-11,210,5023912,-23
2014-11-12,210,5029471,17
2014-11-13,210,5015388,1
2014-11-14,210,4964573,-12
2014-11-17,210,4962504,-11
2014-11-18,210,4867830,-61
2014-11-19,210,3957399,-451
2014-11-20,210,2641232,-957
2014-11-21,210,2094336,-1236
2014-11-24,210,1766905,-467
2014-11-25,210,1760259,-22
2014-11-26,210,1680491,-60
2014-11-27,210,1729821,47
2014-11-28,210,1782497,9
2014-12-01,210,1829990,93
2014-12-02,210,1887692,-8
2014-12-03,210,2638023,565
2014-12-04,210,3095249,309
2014-12-05,210,3142325,127
2014-12-08,210,3247196,73
2014-12-09,210,3259245,-1
2014-12-10,210,3339665,39
2014-12-11,210,3353234,-1
2014-12-12,210,3353436,3
2014-12-15,210,3353530,1
2014-12-16,210,3355416,2
2014-12-17,210,3411789,46
2014-12-18,210,3447988,6
2014-12-19,210,3446320,-8
2014-12-22,210,3445799,-19
2014-12-23,210,3461792,-4
2014-12-24,210,3456103,-4
2014-12-25,210,3492607,-10
2014-12-26,210,3508048,8
2014-12-29,210,3506865,-1
2014-12-30,210,3506642,-2
2014-12-31,210,3513839,7
2015-01-05,210,3511603,-2
2015-01-06,210,3512263,0
2015-01-07,210,3509725,0
2015-01-08,210,3704661,0
2015-01-09,210,3704661,0
2015-01-12,210,3704661,0
2015-01-13,210,3704691,2
2015-01-14,210,3704665,0
2015-01-15,210,3704649,-4
2015-01-16,210,13492,-3585
2015-01-19,210,13508,4
2015-01-20,153,13508,0
2015-01-21,171,13508,0
2015-01-22,153,13508,0
2015-01-23,153,13277,-1
2015-01-26,136,13277,0
2015-01-27,153,13277,0
2015-01-28,210,3576498,2002
