trading_date,rank,volume,volume_change
2016-03-03,210,6726,2535
2016-03-04,210,5711,-699
2016-03-07,210,5733,451
2016-03-08,210,6103,454
2016-03-09,210,5718,342
2016-03-10,210,5491,510
2016-03-11,210,5311,13
2016-03-14,210,5182,-34
2016-03-15,210,5467,540
2016-03-16,210,5529,237
2016-03-17,210,5413,-18
2016-03-18,210,5548,372
2016-03-21,210,4967,-149
2016-03-22,210,5045,176
2016-03-23,210,4907,24
2016-03-24,210,5377,699
2016-03-25,210,5947,671
2016-03-28,210,5631,66
2016-03-29,210,5714,225
2016-03-30,210,6534,1226
2016-03-31,210,6715,809
2016-04-01,210,6266,-155
2016-04-05,210,6255,24
2016-04-06,210,6070,3
2016-04-07,210,6366,331
2016-04-08,210,6358,120
2016-04-11,210,5728,-558
2016-04-12,210,5726,100
2016-04-13,210,5458,-210
2016-04-14,210,5296,-46
2016-04-15,210,5325,114
2016-04-18,210,5372,88
2016-04-19,210,4969,-213
2016-04-20,210,5099,215
2016-04-21,210,5325,246
2016-04-22,210,5201,324
2016-04-25,210,4817,-121
2016-04-26,210,5091,375
2016-04-27,210,5025,-61
2016-04-28,210,4750,-219
2016-04-29,210,4631,292
2016-05-03,210,4580,-3
2016-05-04,210,4448,-118
2016-05-05,210,4332,-86
2016-05-06,210,4248,-72
2016-05-09,210,4202,-46
2016-05-10,210,4124,96
2016-05-11,210,3992,-130
2016-05-12,210,3986,0
2016-05-13,210,3978,8
2016-05-16,210,3976,20
2016-10-21,210,7354,2195
2016-10-24,210,7546,258
2016-10-25,210,7466,-10
2016-10-26,210,6988,-291
2016-10-27,210,6927,268
2016-10-28,210,7330,533
2016-10-31,210,6942,-338
2016-11-01,210,7243,323
2016-11-02,210,6959,-201
2016-11-03,210,7104,182
2016-11-04,210,7784,873
2016-11-07,210,7586,-121
2016-11-08,210,6955,20
2016-11-09,210,6849,281
2016-11-10,210,7374,562
2016-11-11,210,7165,-88
2016-11-14,210,6549,-20
2016-11-15,210,6227,-135
2016-11-16,210,6323,147
2016-11-17,210,6133,32
2016-11-18,210,6337,323
2016-11-21,210,6025,19
2016-11-22,210,6246,443
2016-11-23,210,6045,-172
2016-11-24,210,5368,-510
2016-11-25,210,5607,357
2016-11-28,210,5515,43
2016-11-29,210,5269,-18
2016-11-30,210,5665,530
2016-12-01,210,5675,268
2016-12-02,210,5632,98
2016-12-05,210,5346,-85
2016-12-06,210,5318,151
2016-12-07,210,5188,148
2016-12-08,210,5010,201
2016-12-09,210,5301,382
2016-12-12,210,5351,122
2016-12-13,210,5610,385
2016-12-14,210,5343,-148
2016-12-15,210,5425,232
2016-12-16,210,5282,-115
2016-12-19,210,4399,-734
2016-12-20,210,4283,-34
2016-12-21,210,4272,65
2016-12-22,210,4351,185
2016-12-23,210,4322,11
2016-12-26,210,4522,280
2016-12-27,210,4058,-301
2016-12-28,210,3587,-385
2016-12-29,210,3138,-335
2016-12-30,210,2782,-293
2017-01-03,210,2830,60
2017-01-04,210,2922,112
2017-01-05,210,2950,44
2017-01-06,210,2890,-38
2017-01-09,210,2846,-20
2017-01-10,190,2820,-22
2017-01-11,153,2826,14
2017-01-12,153,2824,-2
2017-01-13,171,2824,0
2017-01-16,171,2824,0
2017-06-07,210,8832,872
2017-06-08,210,8725,2
2017-06-09,210,8577,-50
2017-06-12,210,8249,-240
2017-06-13,210,8561,436
2017-06-14,210,8859,754
2017-06-15,210,8698,-71
2017-06-16,210,8751,53
2017-06-19,210,8278,-424
2017-06-20,210,8212,-49
2017-06-21,210,8431,220
2017-06-22,210,8226,-127
2017-06-23,210,7948,-210
2017-06-26,210,8479,531
2017-06-27,210,8628,149
2017-06-28,210,8301,-295
2017-06-29,210,8650,426
2017-06-30,210,8954,375
2017-07-03,210,8986,32
2017-07-04,210,8955,-9
2017-07-05,210,9059,104
2017-07-06,210,8531,-528
2017-07-07,210,8601,73
2017-07-10,210,8345,92
2017-07-11,210,8508,163
2017-07-12,210,8539,204
2017-07-13,210,8937,461
2017-07-14,210,8276,-479
2017-07-17,210,8228,41
2017-07-18,210,8223,41
2017-07-19,210,9031,946
2017-07-20,210,8831,-99
2017-07-21,210,8393,-230
2017-07-24,210,8523,139
2017-07-25,210,8588,101
2017-07-26,210,8482,214
2017-07-27,210,9627,1281
2017-07-28,210,9354,-13
2017-07-31,210,8826,-528
2017-08-01,210,8313,-439
2017-08-02,210,8281,51
2017-08-03,210,8109,-130
2017-08-04,210,7950,-154
2017-08-07,210,7966,16
2017-08-08,210,7863,-103
2017-08-09,210,7744,254
2017-08-10,210,7432,-259
2017-08-11,210,7691,282
2017-08-14,210,7962,365
2017-08-15,210,7890,-72
2017-08-16,210,7658,-232
2017-08-17,210,6722,-812
2017-08-18,210,6432,-270
2017-08-21,210,6293,108
2017-08-22,210,6230,-63
2017-08-23,210,6164,115
2017-08-24,210,5636,-527
2017-08-25,210,5573,-6
2017-08-28,210,5308,-229
2017-08-29,210,4730,-506
2017-08-30,210,4562,-130
2017-08-31,210,4478,48
2017-09-01,210,4406,-36
2017-09-04,210,4390,14
2017-09-05,210,4104,-278
2017-09-06,210,3784,-320
2017-09-07,210,3726,-42
2017-09-08,210,3652,-56
2017-09-11,210,3550,70
2017-09-12,210,3456,-76
2017-09-13,210,3416,-40
2017-09-14,210,3352,-44
2017-09-15,210,10490,725
2017-09-18,210,7755,-149
2017-09-19,210,7771,141
2017-09-20,210,7534,2
2017-09-21,210,7447,82
2017-09-22,210,7263,403
2017-09-25,210,7437,256
2017-09-26,210,7171,-205
2017-09-27,210,7263,139
2017-09-28,210,7183,-23
2017-09-29,210,7016,-121
2017-10-09,210,7412,413
2017-10-10,210,7343,-26
2017-10-11,210,7590,475
2017-10-12,210,7630,120
2017-10-13,210,7429,-185
2017-10-16,210,7317,195
2017-10-17,210,7325,22
2017-10-18,210,8082,808
2017-10-19,210,8185,216
2017-10-20,210,8716,554
2017-10-23,210,8841,193
2017-10-24,210,8596,-141
2017-10-25,210,8568,-26
2017-10-26,210,8441,-53
2017-10-27,210,8820,455
2017-10-30,210,8773,-47
2017-10-31,210,9028,293
2017-11-01,210,9137,214
2017-11-02,210,8886,-251
2017-11-03,210,8760,-126
2017-11-06,210,8299,-461
2017-11-07,210,8877,616
2017-11-08,210,9440,577
2017-11-09,210,9398,13
2017-11-10,210,8811,-579
2017-11-13,210,8553,-258
2017-11-14,210,8315,-197
2017-11-15,210,8539,227
2017-11-16,210,8310,-180
