trading_date,SN_total_oi
2016-03-03,20312.0
2016-03-04,17022.0
2016-03-07,17280.0
2016-03-08,17898.0
2016-03-09,16654.0
2016-03-10,16070.0
2016-03-11,16284.0
2016-03-14,15960.0
2016-03-15,16240.0
2016-03-16,16536.0
2016-03-17,16218.0
2016-03-18,16992.0
2016-03-21,15506.0
2016-03-22,15836.0
2016-03-23,15506.0
2016-03-24,17244.0
2016-03-25,19198.0
2016-03-28,17868.0
2016-03-29,18158.0
2016-03-30,20502.0
2016-03-31,21556.0
2016-04-01,18930.0
2016-04-05,18912.0
2016-04-06,18416.0
2016-04-07,18914.0
2016-04-08,18876.0
2016-04-11,18118.0
2016-04-12,18356.0
2016-04-13,18120.0
2016-04-14,18540.0
2016-04-15,18820.0
2016-04-18,18960.0
2016-04-19,19088.0
2016-04-20,19166.0
2016-04-21,20870.0
2016-04-22,18944.0
2016-04-25,19538.0
2016-04-26,20164.0
2016-04-27,19880.0
2016-04-28,19464.0
2016-04-29,19286.0
2016-05-03,19376.0
2016-05-04,19304.0
2016-05-05,21162.0
2016-05-06,19456.0
2016-05-09,19122.0
2016-05-10,18818.0
2016-05-11,18488.0
2016-05-12,18086.0
2016-05-13,20226.0
2016-05-16,19864.0
2016-10-21,20650.0
2016-10-24,20482.0
2016-10-25,20824.0
2016-10-26,19520.0
2016-10-27,19516.0
2016-10-28,20874.0
2016-10-31,19438.0
2016-11-01,20108.0
2016-11-02,18790.0
2016-11-03,19228.0
2016-11-04,21782.0
2016-11-07,21824.0
2016-11-08,20568.0
2016-11-09,21738.0
2016-11-10,23264.0
2016-11-11,22476.0
2016-11-14,18348.0
2016-11-15,17636.0
2016-11-16,17878.0
2016-11-17,17424.0
2016-11-18,17564.0
2016-11-21,16884.0
2016-11-22,17140.0
2016-11-23,17050.0
2016-11-24,17358.0
2016-11-25,17298.0
2016-11-28,17212.0
2016-11-29,16318.0
2016-11-30,16512.0
2016-12-01,16360.0
2016-12-02,15820.0
2016-12-05,15524.0
2016-12-06,15412.0
2016-12-07,16288.0
2016-12-08,15190.0
2016-12-09,15500.0
2016-12-12,16074.0
2016-12-13,16946.0
2016-12-14,16464.0
2016-12-15,17734.0
2016-12-16,17220.0
2016-12-19,14928.0
2016-12-20,14720.0
2016-12-21,14880.0
2016-12-22,15202.0
2016-12-23,15200.0
2016-12-26,16498.0
2016-12-27,15660.0
2016-12-28,14464.0
2016-12-29,15290.0
2016-12-30,14094.0
2017-01-03,16778.0
2017-01-04,17738.0
2017-01-05,20404.0
2017-01-06,21968.0
2017-01-09,22558.0
2017-01-10,24222.0
2017-01-11,23040.0
2017-01-12,20666.0
2017-01-13,19420.0
2017-01-16,18862.0
2017-06-07,20656.0
2017-06-08,19918.0
2017-06-09,19504.0
2017-06-12,19234.0
2017-06-13,21344.0
2017-06-14,23076.0
2017-06-15,22078.0
2017-06-16,22204.0
2017-06-19,20630.0
2017-06-20,20630.0
2017-06-21,20654.0
2017-06-22,20402.0
2017-06-23,19712.0
2017-06-26,20880.0
2017-06-27,21026.0
2017-06-28,20368.0
2017-06-29,21472.0
2017-06-30,22494.0
2017-07-03,22968.0
2017-07-04,22450.0
2017-07-05,22992.0
2017-07-06,21810.0
2017-07-07,21860.0
2017-07-10,21306.0
2017-07-11,21408.0
2017-07-12,21796.0
2017-07-13,23178.0
2017-07-14,21468.0
2017-07-17,21574.0
2017-07-18,21432.0
2017-07-19,26004.0
2017-07-20,25740.0
2017-07-21,23650.0
2017-07-24,24432.0
2017-07-25,24904.0
2017-07-26,24360.0
2017-07-27,29844.0
2017-07-28,28204.0
2017-07-31,28070.0
2017-08-01,26704.0
2017-08-02,25840.0
2017-08-03,24788.0
2017-08-04,23896.0
2017-08-07,23886.0
2017-08-08,24232.0
2017-08-09,25816.0
2017-08-10,24930.0
2017-08-11,24896.0
2017-08-14,25186.0
2017-08-15,24848.0
2017-08-16,25220.0
2017-08-17,24066.0
2017-08-18,23776.0
2017-08-21,23444.0
2017-08-22,23906.0
2017-08-23,25118.0
2017-08-24,24198.0
2017-08-25,24064.0
2017-08-28,24306.0
2017-08-29,23782.0
2017-08-30,23748.0
2017-08-31,25222.0
2017-09-01,25152.0
2017-09-04,25400.0
2017-09-05,25448.0
2017-09-06,25976.0
2017-09-07,26408.0
2017-09-08,26640.0
2017-09-11,26406.0
2017-09-12,26564.0
2017-09-13,25888.0
2017-09-14,25500.0
2017-09-15,27034.0
2017-09-18,19632.0
2017-09-19,19612.0
2017-09-20,19454.0
2017-09-21,18754.0
2017-09-22,18252.0
2017-09-25,18924.0
2017-09-26,19470.0
2017-09-27,19440.0
2017-09-28,18160.0
2017-09-29,17988.0
2017-10-09,19550.0
2017-10-10,19380.0
2017-10-11,19610.0
2017-10-12,19212.0
2017-10-13,18804.0
2017-10-16,19784.0
2017-10-17,19334.0
2017-10-18,20020.0
2017-10-19,20188.0
2017-10-20,21062.0
2017-10-23,21364.0
2017-10-24,20890.0
2017-10-25,20556.0
2017-10-26,20552.0
2017-10-27,21016.0
2017-10-30,20758.0
2017-10-31,21600.0
2017-11-01,22242.0
2017-11-02,21462.0
2017-11-03,21240.0
2017-11-06,20680.0
2017-11-07,22696.0
2017-11-08,23768.0
2017-11-09,23456.0
2017-11-10,21936.0
2017-11-13,21150.0
2017-11-14,20900.0
2017-11-15,21142.0
2017-11-16,20902.0
2017-11-17,21056.0
2017-11-20,20652.0
2017-11-21,20816.0
2017-11-22,21114.0
2017-11-23,23062.0
2017-11-24,22384.0
2017-11-27,21426.0
2017-11-28,21360.0
2017-11-29,21720.0
2017-11-30,22214.0
2017-12-01,23334.0
2017-12-04,22250.0
2017-12-05,22522.0
2017-12-06,22292.0
2017-12-07,22172.0
2017-12-08,23176.0
2017-12-11,24572.0
2017-12-12,25484.0
2017-12-13,29506.0
2017-12-14,28450.0
2017-12-15,28260.0
2017-12-18,26846.0
2017-12-19,25934.0
2017-12-20,25486.0
2017-12-21,25312.0
2017-12-22,25342.0
2017-12-25,25022.0
2017-12-26,24266.0
2017-12-27,23284.0
2017-12-28,22980.0
2017-12-29,22048.0
2018-01-02,21856.0
2018-01-03,21620.0
2018-01-04,21682.0
2018-01-05,22098.0
2018-01-08,21932.0
2018-01-09,21748.0
2018-01-10,21564.0
2018-01-11,21730.0
2018-01-12,21860.0
2018-01-15,21450.0
2018-01-25,21450.0
2018-01-26,21850.0
2018-01-29,27382.0
2018-01-30,27590.0
2018-01-31,27714.0
2018-02-01,26512.0
2018-02-02,26078.0
2018-02-05,27454.0
2018-02-06,27804.0
2018-02-07,31314.0
2018-02-08,28412.0
2018-02-09,26404.0
2018-02-12,25154.0
2018-02-13,24110.0
2018-02-14,24152.0
2018-02-22,24366.0
2018-02-23,24572.0
