trading_date,rank,volume,volume_change
2016-03-03,210,5596160,1675
2016-03-04,210,4664015,-410
2016-03-07,210,4933680,477
2016-03-08,210,5638938,204
2016-03-09,210,5831788,102
2016-03-10,210,5807147,183
2016-03-11,210,6312341,485
2016-03-14,210,6089870,-68
2016-03-15,210,6395365,185
2016-03-16,210,6304330,68
2016-03-17,210,6819060,66
2016-03-18,210,7291700,477
2016-03-21,210,6743867,-138
2016-03-22,210,6133947,208
2016-03-23,210,6183559,-26
2016-03-24,210,6308409,690
2016-03-25,210,6828063,589
2016-03-28,210,7044976,505
2016-03-29,210,6858356,136
2016-03-30,210,7141070,785
2016-03-31,210,6717852,239
2016-04-01,210,5867686,-528
2016-04-05,210,5857284,-32
2016-04-06,210,5559381,-122
2016-04-07,210,5523865,125
2016-04-08,210,5558261,55
2016-04-11,210,6254804,342
2016-04-12,210,6232967,106
2016-04-13,210,6310808,-77
2016-04-14,210,6230645,229
2016-04-15,210,6634684,131
2016-04-18,210,6632594,154
2016-04-19,210,6795961,36
2016-04-20,210,7251550,-27
2016-04-21,210,8858269,242
2016-04-22,210,8771846,-104
2016-04-25,210,8415125,-66
2016-04-26,210,8414428,104
2016-04-27,210,8341216,-61
2016-04-28,210,7750274,-349
2016-04-29,190,7558043,-79
2016-05-03,153,7423808,-112
2016-05-04,78,7068868,-150
2016-05-05,55,6754708,-134
2016-05-06,36,6563036,-72
2016-05-09,21,6420248,-38
2016-05-10,21,6233788,-92
2016-05-11,21,6097472,-126
2016-05-12,10,6123396,6
2016-05-13,10,6114744,-2
2016-05-16,10,6106100,-2
2016-10-21,210,3801906,1644
2016-10-24,210,3941781,174
2016-10-25,210,4684567,506
2016-10-26,210,4225087,-367
2016-10-27,210,4250656,-5
2016-10-28,210,4487875,325
2016-10-31,210,4352289,-239
2016-11-01,210,4960007,518
2016-11-02,210,4592598,-428
2016-11-03,210,4663271,152
2016-11-04,210,5803268,904
2016-11-07,210,6198062,523
2016-11-08,210,5989005,-57
2016-11-09,210,6053740,41
2016-11-10,210,6885387,595
2016-11-11,210,6702140,-278
2016-11-14,210,5437781,-1249
2016-11-15,210,5457156,137
2016-11-16,210,5296572,248
2016-11-17,210,5160863,-198
2016-11-18,210,5147200,70
2016-11-21,210,5009431,-219
2016-11-22,210,4970257,110
2016-11-23,210,4883190,-27
2016-11-24,210,4902293,74
2016-11-25,210,4835738,-55
2016-11-28,210,4803084,111
2016-11-29,210,4383259,-356
2016-11-30,210,4015139,-69
2016-12-01,210,3994053,-48
2016-12-02,210,3830356,-133
2016-12-05,210,3769616,-39
2016-12-06,210,3773405,-59
2016-12-07,210,4316008,428
2016-12-08,210,3782040,-395
2016-12-09,210,3868279,271
2016-12-12,210,4095471,224
2016-12-13,210,4160396,124
2016-12-14,210,3938796,-126
2016-12-15,210,3910489,88
2016-12-16,210,3856225,-41
2016-12-19,210,3125071,-783
2016-12-20,210,2859032,-89
2016-12-21,210,2839588,-57
2016-12-22,210,2570721,-102
2016-12-23,210,2506135,-73
2016-12-26,210,2304555,271
2016-12-27,210,2080206,-368
2016-12-28,210,1824929,-455
2016-12-29,210,1766862,-246
2016-12-30,210,1698181,-175
2017-01-03,210,1695824,40
2017-01-04,210,1725624,102
