trading_date,rank,volume,volume_change
2018-11-28,210,33112,5470
2018-11-29,210,36125,4332
2018-11-30,210,47025,12265
2018-12-03,210,62652,21636
2018-12-04,210,65183,5427
2018-12-05,210,58715,1203
2018-12-06,210,63337,6654
2018-12-07,210,64622,4556
2018-12-10,210,64103,1056
2018-12-11,210,61438,-1147
2018-12-12,210,58053,-2232
2018-12-13,210,56427,-446
2018-12-14,210,53741,-2490
2018-12-17,210,56268,2961
2018-12-18,210,57688,1763
2018-12-19,210,58069,1891
2018-12-20,210,56100,-1773
2018-12-21,210,58172,2097
2018-12-24,210,69438,11856
2018-12-25,210,61903,-7535
2018-12-26,210,62430,675
2018-12-27,210,59216,-3214
2018-12-28,210,53834,-3889
2019-01-02,210,64119,11130
2019-01-03,210,61823,-2296
2019-01-04,210,56744,-1273
2019-01-07,210,50712,-5962
2019-01-08,210,50045,-667
2019-01-09,210,47942,-889
2019-01-10,210,45982,-1055
2019-01-11,210,44916,-780
2019-01-14,210,42883,825
2019-01-15,210,44212,2362
2019-01-16,210,42945,-383
2019-01-17,210,44756,2688
2019-01-18,210,43050,-1190
2019-01-21,210,40407,-297
2019-01-22,210,38858,-1441
2019-01-23,210,41063,2676
2019-01-24,210,44799,5483
2019-01-25,210,38694,-4604
2019-01-28,210,40957,2765
2019-01-29,210,39095,1131
2019-01-30,210,36585,-2302
2019-01-31,210,32085,-1024
2019-02-01,210,25929,-5039
2019-02-11,210,28684,2928
2019-02-12,210,35862,7852
2019-02-13,210,35455,621
2019-02-14,210,40072,5013
2019-02-15,210,39020,-606
2019-02-18,210,38350,-346
2019-02-19,210,38733,650
2019-02-20,210,39391,1319
2019-02-21,210,51273,13312
2019-02-22,210,54058,5122
2019-02-25,210,51312,-2654
2019-02-26,210,49213,-983
2019-02-27,210,48958,199
2019-02-28,210,49063,105
2019-03-01,210,49980,1373
2019-03-04,210,46992,-2348
2019-03-05,210,45053,-1719
2019-03-06,210,46752,1756
2019-03-07,210,49889,4015
2019-03-08,210,50624,2863
2019-03-11,210,47132,-95
2019-03-12,210,48519,1990
2019-03-13,210,47314,-159
2019-03-14,210,47053,-261
2019-03-15,210,46567,-241
2019-03-18,210,45287,-801
2019-03-19,210,43316,-1437
2019-03-20,210,42702,1083
2019-03-21,210,43105,2604
2019-03-22,210,43368,702
2019-03-25,210,43100,106
2019-03-26,210,42698,-329
2019-03-27,210,41529,-1169
2019-03-28,210,39931,-326
2019-03-29,210,37004,-2286
2019-04-01,210,38104,2064
2019-04-02,210,37930,577
2019-04-03,210,34550,-2094
2019-04-04,210,34666,452
2019-04-08,210,32427,-2097
2019-04-09,210,31630,-621
2019-04-10,210,31895,677
2019-04-11,210,32045,625
2019-04-12,210,31010,-354
2019-04-15,210,31991,1531
2019-04-16,210,33965,3451
2019-04-17,210,35233,1612
2019-04-18,210,32712,-2452
2019-04-19,210,28795,-3724
2019-04-22,210,28592,-203
2019-04-23,210,28554,652
2019-04-24,210,25631,-2504
2019-04-25,210,23905,-937
2019-04-26,210,19475,-2828
2019-04-29,210,18754,-14
2019-04-30,210,16955,-1633
2019-05-06,210,15734,-692
2019-05-07,210,16053,678
2019-05-08,210,15096,-718
2019-05-09,210,14740,-219
2019-05-10,210,15297,1099
2019-05-13,210,42808,4328
2019-05-14,210,38419,-846
2019-05-15,210,38614,373
2019-05-16,210,40930,2117
2019-05-17,210,45924,6045
2019-05-20,210,49552,3333
2019-05-21,210,50465,1346
2019-05-22,210,49635,-458
2019-05-23,210,50736,1763
2019-05-24,210,54222,3973
2019-05-27,210,52301,-1593
2019-05-28,210,59131,7144
2019-05-29,210,62787,4801
2019-05-30,210,66592,3750
2019-05-31,210,68061,2312
2019-06-03,210,68606,1234
2019-06-04,210,68123,512
2019-06-05,210,74507,7484
2019-06-06,210,70874,-3004
2019-06-10,210,72180,1306
2019-06-11,210,75321,6102
2019-06-12,210,80042,4422
2019-06-13,210,82875,4195
2019-06-14,210,84771,2486
2019-06-17,210,88596,4256
2019-06-18,210,93909,7311
2019-06-19,210,106611,13368
2019-06-20,210,122525,16225
2019-06-21,210,129080,9224
2019-06-24,210,132584,3504
2019-06-25,210,131207,5542
2019-06-26,210,135173,4269
2019-06-27,210,136766,1971
2019-06-28,210,140695,4201
2019-07-01,210,138490,2143
2019-07-02,210,136634,-1705
2019-07-03,210,129372,-6669
2019-07-04,210,121923,-5425
2019-07-05,210,111440,-9762
2019-07-08,210,104316,-6284
2019-07-09,210,96647,-7386
2019-07-10,210,100058,4760
2019-07-11,210,98455,-1596
2019-07-12,210,102280,4867
2019-07-15,210,104273,2356
2019-07-16,210,100071,-4196
2019-07-17,210,99651,402
2019-07-18,210,100176,750
2019-07-19,210,104048,4893
2019-07-22,210,101552,-2392
2019-07-23,210,131694,-30
2019-07-24,210,127483,-3934
2019-07-25,210,127244,-239
2019-07-26,210,125946,-503
2019-07-29,210,122275,-1398
2019-07-30,210,125475,4306
2019-07-31,210,114041,-9916
2019-08-01,210,114998,964
2019-08-02,210,111687,-2927
2019-08-05,210,109197,-2278
2019-08-06,210,106178,-2828
2019-08-07,210,105463,-655
2019-08-08,210,101912,-3293
2019-08-09,210,98471,-1351
2019-08-12,210,103988,5215
2019-08-13,210,104744,3651
2019-08-14,210,108778,4034
2019-08-15,210,96988,-8576
2019-08-16,210,98489,3045
2019-08-19,210,105722,6505
2019-08-20,210,98916,-4084
2019-08-21,210,92360,-5647
2019-08-22,210,94536,1435
2019-08-23,210,94862,-145
2019-08-26,210,110166,17114
2019-08-27,210,120988,13711
2019-08-28,210,127384,6252
2019-08-29,210,128754,1269
2019-08-30,210,118260,-9731
2019-09-02,210,121491,3924
2019-09-03,210,115893,-5598
2019-09-04,210,125733,9824
2019-09-05,210,127028,1272
2019-09-06,210,126615,79
