trading_date,SP_total_oi
2018-11-28,110136.0
2018-11-29,123652.0
2018-11-30,148070.0
2018-12-03,225246.0
2018-12-04,205746.0
2018-12-05,185554.0
2018-12-06,190878.0
2018-12-07,194840.0
2018-12-10,194276.0
2018-12-11,199062.0
2018-12-12,180756.0
2018-12-13,168468.0
2018-12-14,161044.0
2018-12-17,162624.0
2018-12-18,164956.0
2018-12-19,176314.0
2018-12-20,169216.0
2018-12-21,170746.0
2018-12-24,205218.0
2018-12-25,183896.0
2018-12-26,198194.0
2018-12-27,180002.0
2018-12-28,159416.0
2019-01-02,184466.0
2019-01-03,176312.0
2019-01-04,165526.0
2019-01-07,156916.0
2019-01-08,154806.0
2019-01-09,168010.0
2019-01-10,162110.0
2019-01-11,161962.0
2019-01-14,157924.0
2019-01-15,156064.0
2019-01-16,153854.0
2019-01-17,161648.0
2019-01-18,163262.0
2019-01-21,163758.0
2019-01-22,157512.0
2019-01-23,160680.0
2019-01-24,161806.0
2019-01-25,150558.0
2019-01-28,153416.0
2019-01-29,148554.0
2019-01-30,135808.0
2019-01-31,126944.0
2019-02-01,101246.0
2019-02-11,109410.0
2019-02-12,139054.0
2019-02-13,132314.0
2019-02-14,143002.0
2019-02-15,139460.0
2019-02-18,139490.0
2019-02-19,143828.0
2019-02-20,147942.0
2019-02-21,194338.0
2019-02-22,222574.0
2019-02-25,201540.0
2019-02-26,184402.0
2019-02-27,175484.0
2019-02-28,173668.0
2019-03-01,171076.0
2019-03-04,167712.0
2019-03-05,163560.0
2019-03-06,164292.0
2019-03-07,171606.0
2019-03-08,166922.0
2019-03-11,160618.0
2019-03-12,166616.0
2019-03-13,157968.0
2019-03-14,159076.0
2019-03-15,155912.0
2019-03-18,153252.0
2019-03-19,145822.0
2019-03-20,153022.0
2019-03-21,156408.0
2019-03-22,154226.0
2019-03-25,149034.0
2019-03-26,146252.0
2019-03-27,143566.0
2019-03-28,143288.0
2019-03-29,130028.0
2019-04-01,135606.0
2019-04-02,135536.0
2019-04-03,130942.0
2019-04-04,127640.0
2019-04-08,121796.0
2019-04-09,120050.0
2019-04-10,120676.0
2019-04-11,122270.0
2019-04-12,117816.0
2019-04-15,125270.0
2019-04-16,129342.0
2019-04-17,131928.0
2019-04-18,125918.0
2019-04-19,119324.0
2019-04-22,115860.0
2019-04-23,118910.0
2019-04-24,111584.0
2019-04-25,109090.0
2019-04-26,110632.0
2019-04-29,108516.0
2019-04-30,105288.0
2019-05-06,107734.0
2019-05-07,109554.0
2019-05-08,107100.0
2019-05-09,111634.0
2019-05-10,113912.0
2019-05-13,121308.0
2019-05-14,113440.0
2019-05-15,113700.0
2019-05-16,118798.0
2019-05-17,134890.0
2019-05-20,139640.0
2019-05-21,139380.0
2019-05-22,144226.0
2019-05-23,147220.0
2019-05-24,149638.0
2019-05-27,149876.0
2019-05-28,160192.0
2019-05-29,170820.0
2019-05-30,181546.0
2019-05-31,190068.0
2019-06-03,203892.0
2019-06-04,198176.0
2019-06-05,220602.0
2019-06-06,212060.0
2019-06-10,219828.0
2019-06-11,215536.0
2019-06-12,233514.0
2019-06-13,241554.0
2019-06-14,250862.0
2019-06-17,260212.0
2019-06-18,274390.0
2019-06-19,307120.0
2019-06-20,354120.0
2019-06-21,366764.0
2019-06-24,371728.0
2019-06-25,368576.0
2019-06-26,379252.0
2019-06-27,385030.0
2019-06-28,394212.0
2019-07-01,396778.0
2019-07-02,393140.0
2019-07-03,375964.0
2019-07-04,364556.0
2019-07-05,340514.0
2019-07-08,328326.0
2019-07-09,314584.0
2019-07-10,323426.0
2019-07-11,317994.0
2019-07-12,330690.0
2019-07-15,333724.0
2019-07-16,323508.0
2019-07-17,323710.0
2019-07-18,332836.0
2019-07-19,335622.0
2019-07-22,330682.0
2019-07-23,329460.0
2019-07-24,320306.0
2019-07-25,319592.0
2019-07-26,317308.0
2019-07-29,317106.0
2019-07-30,331322.0
2019-07-31,312886.0
2019-08-01,319734.0
2019-08-02,309382.0
2019-08-05,309474.0
2019-08-06,291900.0
2019-08-07,288718.0
2019-08-08,277126.0
2019-08-09,268384.0
2019-08-12,279322.0
2019-08-13,287766.0
2019-08-14,294756.0
2019-08-15,263400.0
2019-08-16,257648.0
2019-08-19,278458.0
2019-08-20,263636.0
2019-08-21,244246.0
2019-08-22,249118.0
2019-08-23,243806.0
2019-08-26,289162.0
2019-08-27,321702.0
2019-08-28,333426.0
2019-08-29,332256.0
2019-08-30,294994.0
2019-09-02,301118.0
2019-09-03,285856.0
2019-09-04,307138.0
2019-09-05,311124.0
2019-09-06,309944.0
2019-09-09,326546.0
2019-09-10,328442.0
2019-09-11,327822.0
2019-09-12,311842.0
2019-09-16,307956.0
2019-09-17,346924.0
2019-09-18,355628.0
2019-09-19,391154.0
2019-09-20,352600.0
2019-09-23,346114.0
2019-09-24,329768.0
2019-09-25,325422.0
2019-09-26,313396.0
2019-09-27,275906.0
2019-09-30,255144.0
2019-10-08,260096.0
2019-10-09,262956.0
