trading_date,rank,volume,volume_change
2018-11-28,210,42604654,7684
2018-11-29,210,43589268,3360
2018-11-30,210,62098245,6294
2018-12-03,210,166893961,21565
2018-12-04,210,141502126,-224
2018-12-05,210,124511722,-1375
2018-12-06,210,122444811,4584
2018-12-07,210,129763129,3667
2018-12-10,210,133830461,1338
2018-12-11,210,138674111,1308
2018-12-12,210,109855135,-3081
2018-12-13,210,77098095,-5491
2018-12-14,210,73381690,-146
2018-12-17,210,75616578,1471
2018-12-18,210,77055342,1123
2018-12-19,210,115140170,6150
2018-12-20,210,118354361,582
2018-12-21,210,118995870,29
2018-12-24,210,165018464,6930
2018-12-25,210,142450168,-3431
2018-12-26,210,181780628,4909
2018-12-27,210,171505194,-1922
2018-12-28,210,121096133,-2282
2019-01-02,210,151581953,7081
2019-01-03,210,143651076,297
2019-01-04,210,120076603,-3268
2019-01-07,210,99774261,-661
2019-01-08,210,91524802,-918
2019-01-09,210,84548758,3165
2019-01-10,210,78585432,-840
2019-01-11,210,78302433,459
2019-01-14,210,66536414,354
2019-01-15,210,63426232,765
2019-01-16,210,57536680,210
2019-01-17,210,69820869,3940
2019-01-18,210,76337083,3293
2019-01-21,210,81929077,2214
2019-01-22,210,76390156,-236
2019-01-23,210,79641940,1602
2019-01-24,210,70020390,-1329
2019-01-25,210,68412422,-236
2019-01-28,210,69843538,927
2019-01-29,210,68980479,-504
2019-01-30,210,65304670,-942
2019-01-31,210,70593928,1895
2019-02-01,210,42642415,-7356
2019-02-11,210,47139931,2240
2019-02-12,210,76903338,7806
2019-02-13,210,63203448,-2299
2019-02-14,210,78460506,2987
2019-02-15,210,70725363,-85
2019-02-18,210,70252062,282
2019-02-19,210,72565546,1131
2019-02-20,210,78892834,2995
2019-02-21,210,159966528,14569
2019-02-22,210,197692501,9256
2019-02-25,210,169296973,-3895
2019-02-26,210,128767757,-3263
2019-02-27,210,107093893,-3823
2019-02-28,210,105626327,212
2019-03-01,210,100387047,-704
2019-03-04,210,100843274,-457
2019-03-05,210,95249725,-327
2019-03-06,210,101754741,1696
2019-03-07,210,109934642,1226
2019-03-08,210,108780639,2736
2019-03-11,210,98600473,-1613
2019-03-12,210,106622579,1482
2019-03-13,210,94364526,-1628
2019-03-14,210,98118843,1549
2019-03-15,210,97901277,825
2019-03-18,210,96232081,-121
2019-03-19,210,80384282,-1744
2019-03-20,210,77688385,615
2019-03-21,210,82613839,1045
2019-03-22,210,80761647,1475
2019-03-25,210,78396172,-820
2019-03-26,210,80148857,-939
2019-03-27,210,75392187,-663
2019-03-28,210,65092786,3838
2019-03-29,210,51233654,-2485
2019-04-01,210,49875290,308
2019-04-02,210,47620018,-234
2019-04-03,210,45060349,-646
2019-04-04,210,40258545,-346
2019-04-08,210,36103211,-987
2019-04-09,210,32575918,-410
2019-04-10,210,35358356,1130
2019-04-11,210,37429416,1479
2019-04-12,210,33634260,-811
2019-04-15,210,38576941,1083
2019-04-16,210,43051661,1350
2019-04-17,210,50750172,2257
2019-04-18,210,48248462,-1011
2019-04-19,210,39699250,-753
2019-04-22,210,36083460,-926
2019-04-23,210,39064367,1358
2019-04-24,210,34993604,-1273
2019-04-25,210,30993020,-835
2019-04-26,210,23434111,-2346
2019-04-29,210,21859809,-286
2019-04-30,210,18343659,-1737
2019-05-06,210,17652947,70
2019-05-07,210,17828798,249
2019-05-08,210,16590612,-624
2019-05-09,210,16697430,131
2019-05-10,210,17497979,-19
2019-05-13,210,84489765,1935
2019-05-14,210,87756288,-385
2019-05-15,210,74319214,-821
2019-05-16,210,74969530,1478
2019-05-17,210,84233507,4346
2019-05-20,210,83189765,366
2019-05-21,210,84137218,-22
2019-05-22,210,95864673,3708
2019-05-23,210,100984018,1056
2019-05-24,210,103815915,1354
2019-05-27,210,98559668,-1477
2019-05-28,210,107083020,2313
2019-05-29,210,117528327,2440
2019-05-30,210,123639380,2502
2019-05-31,210,126539849,2110
2019-06-03,210,145852838,4034
2019-06-04,210,122200387,-3827
2019-06-05,210,139594276,5361
2019-06-06,210,141921668,-282
2019-06-10,210,145494518,1362
2019-06-11,210,130637743,-2887
2019-06-12,210,152187451,4883
2019-06-13,210,160541573,1358
2019-06-14,210,168689011,2172
2019-06-17,210,177029172,1233
2019-06-18,210,201049304,6045
2019-06-19,210,253064971,8910
2019-06-20,210,335485479,9564
2019-06-21,210,347549564,1349
2019-06-24,210,366989668,2022
2019-06-25,210,363932596,-63
2019-06-26,210,366258463,1271
2019-06-27,210,366439373,656
2019-06-28,210,356994578,2870
2019-07-01,210,358282280,1434
2019-07-02,210,348453567,-438
2019-07-03,210,305591867,-4537
2019-07-04,210,302077357,672
2019-07-05,210,259086186,-4237
2019-07-08,210,257737144,1362
2019-07-09,210,237342702,-261
2019-07-10,210,257712620,3156
2019-07-11,210,248749488,-1531
2019-07-12,210,276207671,2875
2019-07-15,210,283527740,1499
2019-07-16,210,269997719,-2671
2019-07-17,210,250825552,-1469
2019-07-18,210,264604413,1956
2019-07-19,210,261476995,917
2019-07-22,210,233560577,-2601
2019-07-23,210,341151825,3038
2019-07-24,210,323005538,-2197
2019-07-25,210,304031382,-2372
2019-07-26,210,312493378,145
2019-07-29,210,297856525,-1625
2019-07-30,210,308329276,1941
2019-07-31,210,215135284,-8501
2019-08-01,210,234947426,2307
2019-08-02,210,256151724,1878
