trading_date,rank,volume,volume_change
2018-11-28,210,90650074,5470
2018-11-29,210,99969059,4332
2018-11-30,210,162975413,12265
2018-12-03,210,255657484,21636
2018-12-04,210,337286681,5427
2018-12-05,210,308763519,1203
2018-12-06,210,332206183,6654
2018-12-07,210,372078964,4556
2018-12-10,210,363033773,1056
2018-12-11,210,296690172,-1147
2018-12-12,210,291943037,-2232
2018-12-13,210,297228673,-446
2018-12-14,210,256462101,-2490
2018-12-17,210,322639616,2961
2018-12-18,210,334212970,1763
2018-12-19,210,329560497,1891
2018-12-20,210,319918494,-1773
2018-12-21,210,352319242,2097
2018-12-24,210,452818382,11856
2018-12-25,210,407373711,-7535
2018-12-26,210,359198098,675
2018-12-27,210,337350538,-3214
2018-12-28,210,340454556,-3889
2019-01-02,210,481675461,11130
2019-01-03,210,395009075,-2296
2019-01-04,210,390313106,-1273
2019-01-07,210,305679846,-5962
2019-01-08,210,283806859,-667
2019-01-09,210,192649406,-889
2019-01-10,210,185943574,-1055
2019-01-11,210,134536420,-780
2019-01-14,210,120843919,825
2019-01-15,210,141735022,2362
2019-01-16,210,128663309,-383
2019-01-17,210,135643412,2688
2019-01-18,210,130492214,-1190
2019-01-21,210,110276793,-297
2019-01-22,210,98147916,-1441
2019-01-23,210,116662297,2676
2019-01-24,210,148249935,5483
2019-01-25,210,123164756,-4604
2019-01-28,210,132105449,2765
2019-01-29,210,121421719,1131
2019-01-30,210,110720099,-2302
2019-01-31,210,80333227,-1024
2019-02-01,210,52393981,-5039
2019-02-11,210,60577138,2928
2019-02-12,210,90142906,7852
2019-02-13,210,91255127,621
2019-02-14,210,113972766,5013
2019-02-15,210,124782084,-606
2019-02-18,210,127780742,-346
2019-02-19,210,122417699,650
2019-02-20,210,120832281,1319
2019-02-21,210,179897077,13312
2019-02-22,210,187491498,5122
2019-02-25,210,179560812,-2654
2019-02-26,210,178792831,-983
2019-02-27,210,190122806,199
2019-02-28,210,203490035,105
2019-03-01,210,218940856,1373
2019-03-04,210,181174280,-2348
2019-03-05,210,173084637,-1719
2019-03-06,210,179795770,1756
2019-03-07,210,193900811,4015
2019-03-08,210,210688134,2863
2019-03-11,210,194082920,-95
2019-03-12,210,203086389,1990
2019-03-13,210,201083672,-159
2019-03-14,210,198144245,-261
2019-03-15,210,199958069,-241
2019-03-18,210,182263507,-801
2019-03-19,210,162271524,-1437
2019-03-20,210,133578292,1083
2019-03-21,210,160048107,2604
2019-03-22,210,170930666,702
2019-03-25,210,150214666,106
2019-03-26,210,146715402,-329
2019-03-27,210,146492005,-1169
2019-03-28,210,135309397,-326
2019-03-29,210,128304280,-2286
2019-04-01,210,143003946,2064
2019-04-02,210,139554828,577
2019-04-03,210,109908652,-2094
2019-04-04,210,116245852,452
2019-04-08,210,106146667,-2097
2019-04-09,210,101511404,-621
2019-04-10,210,103454929,677
2019-04-11,210,107148739,625
2019-04-12,210,102507602,-354
2019-04-15,210,94940759,1531
2019-04-16,210,128928109,3451
2019-04-17,210,128977087,1612
2019-04-18,210,118046764,-2452
2019-04-19,210,98794969,-3724
2019-04-22,210,99089280,-203
2019-04-23,210,116904422,652
2019-04-24,210,103366795,-2504
2019-04-25,210,70282685,-937
2019-04-26,210,35270463,-2828
2019-04-29,210,35340210,-14
2019-04-30,210,23823051,-1633
2019-05-06,210,18576000,-692
2019-05-07,210,20778219,678
2019-05-08,210,18718530,-718
2019-05-09,210,16921998,-219
2019-05-10,210,19528977,1099
2019-05-13,210,227931536,4328
2019-05-14,210,188005623,-846
2019-05-15,210,199124018,373
2019-05-16,210,211512786,2117
2019-05-17,210,239206278,6045
2019-05-20,210,265041464,3333
2019-05-21,210,272514391,1346
2019-05-22,210,265891383,-458
2019-05-23,210,268146608,1763
2019-05-24,210,315100824,3973
2019-05-27,210,286261629,-1593
2019-05-28,210,362746755,7144
2019-05-29,210,397977305,4801
2019-05-30,210,435534676,3750
2019-05-31,210,467098719,2312
2019-06-03,210,462484294,1234
2019-06-04,210,464869727,512
2019-06-05,210,519848241,7484
2019-06-06,210,510324122,-3004
2019-06-10,210,514116146,1306
2019-06-11,210,570938753,6102
2019-06-12,210,577990914,4422
2019-06-13,210,646092717,4195
2019-06-14,210,652340727,2486
2019-06-17,210,712805610,4256
2019-06-18,210,795482745,7311
2019-06-19,210,1120573261,13368
2019-06-20,210,1465960091,16225
2019-06-21,210,1590007914,9224
2019-06-24,210,1607233750,3504
2019-06-25,210,1662061087,5542
2019-06-26,210,1640965695,4269
2019-06-27,210,1604046660,1971
2019-06-28,210,1632683201,4201
2019-07-01,210,1700858604,2143
2019-07-02,210,1855779756,-1705
2019-07-03,210,1791887466,-6669
2019-07-04,210,1576974785,-5425
2019-07-05,210,1132961588,-9762
2019-07-08,210,1014147798,-6284
2019-07-09,210,947338557,-7386
2019-07-10,210,939225846,4760
2019-07-11,210,923072445,-1596
2019-07-12,210,966739640,4867
2019-07-15,210,982117515,2356
2019-07-16,210,953650363,-4196
2019-07-17,210,970015057,402
2019-07-18,210,956678052,750
2019-07-19,210,1007851958,4893
2019-07-22,210,957980608,-2392
2019-07-23,210,1603316594,-30
2019-07-24,210,1526553935,-3934
2019-07-25,210,1533964496,-239
2019-07-26,210,1520604208,-503
2019-07-29,210,1556337537,-1398
2019-07-30,210,1590484033,4306
2019-07-31,210,1266211435,-9916
2019-08-01,210,1297548944,964
2019-08-02,210,1275430161,-2927
2019-08-05,210,1324194891,-2278
2019-08-06,210,1239146010,-2828
2019-08-07,210,1230368315,-655
2019-08-08,210,1126246172,-3293
2019-08-09,210,984300941,-1351
2019-08-12,210,1059134050,5215
2019-08-13,210,1050214860,3651
2019-08-14,210,1119028400,4034
2019-08-15,210,991012674,-8576
2019-08-16,210,1056940013,3045
2019-08-19,210,1200459368,6505
2019-08-20,210,905444004,-4084
2019-08-21,210,826610996,-5647
2019-08-22,210,892312320,1435
2019-08-23,210,920638512,-145
2019-08-26,210,1240054020,17114
2019-08-27,210,1581100882,13711
2019-08-28,210,1715045864,6252
2019-08-29,210,1801551888,1269
2019-08-30,210,1487451070,-9731
2019-09-02,210,1766934683,3924
2019-09-03,210,1503381101,-5598
2019-09-04,210,1711884551,9824
2019-09-05,210,1774184378,1272
2019-09-06,210,1786774033,79
2019-09-09,210,2064214686,6883
2019-09-10,210,1936039004,69
2019-09-11,210,1785419279,-3577
2019-09-12,210,1563060026,-6755
2019-09-16,210,1658171521,1988
2019-09-17,210,1944595891,18738
2019-09-18,210,2042730671,3556
2019-09-19,210,2304884375,11380
2019-09-20,210,1965692341,-15142
2019-09-23,210,1936492182,-3225
2019-09-24,210,1602480377,-5866
2019-09-25,210,1576154599,-660
2019-09-26,210,1471975588,-4885
2019-09-27,210,1084068074,-19931
2019-09-30,210,978109935,-5071
2019-10-08,210,956681747,849
2019-10-09,210,795292448,-1465
2019-10-10,210,798903507,-69
2019-10-11,210,824897645,1700
2019-10-14,210,940389344,12348
2019-10-15,210,904159429,-3737
2019-10-16,210,863570576,-1645
2019-10-17,210,904571166,2236
2019-10-18,210,840007066,-3082
2019-10-21,210,864822295,1151
2019-10-22,210,911760519,2682
2019-10-23,210,906908294,-729
2019-10-24,210,895049032,230
2019-10-25,210,840388579,-3403
2019-10-28,210,783402787,-1304
2019-10-29,210,812079614,63
2019-10-30,210,842352922,-874
2019-10-31,210,819804237,549
2019-11-01,210,710242897,-1067
2019-11-04,210,686098873,-2678
2019-11-05,210,711021333,-559
2019-11-06,210,586477885,1783
2019-11-07,210,542380302,-1611
2019-11-08,210,541418575,-1539
2019-11-11,210,451757578,-4780
2019-11-12,210,387830156,-2151
2019-11-13,210,424815874,3651
2019-11-14,210,444924247,1599
2019-11-15,210,402018569,-420
2019-11-18,210,494244447,5784
2019-11-19,210,461191808,-391
2019-11-20,210,524875349,2604
2019-11-21,210,499552566,-1915
2019-11-22,210,483827094,-1815
2019-11-25,210,474740939,-1945
2019-11-26,210,445916995,-2860
2019-11-27,210,451236943,1120
2019-11-28,210,408453031,-1665
2019-11-29,210,363111217,-2796
2019-12-02,210,773238203,1429
2019-12-03,210,808766830,1359
2019-12-04,210,851326210,1737
2019-12-05,210,879210607,1687
2019-12-06,210,946123482,2182
2019-12-09,210,984490198,1735
2019-12-10,210,1017212792,122
2019-12-11,210,1037657289,650
2019-12-12,210,1022133988,-539
2019-12-13,210,1095950454,1599
2019-12-16,210,1094423909,1774
2019-12-17,210,1121567484,1859
2019-12-18,210,1163547923,4674
2019-12-19,210,1153799254,-1952
2019-12-20,210,1171624422,351
2019-12-23,210,1184606950,-1048
2019-12-24,210,1367941527,4137
2019-12-25,210,1374876292,1768
2019-12-26,210,1367344056,540
2019-12-27,210,1300026969,-1929
2019-12-30,210,1257080083,-1265
2019-12-31,210,1181674514,-3209
2020-01-02,210,1096981272,-1216
2020-01-03,210,1058086860,-1408
2020-01-06,210,1009900423,406
2020-01-07,210,1041441439,113
2020-01-08,210,1376004569,16307
2020-01-09,210,1371627557,-280
2020-01-10,210,1460410598,4899
2020-01-13,210,1562320855,3419
2020-01-14,210,1464805545,-1488
2020-01-15,210,1383121684,-3073
2020-01-16,210,1276230076,-246
2020-01-17,210,1233839494,-2838
2020-01-20,210,1286675173,5379
2020-01-21,210,1104890416,-11713
2020-01-22,210,980448369,-2127
2020-01-23,210,884927360,-7199
2020-02-03,210,702179636,-7555
2020-02-04,210,664963618,-1353
2020-02-05,210,644190306,-1105
2020-02-06,210,623400081,129
2020-02-07,210,607991264,-635
2020-02-10,210,589675730,-1151
2020-02-11,210,600657548,51
2020-02-12,210,616081652,1101
2020-02-13,210,607586958,-618
2020-02-14,210,594245645,-1489
2020-02-17,210,591341983,-488
2020-02-18,210,602644106,842
2020-02-19,210,602094117,-161
2020-02-20,210,617016129,986
2020-02-21,210,659882955,2032
2020-02-24,210,618343770,-670
2020-02-25,210,694805996,6857
2020-02-26,210,658062014,-3343
2020-02-27,210,596352677,-3528
2020-02-28,210,438072252,-9215
2020-03-02,210,465692073,4222
2020-03-03,210,475718496,967
2020-03-04,210,476598808,902
2020-03-05,210,489123491,1437
2020-03-06,210,637784861,8633
2020-03-09,210,343507439,-16903
2020-03-10,210,415894926,4918
2020-03-11,210,405260457,339
2020-03-12,210,350567681,-3925
2020-03-13,210,226686383,-8177
2020-03-16,210,248606998,1666
2020-03-17,210,261603701,1413
2020-03-18,210,256181410,-1157
