trading_date,rank,volume,volume_change
2013-11-05,210,199306,8158
2013-11-06,210,202880,3729
2013-11-07,210,194699,-7938
2013-11-08,210,182563,-11744
2013-11-11,210,184963,2713
2013-11-12,210,177972,-6683
2013-11-13,210,178791,1079
2013-11-14,210,180649,6924
2013-11-15,210,186003,10830
2013-11-18,210,196646,11052
2013-11-19,210,201309,7498
2013-11-20,210,198707,-1790
2013-11-21,210,197001,-1324
2013-11-22,210,198901,3070
2013-11-25,210,197229,-883
2013-11-26,210,198113,1047
2013-11-27,210,203280,6422
2013-11-28,210,205680,4409
2013-11-29,210,203804,-1283
2013-12-02,210,204701,5880
2013-12-03,210,204489,2712
2013-12-04,210,209130,5922
2013-12-05,210,211709,2758
2013-12-06,210,214468,3545
2013-12-09,210,219673,5205
2013-12-10,210,215776,-3897
2013-12-11,210,212259,-2956
2013-12-12,210,223470,13003
2013-12-13,210,227473,12641
2013-12-16,210,226031,-764
2013-12-17,210,228156,4124
2013-12-18,210,230059,3029
2013-12-19,210,230557,871
2013-12-20,210,225508,-2662
2013-12-23,210,226050,602
2013-12-24,210,214747,-11303
2013-12-25,210,216844,2097
2013-12-26,210,224655,10005
2013-12-27,210,216414,-7844
2013-12-30,210,218294,2044
2013-12-31,210,234430,16136
2014-01-02,210,237873,3614
2014-01-03,210,237525,1558
2014-01-06,210,273707,40886
2014-01-07,210,276240,4137
2014-01-08,210,281333,6709
2014-01-09,210,287931,9440
2014-01-10,210,296244,8313
2014-01-13,210,293037,2256
2014-01-14,210,291044,-1776
2014-01-15,210,297630,7287
2014-01-16,210,305222,8533
2014-01-17,210,303623,1063
2014-01-20,210,303890,2291
2014-01-21,210,309337,8843
2014-01-22,210,305843,-3494
2014-01-23,210,307489,1646
2014-01-24,210,309568,3545
2014-01-27,210,305897,-3531
2014-01-28,210,292490,-5557
2014-01-29,210,279533,-12871
2014-01-30,210,274111,-5007
2014-02-07,210,268658,1292
2014-02-10,210,293849,27095
2014-02-11,210,292819,-1030
2014-02-12,210,295693,4383
2014-02-13,210,304844,11109
2014-02-14,210,299251,-5592
2014-02-17,210,295944,6932
2014-02-18,210,298555,3156
2014-02-19,210,298584,3136
2014-02-20,210,305838,7725
2014-02-21,210,297628,1778
2014-02-24,210,281205,-10449
2014-02-25,210,280842,9109
2014-02-26,210,277987,-692
2014-02-27,210,271764,-6179
2014-02-28,210,272797,2788
2014-03-03,210,281691,9341
2014-03-04,210,277216,-4475
2014-03-05,210,277708,1819
2014-03-06,210,309496,37640
2014-03-07,210,300022,-7280
2014-03-10,210,286701,3070
2014-03-11,210,289487,7076
2014-03-12,210,287512,2911
2014-03-13,210,286466,-996
2014-03-14,210,273532,-12252
2014-03-17,210,266094,-7070
2014-03-18,210,270817,5369
2014-03-19,210,272286,5506
2014-03-20,210,257779,-10542
2014-03-21,210,250691,-6957
2014-03-24,210,264609,13918
2014-03-25,210,258169,-5206
2014-03-26,210,263697,5528
2014-03-27,210,264672,8123
2014-03-28,210,287400,29518
2014-03-31,210,270586,-6615
2014-04-01,210,294572,24943
2014-04-02,210,257263,-19312
2014-04-03,210,254613,109
2014-04-04,210,245814,-7534
2014-04-08,210,244007,-1270
2014-04-09,210,255592,11631
2014-04-10,210,255876,795
2014-04-11,210,254650,697
2014-04-14,210,266793,17626
2014-04-15,210,269318,4330
2014-04-16,210,302623,40477
2014-04-17,210,303265,1762
2014-04-18,210,331489,31363
2014-04-21,210,312219,-17095
2014-04-22,210,318879,7827
2014-04-23,210,317263,-1616
2014-04-24,210,319401,6648
2014-04-25,210,335936,17084
2014-04-28,210,331237,-3114
2014-04-29,210,330412,1573
2014-04-30,210,346326,15914
2014-05-05,210,338198,-8128
2014-05-06,210,361473,26447
2014-05-07,210,345911,-15562
2014-05-08,210,349161,4075
2014-05-09,210,355787,6626
2014-05-12,210,338285,-3838
2014-05-13,210,332550,-4815
2014-05-14,210,367864,42985
2014-05-15,210,321674,-31061
2014-05-16,210,322045,2271
2014-05-19,210,346761,27495
2014-05-20,210,347751,990
2014-05-21,210,353500,6988
2014-05-22,210,328504,-24122
2014-05-23,210,303630,-23503
2014-05-26,210,306642,4416
2014-05-27,210,306796,906
2014-05-28,210,309495,4145
2014-05-29,210,309829,334
2014-05-30,210,299650,-10179
2014-06-03,210,300433,783
2014-06-04,210,298776,-1657
2014-06-05,210,298637,-139
2014-06-06,210,304406,13414
2014-06-09,210,303976,464
2014-06-10,210,307370,3394
2014-06-11,210,308070,978
2014-06-12,210,315937,14027
2014-06-13,210,321568,6061
2014-06-16,210,316377,-5191
2014-06-17,210,316769,392
2014-06-18,210,325966,14356
2014-06-19,210,310867,-11349
2014-06-20,210,291303,-4454
2014-06-23,210,282215,-9088
2014-06-24,210,278675,-3540
2014-06-25,210,277270,1641
2014-06-26,210,280888,3653
2014-06-27,210,280835,7809
2014-06-30,210,277873,-1639
2014-07-01,210,275037,-1892
2014-07-02,210,271325,-3712
2014-07-03,210,276932,7269
2014-07-04,210,287266,10446
2014-07-07,210,313238,29827
2014-07-08,210,309598,-2063
2014-07-09,210,314831,7239
2014-07-10,210,309779,-5052
2014-07-11,210,322279,12500
2014-07-14,210,317549,-3025
2014-07-15,210,317176,-373
2014-07-16,210,312975,-4201
2014-07-17,210,311699,-1276
2014-07-18,210,311407,8
2014-07-21,210,316057,4650
2014-07-22,210,312240,-1447
2014-07-23,210,312429,871
2014-07-24,210,316438,4907
2014-07-25,210,316843,694
2014-07-28,210,315969,1978
2014-07-29,210,320847,7490
2014-07-30,210,314966,-3158
2014-07-31,210,314919,868
2014-08-01,210,305743,-2736
2014-08-04,210,306369,6053
2014-08-05,210,294172,-12197
2014-08-06,210,301809,10292
2014-08-07,210,294009,-7211
2014-08-08,210,300802,6959
2014-08-11,210,300163,-141
2014-08-12,210,301411,1781
2014-08-13,210,308983,8466
2014-08-14,210,317816,12084
2014-08-15,210,320631,5250
2014-08-18,210,317492,-3139
2014-08-19,210,326751,9259
2014-08-20,210,345485,21859
2014-08-21,210,351415,9159
2014-08-22,210,341845,-5761
2014-08-25,210,352055,11279
2014-08-26,210,351904,-82
2014-08-27,210,352277,5223
2014-08-28,210,369312,18876
2014-08-29,210,390504,28569
2014-09-01,210,410757,20588
2014-09-02,210,413954,3197
2014-09-03,210,423361,10859
2014-09-04,210,427256,4564
2014-09-05,210,438211,18059
2014-09-09,210,437998,2478
2014-09-10,210,448884,14247
2014-09-11,210,471406,25712
2014-09-12,210,470731,1461
2014-09-15,210,475818,5150
2014-09-16,210,466849,-6802
2014-09-17,210,470263,3633
2014-09-18,210,472815,3262
2014-09-19,210,498426,27436
2014-09-22,210,490958,-2846
2014-09-23,210,483469,-6701
2014-09-24,210,485599,5746
2014-09-25,210,476846,-7953
2014-09-26,210,472356,9510
2014-09-29,210,454109,-18247
2014-09-30,210,431865,-20964
2014-10-08,210,424521,5607
2014-10-09,210,414771,-9750
2014-10-10,210,421977,7984
2014-10-13,210,404293,-17684
2014-10-14,210,394151,-5525
2014-10-15,210,387245,15033
2014-10-16,210,386531,-301
2014-10-17,210,375494,-6537
2014-10-20,210,369163,-6331
2014-10-21,210,344759,-2443
2014-10-22,210,441520,102797
2014-10-23,210,431320,-10200
2014-10-24,210,437024,8929
2014-10-27,210,418582,-17669
2014-10-28,210,417483,390
2014-10-29,210,424627,8701
2014-10-30,210,424299,1050
2014-10-31,210,424764,1167
2014-11-03,210,426365,3009
2014-11-04,210,417584,-7964
2014-11-05,210,412321,-2810
2014-11-06,210,419515,7244
2014-11-07,210,447086,34762
2014-11-10,210,423428,-13186
2014-11-11,210,439172,15744
2014-11-12,210,444102,5646
2014-11-13,210,429170,-9356
2014-11-14,210,441316,15554
2014-11-17,210,425629,-14402
2014-11-18,210,424356,-1273
2014-11-19,210,428499,7470
2014-11-20,210,429814,2516
2014-11-21,210,413736,-10806
2014-11-24,210,423439,9703
2014-11-25,210,407226,-15893
2014-11-26,210,401051,-3843
2014-11-27,210,389907,-11144
