trading_date,rank,volume,volume_change
2013-11-05,210,239571,16435
2013-11-06,210,237741,-525
2013-11-07,210,221935,-15530
2013-11-08,210,208090,-13845
2013-11-11,210,205234,-2503
2013-11-12,210,196248,-8986
2013-11-13,210,198999,4041
2013-11-14,210,204419,5660
2013-11-15,210,191256,-3854
2013-11-18,210,199735,10586
2013-11-19,210,201023,1702
2013-11-20,210,202459,3173
2013-11-21,210,197833,-2803
2013-11-22,210,200644,7139
2013-11-25,210,207204,6617
2013-11-26,210,210110,3099
2013-11-27,210,212971,3875
2013-11-28,210,215045,3301
2013-11-29,210,216639,3076
2013-12-02,210,224890,9358
2013-12-03,210,225281,1374
2013-12-04,210,232679,7398
2013-12-05,210,235868,3721
2013-12-06,210,243061,7791
2013-12-09,210,262334,21925
2013-12-10,210,267119,4806
2013-12-11,210,261340,-3172
2013-12-12,210,275338,13998
2013-12-13,210,280540,6870
2013-12-16,210,284296,4271
2013-12-17,210,286587,3385
2013-12-18,210,288044,1658
2013-12-19,210,283245,-1654
2013-12-20,210,278390,-3547
2013-12-23,210,278897,1049
2013-12-24,210,271725,-7172
2013-12-25,210,267620,-3868
2013-12-26,210,289807,22187
2013-12-27,210,279829,-9039
2013-12-30,210,286236,6713
2013-12-31,210,301536,15538
2014-01-02,210,295898,-5638
2014-01-03,210,295730,-168
2014-01-06,210,325687,35412
2014-01-07,210,329343,5007
2014-01-08,210,336876,9620
2014-01-09,210,349129,14011
2014-01-10,210,359224,10252
2014-01-13,210,365207,5983
2014-01-14,210,373973,8766
2014-01-15,210,380880,7214
2014-01-16,210,393698,12818
2014-01-17,210,390082,-3616
2014-01-20,210,393130,3048
2014-01-21,210,403168,12904
2014-01-22,210,402921,-247
2014-01-23,210,404054,1812
2014-01-24,210,407148,3094
2014-01-27,210,399758,-7390
2014-01-28,210,374170,-25588
2014-01-29,210,358207,-15963
2014-01-30,210,347532,-8978
2014-02-07,210,333678,-10562
2014-02-10,210,382486,50285
2014-02-11,210,386066,3580
2014-02-12,210,388767,5376
2014-02-13,210,395847,7910
2014-02-14,210,393086,-2161
2014-02-17,210,393146,1800
2014-02-18,210,404848,13274
2014-02-19,210,392809,-11525
2014-02-20,210,387032,-5464
2014-02-21,210,389149,6982
2014-02-24,210,368394,-17899
2014-02-25,210,375618,7686
2014-02-26,210,366089,-9260
2014-02-27,210,363665,-400
2014-02-28,210,361924,-731
2014-03-03,210,365146,5845
2014-03-04,210,355477,-9145
2014-03-05,210,347970,-7507
2014-03-06,210,374994,27024
2014-03-07,210,350511,-23947
2014-03-10,210,351543,1296
2014-03-11,210,342212,-8755
2014-03-12,210,345009,2797
2014-03-13,210,342291,-2665
2014-03-14,210,329490,-12685
2014-03-17,210,318269,-11221
2014-03-18,210,326087,7818
2014-03-19,210,329987,4114
2014-03-20,210,297858,-28452
2014-03-21,210,289470,-7871
2014-03-24,210,298202,9172
2014-03-25,210,293446,-743
2014-03-26,210,300419,8039
2014-03-27,210,320061,23838
2014-03-28,210,324242,6516
2014-03-31,210,328347,8284
2014-04-01,210,352048,23985
2014-04-02,210,318703,-32507
2014-04-03,210,318651,2446
2014-04-04,210,311787,-6576
2014-04-08,210,306839,-2137
2014-04-09,210,322922,17644
2014-04-10,210,313256,-8735
2014-04-11,210,310784,-2173
2014-04-14,210,322509,13607
2014-04-15,210,324163,1654
2014-04-16,210,373056,53987
2014-04-17,210,372818,1479
2014-04-18,210,398731,26182
2014-04-21,210,391873,-6858
2014-04-22,210,381782,-10091
2014-04-23,210,376386,-5396
2014-04-24,210,382178,5792
2014-04-25,210,392853,10919
2014-04-28,210,391635,162
2014-04-29,210,388173,-2590
2014-04-30,210,399980,14583
2014-05-05,210,391375,-6709
2014-05-06,210,400602,12749
2014-05-07,210,366423,-25558
2014-05-08,210,365404,-716
2014-05-09,210,366889,2717
2014-05-12,210,357285,-9562
2014-05-13,210,356457,439
2014-05-14,210,410468,62643
2014-05-15,210,400680,-8894
2014-05-16,210,408728,8351
2014-05-19,210,443751,36574
2014-05-20,210,455692,12608
2014-05-21,210,445102,-8063
2014-05-22,210,420586,-24164
2014-05-23,210,390440,-28263
2014-05-26,210,397772,7554
2014-05-27,210,389956,-7280
2014-05-28,210,377666,-2546
2014-05-29,210,383301,6214
2014-05-30,210,382451,9
2014-06-03,210,362474,-19315
2014-06-04,210,352988,-9486
2014-06-05,210,354881,2798
2014-06-06,210,352928,6061
2014-06-09,210,350521,-2215
2014-06-10,210,348267,-1905
2014-06-11,210,347949,400
2014-06-12,210,369980,25550
2014-06-13,210,377971,7994
2014-06-16,210,373819,-4152
2014-06-17,210,372431,1483
2014-06-18,210,387069,16438
2014-06-19,210,374507,-11317
2014-06-20,210,362538,-11969
2014-06-23,210,359914,1460
2014-06-24,210,352690,-7224
2014-06-25,210,360799,8109
2014-06-26,210,370870,11198
2014-06-27,210,364074,-6796
2014-06-30,210,351033,-12051
2014-07-01,210,345328,-5322
2014-07-02,210,347424,2096
2014-07-03,210,349304,1880
2014-07-04,210,360432,11216
2014-07-07,210,357941,-431
2014-07-08,210,353269,-2088
2014-07-09,210,353137,-132
2014-07-10,210,353785,648
2014-07-11,210,358935,5150
2014-07-14,210,351265,-7670
2014-07-15,210,346908,-4357
2014-07-16,210,349163,2934
2014-07-17,210,343252,-5911
2014-07-18,210,350687,9419
2014-07-21,210,343611,-7076
2014-07-22,210,351022,7854
2014-07-23,210,352319,1297
2014-07-24,210,351255,-1064
2014-07-25,210,343194,-2171
2014-07-28,210,346089,3063
2014-07-29,210,357916,11827
2014-07-30,210,347144,-8274
2014-07-31,210,347952,1679
2014-08-01,210,328865,-16738
2014-08-04,210,331485,4788
2014-08-05,210,337322,5837
2014-08-06,210,338180,858
2014-08-07,210,339495,1315
2014-08-08,210,348815,9377
2014-08-11,210,349812,997
2014-08-12,210,353140,4921
2014-08-13,210,354234,5773
2014-08-14,210,373231,25837
2014-08-15,210,379127,10051
2014-08-18,210,368648,-9056
2014-08-19,210,364301,-2910
2014-08-20,210,380894,16593
2014-08-21,210,386839,5945
2014-08-22,210,381611,-1006
2014-08-25,210,389600,8286
2014-08-26,210,389163,-437
2014-08-27,210,402688,16112
2014-08-28,210,400832,5148
2014-08-29,210,421870,21540
2014-09-01,210,420094,-652
2014-09-02,210,419452,4421
2014-09-03,210,427867,16474
2014-09-04,210,431832,3965
2014-09-05,210,434809,5466
2014-09-09,210,441165,6605
2014-09-10,210,437860,-385
2014-09-11,210,464549,27518
2014-09-12,210,467475,8128
2014-09-15,210,474639,9358
2014-09-16,210,471360,-1256
2014-09-17,210,476441,5310
2014-09-18,210,485397,10843
2014-09-19,210,496285,18266
2014-09-22,210,478429,-10101
2014-09-23,210,472873,-4470
2014-09-24,210,471466,5417
2014-09-25,210,469147,-125
2014-09-26,210,438050,-27825
2014-09-29,210,425677,-9008
2014-09-30,210,406928,-15003
2014-10-08,210,405755,23270
2014-10-09,210,409502,11957
2014-10-10,210,411911,9363
2014-10-13,210,422185,10274
2014-10-14,210,417188,1156
2014-10-15,210,402850,-12988
2014-10-16,210,417191,14411
2014-10-17,210,398446,-18716
2014-10-20,210,385655,-12791
2014-10-21,210,366331,3288
2014-10-22,210,442228,102475
2014-10-23,210,469108,29952
2014-10-24,210,485617,16509
2014-10-27,210,473217,-6313
2014-10-28,210,471356,-1198
2014-10-29,210,476428,5640
2014-10-30,210,460299,-4750
2014-10-31,210,464341,4347
2014-11-03,210,452184,-12080
2014-11-04,210,439976,-11692
2014-11-05,210,430244,-9732
2014-11-06,210,431494,1250
2014-11-07,210,457635,33192
2014-11-10,210,459484,5205
2014-11-11,210,468482,9729
2014-11-12,210,480592,13266
2014-11-13,210,474900,-2215
2014-11-14,210,483023,8123
2014-11-17,210,468873,-10619
2014-11-18,210,469919,2266
2014-11-19,210,457629,-10044
2014-11-20,210,453978,-3265
2014-11-21,210,444668,-1221
2014-11-24,210,446298,3037
2014-11-25,210,438877,-7421
2014-11-26,210,430550,-7531
2014-11-27,210,431261,711
2014-11-28,210,411835,-11919
2014-12-01,210,417011,5340
2014-12-02,210,410610,-5723
2014-12-03,210,399199,-2844
2014-12-04,210,401100,10099
2014-12-05,210,377833,-22593
2014-12-08,210,378991,4472
2014-12-09,210,377237,1752
2014-12-10,210,390017,16861
2014-12-11,210,383265,-6272
2014-12-12,210,377444,-3281
2014-12-15,210,370172,268
2014-12-16,210,366453,-2525
2014-12-17,210,365383,-867
2014-12-18,210,372161,9277
2014-12-19,210,384413,17908
2014-12-22,210,401513,17737
2014-12-23,210,409756,11196
2014-12-24,210,409304,214
2014-12-25,210,409273,-31
2014-12-26,210,408578,697
2014-12-29,210,416987,10462
2014-12-30,210,412694,2356
2014-12-31,210,393068,-19179
2015-01-05,210,384456,-5833
2015-01-06,210,398775,14319
2015-01-07,210,394653,-2066
2015-01-08,210,398067,7526
2015-01-09,210,397703,156
2015-01-12,210,400202,7942
2015-01-13,210,402619,2870
2015-01-14,210,408602,6218
2015-01-15,210,404893,-3709
2015-01-16,210,373618,-29311
2015-01-19,210,367848,-1316
2015-01-20,210,373633,8158
2015-01-21,210,387422,13789
2015-01-22,210,384802,-516
2015-01-23,210,410568,31683
2015-01-26,210,408116,5219
2015-01-27,210,411320,5149
2015-01-28,210,406891,-4429
2015-01-29,210,408685,3068
2015-01-30,210,402400,-3177
2015-02-02,210,422285,21103
2015-02-03,210,422537,4889
2015-02-04,210,415690,-3898
2015-02-05,210,413046,1116
2015-02-06,210,427062,16303
2015-02-09,210,430740,5516
2015-02-10,210,443019,17177
2015-02-11,210,436209,-6583
2015-02-12,210,441094,7424
2015-02-13,210,455019,15234
2015-02-16,210,437551,-14498
2015-02-17,210,441373,3950
2015-02-25,210,447784,6690
2015-02-26,210,471067,23283
2015-02-27,210,456731,-12199
2015-03-02,210,480295,25453
2015-03-03,210,467681,-5623
2015-03-04,210,451247,-14016
2015-03-05,210,420644,-23515
2015-03-06,210,419558,3112
2015-03-09,210,386828,-19978
2015-03-10,210,373015,-3961
2015-03-11,210,372037,3033
2015-03-12,210,359894,-8388
2015-03-13,210,358922,163
2015-03-16,210,347321,-6613
2015-03-17,210,347506,235
2015-03-18,210,350163,3107
2015-03-19,210,343845,-2673
2015-03-20,210,344949,1807
2015-03-23,210,343574,3543
2015-03-24,210,332781,-8030
2015-03-25,210,314035,-11359
2015-03-26,210,320702,7652
2015-03-27,210,330547,10677
2015-03-30,210,322402,-3231
2015-03-31,210,316205,-5238
2015-04-01,210,319498,5228
2015-04-02,210,324249,5220
2015-04-03,210,321474,2651
2015-04-07,210,322337,1273
2015-04-08,210,344054,24975
2015-04-09,210,340159,-3558
2015-04-10,210,356948,18164
2015-04-13,210,384464,28180
2015-04-14,210,389379,6631
2015-04-15,210,396310,6931
2015-04-16,210,392236,-4074
2015-04-17,210,408845,16609
2015-04-20,210,402679,-1804
2015-04-21,210,401648,-395
2015-04-22,210,409696,8213
2015-04-23,210,392391,-16723
2015-04-24,210,396715,4324
2015-04-27,210,393233,-286
2015-04-28,210,388371,-4862
2015-04-29,210,388526,155
2015-04-30,210,378180,-9297
2015-05-04,210,370493,-7661
2015-05-05,210,376226,6014
2015-05-06,210,375278,-864
2015-05-07,210,374883,1782
2015-05-08,210,372360,-2523
2015-05-11,210,371578,-782
2015-05-12,210,375061,3483
2015-05-13,210,370220,-4841
2015-05-14,210,367475,-2745
2015-05-15,210,352127,-14512
2015-05-18,210,354684,6614
2015-05-19,210,360011,5477
2015-05-20,210,359002,4529
2015-05-21,210,359197,238
2015-05-22,210,362430,3233
2015-05-25,210,366484,5333
2015-05-26,210,365539,770
2015-05-27,210,363765,-1499
2015-05-28,210,368968,5203
2015-05-29,210,367855,-1113
2015-06-01,210,373368,6050
2015-06-02,210,399071,26961
2015-06-03,210,387678,-10167
2015-06-04,210,390332,2654
2015-06-05,210,385753,-4579
2015-06-08,210,378937,-6816
2015-06-09,210,379222,285
2015-06-10,210,377482,-1740
2015-06-11,210,374954,-2528
2015-06-12,210,374244,1966
2015-06-15,210,367695,-4613
2015-06-16,210,349898,-9504
2015-06-17,210,339988,-6078
2015-06-18,210,357921,18089
2015-06-19,210,345944,-11351
2015-06-23,210,329461,3153
2015-06-24,210,330178,717
2015-06-25,210,331150,1413
2015-06-26,210,324775,-6162
2015-06-29,210,307131,9660
2015-06-30,210,297293,-5179
2015-07-01,210,295492,-1801
2015-07-02,210,292566,-2577
2015-07-03,210,278905,-10489
2015-07-06,210,260217,-13974
2015-07-07,210,256549,6353
2015-07-08,210,245300,-5791
2015-07-09,210,212434,-28243
2015-07-10,210,216969,4535
2015-07-13,210,222375,7841
2015-07-14,210,221245,0
2015-07-15,210,221263,639
2015-07-16,210,223527,3548
2015-07-17,210,231241,7714
2015-07-20,210,244807,13851
2015-07-21,210,246332,3756
2015-07-22,210,245398,-882
2015-07-23,210,262763,18292
2015-07-24,210,254858,-5963
2015-07-27,210,253632,27
2015-07-28,210,254363,2580
2015-07-29,210,251186,-3177
2015-07-30,210,268455,20439
2015-07-31,210,269496,1192
2015-08-03,210,269882,386
2015-08-04,210,264564,-3628
2015-08-05,210,269819,5255
2015-08-06,210,274766,7931
2015-08-07,210,301020,30466
2015-08-10,210,324981,30178
2015-08-11,210,283404,-40355
2015-08-12,210,278673,-4522
2015-08-13,210,299287,23101
2015-08-14,210,298593,1637
2015-08-17,210,307054,12686
2015-08-18,210,295086,-10914
2015-08-19,210,290679,-3552
2015-08-20,210,290488,545
2015-08-21,210,292972,5069
2015-08-24,210,290899,-169
2015-08-25,210,301632,10733
2015-08-26,210,299667,-1965
2015-08-27,210,295978,3435
2015-08-28,210,296275,7907
2015-08-31,210,299284,3853
2015-09-01,210,310249,16647
2015-09-02,210,308497,-1296
2015-09-07,210,309839,2931
2015-09-08,210,317740,7935
2015-09-09,210,316437,5695
2015-09-10,210,337806,25561
2015-09-11,210,336153,279
2015-09-14,210,343591,9918
2015-09-15,210,358735,15340
2015-09-16,210,357466,-267
2015-09-17,210,360575,7791
2015-09-18,210,359228,1636
2015-09-21,210,351983,-5000
2015-09-22,210,358422,10119
2015-09-23,210,367446,9151
2015-09-24,210,367315,3446
2015-09-25,210,357532,-9634
2015-09-28,210,362882,6091
2015-09-29,210,341997,-11145
2015-09-30,210,340435,3919
2015-10-08,210,340256,2124
2015-10-09,210,343400,3716
2015-10-12,210,344176,3311
2015-10-13,210,355438,15144
2015-10-14,210,365948,10912
2015-10-15,210,367323,4383
2015-10-16,210,368162,5436
2015-10-19,210,362982,-4674
2015-10-20,210,377155,14173
2015-10-21,210,401711,24556
2015-10-22,210,408176,12468
2015-10-23,210,399264,-8567
2015-10-26,210,392598,-4365
2015-10-27,210,385519,-5809
2015-10-28,210,394660,10971
2015-10-29,210,404381,10989
2015-10-30,210,406570,2189
2015-11-02,210,412756,8077
2015-11-03,210,395675,-15052
2015-11-04,210,390202,-322
2015-11-05,210,383236,-4927
2015-11-06,210,407166,24691
2015-11-09,210,413837,6742
2015-11-10,210,449498,35896
2015-11-11,210,457903,11451
2015-11-12,210,459819,6815
2015-11-13,210,460576,5712
2015-11-16,210,447541,-10616
2015-11-17,210,457251,11601
2015-11-18,210,474850,18154
2015-11-19,210,495093,20243
2015-11-20,210,495028,-65
2015-11-23,210,495115,87
2015-11-24,210,512746,20594
2015-11-25,210,508966,394
2015-11-26,210,510189,2577
2015-11-27,210,511681,1492
2015-11-30,210,516971,9637
2015-12-01,210,516081,7889
2015-12-02,210,525743,9662
2015-12-03,210,526037,294
2015-12-04,210,512072,-12339
2015-12-07,210,503167,-8905
2015-12-08,210,483094,-20073
2015-12-09,210,472549,-10545
2015-12-10,210,465553,-6996
2015-12-11,210,475321,11675
2015-12-14,210,482486,7911
2015-12-15,210,484109,2190
2015-12-16,210,484762,653
2015-12-17,210,481016,-3746
2015-12-18,210,486833,5817
2015-12-21,210,518135,31302
2015-12-22,210,529542,11407
2015-12-23,210,510114,-19428
2015-12-24,210,511204,1090
2015-12-25,210,515700,4496
2015-12-28,210,511464,-990
2015-12-29,210,518369,7785
2015-12-30,210,524881,10159
2015-12-31,210,515699,-8838
2016-01-04,210,516161,2274
2016-01-05,210,527577,11416
2016-01-06,210,507487,-20090
2016-01-07,210,493870,-11344
2016-01-08,210,501507,8514
2016-01-11,210,498939,5446
2016-01-12,210,490561,-5683
2016-01-13,210,479325,-7297
2016-01-14,210,494534,15209
2016-01-15,210,482432,-7408
2016-01-18,210,484512,7778
2016-01-19,210,495855,16498
2016-01-20,210,492921,-849
2016-01-21,210,485206,-6098
2016-01-22,210,491787,6581
2016-01-25,210,494894,3107
2016-01-26,210,494317,-577
2016-01-27,210,469396,-15279
2016-01-28,210,467765,-891
2016-01-29,210,469102,4573
2016-02-01,210,473505,4752
2016-02-02,210,477943,6277
2016-02-03,210,465682,-5017
2016-02-04,210,441577,-23801
2016-02-05,210,430509,-10475
2016-02-15,210,431427,918
2016-02-16,210,473246,52922
2016-02-17,210,504205,31006
2016-02-18,210,494780,-9425
2016-02-19,210,468788,-22218
2016-02-22,210,462916,-4886
2016-02-23,210,467243,9768
2016-02-24,210,479897,17158
2016-02-25,210,478893,225
2016-02-26,210,489513,11527
2016-02-29,210,475663,-12392
2016-03-01,210,487116,14769
2016-03-02,210,493767,8906
2016-03-03,210,497881,4114
2016-03-04,210,519178,30675
2016-03-07,210,541549,22657
2016-03-08,210,511243,-27405
2016-03-09,210,517042,8912
2016-03-10,210,514668,782
2016-03-11,210,520388,12729
2016-03-14,210,519623,1356
2016-03-15,210,511527,-8096
2016-03-16,210,508237,-2031
2016-03-17,210,515273,11775
2016-03-18,210,517650,8906
2016-03-21,210,523444,7860
2016-03-22,210,522147,-217
2016-03-23,210,514264,-7883
2016-03-24,210,503564,-9253
2016-03-25,210,510564,7000
2016-03-28,210,506765,-3799
2016-03-29,210,495640,-8508
2016-03-30,210,497099,1683
2016-03-31,210,492664,-4317
2016-04-01,210,506783,17328
2016-04-05,210,528988,24808
2016-04-06,210,524262,-4368
2016-04-07,210,527871,3824
2016-04-08,210,524483,988
2016-04-11,210,532469,7986
2016-04-12,210,525036,-7433
2016-04-13,210,553241,28205
2016-04-14,210,555441,6259
2016-04-15,210,562644,7203
2016-04-18,210,602514,41379
2016-04-19,210,596164,-6350
2016-04-20,210,576822,-9621
2016-04-21,210,573816,-2397
2016-04-22,210,501788,-71988
2016-04-25,210,497271,-4517
2016-04-26,210,478432,-18839
2016-04-27,210,476360,-2072
2016-04-28,210,462981,-13379
2016-04-29,210,430809,-32172
2016-05-03,210,425551,-5258
2016-05-04,210,419433,6662
2016-05-05,210,419897,834
2016-05-06,210,409510,-10385
2016-05-09,210,406936,-2574
2016-05-10,210,407111,1035
2016-05-11,210,405605,-534
2016-05-12,210,426389,21906
2016-05-13,210,416606,-8931
2016-05-16,210,409909,-6651
2016-05-17,210,407415,-1345
2016-05-18,210,424695,20879
2016-05-19,210,414493,-10202
2016-05-20,210,421373,12149
2016-05-23,210,429688,9414
2016-05-24,210,425115,-1673
2016-05-25,210,418564,-6410
2016-05-26,210,402143,-15167
2016-05-27,210,400028,-2115
2016-05-30,210,402934,2906
2016-05-31,210,409438,8640
2016-06-01,210,400904,-6676
2016-06-02,210,398664,-1830
2016-06-03,210,443271,45304
2016-06-06,210,483595,41337
2016-06-07,210,473843,-9752
2016-06-08,210,470420,-3423
2016-06-13,210,486556,16136
2016-06-14,210,487073,2642
2016-06-15,210,483237,-3836
2016-06-16,210,495876,12639
2016-06-17,210,506123,10247
2016-06-20,210,522852,16729
2016-06-21,210,514879,-7973
2016-06-22,210,511823,-3056
2016-06-23,210,505998,-5825
2016-06-24,210,483020,-20146
2016-06-27,210,481823,-1197
2016-06-28,210,493785,11962
2016-06-29,210,484740,-7172
2016-06-30,210,504342,21421
2016-07-01,210,478522,-23387
2016-07-04,210,512001,35590
2016-07-05,210,488913,-16104
2016-07-06,210,477125,-11788
2016-07-07,210,472359,-4243
2016-07-08,210,455779,-12637
2016-07-11,210,457847,8483
2016-07-12,210,443139,-8435
2016-07-13,210,447947,4808
2016-07-14,210,442586,-5361
2016-07-15,210,439334,-2120
2016-07-18,210,442193,3993
2016-07-19,210,452655,11580
2016-07-20,210,444561,-8094
2016-07-21,210,442339,-2222
2016-07-22,210,436484,-4833
2016-07-25,210,434794,-818
2016-07-26,210,434952,158
2016-07-27,210,431380,-3572
2016-07-28,210,433884,2504
2016-07-29,210,418233,-15651
2016-08-01,210,409508,-8725
2016-08-02,210,405653,-3855
2016-08-03,210,403525,-2128
2016-08-04,210,389993,-12569
2016-08-05,210,397425,7766
2016-08-08,210,385939,-11354
2016-08-09,210,380343,-3029
2016-08-10,210,375722,-4621
2016-08-11,210,377139,1417
2016-08-12,210,374375,447
2016-08-15,210,356997,-17378
2016-08-16,210,356656,-341
2016-08-17,210,348836,-7207
2016-08-18,210,348161,-271
