trading_date,SR_total_oi
2013-11-05,712330.0
2013-11-06,714980.0
2013-11-07,676644.0
2013-11-08,642408.0
2013-11-11,638024.0
2013-11-12,622386.0
2013-11-13,630056.0
2013-11-14,643370.0
2013-11-15,648292.0
2013-11-18,680026.0
2013-11-19,681694.0
2013-11-20,672890.0
2013-11-21,670740.0
2013-11-22,694920.0
2013-11-25,699910.0
2013-11-26,698958.0
2013-11-27,705148.0
2013-11-28,703004.0
2013-11-29,703938.0
2013-12-02,733016.0
2013-12-03,731710.0
2013-12-04,753020.0
2013-12-05,756558.0
2013-12-06,770468.0
2013-12-09,810636.0
2013-12-10,819156.0
2013-12-11,801862.0
2013-12-12,838938.0
2013-12-13,844460.0
2013-12-16,845328.0
2013-12-17,855022.0
2013-12-18,854406.0
2013-12-19,847850.0
2013-12-20,807958.0
2013-12-23,805682.0
2013-12-24,777492.0
2013-12-25,779022.0
2013-12-26,821272.0
2013-12-27,790292.0
2013-12-30,826590.0
2013-12-31,855296.0
2014-01-02,852410.0
2014-01-03,852556.0
2014-01-06,933786.0
2014-01-07,933548.0
2014-01-08,951470.0
2014-01-09,974096.0
2014-01-10,996378.0
2014-01-13,1024636.0
2014-01-14,1032924.0
2014-01-15,1058388.0
2014-01-16,1115360.0
2014-01-17,1101838.0
2014-01-20,1111394.0
2014-01-21,1146262.0
2014-01-22,1135148.0
2014-01-23,1138820.0
2014-01-24,1146836.0
2014-01-27,1126314.0
2014-01-28,1102810.0
2014-01-29,1038720.0
2014-01-30,1002228.0
2014-02-07,979444.0
2014-02-10,1089286.0
2014-02-11,1094864.0
2014-02-12,1095132.0
2014-02-13,1105296.0
2014-02-14,1103756.0
2014-02-17,1128228.0
2014-02-18,1151354.0
2014-02-19,1101526.0
2014-02-20,1091412.0
2014-02-21,1076916.0
2014-02-24,1020990.0
2014-02-25,1039660.0
2014-02-26,997144.0
2014-02-27,989096.0
2014-02-28,985550.0
2014-03-03,993458.0
2014-03-04,960322.0
2014-03-05,937110.0
2014-03-06,1036092.0
2014-03-07,975364.0
2014-03-10,946440.0
2014-03-11,920036.0
2014-03-12,923380.0
2014-03-13,916092.0
2014-03-14,880202.0
2014-03-17,873600.0
2014-03-18,888826.0
2014-03-19,888752.0
2014-03-20,832920.0
2014-03-21,812984.0
2014-03-24,854320.0
2014-03-25,839170.0
2014-03-26,874864.0
2014-03-27,899270.0
2014-03-28,935690.0
2014-03-31,923818.0
2014-04-01,994932.0
2014-04-02,874488.0
2014-04-03,868880.0
2014-04-04,852646.0
2014-04-08,833526.0
