trading_date,rank,volume,volume_change
2013-11-05,210,2593243382,8158
2013-11-06,210,2740030464,3729
2013-11-07,210,2561812301,-7938
2013-11-08,210,2249717679,-11744
2013-11-11,210,2467667635,2713
2013-11-12,210,2365425914,-6683
2013-11-13,210,2273477417,1079
2013-11-14,210,2259631387,6924
2013-11-15,210,2576438043,10830
2013-11-18,210,2944829284,11052
2013-11-19,210,3158663991,7498
2013-11-20,210,3078954063,-1790
2013-11-21,210,3030107579,-1324
2013-11-22,210,3125441241,3070
2013-11-25,210,2887043107,-883
2013-11-26,210,2922225305,1047
2013-11-27,210,3143381932,6422
2013-11-28,210,3358904802,4409
2013-11-29,210,3247054884,-1283
2013-12-02,210,3098863907,5880
2013-12-03,210,3142571025,2712
2013-12-04,210,3333110424,5922
2013-12-05,210,3381089477,2758
2013-12-06,210,3382338608,3545
2013-12-09,210,3281534289,5205
2013-12-10,210,3034120594,-3897
2013-12-11,210,2942523241,-2956
2013-12-12,210,3102775252,13003
2013-12-13,210,3372458691,12641
2013-12-16,210,3326944419,-764
2013-12-17,210,3368507690,4124
2013-12-18,210,3376656259,3029
2013-12-19,210,3555032667,871
2013-12-20,210,3495931096,-2662
2013-12-23,210,3489711408,602
2013-12-24,210,2927770481,-11303
2013-12-25,210,2999650922,2097
2013-12-26,210,3265254663,10005
2013-12-27,210,3024078288,-7844
2013-12-30,210,3071855550,2044
2013-12-31,210,3581014962,16136
2014-01-02,210,3657699157,3614
2014-01-03,210,3627317321,1558
2014-01-06,210,4662476799,40886
2014-01-07,210,4720796582,4137
2014-01-08,210,4995507309,6709
2014-01-09,210,5114877407,9440
2014-01-10,210,5485595334,8313
2014-01-13,210,5333213419,2256
2014-01-14,210,5257720008,-1776
2014-01-15,210,5546703128,7287
2014-01-16,210,5763700866,8533
2014-01-17,210,5637272441,1063
2014-01-20,210,5674363040,2291
2014-01-21,210,5938653565,8843
2014-01-22,210,5804106939,-3494
2014-01-23,210,5823429231,1646
2014-01-24,210,5924755184,3545
2014-01-27,210,5699865697,-3531
2014-01-28,210,5154562340,-5557
2014-01-29,210,4783706043,-12871
2014-01-30,210,4667792015,-5007
2014-02-07,210,4567704494,1292
2014-02-10,210,5350537433,27095
2014-02-11,210,5204167573,-1030
2014-02-12,210,5202783675,4383
2014-02-13,210,5496598168,11109
2014-02-14,210,5212128599,-5592
2014-02-17,210,5065014730,6932
2014-02-18,210,5141918937,3156
2014-02-19,210,5258295366,3136
2014-02-20,210,5756330676,7725
2014-02-21,210,5442353380,1778
2014-02-24,210,4879607575,-10449
2014-02-25,210,5020198930,9109
2014-02-26,210,4961017555,-692
2014-02-27,210,4698020464,-6179
2014-02-28,210,4765096209,2788
2014-03-03,210,4944229743,9341
2014-03-04,210,4869971164,-4475
2014-03-05,210,4964969640,1819
2014-03-06,210,6093421462,37640
2014-03-07,210,5846130662,-7280
2014-03-10,210,5341858273,3070
2014-03-11,210,5676403873,7076
2014-03-12,210,5744575198,2911
2014-03-13,210,5633344476,-996
2014-03-14,210,4773745908,-12252
2014-03-17,210,4431848218,-7070
2014-03-18,210,4526945167,5369
2014-03-19,210,4598747188,5506
2014-03-20,210,4130558895,-10542
2014-03-21,210,3900801729,-6957
2014-03-24,210,4437856417,13918
2014-03-25,210,4175000287,-5206
2014-03-26,210,4336700683,5528
2014-03-27,210,4078298130,8123
2014-03-28,210,4689148480,29518
2014-03-31,210,4164230620,-6615
2014-04-01,210,5605777338,24943
2014-04-02,210,4274702027,-19312
2014-04-03,210,4173032919,109
2014-04-04,210,3625028176,-7534
2014-04-08,210,3530728117,-1270
2014-04-09,210,3869399018,11631
2014-04-10,210,3946390582,795
2014-04-11,210,4010851982,697
2014-04-14,210,4396961529,17626
2014-04-15,210,4533150828,4330
2014-04-16,210,5774891713,40477
2014-04-17,210,5502033031,1762
2014-04-18,210,6691209613,31363
2014-04-21,210,6082391081,-17095
2014-04-22,210,6176135253,7827
2014-04-23,210,6051700137,-1616
2014-04-24,210,6334989461,6648
2014-04-25,210,6992471660,17084
2014-04-28,210,6828785451,-3114
2014-04-29,210,6901440136,1573
2014-04-30,210,7476090608,15914
2014-05-05,210,7296349216,-8128
2014-05-06,210,8453958891,26447
2014-05-07,210,7720816051,-15562
2014-05-08,210,7743130757,4075
2014-05-09,210,8319892439,6626
2014-05-12,210,8061988429,-3838
2014-05-13,210,7764248974,-4815
2014-05-14,210,8478956886,42985
2014-05-15,210,6704842398,-31061
2014-05-16,210,6846466797,2271
2014-05-19,210,7314029587,27495
2014-05-20,210,7454742471,990
2014-05-21,210,7659951064,6988
2014-05-22,210,6661709748,-24122
2014-05-23,210,6145132078,-23503
2014-05-26,210,5938938966,4416
2014-05-27,210,5992016498,906
2014-05-28,210,6081543053,4145
2014-05-29,210,5924213549,334
2014-05-30,210,5410895728,-10179
2014-06-03,210,5526463895,783
2014-06-04,210,5598560954,-1657
2014-06-05,210,5549742103,-139
2014-06-06,210,6086188740,13414
2014-06-09,210,6016311552,464
2014-06-10,210,6156859246,3394
2014-06-11,210,6109650820,978
2014-06-12,210,6854092663,14027
2014-06-13,210,7103473214,6061
2014-06-16,210,6887941791,-5191
2014-06-17,210,6897759197,392
2014-06-18,210,7303070778,14356
2014-06-19,210,6496589327,-11349
2014-06-20,210,5735998687,-4454
2014-06-23,210,4849741431,-9088
