trading_date,rank,volume,volume_change
2013-11-05,210,4421937285,16435
2013-11-06,210,4380280829,-525
2013-11-07,210,3589727949,-15530
2013-11-08,210,3002568218,-13845
2013-11-11,210,2797426596,-2503
2013-11-12,210,2473466128,-8986
2013-11-13,210,2644268619,4041
2013-11-14,210,2836348297,5660
2013-11-15,210,2375091506,-3854
2013-11-18,210,2559510109,10586
2013-11-19,210,2635228605,1702
2013-11-20,210,2737911115,3173
2013-11-21,210,2625582071,-2803
2013-11-22,210,2740182508,7139
2013-11-25,210,2992146958,6617
2013-11-26,210,3013476314,3099
2013-11-27,210,2961347455,3875
2013-11-28,210,3156853779,3301
2013-11-29,210,3270833687,3076
2013-12-02,210,3535893014,9358
2013-12-03,210,3579781259,1374
2013-12-04,210,3919123209,7398
2013-12-05,210,4062884748,3721
2013-12-06,210,3972100577,7791
2013-12-09,210,4641462394,21925
2013-12-10,210,4826047719,4806
2013-12-11,210,4609569136,-3172
2013-12-12,210,5182212180,13998
2013-12-13,210,5097423308,6870
2013-12-16,210,5158460266,4271
2013-12-17,210,5310758963,3385
2013-12-18,210,5224903216,1658
2013-12-19,210,5037841683,-1654
2013-12-20,210,4956926154,-3547
2013-12-23,210,4888887707,1049
2013-12-24,210,4555053935,-7172
2013-12-25,210,4464491710,-3868
2013-12-26,210,5331217763,22187
2013-12-27,210,4859792093,-9039
2013-12-30,210,5152406850,6713
2013-12-31,210,5778228460,15538
2014-01-02,210,5453391332,-5638
2014-01-03,210,5489815672,-168
2014-01-06,210,6370100531,35412
2014-01-07,210,6557250873,5007
2014-01-08,210,6869916494,9620
2014-01-09,210,7393645941,14011
2014-01-10,210,7881997270,10252
2014-01-13,210,8088903679,5983
2014-01-14,210,8651252339,8766
2014-01-15,210,8946302908,7214
2014-01-16,210,9494452134,12818
2014-01-17,210,9433160406,-3616
2014-01-20,210,9662262070,3048
2014-01-21,210,10220208126,12904
2014-01-22,210,10195810109,-247
2014-01-23,210,10394547644,1812
2014-01-24,210,10574360486,3094
2014-01-27,210,10176054340,-7390
2014-01-28,210,8605484488,-25588
2014-01-29,210,8114223681,-15963
2014-01-30,210,7859302674,-8978
2014-02-07,210,7207934572,-10562
2014-02-10,210,9655223454,50285
2014-02-11,210,9880227600,3580
2014-02-12,210,10166519679,5376
2014-02-13,210,10552692697,7910
2014-02-14,210,10398835116,-2161
2014-02-17,210,10506971362,1800
2014-02-18,210,11239536150,13274
2014-02-19,210,10536593919,-11525
2014-02-20,210,10162284136,-5464
2014-02-21,210,10332798335,6982
2014-02-24,210,9106405020,-17899
2014-02-25,210,9240541942,7686
2014-02-26,210,8743042013,-9260
2014-02-27,210,8538090307,-400
2014-02-28,210,8413269516,-731
2014-03-03,210,8624176864,5845
2014-03-04,210,8221596987,-9145
2014-03-05,210,7937359720,-7507
2014-03-06,210,9065785548,27024
2014-03-07,210,8128138667,-23947
2014-03-10,210,7987245249,1296
2014-03-11,210,7676254702,-8755
2014-03-12,210,7786684571,2797
2014-03-13,210,7656116099,-2665
2014-03-14,210,6794710184,-12685
2014-03-17,210,6473057981,-11221
2014-03-18,210,7044650427,7818
2014-03-19,210,7333622705,4114
2014-03-20,210,5957265284,-28452
2014-03-21,210,5949330078,-7871
2014-03-24,210,6253183630,9172
2014-03-25,210,6097550690,-743
2014-03-26,210,6121803377,8039
2014-03-27,210,7275984205,23838
2014-03-28,210,7166438436,6516
2014-03-31,210,7569917767,8284
2014-04-01,210,9230252112,23985
2014-04-02,210,7052010153,-32507
2014-04-03,210,7362394793,2446
2014-04-04,210,6994419293,-6576
2014-04-08,210,6945289033,-2137
2014-04-09,210,7528059482,17644
2014-04-10,210,7203930922,-8735
2014-04-11,210,7184574010,-2173
2014-04-14,210,7733732901,13607
2014-04-15,210,8020721289,1654
2014-04-16,210,9982388660,53987
2014-04-17,210,9948354446,1479
2014-04-18,210,11563342983,26182
2014-04-21,210,10845862525,-6858
2014-04-22,210,9942084382,-10091
2014-04-23,210,9741113390,-5396
2014-04-24,210,10306546940,5792
