trading_date,rank,volume,volume_change
2013-11-05,210,256667,-1490
2013-11-06,210,257126,459
2013-11-07,210,246145,-10058
2013-11-08,210,238736,-5771
2013-11-11,210,237544,-1154
2013-11-12,210,239096,3085
2013-11-13,210,241105,2244
2013-11-14,210,245595,7479
2013-11-15,210,254789,12289
2013-11-18,210,259731,5826
2013-11-19,210,274965,16446
2013-11-20,210,275275,1187
2013-11-21,210,274369,-517
2013-11-22,210,277412,3642
2013-11-25,210,292234,14822
2013-11-26,210,288308,-3292
2013-11-27,210,291173,2865
2013-11-28,210,290857,63
2013-11-29,210,293450,3993
2013-12-02,210,291999,-1138
2013-12-03,210,291363,276
2013-12-04,210,269596,-20135
2013-12-05,210,268867,280
2013-12-06,210,262714,-5452
2013-12-09,210,260384,-1225
2013-12-10,210,260877,958
2013-12-11,210,255341,-4946
2013-12-12,210,256169,5986
2013-12-13,210,240696,-13341
2013-12-16,210,234415,-5476
2013-12-17,210,237131,3558
2013-12-18,210,265729,31163
2013-12-19,210,253259,-12393
2013-12-20,210,248287,-2899
2013-12-23,210,245124,-2984
2013-12-24,210,247204,2080
2013-12-25,210,239984,-7220
2013-12-26,210,240887,903
2013-12-27,210,232375,-5660
2013-12-30,210,222999,-7745
2013-12-31,210,219884,-3100
2014-01-02,210,234982,16245
2014-01-03,210,240675,6443
2014-01-06,210,242223,1956
2014-01-07,210,251670,10907
2014-01-08,210,243588,-8082
2014-01-09,210,236801,-6787
2014-01-10,210,229860,-6941
2014-01-13,210,228135,339
2014-01-14,210,236219,10334
2014-01-15,210,177426,-58793
2014-01-16,210,176490,-936
2014-01-17,210,179047,3119
2014-01-20,210,179612,565
2014-01-21,210,201951,27601
2014-01-22,210,204749,4872
2014-01-23,210,201149,-3600
2014-01-24,210,199533,-1501
2014-01-27,210,198981,-552
2014-01-28,210,196810,-2171
2014-01-29,210,193508,-3302
2014-01-30,210,194994,1486
2014-02-07,210,198920,3926
2014-02-10,210,198651,-269
2014-02-11,210,204386,5735
2014-02-12,210,209430,5044
2014-02-13,210,222129,12699
2014-02-14,210,240418,18604
2014-02-17,210,234871,681
2014-02-18,210,250015,17138
2014-02-19,210,271445,23578
2014-02-20,210,286809,15575
2014-02-21,210,291518,4985
2014-02-24,210,322312,31469
2014-02-25,210,330811,9736
2014-02-26,210,336080,5269
2014-02-27,210,340625,5900
2014-02-28,210,341930,1368
2014-03-03,210,337992,-3938
2014-03-04,210,333270,-3927
2014-03-05,210,328363,-1663
2014-03-06,210,326481,-1825
2014-03-07,210,333125,8570
2014-03-10,210,350551,21600
2014-03-11,210,336098,-12045
2014-03-12,210,339417,3902
2014-03-13,210,338596,-821
2014-03-14,210,401777,70424
2014-03-17,210,388609,-9874
2014-03-18,210,396578,7969
2014-03-19,210,402189,7258
2014-03-20,210,397119,-5070
2014-03-21,210,399530,3593
2014-03-24,210,402662,3132
2014-03-25,210,376692,-16527
2014-03-26,210,352858,-23827
2014-03-27,210,323018,-27041
2014-03-28,210,306351,-12478
2014-03-31,210,301340,-4333
2014-04-01,210,269351,-28199
2014-04-02,210,268088,-1263
2014-04-03,210,272545,4484
2014-04-04,210,244697,-17274
2014-04-08,210,239721,-4976
2014-04-09,210,246464,9162
2014-04-10,210,238482,-5936
2014-04-11,210,240128,2419
2014-04-14,210,235836,-1543
2014-04-15,210,233255,-1425
2014-04-16,210,229380,-3823
2014-04-17,210,231262,4219
2014-04-18,210,226152,-5110
2014-04-21,210,232393,7464
2014-04-22,210,236580,7398
2014-04-23,210,228342,-7323
2014-04-24,210,223014,-5328
2014-04-25,210,218431,-4583
2014-04-28,210,213087,-5084
2014-04-29,210,216130,3043
2014-04-30,210,216640,1100
2014-05-05,210,226936,10496
2014-05-06,210,231308,4844
2014-05-07,210,235880,7569
2014-05-08,210,234153,-559
2014-05-09,210,226799,-7120
2014-05-12,210,221602,-5197
2014-05-13,210,224811,3702
2014-05-14,210,218526,-5368
2014-05-15,210,213556,-4251
2014-05-16,210,178747,-28953
2014-05-19,210,188540,13256
2014-05-20,210,191448,2908
2014-05-21,210,200482,13306
2014-05-22,210,200346,9564
2014-05-23,210,210966,14403
2014-05-26,210,222535,14468
2014-05-27,210,234913,14704
2014-05-28,210,215885,-14182
2014-05-29,210,227411,11526
2014-05-30,210,222208,-4065
2014-06-03,210,236919,16588
2014-06-04,210,237818,1019
2014-06-05,210,234496,4742
2014-06-06,210,222638,-7472
2014-06-09,210,223758,2637
2014-06-10,210,206827,-14312
2014-06-11,210,197537,2857
2014-06-12,210,203123,9282
2014-06-13,210,237642,37454
2014-06-16,210,232169,2501
2014-06-17,210,222140,-2188
2014-06-18,210,226895,4755
2014-06-19,210,223885,9888
2014-06-20,210,213374,-6288
2014-06-23,210,212764,2207
2014-06-24,210,213889,4895
2014-06-25,210,206385,-7351
2014-06-26,210,233066,34935
2014-06-27,210,235479,4175
2014-06-30,210,240371,13924
2014-07-01,210,231032,-1218
2014-07-02,210,210266,-7609
2014-07-03,210,219080,14389
2014-07-04,210,221217,9198
2014-07-07,210,224389,4490
2014-07-08,210,238511,19678
2014-07-09,210,242158,7423
2014-07-10,210,243511,3555
2014-07-11,210,257580,15815
2014-07-14,210,247752,-8968
2014-07-15,210,248208,2823
2014-07-16,210,259770,16409
2014-07-17,210,253132,-4583
2014-07-18,210,263231,20799
2014-07-21,210,276312,18213
2014-07-22,210,281916,11832
2014-07-23,210,264530,-17018
2014-07-24,210,250623,-10370
2014-07-25,210,242724,-3425
2014-07-28,210,245456,3350
2014-07-29,210,244990,3241
2014-07-30,210,251219,7504
2014-07-31,210,242967,-3621
2014-08-01,210,230783,-10838
2014-08-04,210,221920,-2970
2014-08-05,210,225294,3374
2014-08-06,210,226977,3855
2014-08-07,210,228485,5414
2014-08-08,210,228139,571
2014-08-11,210,222284,-629
2014-08-12,210,218630,-2727
2014-08-13,210,209223,-3772
2014-08-14,210,206992,-1811
2014-08-15,210,220611,17723
2014-08-18,210,251639,33017
