trading_date,rank,volume,volume_change
2013-11-05,210,237061,-1556
2013-11-06,210,234510,-1775
2013-11-07,210,231278,347
2013-11-08,210,234373,8928
2013-11-11,210,238456,6679
2013-11-12,210,234447,-4009
2013-11-13,210,233848,-599
2013-11-14,210,246299,13273
2013-11-15,210,250735,4890
2013-11-18,210,257208,7329
2013-11-19,210,254765,-2166
2013-11-20,210,260151,5386
2013-11-21,210,260841,1451
2013-11-22,210,261722,881
2013-11-25,210,262126,404
2013-11-26,210,260373,342
2013-11-27,210,258774,-1552
2013-11-28,210,264686,6402
2013-11-29,210,278651,14954
2013-12-02,210,279398,1266
2013-12-03,210,284216,6742
2013-12-04,210,284373,1443
2013-12-05,210,280239,-2235
2013-12-06,210,262732,-17507
2013-12-09,210,261755,-977
2013-12-10,210,261600,-155
2013-12-11,210,257111,-2774
2013-12-12,210,266149,12549
2013-12-13,210,231155,-34994
2013-12-16,210,222261,-6493
2013-12-17,210,218720,-1452
2013-12-18,210,226935,8600
2013-12-19,210,210820,-15203
2013-12-20,210,205418,-5205
2013-12-23,210,199751,-4641
2013-12-24,210,196944,-2082
2013-12-25,210,193959,-2916
2013-12-26,210,192217,-367
2013-12-27,210,197072,6349
2013-12-30,210,200044,5116
2013-12-31,210,186295,-8578
2014-01-02,210,186620,3586
2014-01-03,210,186493,-127
2014-01-06,210,180772,895
2014-01-07,210,185323,4688
2014-01-08,210,178441,-2295
2014-01-09,210,174958,-610
2014-01-10,210,172719,1957
2014-01-13,210,174194,2188
2014-01-14,210,175331,1593
2014-01-15,210,144304,-22569
2014-01-16,210,141479,-1742
2014-01-17,210,145013,3534
2014-01-20,210,148924,3911
2014-01-21,210,164728,23871
2014-01-22,210,166291,4927
2014-01-23,210,163910,-1571
2014-01-24,210,163800,4206
2014-01-27,210,156342,1610
2014-01-28,210,155899,431
2014-01-29,210,158501,4839
2014-01-30,210,159722,3600
2014-02-07,210,162212,7622
2014-02-10,210,171180,14888
2014-02-11,210,176895,12272
2014-02-12,210,186079,11599
2014-02-13,210,196977,14778
2014-02-14,210,216808,25382
2014-02-17,210,220380,8101
2014-02-18,210,231577,16013
2014-02-19,210,252297,24631
2014-02-20,210,263410,12599
2014-02-21,210,269019,10610
2014-02-24,210,289754,32564
2014-02-25,210,298022,11133
2014-02-26,210,309908,11886
2014-02-27,210,318785,10377
2014-02-28,210,316169,-2616
2014-03-03,210,318474,3714
2014-03-04,210,306495,-6449
2014-03-05,210,309357,12394
2014-03-06,210,317378,8378
2014-03-07,210,321417,7037
2014-03-10,210,317784,14254
2014-03-11,210,320102,5859
2014-03-12,210,319209,5655
2014-03-13,210,331828,14061
2014-03-14,210,371252,58011
2014-03-17,210,368938,2541
2014-03-18,210,373379,13396
2014-03-19,210,372524,51
2014-03-20,210,377411,4887
2014-03-21,210,372837,1219
2014-03-24,210,365294,-2446
2014-03-25,210,355371,101
2014-03-26,210,341146,-13600
2014-03-27,210,317127,-18537
2014-03-28,210,300297,-16623
2014-03-31,210,301462,3318
2014-04-01,210,283846,-14932
2014-04-02,210,282874,2696
2014-04-03,210,281040,2312
2014-04-04,210,270214,-7916
2014-04-08,210,289061,19994
2014-04-09,210,283593,-3579
2014-04-10,210,263316,-18917
2014-04-11,210,260400,-971
2014-04-14,210,266937,6543
2014-04-15,210,251445,-15492
2014-04-16,210,246575,-4313
2014-04-17,210,258705,12285
2014-04-18,210,226749,-31258
2014-04-21,210,221278,6270
2014-04-22,210,234478,14505
2014-04-23,210,230303,-2789
2014-04-24,210,235604,8810
2014-04-25,210,231778,-3543
2014-04-28,210,223232,1476
2014-04-29,210,229559,7324
2014-04-30,210,224318,-4918
2014-05-05,210,231028,12025
2014-05-06,210,231857,829
2014-05-07,210,239180,9367
2014-05-08,210,232056,-5882
2014-05-09,210,225373,-782
2014-05-12,210,222770,1257
2014-05-13,210,222745,2954
2014-05-14,210,221662,206
2014-05-15,210,212521,-1838
2014-05-16,210,167066,-19432
2014-05-19,210,210764,47318
2014-05-20,210,216711,8116
2014-05-21,210,230101,16905
2014-05-22,210,229468,12050
2014-05-23,210,240109,12952
2014-05-26,210,250478,11443
2014-05-27,210,251166,2033
2014-05-28,210,233567,-17148
2014-05-29,210,240923,11217
2014-05-30,210,230406,-7320
2014-06-03,210,236476,7362
2014-06-04,210,231804,-989
2014-06-05,210,232035,2172
2014-06-06,210,207780,-22389
2014-06-09,210,204092,-906
2014-06-10,210,199306,-4786
2014-06-11,210,189079,-8447
2014-06-12,210,204055,18749
2014-06-13,210,240858,47962
2014-06-16,210,239249,12409
2014-06-17,210,227252,-9221
2014-06-18,210,235780,9615
2014-06-19,210,223876,-7158
2014-06-20,210,225777,3841
