trading_date,TA_total_oi
2013-11-05,687560.0
2013-11-06,689508.0
2013-11-07,671178.0
2013-11-08,650624.0
2013-11-11,650368.0
2013-11-12,644268.0
2013-11-13,644750.0
2013-11-14,676162.0
2013-11-15,690010.0
2013-11-18,702526.0
2013-11-19,722430.0
2013-11-20,728898.0
2013-11-21,729100.0
2013-11-22,735350.0
2013-11-25,766254.0
2013-11-26,752278.0
2013-11-27,751634.0
2013-11-28,756038.0
2013-11-29,782460.0
2013-12-02,787758.0
2013-12-03,794030.0
2013-12-04,787402.0
2013-12-05,781938.0
2013-12-06,740466.0
2013-12-09,738622.0
2013-12-10,738924.0
2013-12-11,723766.0
2013-12-12,755368.0
2013-12-13,663528.0
2013-12-16,649594.0
2013-12-17,652960.0
2013-12-18,709180.0
2013-12-19,674296.0
2013-12-20,656734.0
2013-12-23,647230.0
2013-12-24,650044.0
2013-12-25,625098.0
2013-12-26,627722.0
2013-12-27,605980.0
2013-12-30,583452.0
2013-12-31,561556.0
2014-01-02,604360.0
2014-01-03,612290.0
2014-01-06,617552.0
2014-01-07,634988.0
2014-01-08,612174.0
2014-01-09,592710.0
2014-01-10,578070.0
2014-01-13,579522.0
2014-01-14,600714.0
2014-01-15,482028.0
2014-01-16,469706.0
2014-01-17,474672.0
2014-01-20,480732.0
2014-01-21,561030.0
2014-01-22,561496.0
2014-01-23,551214.0
2014-01-24,539454.0
2014-01-27,530432.0
2014-01-28,522556.0
2014-01-29,508738.0
2014-01-30,506234.0
2014-02-07,523458.0
2014-02-10,543390.0
2014-02-11,567702.0
2014-02-12,580878.0
2014-02-13,622972.0
2014-02-14,684576.0
2014-02-17,700522.0
2014-02-18,765940.0
2014-02-19,830470.0
2014-02-20,888614.0
2014-02-21,899132.0
2014-02-24,955544.0
2014-02-25,987180.0
2014-02-26,1018186.0
2014-02-27,1038104.0
2014-02-28,1033482.0
2014-03-03,1016392.0
2014-03-04,996144.0
2014-03-05,984808.0
2014-03-06,977180.0
2014-03-07,995076.0
2014-03-10,1033924.0
2014-03-11,983456.0
2014-03-12,1000880.0
2014-03-13,1028798.0
2014-03-14,1232804.0
2014-03-17,1135426.0
2014-03-18,1147108.0
2014-03-19,1153296.0
2014-03-20,1134846.0
2014-03-21,1141578.0
2014-03-24,1142958.0
2014-03-25,1048926.0
2014-03-26,978370.0
2014-03-27,919406.0
2014-03-28,881118.0
2014-03-31,870710.0
2014-04-01,806838.0
2014-04-02,811618.0
2014-04-03,818350.0
2014-04-04,754300.0
2014-04-08,775872.0
2014-04-09,785010.0
2014-04-10,756530.0
2014-04-11,745502.0
2014-04-14,740182.0
2014-04-15,725076.0
2014-04-16,713210.0
2014-04-17,723098.0
2014-04-18,696486.0
2014-04-21,699070.0
2014-04-22,718876.0
2014-04-23,707990.0
2014-04-24,693368.0
2014-04-25,676448.0
2014-04-28,661248.0
2014-04-29,675218.0
2014-04-30,670438.0
2014-05-05,712990.0
2014-05-06,734326.0
2014-05-07,741938.0
2014-05-08,753154.0
2014-05-09,720082.0
2014-05-12,698100.0
2014-05-13,681898.0
2014-05-14,653082.0
2014-05-15,644594.0
2014-05-16,544126.0
2014-05-19,602786.0
2014-05-20,608312.0
2014-05-21,649278.0
2014-05-22,662366.0
2014-05-23,703596.0
2014-05-26,737168.0
2014-05-27,728142.0
2014-05-28,676742.0
2014-05-29,716238.0
2014-05-30,684754.0
2014-06-03,714726.0
2014-06-04,746068.0
2014-06-05,757760.0
2014-06-06,715974.0
2014-06-09,703074.0
2014-06-10,672052.0
2014-06-11,633280.0
2014-06-12,690464.0
2014-06-13,809832.0
2014-06-16,814432.0
2014-06-17,755180.0
2014-06-18,766250.0
2014-06-19,755852.0
2014-06-20,725740.0
2014-06-23,700320.0
2014-06-24,727950.0
2014-06-25,690602.0
2014-06-26,786382.0
2014-06-27,787440.0
2014-06-30,801548.0
2014-07-01,749906.0
2014-07-02,659578.0
2014-07-03,704380.0
2014-07-04,721546.0
2014-07-07,701762.0
2014-07-08,738492.0
2014-07-09,759810.0
2014-07-10,759238.0
2014-07-11,799556.0
2014-07-14,775460.0
2014-07-15,784278.0
2014-07-16,853204.0
2014-07-17,826434.0
2014-07-18,821982.0
2014-07-21,855118.0
2014-07-22,893700.0
2014-07-23,852622.0
2014-07-24,785416.0
2014-07-25,758872.0
2014-07-28,769632.0
2014-07-29,809090.0
2014-07-30,808792.0
2014-07-31,746202.0
2014-08-01,730242.0
2014-08-04,707634.0
2014-08-05,726742.0
2014-08-06,734770.0
2014-08-07,718766.0
2014-08-08,708230.0
2014-08-11,737802.0
2014-08-12,715112.0
2014-08-13,698028.0
2014-08-14,662956.0
2014-08-15,685612.0
2014-08-18,737380.0
2014-08-19,741540.0
2014-08-20,762090.0
2014-08-21,746386.0
2014-08-22,799592.0
2014-08-25,817040.0
2014-08-26,802206.0
2014-08-27,840480.0
2014-08-28,846236.0
2014-08-29,781616.0
2014-09-01,853300.0
2014-09-02,780310.0
2014-09-03,827592.0
2014-09-04,826768.0
2014-09-05,782330.0
2014-09-09,835844.0
2014-09-10,805778.0
2014-09-11,799816.0
2014-09-12,773644.0
2014-09-15,747560.0
2014-09-16,712190.0
2014-09-17,688366.0
2014-09-18,752328.0
2014-09-19,738882.0
2014-09-22,715878.0
2014-09-23,710292.0
2014-09-24,709234.0
2014-09-25,709174.0
2014-09-26,685792.0
2014-09-29,691558.0
2014-09-30,673194.0
2014-10-08,797802.0
2014-10-09,851926.0
2014-10-10,949718.0
2014-10-13,1068858.0
2014-10-14,1112604.0
2014-10-15,1065986.0
2014-10-16,1097402.0
2014-10-17,1068736.0
2014-10-20,1029298.0
2014-10-21,1038710.0
2014-10-22,1040786.0
2014-10-23,1003268.0
2014-10-24,1038988.0
2014-10-27,1007678.0
2014-10-28,1079756.0
2014-10-29,1074432.0
2014-10-30,1098692.0
2014-10-31,1146878.0
2014-11-03,1230052.0
2014-11-04,1233518.0
2014-11-05,1185502.0
2014-11-06,1178914.0
2014-11-07,1166168.0
2014-11-10,1175554.0
2014-11-11,1149336.0
2014-11-12,1236854.0
2014-11-13,1339530.0
2014-11-14,1302846.0
2014-11-17,1355832.0
2014-11-18,1338570.0
2014-11-19,1427936.0
2014-11-20,1376660.0
2014-11-21,1344952.0
2014-11-24,1305944.0
2014-11-25,1204552.0
2014-11-26,1196716.0
2014-11-27,1093540.0
2014-11-28,1034294.0
2014-12-01,1046388.0
2014-12-02,992452.0
2014-12-03,951694.0
2014-12-04,889646.0
2014-12-05,836334.0
2014-12-08,945298.0
2014-12-09,935544.0
2014-12-10,908642.0
2014-12-11,913470.0
2014-12-12,910382.0
2014-12-15,942146.0
2014-12-16,992138.0
2014-12-17,1083782.0
2014-12-18,1058964.0
2014-12-19,1034976.0
2014-12-22,983088.0
2014-12-23,1001218.0
2014-12-24,1093096.0
2014-12-25,1105398.0
2014-12-26,1083790.0
2014-12-29,1069394.0
2014-12-30,1122240.0
2014-12-31,1077972.0
2015-01-05,1183870.0
2015-01-06,1340074.0
2015-01-07,1624408.0
2015-01-08,1647860.0
2015-01-09,1611012.0
2015-01-12,1621246.0
2015-01-13,1771106.0
2015-01-14,1791238.0
2015-01-15,1719522.0
2015-01-16,1659656.0
2015-01-19,1604038.0
2015-01-20,1592864.0
2015-01-21,1570060.0
2015-01-22,1569718.0
2015-01-23,1565380.0
2015-01-26,1597748.0
2015-01-27,1673002.0
2015-01-28,1621070.0
2015-01-29,1649346.0
2015-01-30,1699610.0
2015-02-02,1772772.0
2015-02-03,1761280.0
2015-02-04,1667840.0
2015-02-05,1641918.0
2015-02-06,1683096.0
2015-02-09,1675908.0
2015-02-10,1746982.0
2015-02-11,1799600.0
2015-02-12,1819106.0
2015-02-13,1846050.0
2015-02-16,1723450.0
2015-02-17,1676014.0
2015-02-25,1651628.0
2015-02-26,1745488.0
2015-02-27,1836526.0
2015-03-02,1847602.0
2015-03-03,1863826.0
2015-03-04,1869296.0
2015-03-05,1856850.0
2015-03-06,1790214.0
2015-03-09,1736222.0
2015-03-10,1704882.0
2015-03-11,1643910.0
2015-03-12,1685740.0
2015-03-13,1804624.0
2015-03-16,1825130.0
2015-03-17,1893932.0
2015-03-18,1924404.0
2015-03-19,2035346.0
2015-03-20,2041898.0
2015-03-23,2006596.0
2015-03-24,1937372.0
2015-03-25,1947566.0
2015-03-26,2038266.0
2015-03-27,2123778.0
2015-03-30,2181680.0
2015-03-31,2175068.0
2015-04-01,2197254.0
2015-04-02,2270136.0
2015-04-03,2090912.0
2015-04-07,1896370.0
2015-04-08,1707766.0
2015-04-09,1668074.0
2015-04-10,1547460.0
2015-04-13,1548920.0
2015-04-14,1670344.0
2015-04-15,1758402.0
2015-04-16,1842684.0
2015-04-17,1885278.0
2015-04-20,1803654.0
2015-04-21,1836096.0
2015-04-22,1845274.0
2015-04-23,1893496.0
2015-04-24,1784984.0
2015-04-27,1810808.0
2015-04-28,1805870.0
2015-04-29,1729970.0
2015-04-30,1669708.0
2015-05-04,1721158.0
2015-05-05,1670558.0
2015-05-06,1801714.0
2015-05-07,1659114.0
2015-05-08,1570974.0
2015-05-11,1587926.0
2015-05-12,1617606.0
2015-05-13,1625774.0
2015-05-14,1618336.0
2015-05-15,1478160.0
2015-05-18,1439946.0
2015-05-19,1436734.0
2015-05-20,1433440.0
2015-05-21,1432286.0
2015-05-22,1428510.0
2015-05-25,1464890.0
2015-05-26,1474638.0
2015-05-27,1518174.0
2015-05-28,1535676.0
2015-05-29,1495274.0
2015-06-01,1508562.0
2015-06-02,1513532.0
2015-06-03,1512078.0
2015-06-04,1428688.0
2015-06-05,1445216.0
2015-06-08,1459728.0
2015-06-09,1447920.0
2015-06-10,1463012.0
2015-06-11,1458476.0
2015-06-12,1399970.0
2015-06-15,1381700.0
2015-06-16,1361612.0
2015-06-17,1353068.0
2015-06-18,1371890.0
2015-06-19,1320838.0
2015-06-23,1323532.0
2015-06-24,1370142.0
2015-06-25,1336268.0
2015-06-26,1279262.0
2015-06-29,1234136.0
2015-06-30,1304790.0
2015-07-01,1276988.0
2015-07-02,1213718.0
2015-07-03,1200618.0
2015-07-06,1237768.0
2015-07-07,1282950.0
2015-07-08,1028306.0
2015-07-09,893342.0
2015-07-10,991016.0
2015-07-13,1077706.0
2015-07-14,1085682.0
2015-07-15,1046366.0
2015-07-16,1050148.0
2015-07-17,1098972.0
2015-07-20,1066790.0
2015-07-21,1044190.0
2015-07-22,993698.0
2015-07-23,1030600.0
2015-07-24,1043884.0
2015-07-27,1076996.0
2015-07-28,1016980.0
2015-07-29,1002940.0
2015-07-30,958774.0
2015-07-31,923860.0
2015-08-03,1028588.0
2015-08-04,997604.0
2015-08-05,1076588.0
2015-08-06,984646.0
2015-08-07,948126.0
2015-08-10,1024966.0
2015-08-11,1092514.0
2015-08-12,1017252.0
2015-08-13,1136588.0
2015-08-14,1080352.0
2015-08-17,1060334.0
2015-08-18,997964.0
2015-08-19,1008258.0
2015-08-20,1001940.0
2015-08-21,1068638.0
2015-08-24,1055032.0
2015-08-25,931984.0
2015-08-26,954142.0
2015-08-27,971122.0
2015-08-28,913418.0
2015-08-31,866134.0
2015-09-01,865920.0
2015-09-02,809966.0
2015-09-07,810874.0
2015-09-08,905544.0
2015-09-09,887922.0
2015-09-10,956020.0
2015-09-11,959688.0
2015-09-14,897376.0
2015-09-15,848498.0
2015-09-16,803122.0
2015-09-17,820952.0
2015-09-18,822306.0
2015-09-21,893916.0
2015-09-22,916910.0
2015-09-23,898624.0
2015-09-24,870964.0
2015-09-25,851820.0
2015-09-28,1055258.0
2015-09-29,934558.0
2015-09-30,841960.0
2015-10-08,792106.0
2015-10-09,973870.0
2015-10-12,1053628.0
2015-10-13,895184.0
2015-10-14,894752.0
2015-10-15,854190.0
2015-10-16,850916.0
2015-10-19,905118.0
2015-10-20,863738.0
2015-10-21,846530.0
2015-10-22,831616.0
2015-10-23,916344.0
2015-10-26,878376.0
2015-10-27,909012.0
2015-10-28,961598.0
2015-10-29,981146.0
2015-10-30,1057864.0
2015-11-02,1131630.0
2015-11-03,1081840.0
2015-11-04,1116086.0
2015-11-05,1075816.0
2015-11-06,1223792.0
2015-11-09,1287670.0
2015-11-10,1194288.0
2015-11-11,1355054.0
2015-11-12,1349056.0
2015-11-13,1351518.0
2015-11-16,1417340.0
2015-11-17,1427246.0
2015-11-18,1415022.0
2015-11-19,1413748.0
2015-11-20,1351308.0
2015-11-23,1318778.0
2015-11-24,1179562.0
2015-11-25,1087370.0
2015-11-26,916396.0
2015-11-27,809702.0
2015-11-30,822718.0
2015-12-01,759842.0
2015-12-02,767426.0
2015-12-03,806802.0
2015-12-04,769584.0
2015-12-07,903632.0
2015-12-08,1276218.0
2015-12-09,1215040.0
2015-12-10,1195198.0
2015-12-11,1146982.0
2015-12-14,1229072.0
2015-12-15,1087556.0
2015-12-16,1023734.0
2015-12-17,1002446.0
2015-12-18,1011630.0
2015-12-21,1001854.0
2015-12-22,987424.0
2015-12-23,1013436.0
2015-12-24,1018176.0
2015-12-25,1004156.0
2015-12-28,1058858.0
2015-12-29,972500.0
2015-12-30,961656.0
2015-12-31,941194.0
2016-01-04,932904.0
2016-01-05,1001902.0
2016-01-06,956896.0
2016-01-07,929006.0
2016-01-08,974674.0
2016-01-11,1022376.0
2016-01-12,1133278.0
2016-01-13,1186818.0
2016-01-14,1188238.0
2016-01-15,1138170.0
2016-01-18,1276780.0
2016-01-19,1306156.0
2016-01-20,1405358.0
2016-01-21,1387956.0
2016-01-22,1334034.0
2016-01-25,1249992.0
2016-01-26,1236402.0
2016-01-27,1217994.0
2016-01-28,1175224.0
2016-01-29,1106978.0
2016-02-01,1063110.0
2016-02-02,1061966.0
2016-02-03,1019066.0
2016-02-04,940708.0
2016-02-05,860210.0
2016-02-15,916504.0
2016-02-16,977778.0
2016-02-17,966212.0
2016-02-18,998958.0
2016-02-19,1029420.0
2016-02-22,1049930.0
2016-02-23,1031536.0
2016-02-24,1064446.0
2016-02-25,1048768.0
2016-02-26,1003752.0
2016-02-29,990274.0
2016-03-01,1294540.0
2016-03-02,1250440.0
2016-03-03,1367470.0
2016-03-04,1359562.0
2016-03-07,1268050.0
2016-03-08,1200058.0
2016-03-09,1180258.0
2016-03-10,1185610.0
2016-03-11,1244832.0
2016-03-14,1254330.0
2016-03-15,1267608.0
2016-03-16,1303838.0
2016-03-17,1340306.0
2016-03-18,1319472.0
2016-03-21,1304764.0
2016-03-22,1386188.0
2016-03-23,1429982.0
2016-03-24,1367374.0
2016-03-25,1313920.0
2016-03-28,1326856.0
2016-03-29,1375836.0
2016-03-30,1386838.0
2016-03-31,1417740.0
2016-04-01,1686828.0
2016-04-05,1526050.0
2016-04-06,1440470.0
2016-04-07,1451846.0
2016-04-08,1433118.0
2016-04-11,1353740.0
2016-04-12,1340046.0
2016-04-13,1399036.0
2016-04-14,1719508.0
2016-04-15,1613730.0
2016-04-18,1621078.0
2016-04-19,1587420.0
2016-04-20,1605068.0
2016-04-21,1746816.0
2016-04-22,1424082.0
2016-04-25,1640380.0
2016-04-26,1516130.0
2016-04-27,1587378.0
2016-04-28,1464408.0
2016-04-29,1414400.0
2016-05-03,1406732.0
2016-05-04,1430562.0
2016-05-05,1420734.0
2016-05-06,1416458.0
2016-05-09,1383386.0
2016-05-10,1354578.0
2016-05-11,1393366.0
2016-05-12,1402460.0
2016-05-13,1380824.0
