trading_date,rank,volume,volume_change
2013-11-05,210,6226427521,-1490
2013-11-06,210,6643889954,459
2013-11-07,210,5930105345,-10058
2013-11-08,210,5790825192,-5771
2013-11-11,210,5740214214,-1154
2013-11-12,210,6063809858,3085
2013-11-13,210,6246604573,2244
2013-11-14,210,5931823337,7479
2013-11-15,210,7064028695,12289
2013-11-18,210,7787536725,5826
2013-11-19,210,9114040447,16446
2013-11-20,210,8966940157,1187
2013-11-21,210,8602787875,-517
2013-11-22,210,8941913852,3642
2013-11-25,210,9975306454,14822
2013-11-26,210,9968686118,-3292
2013-11-27,210,10134832763,2865
2013-11-28,210,10129933095,63
2013-11-29,210,10106217418,3993
2013-12-02,210,9615947795,-1138
2013-12-03,210,9346038819,276
2013-12-04,210,8019147688,-20135
2013-12-05,210,8216474435,280
2013-12-06,210,7985543818,-5452
2013-12-09,210,7816285690,-1225
2013-12-10,210,7806508429,958
2013-12-11,210,7660788227,-4946
2013-12-12,210,7358494669,5986
2013-12-13,210,7306910504,-13341
2013-12-16,210,7087173371,-5476
2013-12-17,210,7225394489,3558
2013-12-18,210,8422352015,31163
2013-12-19,210,8182034471,-12393
2013-12-20,210,7891636895,-2899
2013-12-23,210,7971749106,-2984
2013-12-24,210,8038073804,2080
2013-12-25,210,7404224330,-7220
2013-12-26,210,7645238943,903
2013-12-27,210,7137589015,-5660
2013-12-30,210,6910473575,-7745
2013-12-31,210,6847575026,-3100
2014-01-02,210,7258590470,16245
2014-01-03,210,7392619063,6443
2014-01-06,210,7737309705,1956
2014-01-07,210,8402551328,10907
2014-01-08,210,7999670050,-8082
2014-01-09,210,7428029031,-6787
2014-01-10,210,7223489480,-6941
2014-01-13,210,7030081665,339
2014-01-14,210,7152964227,10334
2014-01-15,210,3133299458,-58793
2014-01-16,210,3135650100,-936
2014-01-17,210,3208846271,3119
2014-01-20,210,3228494854,565
2014-01-21,210,3721930543,27601
2014-01-22,210,3754441635,4872
2014-01-23,210,3616675811,-3600
2014-01-24,210,3619160299,-1501
2014-01-27,210,3571711297,-552
2014-01-28,210,3498707984,-2171
2014-01-29,210,3418924092,-3302
2014-01-30,210,3497521294,1486
2014-02-07,210,3589525800,3926
2014-02-10,210,3480573693,-269
2014-02-11,210,3579550644,5735
2014-02-12,210,3828753606,5044
2014-02-13,210,4428257087,12699
2014-02-14,210,5202638528,18604
2014-02-17,210,4832723835,681
2014-02-18,210,5379760777,17138
2014-02-19,210,5968325235,23578
2014-02-20,210,6690919197,15575
2014-02-21,210,6729176574,4985
2014-02-24,210,9055571064,31469
2014-02-25,210,9733120787,9736
2014-02-26,210,9996253918,5269
2014-02-27,210,10159016085,5900
2014-02-28,210,10140364014,1368
2014-03-03,210,9838077178,-3938
2014-03-04,210,9716635528,-3927
2014-03-05,210,9385027491,-1663
2014-03-06,210,9096520737,-1825
2014-03-07,210,9190165081,8570
2014-03-10,210,9738252887,21600
2014-03-11,210,8837691504,-12045
2014-03-12,210,8958167911,3902
2014-03-13,210,8917751886,-821
2014-03-14,210,11154293079,70424
2014-03-17,210,10472695833,-9874
2014-03-18,210,10863319198,7969
2014-03-19,210,10790297101,7258
2014-03-20,210,10394733839,-5070
2014-03-21,210,10593972020,3593
2014-03-24,210,10697376146,3132
2014-03-25,210,9479281230,-16527
2014-03-26,210,8414675782,-23827
2014-03-27,210,6761657526,-27041
2014-03-28,210,5944899027,-12478
2014-03-31,210,5272907020,-4333
2014-04-01,210,4396919021,-28199
2014-04-02,210,4494222342,-1263
2014-04-03,210,4665086869,4484
2014-04-04,210,3816291845,-17274
2014-04-08,210,3510495867,-4976
2014-04-09,210,3613490608,9162
2014-04-10,210,3297498286,-5936
2014-04-11,210,3454929368,2419
2014-04-14,210,3326932298,-1543
2014-04-15,210,3339597895,-1425
2014-04-16,210,3144956908,-3823
2014-04-17,210,3185229512,4219
2014-04-18,210,3178291060,-5110
2014-04-21,210,3406345005,7464
2014-04-22,210,3538572466,7398
2014-04-23,210,3432070832,-7323
2014-04-24,210,3271235034,-5328
2014-04-25,210,3150366479,-4583
2014-04-28,210,3074946235,-5084
2014-04-29,210,3292769712,3043
2014-04-30,210,3333509844,1100
2014-05-05,210,3605518594,10496
2014-05-06,210,3726061668,4844
2014-05-07,210,3862040894,7569
2014-05-08,210,3871845665,-559
2014-05-09,210,3726081761,-7120
2014-05-12,210,3573744456,-5197
2014-05-13,210,3620901325,3702
2014-05-14,210,3538321228,-5368
2014-05-15,210,3472522160,-4251
