trading_date,rank,volume,volume_change
2013-11-05,210,4176019117,-1556
2013-11-06,210,4012121708,-1775
2013-11-07,210,4029273944,347
2013-11-08,210,4343158845,8928
2013-11-11,210,4547962026,6679
2013-11-12,210,4412475555,-4009
2013-11-13,210,4337986168,-599
2013-11-14,210,4678222043,13273
2013-11-15,210,4931700195,4890
2013-11-18,210,5088735184,7329
2013-11-19,210,4771620631,-2166
2013-11-20,210,4963727465,5386
2013-11-21,210,4956953827,1451
2013-11-22,210,4967439692,881
2013-11-25,210,4957416328,404
2013-11-26,210,4884655433,342
2013-11-27,210,4901018560,-1552
2013-11-28,210,5023972052,6402
2013-11-29,210,5480644735,14954
2013-12-02,210,5483593692,1266
2013-12-03,210,5701105124,6742
2013-12-04,210,5832865863,1443
2013-12-05,210,5834430629,-2235
2013-12-06,210,5251728168,-17507
2013-12-09,210,5322674117,-977
2013-12-10,210,5293623798,-155
2013-12-11,210,5130593515,-2774
2013-12-12,210,5200570887,12549
2013-12-13,210,3987122343,-34994
2013-12-16,210,3800793909,-6493
2013-12-17,210,3673030350,-1452
2013-12-18,210,3828254013,8600
2013-12-19,210,3112994022,-15203
2013-12-20,210,2978042614,-5205
2013-12-23,210,2805825005,-4641
2013-12-24,210,2688653160,-2082
2013-12-25,210,2671150429,-2916
2013-12-26,210,2587742225,-367
2013-12-27,210,2837138946,6349
2013-12-30,210,2890684522,5116
2013-12-31,210,2537758689,-8578
2014-01-02,210,2353280774,3586
2014-01-03,210,2334973329,-127
2014-01-06,210,2263987100,895
2014-01-07,210,2341472195,4688
2014-01-08,210,2179146791,-2295
2014-01-09,210,2290859158,-610
2014-01-10,210,2275793515,1957
2014-01-13,210,2159144956,2188
2014-01-14,210,2076232153,1593
2014-01-15,210,1372759024,-22569
2014-01-16,210,1328481997,-1742
2014-01-17,210,1360474585,3534
2014-01-20,210,1437694322,3911
2014-01-21,210,1827496908,23871
2014-01-22,210,1937803447,4927
2014-01-23,210,1857155888,-1571
2014-01-24,210,2067020760,4206
2014-01-27,210,1733744970,1610
2014-01-28,210,1787127329,431
2014-01-29,210,1900990335,4839
2014-01-30,210,1878257866,3600
2014-02-07,210,1872882054,7622
2014-02-10,210,2307332328,14888
2014-02-11,210,2457646149,12272
2014-02-12,210,2630143049,11599
2014-02-13,210,2840151969,14778
2014-02-14,210,3438949458,25382
2014-02-17,210,3479249440,8101
2014-02-18,210,3775443431,16013
2014-02-19,210,4328520821,24631
2014-02-20,210,4390765596,12599
2014-02-21,210,4564987779,10610
2014-02-24,210,5433458180,32564
2014-02-25,210,5592495326,11133
2014-02-26,210,6081334994,11886
2014-02-27,210,6393760399,10377
2014-02-28,210,6204606063,-2616
2014-03-03,210,6606236238,3714
2014-03-04,210,6478443665,-6449
2014-03-05,210,6669504585,12394
2014-03-06,210,6846487874,8378
2014-03-07,210,7403174283,7037
2014-03-10,210,7280270634,14254
2014-03-11,210,7471850014,5859
2014-03-12,210,7248999295,5655
