trading_date,rank,volume,volume_change
2013-11-05,210,14743,212
2013-11-06,210,14993,415
2013-11-07,210,15029,117
2013-11-08,210,14750,-330
2013-11-11,210,15281,316
2013-11-12,210,15177,-38
2013-11-13,210,14875,-101
2013-11-14,210,14691,-26
2013-11-15,210,14965,669
2013-11-18,210,15295,275
2013-11-19,210,15180,-23
2013-11-20,210,15194,482
2013-11-21,210,15361,196
2013-11-22,210,15181,675
2013-11-25,210,14751,-301
2013-11-26,210,14833,45
2013-11-27,210,14887,103
2013-11-28,210,15186,200
2013-11-29,210,14509,-551
2013-12-02,210,14187,-193
2013-12-03,210,14157,91
2013-12-04,210,14436,798
2013-12-05,210,14399,108
2013-12-06,210,13989,220
2013-12-09,210,13902,-174
2013-12-10,210,13615,12
2013-12-11,210,13416,-27
2013-12-12,210,12161,-22
2013-12-13,210,12026,-153
2013-12-16,210,11822,-170
2013-12-17,210,10993,-808
2013-12-18,210,11352,225
2013-12-19,210,13001,1893
2013-12-20,210,13695,1985
2013-12-23,210,12744,-885
2013-12-24,210,12471,-273
2013-12-25,210,12249,-36
2013-12-26,210,12564,387
2013-12-27,210,12467,-40
2013-12-30,210,12263,-196
2013-12-31,210,12464,321
2014-01-02,210,12431,1307
2014-01-03,210,12431,342
2014-01-06,210,12599,356
2014-01-07,210,12958,377
2014-01-08,210,12748,124
2014-01-09,210,13675,1434
2014-01-10,210,13826,381
2014-01-13,210,13661,-165
2014-01-14,210,13712,95
2014-01-15,210,13272,-332
2014-01-16,210,13585,316
2014-01-17,210,13255,-252
2014-01-20,210,12812,-442
2014-01-21,210,13131,319
2014-01-22,210,13064,872
2014-01-23,210,13450,398
2014-01-24,210,13219,-182
2014-01-27,210,13248,42
2014-01-28,210,13050,-187
2014-01-29,210,12787,-125
2014-01-30,210,14000,2761
2014-02-07,210,16518,3445
2014-02-10,210,16894,634
2014-02-11,210,17223,408
2014-02-12,210,16985,-238
2014-02-13,210,17704,924
2014-02-14,210,18144,360
2014-02-17,210,17740,-27
2014-02-18,210,17888,287
2014-02-19,210,17918,56
2014-02-20,210,18561,827
2014-02-21,210,19202,642
2014-02-24,210,19866,740
2014-02-25,210,19760,14
2014-02-26,210,19641,-19
2014-02-27,210,19718,312
2014-02-28,210,20011,369
2014-03-03,210,20506,613
2014-03-04,210,21186,864
2014-03-05,210,21213,27
2014-03-06,210,21594,429
2014-03-07,210,21714,376
2014-03-10,210,20854,-460
2014-03-11,210,20213,-149
2014-03-12,210,19365,-410
2014-03-13,210,19291,-71
2014-03-14,210,19544,366
2014-03-17,210,18856,-686
2014-03-18,210,18456,-36
2014-03-19,210,19115,765
2014-03-20,210,18603,-508
2014-03-21,210,18375,-215
2014-03-24,210,16685,-885
2014-03-25,210,15733,-770
2014-03-26,210,15608,460
2014-03-27,210,16202,532
2014-03-28,210,15785,102
2014-03-31,210,15339,-446
2014-04-01,210,14993,-234
2014-04-02,210,14918,315
2014-04-03,210,14966,384
2014-04-04,210,14985,465
2014-04-08,210,14947,-203
2014-04-09,210,14536,-434
2014-04-10,210,15225,689
2014-04-11,210,15561,841
2014-04-14,210,15203,-460
2014-04-15,210,15313,179
2014-04-16,210,14847,108
2014-04-17,210,14627,-185
2014-04-18,210,14599,719
2014-04-21,210,15036,348
2014-04-22,210,14540,-21
2014-04-23,210,14326,-55
2014-04-24,210,13843,-204
2014-04-25,210,13767,83
2014-04-28,210,14703,1178
2014-04-29,210,15285,1220
2014-04-30,210,14779,-451
2014-05-05,210,14145,132
2014-05-06,210,15031,909
2014-05-07,210,15205,198
2014-05-08,210,15732,575
2014-05-09,210,15694,906
2014-05-12,210,15766,72
2014-05-13,210,15368,-398
2014-05-14,210,15201,-167
2014-05-15,210,14993,51
2014-05-16,210,14861,70
2014-05-19,210,14670,-168
2014-05-20,210,15278,923
2014-05-21,210,14423,-797
2014-05-22,210,14432,226
2014-05-23,210,13859,-591
2014-05-26,210,13109,-476
2014-05-27,210,13019,-73
2014-05-28,210,12134,-13
2014-05-29,210,12504,270
2014-05-30,210,12056,-429
2014-06-03,210,11488,-292
2014-06-04,210,11380,-85
2014-06-05,210,11626,238
2014-06-06,210,12627,1087
2014-06-09,210,15444,2915
2014-06-10,210,14677,-430
2014-06-11,210,15902,1532
2014-06-12,210,16507,605
2014-06-13,210,13261,-2557
2014-06-16,210,12471,-666
2014-06-17,210,13556,1179
2014-06-18,210,13727,182
2014-06-19,210,13445,-205
2014-06-20,210,13044,-286
2014-06-23,210,12283,-655
2014-06-24,210,12531,638
2014-06-25,210,12489,-43
2014-06-26,210,12955,466
2014-06-27,210,12722,-232
2014-06-30,210,12749,8
2014-07-01,210,12070,-649
2014-07-02,210,11190,-684
2014-07-03,210,11423,286
2014-07-04,210,11727,274
2014-07-07,210,11332,-395
2014-07-08,210,11301,40
2014-07-09,210,11324,501
2014-07-10,210,11496,404
2014-07-11,210,11773,299
2014-07-14,210,11636,-101
2014-07-15,210,11804,368
2014-07-16,210,12736,930
2014-07-17,210,13745,1185
2014-07-18,210,14007,262
2014-07-21,210,13991,-16
2014-07-22,210,13584,-338
2014-07-23,210,13760,363
2014-07-24,210,13749,34
2014-07-25,210,13931,301
2014-07-28,210,13448,75
2014-07-29,210,12670,-968
2014-07-30,210,12541,72
2014-07-31,210,12383,-158
2014-08-01,210,12221,-165
2014-08-04,210,11703,-388
2014-08-05,210,11364,-27
2014-08-06,210,11217,153
2014-08-07,210,11302,90
2014-08-08,210,11140,-28
2014-08-11,210,10978,-148
2014-08-12,210,10405,-529
2014-08-13,210,10488,83
2014-08-14,210,10296,790
2014-08-15,210,10017,-148
2014-08-18,210,9869,-29
2014-08-19,210,9827,42
2014-08-20,210,9821,129
2014-08-21,210,9557,-313
2014-08-22,210,9503,-6
2014-08-25,210,9309,-194
2014-08-26,210,9207,-102
2014-08-27,210,9160,-41
2014-08-28,210,9058,146
2014-08-29,210,8460,-169
2014-09-01,210,8076,-48
2014-09-02,210,7770,167
2014-09-03,210,8176,651
2014-09-04,210,7922,-90
2014-09-05,210,8253,303
2014-09-09,210,8455,381
2014-09-10,210,8693,283
2014-09-11,210,8824,322
2014-09-12,210,9230,771
2014-09-15,210,9318,365
2014-09-16,210,10643,2250
2014-09-17,210,10784,386
2014-09-18,210,11420,797
2014-09-19,210,12013,792
2014-09-22,210,12712,901
2014-09-23,210,12282,-388
2014-09-24,210,12318,36
2014-09-25,210,12428,285
2014-09-26,210,11727,-673
2014-09-29,210,11065,-426
2014-09-30,210,10787,-277
2014-10-08,210,12868,2251
2014-10-09,210,13324,344
2014-10-10,210,15835,2827
2014-10-13,210,15475,-360
2014-10-14,210,14424,-809
2014-10-15,210,14803,379
2014-10-16,210,15393,589
2014-10-17,210,13991,491
2014-10-20,210,16882,4011
2014-10-21,210,23711,7685
2014-10-22,210,30929,7828
2014-10-23,210,60591,34881
2014-10-24,210,47488,-11727
2014-10-27,210,31175,-11848
2014-10-28,210,28219,-911
2014-10-29,210,23265,-1132
2014-10-30,210,21929,-501
2014-10-31,210,22508,789
2014-11-03,210,22728,309
2014-11-04,210,22515,-175
2014-11-05,210,22745,992
2014-11-06,210,22437,-97
2014-11-07,210,22484,185
2014-11-10,210,22142,-446
2014-11-11,210,21773,-328
2014-11-12,210,21558,-215
2014-11-13,210,21556,602
2014-11-14,210,21534,-11
2014-11-17,210,21920,873
2014-11-18,210,21701,-168
2014-11-19,210,21490,-295
2014-11-20,210,20800,-438
2014-11-21,210,21319,782
2014-11-24,210,21350,315
2014-11-25,210,21713,594
2014-11-26,210,21626,-87
2014-11-27,210,21515,-96
2014-11-28,210,21541,498
2014-12-01,210,23057,2725
2014-12-02,210,20822,-1792
2014-12-03,210,20757,114
2014-12-04,210,20596,-115
2014-12-05,210,20586,-140
2014-12-08,210,20594,179
2014-12-09,210,22568,2030
2014-12-10,210,21837,-670
2014-12-11,210,22254,398
2014-12-12,210,21999,-231
2014-12-15,210,21560,-385
2014-12-16,210,21402,33
2014-12-17,210,21268,-54
2014-12-18,210,21392,130
2014-12-19,210,25615,4608
2014-12-22,210,25219,-414
2014-12-23,210,25286,341
2014-12-24,210,25206,104
2014-12-25,210,25639,466
2014-12-26,210,25406,97
2014-12-29,210,24658,-424
2014-12-30,210,21596,-2082
2014-12-31,210,21277,-77
2015-01-05,210,21388,249
2015-01-06,210,21649,209
2015-01-07,210,22297,551
2015-01-08,210,22805,700
2015-01-09,210,25807,3802
2015-01-12,210,27576,1791
2015-01-13,210,28618,1662
2015-01-14,210,29828,1385
2015-01-15,210,30746,702
2015-01-16,210,30204,198
2015-01-19,210,29161,-1043
2015-01-20,210,29249,828
2015-01-21,210,28491,-672
2015-01-22,210,28894,269
2015-01-23,210,28768,6
2015-01-26,210,30123,1398
2015-01-27,210,30039,-84
2015-01-28,210,29337,-506
2015-01-29,210,29655,73
2015-01-30,210,29398,-257
2015-02-02,210,27648,-1681
2015-02-03,210,25945,-981
2015-02-04,210,24412,-918
2015-02-05,210,24570,548
2015-02-06,210,22968,-1465
2015-02-09,210,22924,2
2015-02-10,210,22620,-129
2015-02-11,210,22575,-99
2015-02-12,210,22349,-162
2015-02-13,210,21312,-1010
2015-02-16,210,20803,-450
2015-02-17,210,20636,-167
2015-02-25,210,20331,-305
2015-02-26,210,20307,111
2015-02-27,210,19936,-398
2015-03-02,210,18508,-756
2015-03-03,210,18315,-175
2015-03-04,210,18131,-184
2015-03-05,210,18755,829
2015-03-06,210,18853,130
2015-03-09,210,19138,298
2015-03-10,210,19699,831
2015-03-11,210,20011,477
2015-03-12,210,19790,-58
2015-03-13,210,19686,-87
2015-03-16,210,19657,146
2015-03-17,210,18850,-599
2015-03-18,210,17932,-730
2015-03-19,210,16499,-1132
2015-03-20,210,15836,192
2015-03-23,210,16422,1344
2015-03-24,210,16542,-2
2015-03-25,210,16472,-6
2015-03-26,210,16385,186
2015-03-27,210,14945,-408
2015-03-30,210,15252,235
2015-03-31,210,15467,905
2015-04-01,210,15496,203
2015-04-02,210,15671,362
2015-04-03,210,15840,301
2015-04-07,210,15266,17
2015-04-08,210,15156,31
2015-04-09,210,15330,271
2015-04-10,210,15420,220
2015-04-13,210,14922,-488
2015-04-14,210,15073,301
2015-04-15,210,15612,826
2015-04-16,210,13258,-2191
2015-04-17,210,13936,720
2015-04-20,210,14561,784
2015-04-21,210,14819,519
2015-04-22,210,14281,-298
2015-04-23,210,15613,1681
2015-04-24,210,14648,-820
2015-04-27,210,13858,-72
2015-04-28,210,13052,-216
2015-04-29,210,12535,-86
2015-04-30,210,12467,-15
2015-05-04,210,13101,872
2015-05-05,210,13305,322
2015-05-06,210,12740,183
2015-05-07,210,12371,-327
2015-05-08,210,12030,982
2015-05-11,210,12366,406
2015-05-12,210,12180,-170
2015-05-13,210,12022,-44
2015-05-14,210,12586,684
2015-05-15,210,11692,-793
2015-05-18,210,12041,555
2015-05-19,210,12157,229
2015-05-20,210,14340,2639
2015-05-21,210,13727,-440
2015-05-22,210,12838,-287
2015-05-25,210,13190,455
2015-05-26,210,13845,710
2015-05-27,210,14220,448
2015-05-28,210,15116,896
2015-05-29,210,14821,-224
2015-06-01,210,14463,-323
2015-06-02,210,14270,45
2015-06-03,210,14451,189
2015-06-04,210,14437,50
2015-06-05,210,15799,1419
2015-06-08,210,17133,1348
2015-06-09,210,17021,255
2015-06-10,210,16780,-160
2015-06-11,210,16734,107
2015-06-12,210,17173,601
2015-06-15,210,18571,1398
2015-06-16,210,17398,-1099
2015-06-17,210,18393,1083
2015-06-18,210,18117,-276
2015-06-19,210,18312,195
