trading_date,rank,volume,volume_change
2013-11-05,210,19973,272
2013-11-06,210,20733,784
2013-11-07,210,20946,317
2013-11-08,210,20154,-164
2013-11-11,210,20314,160
2013-11-12,210,20372,93
2013-11-13,210,20342,-39
2013-11-14,210,20328,814
2013-11-15,210,20735,610
2013-11-18,210,20854,183
2013-11-19,210,20882,87
2013-11-20,210,21241,482
2013-11-21,210,21368,365
2013-11-22,210,20601,1406
2013-11-25,210,20459,-60
2013-11-26,210,20088,-313
2013-11-27,210,19900,-16
2013-11-28,210,20035,252
2013-11-29,210,19751,-300
2013-12-02,210,19713,-53
2013-12-03,210,19766,89
2013-12-04,210,20183,904
2013-12-05,210,19966,-197
2013-12-06,210,19458,-398
2013-12-09,210,19197,-208
2013-12-10,210,19071,-75
2013-12-11,210,17875,-673
2013-12-12,210,16869,-675
2013-12-13,210,16470,-159
2013-12-16,210,16145,-215
2013-12-17,210,15496,-532
2013-12-18,210,15688,201
2013-12-19,210,17825,2763
2013-12-20,210,18005,3455
2013-12-23,210,16599,-1432
2013-12-24,210,16162,-81
2013-12-25,210,16027,-129
2013-12-26,210,16135,213
2013-12-27,210,15590,-425
2013-12-30,210,15081,-366
2013-12-31,210,14727,-239
2014-01-02,210,14224,-429
2014-01-03,210,14199,24
2014-01-06,210,14114,326
2014-01-07,210,13999,32
2014-01-08,210,13808,221
2014-01-09,210,15247,1490
2014-01-10,210,15413,319
2014-01-13,210,15238,-100
2014-01-14,210,15699,691
2014-01-15,210,15403,-187
2014-01-16,210,15551,378
2014-01-17,210,15644,88
2014-01-20,210,15013,-346
2014-01-21,210,15352,344
2014-01-22,210,15625,281
2014-01-23,210,15991,511
2014-01-24,210,15749,-108
2014-01-27,210,15761,38
2014-01-28,210,15619,2
2014-01-29,210,15585,20
2014-01-30,210,16656,1574
2014-02-07,210,17688,2495
2014-02-10,210,18806,1329
2014-02-11,210,19306,548
2014-02-12,210,19112,691
2014-02-13,210,20337,1356
2014-02-14,210,20577,373
2014-02-17,210,20513,194
2014-02-18,210,20647,373
2014-02-19,210,20725,80
2014-02-20,210,21391,863
2014-02-21,210,21886,668
2014-02-24,210,22496,647
2014-02-25,210,22827,507
2014-02-26,210,22993,345
2014-02-27,210,23641,776
2014-02-28,210,24462,1061
2014-03-03,210,24952,469
2014-03-04,210,25135,503
2014-03-05,210,25872,829
2014-03-06,210,26161,355
2014-03-07,210,26194,113
2014-03-10,210,24000,-359
2014-03-11,210,25249,1203
2014-03-12,210,24687,-456
2014-03-13,210,24583,41
2014-03-14,210,24536,355
2014-03-17,210,24402,-92
2014-03-18,210,23334,-1044
2014-03-19,210,23162,17
2014-03-20,210,22930,-57
2014-03-21,210,22762,123
2014-03-24,210,21199,-420
2014-03-25,210,20362,-645
2014-03-26,210,19151,-651
2014-03-27,210,19274,288
2014-03-28,210,18756,-509
2014-03-31,210,18357,-310
2014-04-01,210,18214,-18
2014-04-02,210,18137,-143
2014-04-03,210,18215,244
2014-04-04,210,18366,222
2014-04-08,210,18359,90
2014-04-09,210,18205,172
2014-04-10,210,18424,453
2014-04-11,210,18658,426
