trading_date,V_total_oi
2013-11-05,42734.0
2013-11-06,44412.0
2013-11-07,45116.0
2013-11-08,43190.0
2013-11-11,43472.0
2013-11-12,43442.0
2013-11-13,43350.0
2013-11-14,43124.0
2013-11-15,44372.0
2013-11-18,44550.0
2013-11-19,44508.0
2013-11-20,44846.0
2013-11-21,45146.0
2013-11-22,43894.0
2013-11-25,43062.0
2013-11-26,42556.0
2013-11-27,41996.0
2013-11-28,42246.0
2013-11-29,41658.0
2013-12-02,41608.0
2013-12-03,41832.0
2013-12-04,42838.0
2013-12-05,42348.0
2013-12-06,41394.0
2013-12-09,40892.0
2013-12-10,40872.0
2013-12-11,39130.0
2013-12-12,36446.0
2013-12-13,36092.0
2013-12-16,35544.0
2013-12-17,33740.0
2013-12-18,34208.0
2013-12-19,41898.0
2013-12-20,40648.0
2013-12-23,37276.0
2013-12-24,35776.0
2013-12-25,35292.0
2013-12-26,35838.0
2013-12-27,34592.0
2013-12-30,33432.0
2013-12-31,32426.0
2014-01-02,32628.0
2014-01-03,32778.0
2014-01-06,32768.0
2014-01-07,33956.0
2014-01-08,33594.0
2014-01-09,35386.0
2014-01-10,35494.0
2014-01-13,34858.0
2014-01-14,35440.0
2014-01-15,34040.0
2014-01-16,34844.0
2014-01-17,34646.0
2014-01-20,33566.0
2014-01-21,34078.0
2014-01-22,34694.0
2014-01-23,35438.0
2014-01-24,34554.0
2014-01-27,34492.0
2014-01-28,34250.0
2014-01-29,33490.0
2014-01-30,37408.0
2014-02-07,44252.0
2014-02-10,44582.0
2014-02-11,45742.0
2014-02-12,44932.0
2014-02-13,46836.0
2014-02-14,47464.0
2014-02-17,46902.0
2014-02-18,47140.0
2014-02-19,47552.0
2014-02-20,49106.0
2014-02-21,51594.0
2014-02-24,53120.0
2014-02-25,53804.0
2014-02-26,53648.0
2014-02-27,54620.0
2014-02-28,56320.0
2014-03-03,58562.0
2014-03-04,60420.0
2014-03-05,61328.0
2014-03-06,62574.0
2014-03-07,63924.0
2014-03-10,59984.0
2014-03-11,58884.0
2014-03-12,56884.0
2014-03-13,56524.0
2014-03-14,57722.0
2014-03-17,57118.0
2014-03-18,55400.0
2014-03-19,59176.0
2014-03-20,56372.0
2014-03-21,55484.0
2014-03-24,50668.0
2014-03-25,48156.0
2014-03-26,46096.0
2014-03-27,46136.0
2014-03-28,44064.0
2014-03-31,43180.0
2014-04-01,42466.0
2014-04-02,41912.0
2014-04-03,41690.0
2014-04-04,41626.0
2014-04-08,41742.0
2014-04-09,41144.0
2014-04-10,41876.0
2014-04-11,43306.0
2014-04-14,42352.0
2014-04-15,42764.0
2014-04-16,41146.0
2014-04-17,40844.0
2014-04-18,39536.0
2014-04-21,39492.0
2014-04-22,39172.0
2014-04-23,39046.0
2014-04-24,37232.0
2014-04-25,36448.0
2014-04-28,39226.0
2014-04-29,39842.0
2014-04-30,37660.0
2014-05-05,37554.0
2014-05-06,40200.0
2014-05-07,40760.0
2014-05-08,42314.0
2014-05-09,41134.0
2014-05-12,41570.0
2014-05-13,40532.0
2014-05-14,39956.0
2014-05-15,38890.0
2014-05-16,37874.0
2014-05-19,38328.0
2014-05-20,39634.0
2014-05-21,37650.0
2014-05-22,37728.0
2014-05-23,36710.0
2014-05-26,34394.0
2014-05-27,33734.0
2014-05-28,33588.0
2014-05-29,34798.0
2014-05-30,33842.0
2014-06-03,32488.0
2014-06-04,31568.0
2014-06-05,31078.0
2014-06-06,34356.0
2014-06-09,40934.0
2014-06-10,39728.0
2014-06-11,42094.0
2014-06-12,42592.0
2014-06-13,35724.0
2014-06-16,33842.0
2014-06-17,36166.0
2014-06-18,36076.0
2014-06-19,35378.0
2014-06-20,34208.0
2014-06-23,31960.0
2014-06-24,33908.0
