trading_date,rank,volume,volume_change
2013-11-05,210,21458063,212
2013-11-06,210,21841055,415
2013-11-07,210,21829261,117
2013-11-08,210,21503334,-330
2013-11-11,210,22484591,316
2013-11-12,210,21724089,-38
2013-11-13,210,20780651,-101
2013-11-14,210,18487509,-26
2013-11-15,210,19194763,669
2013-11-18,210,19604711,275
2013-11-19,210,19047686,-23
2013-11-20,210,17971694,482
2013-11-21,210,17873259,196
2013-11-22,210,16779239,675
2013-11-25,210,15857419,-301
2013-11-26,210,15647261,45
2013-11-27,210,15879347,103
2013-11-28,210,16569690,200
2013-11-29,210,15933967,-551
2013-12-02,210,15733797,-193
2013-12-03,210,15338413,91
2013-12-04,210,15292268,798
2013-12-05,210,15264857,108
2013-12-06,210,14634537,220
2013-12-09,210,14327198,-174
2013-12-10,210,13701627,12
2013-12-11,210,13072944,-27
2013-12-12,210,11229265,-22
2013-12-13,210,10530742,-153
2013-12-16,210,10166730,-170
2013-12-17,210,8800755,-808
2013-12-18,210,9333578,225
2013-12-19,210,11405387,1893
2013-12-20,210,12796527,1985
2013-12-23,210,11359994,-885
2013-12-24,210,11205231,-273
2013-12-25,210,11196615,-36
2013-12-26,210,11505886,387
2013-12-27,210,11355441,-40
2013-12-30,210,11221779,-196
2013-12-31,210,11421408,321
2014-01-02,210,11532415,1307
2014-01-03,210,11481529,342
2014-01-06,210,12548011,356
2014-01-07,210,13018270,377
2014-01-08,210,12908924,124
2014-01-09,210,16273305,1434
2014-01-10,210,16128028,381
2014-01-13,210,15967545,-165
2014-01-14,210,16074010,95
2014-01-15,210,14580248,-332
2014-01-16,210,14754491,316
2014-01-17,210,12007859,-252
2014-01-20,210,11622858,-442
2014-01-21,210,12170281,319
2014-01-22,210,12498320,872
2014-01-23,210,13296370,398
2014-01-24,210,13111095,-182
2014-01-27,210,13136974,42
2014-01-28,210,12668934,-187
2014-01-29,210,12416461,-125
2014-01-30,210,14508984,2761
2014-02-07,210,21024876,3445
2014-02-10,210,24475384,634
2014-02-11,210,25550603,408
2014-02-12,210,25351875,-238
2014-02-13,210,27692888,924
2014-02-14,210,28129080,360
2014-02-17,210,27674144,-27
2014-02-18,210,27967854,287
2014-02-19,210,27677614,56
2014-02-20,210,28363853,827
2014-02-21,210,29607730,642
2014-02-24,210,30069192,740
2014-02-25,210,30010680,14
2014-02-26,210,30000601,-19
2014-02-27,210,30178978,312
2014-02-28,210,30534259,369
2014-03-03,210,30934368,613
2014-03-04,210,32362126,864
2014-03-05,210,32502699,27
2014-03-06,210,32154502,429
2014-03-07,210,32195786,376
2014-03-10,210,31037506,-460
2014-03-11,210,29273453,-149
2014-03-12,210,26227875,-410
2014-03-13,210,25811111,-71
2014-03-14,210,26609624,366
2014-03-17,210,23931294,-686
2014-03-18,210,23232138,-36
2014-03-19,210,25959985,765
2014-03-20,210,23522425,-508
2014-03-21,210,22725031,-215
2014-03-24,210,19050923,-885
2014-03-25,210,15469457,-770
2014-03-26,210,15292480,460
2014-03-27,210,16429556,532
2014-03-28,210,15958581,102
2014-03-31,210,15035721,-446
2014-04-01,210,14590063,-234
2014-04-02,210,14554524,315
2014-04-03,210,15974830,384
2014-04-04,210,16002839,465
2014-04-08,210,16314151,-203
2014-04-09,210,15282936,-434
2014-04-10,210,16480869,689
2014-04-11,210,17710125,841
2014-04-14,210,17828655,-460
2014-04-15,210,17160279,179
2014-04-16,210,15008667,108
2014-04-17,210,13990147,-185
2014-04-18,210,14329929,719
2014-04-21,210,15029136,348
2014-04-22,210,13861034,-21
2014-04-23,210,13343612,-55
2014-04-24,210,12714851,-204
2014-04-25,210,12453835,83
2014-04-28,210,14083247,1178
2014-04-29,210,15825429,1220
2014-04-30,210,14706875,-451
2014-05-05,210,14173579,132
2014-05-06,210,15757229,909
2014-05-07,210,16085555,198
2014-05-08,210,16970726,575
2014-05-09,210,17620338,906
2014-05-12,210,18055252,72
2014-05-13,210,17738914,-398
2014-05-14,210,17476209,-167
2014-05-15,210,17653139,51
2014-05-16,210,18360793,70
2014-05-19,210,18598616,-168
2014-05-20,210,19769752,923
2014-05-21,210,18327865,-797
2014-05-22,210,17672776,226
2014-05-23,210,16109467,-591
2014-05-26,210,14976641,-476
2014-05-27,210,13556639,-73
2014-05-28,210,11482084,-13
2014-05-29,210,11347876,270
2014-05-30,210,10474448,-429
2014-06-03,210,9570496,-292
2014-06-04,210,9413424,-85
2014-06-05,210,10089746,238
2014-06-06,210,12083073,1087
2014-06-09,210,20954714,2915
2014-06-10,210,18331541,-430
2014-06-11,210,20207266,1532
2014-06-12,210,22597971,605
2014-06-13,210,14526519,-2557
2014-06-16,210,13141869,-666
2014-06-17,210,15041782,1179
2014-06-18,210,14869245,182
2014-06-19,210,14538855,-205
2014-06-20,210,14384838,-286
2014-06-23,210,12123007,-655
2014-06-24,210,11306653,638
2014-06-25,210,11144769,-43
2014-06-26,210,12459261,466
2014-06-27,210,11836054,-232
2014-06-30,210,11609749,8
2014-07-01,210,10157378,-649
2014-07-02,210,9556958,-684
2014-07-03,210,9803919,286
2014-07-04,210,9958627,274
2014-07-07,210,9461580,-395
2014-07-08,210,9631811,40
2014-07-09,210,10034736,501
2014-07-10,210,10116454,404
2014-07-11,210,10925495,299
2014-07-14,210,10646508,-101
2014-07-15,210,11036532,368
2014-07-16,210,12454306,930
2014-07-17,210,15591545,1185
2014-07-18,210,16555999,262
2014-07-21,210,16781985,-16
2014-07-22,210,15803930,-338
2014-07-23,210,16386226,363
2014-07-24,210,16218071,34
2014-07-25,210,17107239,301
2014-07-28,210,16454510,75
2014-07-29,210,14599900,-968
2014-07-30,210,14269221,72
2014-07-31,210,13466725,-158
2014-08-01,210,13070741,-165
2014-08-04,210,11707151,-388
2014-08-05,210,9686138,-27
2014-08-06,210,9483919,153
2014-08-07,210,9775686,90
2014-08-08,210,9614624,-28
2014-08-11,210,9253828,-148
2014-08-12,210,8425121,-529
2014-08-13,210,8403678,83
2014-08-14,210,8410018,790
2014-08-15,210,8044191,-148
2014-08-18,210,7876157,-29
2014-08-19,210,7807451,42
2014-08-20,210,7551587,129
2014-08-21,210,7073905,-313
2014-08-22,210,6889919,-6
2014-08-25,210,6542251,-194
2014-08-26,210,6212043,-102
2014-08-27,210,6190408,-41
2014-08-28,210,6003642,146
2014-08-29,210,5596222,-169
2014-09-01,210,5448932,-48
2014-09-02,210,4825528,167
2014-09-03,210,5827604,651
2014-09-04,210,5649824,-90
2014-09-05,210,5804995,303
2014-09-09,210,5939073,381
2014-09-10,210,5734153,283
2014-09-11,210,5904920,322
2014-09-12,210,6796756,771
2014-09-15,210,6595546,365
2014-09-16,210,8552129,2250
2014-09-17,210,8680828,386
2014-09-18,210,10143402,797
2014-09-19,210,11420715,792
2014-09-22,210,13189910,901
2014-09-23,210,11602508,-388
2014-09-24,210,11873924,36
2014-09-25,210,12042156,285
2014-09-26,210,10613251,-673
2014-09-29,210,9761255,-426
2014-09-30,210,9556975,-277
2014-10-08,210,15176226,2251
2014-10-09,210,14095214,344
2014-10-10,210,19644535,2827
2014-10-13,210,17893499,-360
2014-10-14,210,15756514,-809
2014-10-15,210,16171245,379
2014-10-16,210,18236227,589
2014-10-17,210,15825319,491
2014-10-20,210,21775994,4011
2014-10-21,210,49610355,7685
2014-10-22,210,92730351,7828
2014-10-23,210,347028429,34881
2014-10-24,210,197256674,-11727
2014-10-27,210,85657785,-11848
2014-10-28,210,71021643,-911
2014-10-29,210,46863779,-1132
2014-10-30,210,42210501,-501
2014-10-31,210,42342268,789
2014-11-03,210,43129972,309
2014-11-04,210,42871607,-175
