trading_date,rank,volume,volume_change
2013-11-05,210,39555871,272
2013-11-06,210,40722483,784
2013-11-07,210,41391796,317
2013-11-08,210,45610204,-164
2013-11-11,210,45894530,160
2013-11-12,210,46103512,93
2013-11-13,210,45926656,-39
2013-11-14,210,46111808,814
2013-11-15,210,48980639,610
2013-11-18,210,49099500,183
2013-11-19,210,48902144,87
2013-11-20,210,49737941,482
2013-11-21,210,48905940,365
2013-11-22,210,46396585,1406
2013-11-25,210,48019683,-60
2013-11-26,210,46680226,-313
2013-11-27,210,48160998,-16
2013-11-28,210,48666343,252
2013-11-29,210,48046569,-300
2013-12-02,210,46988623,-53
2013-12-03,210,47156902,89
2013-12-04,210,48276109,904
2013-12-05,210,46188156,-197
2013-12-06,210,42779066,-398
2013-12-09,210,41364473,-208
2013-12-10,210,42587133,-75
2013-12-11,210,36129953,-673
2013-12-12,210,32712781,-675
2013-12-13,210,28192444,-159
2013-12-16,210,25902521,-215
2013-12-17,210,21472026,-532
2013-12-18,210,20921592,201
2013-12-19,210,23164139,2763
2013-12-20,210,31200803,3455
2013-12-23,210,25917541,-1432
2013-12-24,210,25065700,-81
2013-12-25,210,24847009,-129
2013-12-26,210,25524831,213
2013-12-27,210,24487288,-425
2013-12-30,210,23450003,-366
2013-12-31,210,22644617,-239
2014-01-02,210,22341688,-429
2014-01-03,210,21591355,24
2014-01-06,210,21496260,326
2014-01-07,210,20334903,32
2014-01-08,210,20119884,221
2014-01-09,210,26806885,1490
2014-01-10,210,28277215,319
2014-01-13,210,27927884,-100
2014-01-14,210,29966155,691
2014-01-15,210,29632005,-187
2014-01-16,210,28790457,378
2014-01-17,210,28332680,88
2014-01-20,210,24600829,-346
2014-01-21,210,26162636,344
2014-01-22,210,26581635,281
2014-01-23,210,28716573,511
2014-01-24,210,27811463,-108
2014-01-27,210,27879045,38
2014-01-28,210,27717883,2
2014-01-29,210,27691729,20
2014-01-30,210,25614490,1574
2014-02-07,210,23697770,2495
2014-02-10,210,30459170,1329
2014-02-11,210,32943734,548
2014-02-12,210,36039422,691
2014-02-13,210,44178261,1356
2014-02-14,210,45351173,373
2014-02-17,210,46402843,194
2014-02-18,210,46882495,373
2014-02-19,210,46936579,80
2014-02-20,210,52325069,863
2014-02-21,210,53865622,668
2014-02-24,210,55265754,647
2014-02-25,210,55682817,507
2014-02-26,210,56836445,345
2014-02-27,210,58061183,776
2014-02-28,210,65497326,1061
2014-03-03,210,67740278,469
2014-03-04,210,68299439,503
2014-03-05,210,73430054,829
2014-03-06,210,74516429,355
2014-03-07,210,71774186,113
2014-03-10,210,65278456,-359
2014-03-11,210,73281381,1203
2014-03-12,210,70588851,-456
2014-03-13,210,70113745,41
2014-03-14,210,66044746,355
2014-03-17,210,62283944,-92
2014-03-18,210,56222040,-1044
2014-03-19,210,48002432,17
2014-03-20,210,54675898,-57
2014-03-21,210,53604318,123
2014-03-24,210,49543487,-420
2014-03-25,210,46109628,-645
2014-03-26,210,36043977,-651
2014-03-27,210,33638958,288
2014-03-28,210,31780826,-509
2014-03-31,210,30563213,-310
2014-04-01,210,31586872,-18
2014-04-02,210,32503637,-143
2014-04-03,210,34963715,244
2014-04-04,210,34133034,222
2014-04-08,210,35380415,90
2014-04-09,210,34394745,172
2014-04-10,210,36552534,453
2014-04-11,210,34970984,426
2014-04-14,210,34550888,136
2014-04-15,210,32713948,-61
2014-04-16,210,29438942,-422
2014-04-17,210,27295059,-236
2014-04-18,210,27662638,-217
2014-04-21,210,31682877,-70
2014-04-22,210,31464271,75
2014-04-23,210,31425643,19
2014-04-24,210,26286553,-820
2014-04-25,210,24247387,-384
2014-04-28,210,29287386,1032
2014-04-29,210,28440982,580
2014-04-30,210,28031772,233
2014-05-05,210,27171900,-129
2014-05-06,210,31989912,1299
2014-05-07,210,32701689,360
2014-05-08,210,33072748,513
2014-05-09,210,31990374,-101
2014-05-12,210,34274075,589
2014-05-13,210,34747904,41
2014-05-14,210,36759247,583
2014-05-15,210,35213510,-330
2014-05-16,210,32066525,-425
2014-05-19,210,33061366,1202
2014-05-20,210,32285008,147
2014-05-21,210,31630547,-337
2014-05-22,210,31962698,424
2014-05-23,210,34584618,115
2014-05-26,210,32372028,-694
2014-05-27,210,33131572,688
2014-05-28,210,33719489,717
2014-05-29,210,35685363,975
2014-05-30,210,34761831,-412
2014-06-03,210,33794103,-607
2014-06-04,210,32782033,-313
2014-06-05,210,32397606,167
2014-06-06,210,38234593,1583
2014-06-09,210,40369067,2861
2014-06-10,210,41023048,116
2014-06-11,210,49279150,1334
2014-06-12,210,49646157,389
2014-06-13,210,49859752,14
2014-06-16,210,38660574,-684
2014-06-17,210,39543579,1766
2014-06-18,210,38317704,-200
2014-06-19,210,35319256,-446
2014-06-20,210,33729273,-430
2014-06-23,210,30709313,-326
2014-06-24,210,30487712,1720
2014-06-25,210,28001716,87
2014-06-26,210,27441502,732
2014-06-27,210,26447889,134
2014-06-30,210,28177773,-135
2014-07-01,210,28819366,-349
2014-07-02,210,29312050,-812
2014-07-03,210,31504884,224
2014-07-04,210,33590741,411
2014-07-07,210,38185926,658
2014-07-08,210,35411979,-10
2014-07-09,210,32414831,313
2014-07-10,210,32277558,291
2014-07-11,210,32468857,220
2014-07-14,210,29500160,-21
2014-07-15,210,30648964,471
2014-07-16,210,30524082,1796
2014-07-17,210,32098669,1103
2014-07-18,210,33224557,431
2014-07-21,210,33058572,144
2014-07-22,210,33014967,-302
2014-07-23,210,39302444,310
2014-07-24,210,40896957,95
2014-07-25,210,41743390,396
2014-07-28,210,40527662,-178
2014-07-29,210,32376087,-988
2014-07-30,210,34785436,-49
2014-07-31,210,34704304,-226
2014-08-01,210,35433369,-307
2014-08-04,210,31000242,-340
2014-08-05,210,32314981,524
2014-08-06,210,33278456,61
2014-08-07,210,33703658,114
2014-08-08,210,31935544,-237
2014-08-11,210,32442077,-149
2014-08-12,210,31718916,-273
2014-08-13,210,31573289,118
2014-08-14,210,27684801,324
2014-08-15,210,26615201,-245
2014-08-18,210,26471382,-42
2014-08-19,210,25369819,-277
2014-08-20,210,25007567,91
2014-08-21,210,23940826,-222
2014-08-22,210,23340032,-96
2014-08-25,210,22577855,-165
2014-08-26,210,22066548,-138
2014-08-27,210,22033579,-8
2014-08-28,210,21733660,-67
2014-08-29,210,18849680,-496
2014-09-01,210,17922355,-449
2014-09-02,210,18320859,178
2014-09-03,210,20325459,644
2014-09-04,210,21855520,-116
2014-09-05,210,23375077,394
2014-09-09,210,25054867,305
2014-09-10,210,26289841,341
2014-09-11,210,25675105,202
2014-09-12,210,25755139,470
2014-09-15,210,26437062,280
2014-09-16,210,23784405,1427
2014-09-17,210,24760430,105
2014-09-18,210,24876306,813
2014-09-19,210,29041255,1481
2014-09-22,210,30062220,535
2014-09-23,210,29234710,-577
2014-09-24,210,30751834,356
2014-09-25,210,30755454,-146
2014-09-26,210,30360130,-94
2014-09-29,210,30040790,-487
2014-09-30,210,29781577,-222
2014-10-08,210,31580494,2176
2014-10-09,210,32298738,747
2014-10-10,210,35628053,2208
2014-10-13,210,32709413,-478
2014-10-14,210,25136308,-632
2014-10-15,210,25867165,457
2014-10-16,210,26134020,516
2014-10-17,210,19236083,-1222
2014-10-20,210,30251559,4670
2014-10-21,210,59875211,10127
2014-10-22,210,103480477,9725
2014-10-23,210,247300041,24358
2014-10-24,210,119761280,-11751
2014-10-27,210,58100417,-7531
2014-10-28,210,55328589,-775
2014-10-29,210,38362830,-738
2014-10-30,210,41787169,237
2014-10-31,210,51513666,1086
2014-11-03,210,52319836,876
2014-11-04,210,52683754,-193
2014-11-05,210,54361992,466
2014-11-06,210,57805384,564
2014-11-07,210,58875674,513
2014-11-10,210,59789515,-126
2014-11-11,210,59486799,-70
2014-11-12,210,59203138,51
2014-11-13,210,61372429,73
2014-11-14,210,48774515,-89
2014-11-17,210,47001180,34
2014-11-18,210,45520351,-409
2014-11-19,210,43585161,-103
2014-11-20,210,44735462,373
2014-11-21,210,50090339,710
2014-11-24,210,49918816,-25
2014-11-25,210,54711963,825
2014-11-26,210,54566429,-89
2014-11-27,210,53205465,-473
2014-11-28,210,53936624,1
2014-12-01,210,55074928,1889
2014-12-02,210,51089822,-1049
2014-12-03,210,54193506,391
2014-12-04,210,54054541,-153
2014-12-05,210,54180959,-45
2014-12-08,210,52489211,80
2014-12-09,210,53528850,1816
2014-12-10,210,53437357,-137
2014-12-11,210,55951005,501
2014-12-12,210,56261424,194
2014-12-15,210,55531050,293
2014-12-16,210,47648391,-380
2014-12-17,210,48225543,539
2014-12-18,210,49581464,377
2014-12-19,210,56706323,3231
2014-12-22,210,60778515,1597
2014-12-23,210,60562355,506
2014-12-24,210,61398867,230
2014-12-25,210,66747785,886
2014-12-26,210,67240832,60
2014-12-29,210,64951837,-100
2014-12-30,210,61874735,-291
2014-12-31,210,63035212,-370
2015-01-05,210,65406934,340
2015-01-06,210,64381421,530
2015-01-07,210,65346538,1056
2015-01-08,210,70888683,993
2015-01-09,210,78706856,3630
2015-01-12,210,91248308,1937
2015-01-13,210,93665081,1550
2015-01-14,210,114215058,1922
2015-01-15,210,126981846,2582
2015-01-16,210,120826751,-1190
2015-01-19,210,118586052,-347
2015-01-20,210,119830532,83
2015-01-21,210,119767692,136
2015-01-22,210,120327223,90
2015-01-23,210,119400331,-552
2015-01-26,210,125163699,1561
2015-01-27,210,124986784,193
2015-01-28,210,123942718,-353
2015-01-29,210,119434925,-262
2015-01-30,210,117564452,-463
2015-02-02,210,109209969,-1231
2015-02-03,210,87477880,-1472
2015-02-04,210,77973334,-1266
2015-02-05,210,78101173,-171
2015-02-06,210,69562308,-1184
2015-02-09,210,70170399,-137
2015-02-10,210,68312120,-361
2015-02-11,210,64448274,-181
2015-02-12,210,63464643,-73
2015-02-13,210,55459118,-998
2015-02-16,210,52824417,-322
2015-02-17,210,52080740,-327
2015-02-25,210,50998756,-69
2015-02-26,210,52078082,337
2015-02-27,210,47182211,-520
2015-03-02,210,38226379,-1187
2015-03-03,210,35702435,-401
2015-03-04,210,36062448,-315
2015-03-05,210,36264628,882
2015-03-06,210,37313065,371
2015-03-09,210,44841230,1146
