trading_date,Y_total_oi
2013-11-05,1240190.0
2013-11-06,1217024.0
2013-11-07,1204006.0
2013-11-08,1172438.0
2013-11-11,1171468.0
2013-11-12,1179528.0
2013-11-13,1129744.0
2013-11-14,1171044.0
2013-11-15,1118508.0
2013-11-18,1144354.0
2013-11-19,1161734.0
2013-11-20,1160166.0
2013-11-21,1187878.0
2013-11-22,1190280.0
2013-11-25,1206062.0
2013-11-26,1183158.0
2013-11-27,1183682.0
2013-11-28,1179372.0
2013-11-29,1222324.0
2013-12-02,1249292.0
2013-12-03,1239350.0
2013-12-04,1247042.0
2013-12-05,1231782.0
2013-12-06,1206966.0
2013-12-09,1178992.0
2013-12-10,1167174.0
2013-12-11,1186834.0
2013-12-12,1170828.0
2013-12-13,1174140.0
2013-12-16,1193650.0
2013-12-17,1170652.0
2013-12-18,1152112.0
2013-12-19,1163970.0
2013-12-20,1167062.0
2013-12-23,1114354.0
2013-12-24,1120912.0
2013-12-25,1148316.0
2013-12-26,1165018.0
2013-12-27,1154634.0
2013-12-30,1111310.0
2013-12-31,1124308.0
2014-01-02,1136648.0
2014-01-03,1175254.0
2014-01-06,1202800.0
2014-01-07,1164260.0
2014-01-08,1121526.0
2014-01-09,1127298.0
2014-01-10,1125108.0
2014-01-13,1141332.0
2014-01-14,1132838.0
2014-01-15,1148666.0
2014-01-16,1135632.0
2014-01-17,1149708.0
2014-01-20,1122076.0
2014-01-21,1139536.0
2014-01-22,1121150.0
2014-01-23,1115166.0
2014-01-24,1162958.0
2014-01-27,1204010.0
2014-01-28,1215112.0
2014-01-29,1171592.0
2014-01-30,1152518.0
2014-02-07,1074472.0
2014-02-10,1179524.0
2014-02-11,1184266.0
2014-02-12,1192352.0
2014-02-13,1196262.0
2014-02-14,1206438.0
2014-02-17,1192498.0
2014-02-18,1183628.0
2014-02-19,1187300.0
2014-02-20,1196394.0
2014-02-21,1192814.0
2014-02-24,1174086.0
2014-02-25,1160490.0
2014-02-26,1130736.0
2014-02-27,1142018.0
2014-02-28,1132986.0
2014-03-03,1110590.0
2014-03-04,1081954.0
2014-03-05,1070586.0
2014-03-06,1065818.0
2014-03-07,1055148.0
2014-03-10,1048138.0
2014-03-11,1103210.0
2014-03-12,1049772.0
2014-03-13,1044650.0
2014-03-14,1033124.0
2014-03-17,1023576.0
2014-03-18,1036312.0
2014-03-19,1082120.0
2014-03-20,1020786.0
2014-03-21,1014620.0
2014-03-24,1010336.0
2014-03-25,1003862.0
2014-03-26,999748.0
2014-03-27,982290.0
2014-03-28,975306.0
2014-03-31,980064.0
2014-04-01,1003236.0
2014-04-02,1055752.0
2014-04-03,1034504.0
2014-04-04,1059422.0
2014-04-08,1074622.0
2014-04-09,1068416.0
2014-04-10,1045480.0
2014-04-11,1010274.0
2014-04-14,996254.0
2014-04-15,1026406.0
2014-04-16,958024.0
2014-04-17,921276.0
2014-04-18,899502.0
2014-04-21,894882.0
2014-04-22,907270.0
2014-04-23,906986.0
2014-04-24,903858.0
2014-04-25,873504.0
2014-04-28,858664.0
2014-04-29,849158.0
2014-04-30,820528.0
2014-05-05,850592.0
2014-05-06,855832.0
2014-05-07,870494.0
2014-05-08,891336.0
2014-05-09,881434.0
2014-05-12,882994.0
2014-05-13,903956.0
2014-05-14,893378.0
2014-05-15,905216.0
2014-05-16,894872.0
2014-05-19,908010.0
2014-05-20,914766.0
2014-05-21,939430.0
2014-05-22,920366.0
2014-05-23,920504.0
2014-05-26,932244.0
2014-05-27,952394.0
2014-05-28,982980.0
2014-05-29,992722.0
2014-05-30,1019254.0
2014-06-03,1073896.0
2014-06-04,1085530.0
2014-06-05,1087352.0
2014-06-06,1082364.0
2014-06-09,1074256.0
2014-06-10,1087908.0
2014-06-11,1082600.0
2014-06-12,1075674.0
2014-06-13,1066676.0
2014-06-16,1057324.0
2014-06-17,1070106.0
2014-06-18,1054662.0
2014-06-19,1023338.0
2014-06-20,1004978.0
2014-06-23,1058226.0
2014-06-24,1102920.0
2014-06-25,1076048.0
2014-06-26,1083536.0
2014-06-27,1063364.0
2014-06-30,1043188.0
2014-07-01,1009654.0
2014-07-02,1002946.0
2014-07-03,1022262.0
2014-07-04,1011630.0
2014-07-07,989958.0
2014-07-08,1007240.0
2014-07-09,1020660.0
2014-07-10,1033810.0
2014-07-11,1013698.0
2014-07-14,1007372.0
2014-07-15,1043998.0
2014-07-16,1040356.0
2014-07-17,1030520.0
2014-07-18,1058244.0
2014-07-21,1068734.0
2014-07-22,1079832.0
2014-07-23,1075366.0
2014-07-24,1072026.0
2014-07-25,1065074.0
2014-07-28,1063944.0
2014-07-29,1054836.0
2014-07-30,1049014.0
2014-07-31,1043526.0
2014-08-01,1040392.0
2014-08-04,1076816.0
2014-08-05,1062404.0
2014-08-06,1078428.0
2014-08-07,1062828.0
2014-08-08,1056692.0
2014-08-11,1061282.0
2014-08-12,1089558.0
2014-08-13,1077932.0
2014-08-14,1126694.0
2014-08-15,1167552.0
2014-08-18,1126072.0
2014-08-19,1121946.0
2014-08-20,1107642.0
2014-08-21,1081064.0
2014-08-22,1065872.0
2014-08-25,1080170.0
2014-08-26,1072404.0
2014-08-27,1064676.0
2014-08-28,1084444.0
2014-08-29,1113304.0
2014-09-01,1095448.0
2014-09-02,1154862.0
2014-09-03,1143820.0
2014-09-04,1127136.0
2014-09-05,1103010.0
2014-09-09,1121602.0
2014-09-10,1103044.0
2014-09-11,1141702.0
2014-09-12,1099708.0
2014-09-15,1153514.0
2014-09-16,1169366.0
2014-09-17,1225428.0
2014-09-18,1233876.0
2014-09-19,1233164.0
2014-09-22,1235556.0
2014-09-23,1225316.0
2014-09-24,1249200.0
2014-09-25,1223546.0
2014-09-26,1237214.0
2014-09-29,1219616.0
2014-09-30,1182372.0
2014-10-08,1202226.0
2014-10-09,1226614.0
2014-10-10,1174720.0
2014-10-13,1217560.0
2014-10-14,1191136.0
2014-10-15,1177238.0
2014-10-16,1216780.0
2014-10-17,1241266.0
2014-10-20,1266246.0
2014-10-21,1294610.0
2014-10-22,1228724.0
2014-10-23,1168910.0
2014-10-24,1141020.0
2014-10-27,1163364.0
2014-10-28,1173132.0
2014-10-29,1178696.0
2014-10-30,1094512.0
2014-10-31,1114196.0
2014-11-03,1116396.0
2014-11-04,1097144.0
2014-11-05,1089310.0
2014-11-06,1096204.0
2014-11-07,1071728.0
2014-11-10,1042020.0
2014-11-11,1033516.0
2014-11-12,1009150.0
2014-11-13,1026098.0
2014-11-14,1039108.0
2014-11-17,1054602.0
2014-11-18,1052094.0
2014-11-19,1028662.0
2014-11-20,1046952.0
2014-11-21,1017144.0
2014-11-24,988538.0
2014-11-25,974340.0
2014-11-26,948004.0
2014-11-27,938754.0
2014-11-28,974556.0
2014-12-01,976354.0
2014-12-02,932984.0
2014-12-03,929002.0
2014-12-04,915730.0
2014-12-05,899662.0
2014-12-08,849094.0
2014-12-09,815432.0
2014-12-10,816210.0
2014-12-11,824232.0
2014-12-12,835742.0
2014-12-15,826488.0
2014-12-16,855478.0
2014-12-17,846224.0
2014-12-18,822156.0
2014-12-19,825668.0
2014-12-22,811390.0
2014-12-23,797470.0
2014-12-24,796620.0
2014-12-25,799522.0
2014-12-26,808666.0
2014-12-29,819488.0
2014-12-30,825456.0
2014-12-31,827248.0
2015-01-05,829994.0
2015-01-06,839734.0
2015-01-07,840118.0
2015-01-08,848852.0
2015-01-09,850010.0
2015-01-12,842788.0
2015-01-13,834326.0
2015-01-14,857902.0
2015-01-15,897602.0
2015-01-16,912468.0
2015-01-19,879000.0
2015-01-20,903590.0
2015-01-21,934940.0
2015-01-22,993434.0
2015-01-23,1029126.0
2015-01-26,1028254.0
2015-01-27,1037064.0
2015-01-28,1015460.0
2015-01-29,1018722.0
2015-01-30,1067834.0
2015-02-02,1085044.0
2015-02-03,1110050.0
2015-02-04,1075486.0
2015-02-05,1095544.0
2015-02-06,1057590.0
2015-02-09,1061906.0
2015-02-10,1062630.0
2015-02-11,1060368.0
2015-02-12,1051506.0
2015-02-13,999732.0
2015-02-16,990752.0
2015-02-17,978834.0
2015-02-25,976506.0
2015-02-26,1022880.0
2015-02-27,1076932.0
2015-03-02,1094328.0
2015-03-03,1076716.0
2015-03-04,1047980.0
2015-03-05,1022322.0
2015-03-06,1003326.0
2015-03-09,1004818.0
2015-03-10,1023174.0
2015-03-11,1029940.0
2015-03-12,1040738.0
2015-03-13,1057968.0
2015-03-16,1087432.0
2015-03-17,1117784.0
2015-03-18,1161806.0
2015-03-19,1162896.0
2015-03-20,1181140.0
2015-03-23,1190194.0
2015-03-24,1205514.0
2015-03-25,1206628.0
2015-03-26,1206380.0
2015-03-27,1198800.0
2015-03-30,1188244.0
2015-03-31,1180190.0
2015-04-01,1195292.0
2015-04-02,1196548.0
2015-04-03,1186020.0
2015-04-07,1177282.0
2015-04-08,1179996.0
2015-04-09,1166182.0
2015-04-10,1148872.0
2015-04-13,1176838.0
2015-04-14,1147494.0
2015-04-15,1228848.0
2015-04-16,1203688.0
2015-04-17,1178506.0
2015-04-20,1166726.0
2015-04-21,1184728.0
2015-04-22,1153606.0
2015-04-23,1179454.0
2015-04-24,1140266.0
2015-04-27,1187666.0
2015-04-28,1201732.0
2015-04-29,1198470.0
2015-04-30,1218030.0
2015-05-04,1317762.0
2015-05-05,1347200.0
2015-05-06,1347234.0
2015-05-07,1321672.0
2015-05-08,1270754.0
2015-05-11,1295458.0
2015-05-12,1279300.0
2015-05-13,1299302.0
2015-05-14,1305098.0
2015-05-15,1266006.0
2015-05-18,1231900.0
2015-05-19,1191046.0
2015-05-20,1139118.0
2015-05-21,1135968.0
2015-05-22,1148628.0
2015-05-25,1155084.0
2015-05-26,1137500.0
2015-05-27,1142584.0
2015-05-28,1134632.0
2015-05-29,1123180.0
2015-06-01,1184908.0
2015-06-02,1206174.0
2015-06-03,1149334.0
2015-06-04,1138358.0
2015-06-05,1140336.0
2015-06-08,1150102.0
2015-06-09,1095196.0
2015-06-10,1084200.0
2015-06-11,1078772.0
2015-06-12,1021204.0
2015-06-15,995300.0
2015-06-16,999960.0
2015-06-17,987946.0
2015-06-18,983190.0
2015-06-19,966556.0
2015-06-23,971830.0
2015-06-24,984990.0
2015-06-25,996026.0
2015-06-26,956186.0
2015-06-29,947496.0
2015-06-30,892816.0
2015-07-01,818890.0
2015-07-02,774954.0
2015-07-03,761716.0
2015-07-06,745436.0
2015-07-07,753960.0
2015-07-08,686576.0
