trading_date,rank,volume,volume_change
2013-11-05,210,6708057368,-15780
2013-11-06,210,6423267103,-4501
2013-11-07,210,6233937923,409
2013-11-08,210,5564870473,-13625
2013-11-11,210,5547756798,-1102
2013-11-12,210,5410577194,-6467
2013-11-13,210,5430777426,459
2013-11-14,210,5713519993,12401
2013-11-15,210,5738553096,-2393
2013-11-18,210,6003590140,17921
2013-11-19,210,6351910651,6279
2013-11-20,210,5565623990,-13788
2013-11-21,210,7713644568,38348
2013-11-22,210,8190982086,9790
2013-11-25,210,8490317930,9808
2013-11-26,210,8041563014,-3419
2013-11-27,210,7405929442,-12108
2013-11-28,210,7554519617,5216
2013-11-29,210,8443083741,20987
2013-12-02,210,8495461616,8825
2013-12-03,210,7834954073,-6512
2013-12-04,210,7398691832,2309
2013-12-05,210,6459087502,-11269
2013-12-06,210,6113236117,-4370
2013-12-09,210,4589683954,-22940
2013-12-10,210,4524990889,-2843
2013-12-11,210,4690844410,8923
2013-12-12,210,4596937212,-3332
2013-12-13,210,4646836797,2468
2013-12-16,210,4972283184,9052
2013-12-17,210,4810564224,-3904
2013-12-18,210,4535349885,-1817
2013-12-19,210,4816027121,5371
2013-12-20,210,4936273952,1473
2013-12-23,210,4090915095,-18931
2013-12-24,210,4144302637,6702
2013-12-25,210,3996753140,3309
2013-12-26,210,4322047597,5578
2013-12-27,210,4502330779,1304
2013-12-30,210,3934672999,-14941
2013-12-31,210,3971333129,5436
2014-01-02,210,4696800465,12227
2014-01-03,210,4986697650,9881
2014-01-06,210,5187618933,7093
2014-01-07,210,4457366471,-14869
2014-01-08,210,4192877800,-6687
2014-01-09,210,4179936281,1444
2014-01-10,210,4278251672,4046
2014-01-13,210,4301110446,1984
2014-01-14,210,4109046920,-4266
2014-01-15,210,4196015839,4550
2014-01-16,210,4062542815,-3514
2014-01-17,210,4120653463,1359
2014-01-20,210,4351122050,2286
2014-01-21,210,4723218631,6675
2014-01-22,210,4603253782,-2030
2014-01-23,210,4456326929,-4031
2014-01-24,210,4654345310,7660
2014-01-27,210,5075241327,8117
2014-01-28,210,5537759076,14543
2014-01-29,210,5340147839,-8150
2014-01-30,210,5530804324,-2524
2014-02-07,210,4780866933,-17250
2014-02-10,210,5759505731,34287
2014-02-11,210,5736799190,2598
2014-02-12,210,5932506715,4226
2014-02-13,210,6250890800,3821
2014-02-14,210,6152933825,2856
2014-02-17,210,6378363336,3325
2014-02-18,210,6032327807,-4908
2014-02-19,210,6350910354,1796
2014-02-20,210,6832869158,8165
2014-02-21,210,6824136810,1003
2014-02-24,210,6772935453,-2454
2014-02-25,210,6691581890,-1544
2014-02-26,210,6674629240,564
2014-02-27,210,6778599283,8125
2014-02-28,210,6636191627,-5284
2014-03-03,210,6567556433,-1075
2014-03-04,210,6067175867,-6802
2014-03-05,210,5409111307,715
2014-03-06,210,5348536835,301
2014-03-07,210,5297086263,7948
2014-03-10,210,5285763497,22174
2014-03-11,210,6102764366,25397
2014-03-12,210,5313834768,-13058
2014-03-13,210,4677816557,-2680
2014-03-14,210,4909508884,7352
2014-03-17,210,4536724212,-8168
2014-03-18,210,4681076011,3546
2014-03-19,210,5530410180,22154
2014-03-20,210,4947809847,-17782
2014-03-21,210,5599102192,9389
2014-03-24,210,5832358046,5625
2014-03-25,210,5568775676,-5920
2014-03-26,210,5457573649,3710
2014-03-27,210,5423716086,1522
2014-03-28,210,5291164059,2311
2014-03-31,210,5203864677,9187
2014-04-01,210,5192165009,1777
2014-04-02,210,6394692393,26978
2014-04-03,210,5552971594,-18078
2014-04-04,210,5412382253,1439
2014-04-08,210,4988599992,1523
2014-04-09,210,4857857852,2269
2014-04-10,210,4847868455,2964
2014-04-11,210,4508598696,2717
2014-04-14,210,4586738523,5558
2014-04-15,210,4908398530,13985
2014-04-16,210,4169043216,-14756
2014-04-17,210,3648337329,-9887
2014-04-18,210,3303776666,-8231
2014-04-21,210,3281457198,2301
2014-04-22,210,3462316767,7041
