trading_date,rank,volume,volume_change
2013-11-05,210,19462552384,-6792
2013-11-06,210,19724073857,-1535
2013-11-07,210,19445542425,-1271
2013-11-08,210,18453392321,-7068
2013-11-11,210,18379860621,-2342
2013-11-12,210,19100527035,8344
2013-11-13,210,18098848094,-11535
2013-11-14,210,19528008889,12947
2013-11-15,210,18178010015,-9263
2013-11-18,210,20184345342,13335
2013-11-19,210,20281674537,3643
2013-11-20,210,19826449758,2691
2013-11-21,210,20292732086,12673
2013-11-22,210,21187731361,10028
2013-11-25,210,20972715172,1395
2013-11-26,210,20061116815,-4121
2013-11-27,210,20198041316,1517
2013-11-28,210,19179243044,-4734
2013-11-29,210,20607297916,16595
2013-12-02,210,20835475319,7944
2013-12-03,210,20339779612,130
2013-12-04,210,20321137582,3183
2013-12-05,210,20763157111,116
2013-12-06,210,20044646817,-4776
2013-12-09,210,19714757587,-9168
2013-12-10,210,18912201913,-5434
2013-12-11,210,19463833270,5365
2013-12-12,210,18104650991,-11557
2013-12-13,210,16878805305,-5342
2013-12-16,210,16500427688,1854
2013-12-17,210,15137976017,-13720
2013-12-18,210,14182565838,-10468
2013-12-19,210,14805824565,10300
2013-12-20,210,14624465626,-888
2013-12-23,210,13042374515,-19680
2013-12-24,210,13136392222,2826
2013-12-25,210,13290024301,6033
2013-12-26,210,13250489735,3998
2013-12-27,210,13329318955,4549
2013-12-30,210,12268723730,-9022
2013-12-31,210,12393601684,4829
2014-01-02,210,13101458791,8213
2014-01-03,210,14119996624,18616
2014-01-06,210,14733764242,10837
2014-01-07,210,13121267511,-16723
2014-01-08,210,12250225624,-8178
2014-01-09,210,12818527841,11598
2014-01-10,210,12750580250,3042
2014-01-13,210,13194372830,5429
2014-01-14,210,13060504608,-835
2014-01-15,210,12502859948,1245
2014-01-16,210,12139686506,-6289
2014-01-17,210,12908185747,12981
2014-01-20,210,12820739012,-5942
2014-01-21,210,13480149819,15017
2014-01-22,210,12955191347,212
2014-01-23,210,12931289445,-849
2014-01-24,210,14107210701,16269
2014-01-27,210,14948217885,5609
2014-01-28,210,15477039208,1587
2014-01-29,210,14951634536,-10429
2014-01-30,210,14953686368,-3383
2014-02-07,210,12297958015,-20041
2014-02-10,210,14236640389,30509
2014-02-11,210,14140702942,-836
2014-02-12,210,14778726358,6598
2014-02-13,210,15167477899,4132
2014-02-14,210,15724273022,5997
2014-02-17,210,15379169209,-4947
2014-02-18,210,14978366742,-4971
2014-02-19,210,15490974133,4889
2014-02-20,210,15739869773,3112
2014-02-21,210,15279732833,-5263
2014-02-24,210,14716193535,-7418
2014-02-25,210,14596286467,-2161
2014-02-26,210,13343559953,-13402
2014-02-27,210,13875022651,5747
2014-02-28,210,13792119577,-3876
2014-03-03,210,12912803641,-8789
2014-03-04,210,12089439055,-8394
2014-03-05,210,11720083525,-6072
2014-03-06,210,11780695552,1978
2014-03-07,210,11766255526,-5870
2014-03-10,210,11955763322,11382
2014-03-11,210,13219010944,24631
2014-03-12,210,12278279838,-13135
2014-03-13,210,13220271354,10497
2014-03-14,210,12830846669,7388
2014-03-17,210,12229127663,-757
2014-03-18,210,12759552971,5533
2014-03-19,210,14022086456,24462
2014-03-20,210,13128311337,-13577
2014-03-21,210,11846626251,-6589
2014-03-24,210,11642849618,29
2014-03-25,210,11724867186,4114
2014-03-26,210,11523159946,468
2014-03-27,210,11905466688,5269
2014-03-28,210,11943933147,-97
2014-03-31,210,11945343682,3537
2014-04-01,210,12531438321,7550
2014-04-02,210,13504747005,20595
2014-04-03,210,13548129332,-3679
2014-04-04,210,13810051698,7250
2014-04-08,210,13769077841,3817
2014-04-09,210,13797349371,345
2014-04-10,210,13233665884,-7493
2014-04-11,210,12750828848,-8841
2014-04-14,210,12882572634,-3019
2014-04-15,210,13041703882,13774
2014-04-16,210,11684421989,-15453
2014-04-17,210,10634678985,-9016
2014-04-18,210,10510016622,-2666
2014-04-21,210,10009055585,565
2014-04-22,210,10051445669,1872
2014-04-23,210,10335839489,5572
2014-04-24,210,10025436990,2088
2014-04-25,210,9825512176,-2695
2014-04-28,210,9247445519,-5817
2014-04-29,210,8947037395,-1993
2014-04-30,210,8687995506,-378
2014-05-05,210,8823406193,9026
2014-05-06,210,9180789582,6523
2014-05-07,210,9488204331,4506
2014-05-08,210,9787161786,6171
2014-05-09,210,9992615722,1862
2014-05-12,210,10010143110,2490
2014-05-13,210,10489500519,5649
2014-05-14,210,10098319683,-1487
2014-05-15,210,10317799133,5524
2014-05-16,210,10556920762,-1802
2014-05-19,210,10481152788,2472
2014-05-20,210,10649966952,1426
2014-05-21,210,10770957160,6332
2014-05-22,210,10533635131,-4766
2014-05-23,210,10252089809,5838
2014-05-26,210,10647347030,3671
2014-05-27,210,12216748935,17811
2014-05-28,210,12881382808,13324
2014-05-29,210,12985861890,5510
2014-05-30,210,13765006370,17084
2014-06-03,210,15287031648,25419
2014-06-04,210,15166699782,1480
2014-06-05,210,15211449887,2515
2014-06-06,210,15048317813,-1993
2014-06-09,210,14705756160,-3205
2014-06-10,210,15034909607,9647
2014-06-11,210,14230594720,-1613
2014-06-12,210,14330411531,1397
2014-06-13,210,13372807846,-4325
2014-06-16,210,12895895523,-2937
2014-06-17,210,13404670583,5723
2014-06-18,210,12219273990,-11463
2014-06-19,210,11427229156,-11357
2014-06-20,210,10995390635,-5902
2014-06-23,210,11487320316,13588
2014-06-24,210,12374011703,18086
2014-06-25,210,12362341743,-4553
2014-06-26,210,12778310087,4283
2014-06-27,210,12469647114,-7637
2014-06-30,210,12204062784,-8540
2014-07-01,210,11742719152,-2255
2014-07-02,210,11483903222,-2023
2014-07-03,210,11663976184,6024
2014-07-04,210,11533703356,450
2014-07-07,210,10716460488,-9403
2014-07-08,210,11105129860,6317
2014-07-09,210,11084324154,8242
2014-07-10,210,10800219807,6493
2014-07-11,210,10074164575,-9007
2014-07-14,210,10537577073,9260
2014-07-15,210,11666485996,14526
2014-07-16,210,12115528104,4787
2014-07-17,210,11897858987,-335
2014-07-18,210,12293991653,9150
2014-07-21,210,11902189240,3038
2014-07-22,210,12105942262,5749
2014-07-23,210,11947940523,-4657
2014-07-24,210,11759191102,-1471
2014-07-25,210,11354816404,-4217
2014-07-28,210,11371029421,3067
2014-07-29,210,11511095038,-3817
2014-07-30,210,11484126161,411
2014-07-31,210,11181890601,-1471
2014-08-01,210,11147618700,-2939
2014-08-04,210,11682925255,15700
2014-08-05,210,11157935281,-11584
2014-08-06,210,11178309797,5923
2014-08-07,210,11195285711,-320
2014-08-08,210,11313928788,-1067
2014-08-11,210,11466674147,1221
2014-08-12,210,11794898642,5235
2014-08-13,210,11901059210,1827
2014-08-14,210,11949900992,15861
2014-08-15,210,13528547414,21084
2014-08-18,210,13088625625,-10520
2014-08-19,210,13235205277,601
2014-08-20,210,13423908342,3871
2014-08-21,210,12810085543,-8936
2014-08-22,210,12388435298,-2139
2014-08-25,210,12219790114,-1218
2014-08-26,210,11988466694,-4267
2014-08-27,210,12102939214,2976
2014-08-28,210,12473365146,4640
2014-08-29,210,12618717344,6168
2014-09-01,210,12488116813,-1800
2014-09-02,210,13294816647,21188
2014-09-03,210,13414001465,2348
2014-09-04,210,13294167357,-5434
2014-09-05,210,12771056630,-4350
2014-09-09,210,12915487861,-2071
2014-09-10,210,12685189905,-6157
2014-09-11,210,12825288859,6440
2014-09-12,210,12770207286,-461
2014-09-15,210,13311178395,14211
2014-09-16,210,15563693876,18309
2014-09-17,210,17299649342,14761
2014-09-18,210,17915790121,8040
2014-09-19,210,17524380103,1737
2014-09-22,210,16874557096,2438
2014-09-23,210,17014485101,4074
2014-09-24,210,18209889101,15212
2014-09-25,210,18687619302,2657
2014-09-26,210,19048671111,6789
2014-09-29,210,19164112118,262
2014-09-30,210,18737188924,-1760
2014-10-08,210,18691919844,4213
2014-10-09,210,19667575385,10036
2014-10-10,210,18358317732,-23869
2014-10-13,210,19263280888,11585
2014-10-14,210,18742581299,-5580
2014-10-15,210,17807138026,-421
2014-10-16,210,17708852636,4724
2014-10-17,210,17431806113,22980
2014-10-20,210,16173325578,-3425
2014-10-21,210,16919711574,13583
2014-10-22,210,16513097259,-13677
2014-10-23,210,16390172739,-14573
2014-10-24,210,16053532233,-6928
2014-10-27,210,16556422915,8664
2014-10-28,210,16571288715,3057
2014-10-29,210,16776414160,11842
2014-10-30,210,13548809047,-26910
2014-10-31,210,14251724163,7965
2014-11-03,210,14241556611,4314
2014-11-04,210,13656792191,-1671
2014-11-05,210,12881955316,-3117
2014-11-06,210,12802707843,3516
2014-11-07,210,13206584106,1101
2014-11-10,210,13357901407,-1123
2014-11-11,210,12737127451,-5140
2014-11-12,210,12954391163,-594
2014-11-13,210,12926985213,65
2014-11-14,210,13055945669,10174
2014-11-17,210,13727752954,6967
2014-11-18,210,13479669477,-3968
2014-11-19,210,13164955460,-7116
2014-11-20,210,12924343459,-1998
2014-11-21,210,12809811935,-7705
2014-11-24,210,12676850305,-2559
2014-11-25,210,12806547643,-2274
