trading_date,rank,volume,volume_change
2015-05-18,210,38,38
2015-05-19,210,42,4
2015-05-20,210,42,0
2015-05-21,210,61,19
2015-05-22,210,77,16
2015-05-25,210,77,0
2015-05-26,210,169,94
2015-05-27,210,228,63
2015-05-28,210,262,34
2015-05-29,190,272,10
2015-06-01,210,276,4
2015-06-02,210,283,7
2015-06-03,210,286,3
2015-06-04,210,294,8
2015-06-05,210,296,5
2015-06-08,210,307,11
2015-06-09,210,308,1
2015-06-10,210,311,10
2015-06-11,210,314,3
2015-06-12,210,349,64
2015-06-15,210,346,-1
2015-06-16,210,358,32
2015-06-17,210,373,16
2015-06-18,210,373,0
2015-06-19,210,381,8
2015-06-23,210,381,0
2015-06-24,210,393,12
2015-06-25,210,402,9
2015-06-26,210,359,-43
2015-06-29,210,349,-10
2015-06-30,210,350,22
2015-07-01,210,363,19
2015-07-02,210,360,0
2015-07-03,210,366,9
2015-07-06,210,352,-12
2015-07-07,210,304,-48
2015-07-08,210,263,-3
2015-07-09,210,245,-2
2015-07-10,210,254,9
2015-07-13,210,258,8
2015-07-14,210,261,4
2015-07-15,210,266,6
2015-07-16,210,270,4
2015-07-17,210,286,16
2015-07-20,210,289,15
2015-07-21,210,305,17
2015-07-22,210,329,27
2015-07-23,210,348,19
2015-07-24,210,346,78
2015-07-27,210,359,14
2015-07-28,210,361,27
2015-07-29,210,456,104
2015-07-30,210,534,80
2015-07-31,210,542,11
2015-08-03,210,557,16
2015-08-04,210,564,12
2015-08-05,210,540,-7
2015-08-06,210,549,11
2015-08-07,210,570,25
2015-08-10,210,624,57
2015-08-11,210,694,71
2015-08-12,210,726,34
2015-08-13,210,838,202
2015-08-14,210,858,26
2015-08-17,210,871,15
2015-08-18,210,1047,181
2015-08-19,210,1067,150
2015-08-20,210,1100,34
2015-08-21,210,1108,10
2015-08-24,210,1076,3
2015-08-25,210,1042,-23
2015-08-26,210,1188,159
2015-08-27,210,1198,30
2015-08-28,210,1248,58
2015-08-31,210,1285,56
2015-09-01,210,1248,50
2015-09-02,210,1256,21
2015-09-07,210,1257,4
2015-09-08,210,1252,10
2015-09-09,210,1447,199
2015-09-10,210,1499,52
2015-09-11,210,1575,86
2015-09-14,210,1542,-30
2015-09-15,210,1581,43
2015-09-16,210,1643,66
2015-09-17,210,1655,12
2015-09-18,210,1681,50
2015-09-21,210,1922,312
2015-09-22,210,2013,91
2015-09-23,210,2019,6
2015-09-24,210,2048,31
2015-09-25,210,2042,0
2015-09-28,210,2200,194
2015-09-29,210,2214,93
2015-09-30,210,2169,-34
2015-10-08,210,2252,93
2015-10-09,210,2487,253
2015-10-12,210,2618,205
2015-10-13,210,2762,164
2015-10-14,210,3182,449
2015-10-15,210,3412,231
2015-10-16,210,3549,221
2015-10-19,210,3595,566
2015-10-20,210,3617,22
2015-10-21,210,3588,35
2015-10-22,210,3599,44
2015-10-23,210,4373,808
2015-10-26,210,5389,1125
2015-10-27,210,6225,1031
2015-10-28,210,6418,267
2015-10-29,210,6347,221
2015-10-30,210,6812,574
2015-11-02,210,8653,2175
2015-11-03,210,9898,1305
2015-11-04,210,10377,703
2015-11-05,210,12339,2270
2015-11-06,210,13843,1548
2015-11-09,210,13982,139
2015-11-10,210,13290,-225
2015-11-11,210,14044,1019
2015-11-12,210,15414,2159
2015-11-13,210,15793,735
2015-11-16,210,15939,350
2015-11-17,210,15814,773
2015-11-18,210,17003,1675
