trading_date,ZC_total_oi
2015-05-18,76.0
2015-05-19,84.0
2015-05-20,84.0
2015-05-21,122.0
2015-05-22,154.0
2015-05-25,154.0
2015-05-26,338.0
2015-05-27,456.0
2015-05-28,524.0
2015-05-29,544.0
2015-06-01,552.0
2015-06-02,566.0
2015-06-03,572.0
2015-06-04,588.0
2015-06-05,592.0
2015-06-08,614.0
2015-06-09,616.0
2015-06-10,622.0
2015-06-11,628.0
2015-06-12,698.0
2015-06-15,692.0
2015-06-16,716.0
2015-06-17,746.0
2015-06-18,746.0
2015-06-19,762.0
2015-06-23,762.0
2015-06-24,786.0
2015-06-25,804.0
2015-06-26,718.0
2015-06-29,698.0
2015-06-30,700.0
2015-07-01,726.0
2015-07-02,720.0
2015-07-03,732.0
2015-07-06,704.0
2015-07-07,608.0
2015-07-08,526.0
2015-07-09,490.0
2015-07-10,508.0
2015-07-13,516.0
2015-07-14,522.0
2015-07-15,532.0
2015-07-16,540.0
2015-07-17,572.0
2015-07-20,578.0
2015-07-21,610.0
2015-07-22,658.0
2015-07-23,696.0
2015-07-24,692.0
2015-07-27,718.0
2015-07-28,722.0
2015-07-29,912.0
2015-07-30,1068.0
2015-07-31,1084.0
2015-08-03,1114.0
2015-08-04,1132.0
2015-08-05,1082.0
2015-08-06,1100.0
2015-08-07,1146.0
2015-08-10,1256.0
2015-08-11,1394.0
2015-08-12,1464.0
2015-08-13,1678.0
2015-08-14,1718.0
2015-08-17,1748.0
2015-08-18,2108.0
2015-08-19,2156.0
2015-08-20,2220.0
2015-08-21,2240.0
2015-08-24,2182.0
2015-08-25,2102.0
2015-08-26,2418.0
2015-08-27,2430.0
2015-08-28,2548.0
2015-08-31,2622.0
2015-09-01,2532.0
2015-09-02,2542.0
2015-09-07,2546.0
2015-09-08,2528.0
2015-09-09,2928.0
2015-09-10,3036.0
2015-09-11,3206.0
2015-09-14,3134.0
2015-09-15,3216.0
2015-09-16,3350.0
2015-09-17,3398.0
2015-09-18,3484.0
2015-09-21,3984.0
2015-09-22,4160.0
2015-09-23,4176.0
2015-09-24,4236.0
2015-09-25,4242.0
2015-09-28,4612.0
2015-09-29,4578.0
2015-09-30,4490.0
2015-10-08,4686.0
2015-10-09,5216.0
2015-10-12,5446.0
2015-10-13,5774.0
2015-10-14,6736.0
2015-10-15,7188.0
2015-10-16,7476.0
2015-10-19,7526.0
2015-10-20,7594.0
2015-10-21,7654.0
2015-10-22,7666.0
2015-10-23,9328.0
2015-10-26,11800.0
2015-10-27,13788.0
2015-10-28,14266.0
2015-10-29,14172.0
2015-10-30,15256.0
2015-11-02,20398.0
2015-11-03,23658.0
2015-11-04,24792.0
2015-11-05,29310.0
2015-11-06,32906.0
2015-11-09,33706.0
2015-11-10,32114.0
