trading_date,rank,volume,volume_change
2015-05-18,210,588,38
2015-05-19,210,594,4
2015-05-20,210,596,0
2015-05-21,210,793,19
2015-05-22,210,1045,16
2015-05-25,210,1045,0
2015-05-26,210,7721,94
2015-05-27,210,19316,63
2015-05-28,210,29458,34
2015-05-29,190,32638,10
2015-06-01,210,33966,4
2015-06-02,210,36697,7
2015-06-03,210,37762,3
2015-06-04,210,39226,8
2015-06-05,210,39490,5
2015-06-08,210,27799,11
2015-06-09,210,27974,1
2015-06-10,210,31359,10
2015-06-11,210,31748,3
2015-06-12,210,48495,64
2015-06-15,210,48162,-1
2015-06-16,210,57736,32
2015-06-17,210,63721,16
2015-06-18,210,64135,0
2015-06-19,210,63771,8
2015-06-23,210,63771,0
2015-06-24,210,68029,12
2015-06-25,210,72018,9
2015-06-26,210,45447,-43
2015-06-29,210,44163,-10
2015-06-30,210,47656,22
2015-07-01,210,54191,19
2015-07-02,210,56238,0
2015-07-03,210,58538,9
2015-07-06,210,48544,-12
2015-07-07,210,41742,-48
2015-07-08,210,40399,-3
2015-07-09,210,40231,-2
2015-07-10,210,40476,9
2015-07-13,210,40474,8
2015-07-14,210,40519,4
2015-07-15,210,40564,6
2015-07-16,210,40576,4
2015-07-17,210,40766,16
2015-07-20,210,40931,15
2015-07-21,210,41495,17
2015-07-22,210,45327,27
2015-07-23,210,47104,19
2015-07-24,210,44600,78
2015-07-27,210,43067,14
2015-07-28,210,44119,27
2015-07-29,210,53482,104
2015-07-30,210,60952,80
2015-07-31,210,63368,11
2015-08-03,210,63611,16
2015-08-04,210,63356,12
2015-08-05,210,62166,-7
2015-08-06,210,62203,11
2015-08-07,210,63368,25
2015-08-10,210,73394,57
2015-08-11,210,72216,71
2015-08-12,210,78818,34
2015-08-13,210,106320,202
2015-08-14,210,113650,26
2015-08-17,210,114645,15
2015-08-18,210,164931,181
2015-08-19,210,229469,150
2015-08-20,210,287966,34
2015-08-21,210,288684,10
2015-08-24,210,286466,3
2015-08-25,210,285634,-23
2015-08-26,210,300094,159
2015-08-27,210,335744,30
2015-08-28,210,343476,58
2015-08-31,210,355117,56
2015-09-01,210,377242,50
2015-09-02,210,376794,21
2015-09-07,210,376469,4
2015-09-08,210,375470,10
2015-09-09,210,456925,199
2015-09-10,210,481769,52
2015-09-11,210,508271,86
2015-09-14,210,485656,-30
2015-09-15,210,502811,43
2015-09-16,210,513195,66
2015-09-17,210,515717,12
2015-09-18,210,512797,50
2015-09-21,210,720114,312
2015-09-22,210,840749,91
2015-09-23,210,851813,6
2015-09-24,210,873108,31
2015-09-25,210,877184,0
2015-09-28,210,948876,194
2015-09-29,210,1133378,93
2015-09-30,210,1061829,-34
2015-10-08,210,1165582,93
2015-10-09,210,1362393,253
2015-10-12,210,1765196,205
2015-10-13,210,1945132,164
2015-10-14,210,2251600,449
2015-10-15,210,2069788,231
2015-10-16,210,1673589,221
2015-10-19,210,2861997,566
2015-10-20,210,4260525,22
2015-10-21,210,4196650,35
2015-10-22,210,3298771,44
2015-10-23,210,3704855,808
2015-10-26,210,4679813,1125
2015-10-27,210,5215261,1031
2015-10-28,210,5201266,267
2015-10-29,210,5771047,221
2015-10-30,210,5828186,574
2015-11-02,210,7443775,2175
2015-11-03,210,9676520,1305
2015-11-04,210,11637353,703
2015-11-05,210,17398955,2270
2015-11-06,210,20501865,1548
2015-11-09,210,21462148,139
2015-11-10,210,23436948,-225
2015-11-11,210,26150392,1019
2015-11-12,210,26742118,2159
2015-11-13,210,23657311,735
2015-11-16,210,23429049,350
2015-11-17,210,22759400,773
2015-11-18,210,27031351,1675
2015-11-19,210,29061315,2699
2015-11-20,210,29550089,1830
2015-11-23,210,30008904,1108
2015-11-24,210,33549823,2187
2015-11-25,210,35266106,1367
2015-11-26,210,42796200,2237
2015-11-27,210,42715436,100
2015-11-30,210,45498100,1709
2015-12-01,210,49038834,581
2015-12-02,210,56883207,2110
2015-12-03,210,59621299,1233
2015-12-04,210,59222770,967
2015-12-07,210,61994768,311
2015-12-08,210,64490712,196
2015-12-09,210,65857333,466
2015-12-10,210,67306886,96
2015-12-11,210,66402623,-484
2015-12-14,210,68896590,533
2015-12-15,210,71722129,475
2015-12-16,210,72832741,382
2015-12-17,210,76350523,260
2015-12-18,210,80777533,504
2015-12-21,210,88216227,388
2015-12-22,210,81287093,-1847
2015-12-23,210,75935180,348
2015-12-24,210,76504544,49
2015-12-25,210,69523278,2241
2015-12-28,210,59209976,-1488
2015-12-29,210,61831867,734
2015-12-30,210,63930637,1270
2015-12-31,210,71171829,2828
2016-01-04,210,69499394,2054
2016-01-05,210,74283553,198
2016-01-06,210,68057904,-265
2016-01-07,210,73710954,1162
2016-01-08,210,65503659,-843
2016-01-11,210,69615681,911
