trading_date,rank,volume,volume_change
2013-11-05,210,53215,-769
2013-11-06,210,53270,-57
2013-11-07,210,54744,2190
2013-11-08,210,55730,1866
2013-11-11,210,56462,655
2013-11-12,210,57523,1042
2013-11-13,210,58904,1213
2013-11-14,210,57446,-1701
2013-11-15,210,60293,2601
2013-11-18,210,58835,2189
2013-11-19,210,60618,2385
2013-11-20,210,70947,3673
2013-11-21,210,70887,1719
2013-11-22,210,70399,-86
2013-11-25,210,71270,512
2013-11-26,210,68770,6
2013-11-27,210,70310,730
2013-11-28,210,71623,3706
2013-11-29,210,70678,-389
2013-12-02,210,69812,-429
2013-12-03,210,73288,1784
2013-12-04,210,71307,-2001
2013-12-05,210,67063,-1874
2013-12-06,210,64115,-828
2013-12-09,210,64279,-200
2013-12-10,210,58536,-4332
2013-12-11,210,53249,-4786
2013-12-12,210,47924,-5059
2013-12-13,210,44053,-3866
2013-12-16,210,39736,-3345
2013-12-17,210,35871,2019
2013-12-18,210,36950,2555
2013-12-19,210,38616,2805
2013-12-20,210,47545,6632
2013-12-23,210,47596,3924
2013-12-24,210,52730,8762
2013-12-25,210,55657,4003
2013-12-26,210,53457,777
2013-12-27,210,56079,2686
2013-12-30,210,64241,1614
2013-12-31,210,68471,3806
2014-01-02,210,65048,520
2014-01-03,210,68637,5055
2014-01-06,210,68199,2682
2014-01-07,210,66805,360
2014-01-08,210,68558,1812
2014-01-09,210,69143,753
2014-01-10,210,66945,-709
2014-01-13,210,66840,666
2014-01-14,210,68621,2684
2014-01-15,210,71030,2652
2014-01-16,210,74026,3227
2014-01-17,210,74322,68
2014-01-20,210,74382,1158
2014-01-21,210,75368,1397
2014-01-22,210,79859,7346
2014-01-23,210,80707,2518
2014-01-24,210,77511,-1468
2014-01-27,210,73933,-2940
2014-01-28,210,71421,-1287
2014-01-29,210,69496,-2523
2014-01-30,210,68407,-871
2014-02-07,210,65194,-2425
2014-02-10,210,63388,849
2014-02-11,210,61193,-1540
2014-02-12,210,60698,-450
2014-02-13,210,60786,144
2014-02-14,210,60446,98
2014-02-17,210,62809,2468
2014-02-18,210,61318,-71
2014-02-19,210,64651,5583
2014-02-20,210,66318,1921
2014-02-21,210,65823,-495
2014-02-24,210,63894,-2988
2014-02-25,210,62675,996
2014-02-26,210,72028,1083
2014-02-27,210,71281,-735
2014-02-28,210,70653,162
2014-03-03,210,71161,626
2014-03-04,210,71302,1765
2014-03-05,210,73080,4642
2014-03-06,210,72667,524
2014-03-07,210,70044,-1811
2014-03-10,210,69971,4259
2014-03-11,210,65827,-2265
2014-03-12,210,65191,75
2014-03-13,210,58932,-3521
2014-03-14,210,55995,-3071
2014-03-17,210,54092,-904
2014-03-18,210,48788,-797
2014-03-19,210,49260,697
2014-03-20,210,47340,-2502
2014-03-21,210,44987,-1200
2014-03-24,210,45163,-132
2014-03-25,210,43914,-492
2014-03-26,210,43034,-1172
2014-03-27,210,42799,370
2014-03-28,210,42353,37
2014-03-31,210,40492,-1300
2014-04-01,210,39775,42
2014-04-02,210,38890,-885
2014-04-03,210,37960,-910
2014-04-04,210,37122,-534
2014-04-08,210,45262,33
2014-04-09,210,44680,181
2014-04-10,210,43900,-332
2014-04-11,210,44517,558
2014-04-14,210,44374,343
2014-04-15,210,43157,-2
2014-04-16,210,42195,1530
2014-04-17,210,43231,2182
2014-04-18,210,44334,1067
2014-04-21,210,44634,889
2014-04-22,210,45664,1338
2014-04-23,210,49280,3719
2014-04-24,210,49410,2076
2014-04-25,210,48787,915
2014-04-28,210,47765,-1295
2014-04-29,210,46882,-1058
2014-04-30,210,46436,-430
2014-05-05,210,47336,1755
2014-05-06,210,46829,321
2014-05-07,210,55650,4368
2014-05-08,210,55465,911
2014-05-09,210,55502,328
2014-05-12,210,57799,4267
2014-05-13,210,60567,2794
2014-05-14,210,59881,-177
