trading_date,rank,volume,volume_change
2013-11-05,210,69517,-691
2013-11-06,210,69596,-275
2013-11-07,210,70869,1985
2013-11-08,210,72786,1053
2013-11-11,210,72900,1059
2013-11-12,210,74632,1491
2013-11-13,210,75292,3127
2013-11-14,210,73452,-1741
2013-11-15,210,74742,3091
2013-11-18,210,74750,1199
2013-11-19,210,76569,1819
2013-11-20,210,85565,2689
2013-11-21,210,83825,-770
2013-11-22,210,84823,1467
2013-11-25,210,84642,-100
2013-11-26,210,84151,-336
2013-11-27,210,84409,881
2013-11-28,210,89385,5093
2013-11-29,210,92341,2841
2013-12-02,210,91336,-682
2013-12-03,210,91629,196
2013-12-04,210,91029,-595
2013-12-05,210,87945,-2028
2013-12-06,210,86310,-1060
2013-12-09,210,84799,-1511
2013-12-10,210,78162,-5835
2013-12-11,210,70434,-6210
2013-12-12,210,62254,-7925
2013-12-13,210,58290,-4240
2013-12-16,210,52674,-2911
2013-12-17,210,50063,-1650
2013-12-18,210,49483,-189
2013-12-19,210,49121,235
2013-12-20,210,66272,8770
2013-12-23,210,65536,640
2013-12-24,210,69503,4987
2013-12-25,210,75896,7678
2013-12-26,210,72190,-3061
2013-12-27,210,72541,2183
2013-12-30,210,82167,-717
2013-12-31,210,82304,586
2014-01-02,210,85659,3289
2014-01-03,210,85569,1636
2014-01-06,210,81409,-3260
2014-01-07,210,80843,-516
2014-01-08,210,80204,433
2014-01-09,210,78843,-1029
2014-01-10,210,78521,-1072
2014-01-13,210,78918,1568
2014-01-14,210,81038,2601
2014-01-15,210,80666,172
2014-01-16,210,82619,3055
2014-01-17,210,83038,246
2014-01-20,210,84102,1506
2014-01-21,210,85187,1092
2014-01-22,210,91615,6418
2014-01-23,210,91263,750
2014-01-24,210,89173,-2102
2014-01-27,210,87300,-821
2014-01-28,210,85832,-1793
2014-01-29,210,81219,-4471
2014-01-30,210,78528,-1689
2014-02-07,210,77478,-1249
2014-02-10,210,78838,2707
2014-02-11,210,76733,-1868
2014-02-12,210,76001,-162
2014-02-13,210,75746,662
2014-02-14,210,75256,226
2014-02-17,210,78192,3228
2014-02-18,210,75057,-855
2014-02-19,210,77539,3065
2014-02-20,210,75166,-450
2014-02-21,210,75023,-246
2014-02-24,210,69556,-5962
2014-02-25,210,67865,-801
2014-02-26,210,78240,2253
2014-02-27,210,76875,-987
2014-02-28,210,78744,2064
2014-03-03,210,77054,-45
2014-03-04,210,76638,1093
2014-03-05,210,84098,10750
2014-03-06,210,83224,655
2014-03-07,210,80683,-1672
2014-03-10,210,70521,-6474
2014-03-11,210,67677,-1686
2014-03-12,210,65809,1415
2014-03-13,210,62068,-3036
2014-03-14,210,60737,-1867
2014-03-17,210,59085,-619
2014-03-18,210,54555,-2674
2014-03-19,210,53765,-285
2014-03-20,210,53247,-10
2014-03-21,210,51567,225
2014-03-24,210,51016,-450
2014-03-25,210,50109,521
2014-03-26,210,48507,-1301
2014-03-27,210,47497,-410
2014-03-28,210,46449,-1462
2014-03-31,210,45177,-637
2014-04-01,210,43044,-1654
2014-04-02,210,43675,775
2014-04-03,210,42606,-793
2014-04-04,210,42245,-55
2014-04-08,210,50746,433
2014-04-09,210,50244,-6
2014-04-10,210,49515,-331
2014-04-11,210,49603,431
2014-04-14,210,50824,1232
2014-04-15,210,50793,-21
2014-04-16,210,48336,175
2014-04-17,210,50350,2439
2014-04-18,210,52313,1204
2014-04-21,210,51517,-137
2014-04-22,210,52806,1164
2014-04-23,210,56844,3845
2014-04-24,210,59239,2949
2014-04-25,210,60293,663
2014-04-28,210,58850,-1225
2014-04-29,210,56849,-498
2014-04-30,210,54818,-2007
2014-05-05,210,55500,692
2014-05-06,210,54486,-1014
2014-05-07,210,62382,1624
2014-05-08,210,61360,154
2014-05-09,210,60177,-887
2014-05-12,210,63859,3281
2014-05-13,210,66355,5727
2014-05-14,210,65079,-517
