trading_date,rank,volume,volume_change
2013-11-05,210,171877785,-769
2013-11-06,210,169254044,-57
2013-11-07,210,180271694,2190
2013-11-08,210,184439064,1866
2013-11-11,210,191104460,655
2013-11-12,210,196472475,1042
2013-11-13,210,200396730,1213
2013-11-14,210,184051652,-1701
2013-11-15,210,200795281,2601
2013-11-18,210,194624285,2189
2013-11-19,210,209185650,2385
2013-11-20,210,285429803,3673
2013-11-21,210,286851131,1719
2013-11-22,210,284971591,-86
2013-11-25,210,291002988,512
2013-11-26,210,278812686,6
2013-11-27,210,287327278,730
2013-11-28,210,300278299,3706
2013-11-29,210,295809008,-389
2013-12-02,210,287979214,-429
2013-12-03,210,309113120,1784
2013-12-04,210,291906873,-2001
2013-12-05,210,262554991,-1874
2013-12-06,210,245783873,-828
2013-12-09,210,251564315,-200
2013-12-10,210,213139850,-4332
2013-12-11,210,179248627,-4786
2013-12-12,210,136447436,-5059
2013-12-13,210,112653699,-3866
2013-12-16,210,86045158,-3345
2013-12-17,210,72231351,2019
2013-12-18,210,80057772,2555
2013-12-19,210,102221364,2805
2013-12-20,210,151244001,6632
2013-12-23,210,159479352,3924
2013-12-24,210,202081164,8762
2013-12-25,210,200393725,4003
2013-12-26,210,186959043,777
2013-12-27,210,204788589,2686
2013-12-30,210,255387905,1614
2013-12-31,210,287311229,3806
2014-01-02,210,262133844,520
2014-01-03,210,303063949,5055
2014-01-06,210,323157257,2682
2014-01-07,210,318539893,360
2014-01-08,210,337148942,1812
2014-01-09,210,335520773,753
2014-01-10,210,323124905,-709
2014-01-13,210,331580500,666
2014-01-14,210,357243069,2684
2014-01-15,210,386639744,2652
2014-01-16,210,415227638,3227
2014-01-17,210,419121328,68
2014-01-20,210,417761536,1158
2014-01-21,210,424116256,1397
2014-01-22,210,458090879,7346
2014-01-23,210,486837473,2518
2014-01-24,210,468485029,-1468
2014-01-27,210,441521359,-2940
2014-01-28,210,431940795,-1287
2014-01-29,210,419017238,-2523
2014-01-30,210,408399699,-871
2014-02-07,210,389791146,-2425
2014-02-10,210,365435988,849
2014-02-11,210,352324395,-1540
2014-02-12,210,347069856,-450
2014-02-13,210,346006220,144
2014-02-14,210,341687790,98
2014-02-17,210,355956601,2468
2014-02-18,210,329812040,-71
2014-02-19,210,358781535,5583
2014-02-20,210,370384332,1921
2014-02-21,210,367076665,-495
2014-02-24,210,352910750,-2988
2014-02-25,210,359417959,996
2014-02-26,210,441779190,1083
2014-02-27,210,430307371,-735
2014-02-28,210,424134889,162
2014-03-03,210,431710919,626
2014-03-04,210,426825468,1765
2014-03-05,210,444373400,4642
2014-03-06,210,444765047,524
2014-03-07,210,427603516,-1811
2014-03-10,210,414063619,4259
2014-03-11,210,386786741,-2265
2014-03-12,210,387688559,75
2014-03-13,210,313057036,-3521
2014-03-14,210,287327087,-3071
2014-03-17,210,270771652,-904
2014-03-18,210,231132318,-797
2014-03-19,210,231898944,697
2014-03-20,210,213294008,-2502
2014-03-21,210,197092783,-1200
2014-03-24,210,187784785,-132
2014-03-25,210,174010494,-492
2014-03-26,210,150275690,-1172
2014-03-27,210,150128305,370
2014-03-28,210,148692905,37
2014-03-31,210,146254068,-1300
2014-04-01,210,143840487,42
2014-04-02,210,124615174,-885
2014-04-03,210,120532176,-910
2014-04-04,210,116861878,-534
2014-04-08,210,162855318,33
2014-04-09,210,159953608,181
2014-04-10,210,156558008,-332
2014-04-11,210,160980723,558
2014-04-14,210,160243944,343
2014-04-15,210,152457085,-2
2014-04-16,210,147891277,1530
2014-04-17,210,151342519,2182
2014-04-18,210,155374562,1067
2014-04-21,210,158259944,889
2014-04-22,210,165293302,1338
2014-04-23,210,181922224,3719
2014-04-24,210,180855548,2076
2014-04-25,210,179847733,915
2014-04-28,210,173846497,-1295
2014-04-29,210,167893372,-1058
2014-04-30,210,167012518,-430
2014-05-05,210,169237484,1755
2014-05-06,210,169461117,321
2014-05-07,210,221913594,4368
2014-05-08,210,224288727,911
2014-05-09,210,220506700,328
2014-05-12,210,245130447,4267
2014-05-13,210,290055177,2794
2014-05-14,210,290607067,-177
2014-05-15,210,296306647,954
2014-05-16,210,279060559,-868
2014-05-19,210,275809118,1215
2014-05-20,210,274170903,-113
2014-05-21,210,270155055,-618
2014-05-22,210,263739277,-483
2014-05-23,210,193285517,-3141
2014-05-26,210,188836427,-711
2014-05-27,210,174051529,-1416
2014-05-28,210,166737731,-1144
2014-05-29,210,140952002,-1341
2014-05-30,210,132408984,-1451
2014-06-03,210,134168073,160
2014-06-04,210,121839616,-1242
2014-06-05,210,204506779,287
2014-06-06,210,201729161,426
2014-06-09,210,215803529,2915
2014-06-10,210,244908458,6500
2014-06-11,210,312563007,21014
2014-06-12,210,304558089,4905
2014-06-13,210,253581506,-1736
2014-06-16,210,255906930,-257
2014-06-17,210,246146268,-74
2014-06-18,210,254716200,2652
2014-06-19,210,258553455,528
2014-06-20,210,311175986,8524
2014-06-23,210,308672167,1948
2014-06-24,210,317595397,2774
2014-06-25,210,343806257,3614
2014-06-26,210,356328475,2369
2014-06-27,210,352742726,-367
2014-06-30,210,367716751,3342
2014-07-01,210,379590029,4164
2014-07-02,210,366443933,-792
2014-07-03,210,515305847,21333
2014-07-04,210,503316590,-27
2014-07-07,210,498518190,-2180
2014-07-08,210,795279354,18894
2014-07-09,210,826814758,4927
2014-07-10,210,768876860,-1375
2014-07-11,210,701865731,-3094
2014-07-14,210,820391742,9481
2014-07-15,210,1167948082,22179
2014-07-16,210,1143504402,9535
2014-07-17,210,1093024118,-2250
2014-07-18,210,1109370554,1102
2014-07-21,210,1182431977,10221
2014-07-22,210,1194073025,6743
2014-07-23,210,1162283308,519
2014-07-24,210,1157129499,269
2014-07-25,210,1394964538,17068
2014-07-28,210,1279973014,339
2014-07-29,210,1217572032,-1181
2014-07-30,210,971828707,-3036
2014-07-31,210,1011966023,6336
2014-08-01,210,938582799,-2718
2014-08-04,210,892680550,-1246
2014-08-05,210,1007343260,9080
2014-08-06,210,930074705,-2411
2014-08-07,210,981935176,3250
2014-08-08,210,911675438,-130
2014-08-11,210,751246716,-1011
2014-08-12,210,810544354,11271
2014-08-13,210,792194395,2955
2014-08-14,210,725957450,-1385
2014-08-15,210,698666934,-357
2014-08-18,210,638420248,-2233
2014-08-19,210,612089220,-719
2014-08-20,210,931946353,10756
2014-08-21,210,908504133,2643
2014-08-22,210,981740427,5056
2014-08-25,210,801108251,-3951
2014-08-26,210,893770587,8103
2014-08-27,210,750094791,-931
2014-08-28,210,745866664,1001
2014-08-29,210,861627651,15390
2014-09-01,210,847537255,-193
2014-09-02,210,1018280467,14144
2014-09-03,210,925249793,213
2014-09-04,210,1051724453,9477
2014-09-05,210,1016894650,-3330
2014-09-09,210,838463624,-6205
2014-09-10,210,550253528,-16824
2014-09-11,210,555354541,434
2014-09-12,210,476740325,-6743
2014-09-15,210,513301221,4914
2014-09-16,210,410276404,-6061
2014-09-17,210,450405313,4059
2014-09-18,210,434636096,2439
2014-09-19,210,448881535,2403
2014-09-22,210,543201738,15816
2014-09-23,210,640750036,8302
2014-09-24,210,604442750,583
2014-09-25,210,621853579,2648
2014-09-26,210,579166009,-3211
2014-09-29,210,544971721,-1024
2014-09-30,210,609549601,5226
2014-10-08,210,627832604,1013
2014-10-09,210,709750697,8018
2014-10-10,210,608473901,-2204
2014-10-13,210,567292404,2070
2014-10-14,210,463978400,-2567
2014-10-15,210,472665327,2947
2014-10-16,210,354756335,-6356
2014-10-17,210,390984354,1228
2014-10-20,210,374356214,-786
2014-10-21,210,324718277,-1575
2014-10-22,210,344801696,792
2014-10-23,210,413004227,18464
2014-10-24,210,382735438,-872
2014-10-27,210,381823438,-332
2014-10-28,210,363527350,-1736
2014-10-29,210,353028856,-201
2014-10-30,210,351674854,-848
2014-10-31,210,535082937,10798
2014-11-03,210,498061429,-1845
2014-11-04,210,582847449,4987
2014-11-05,210,411706379,-4123
2014-11-06,210,392785212,-1221
2014-11-07,210,404188905,2994
2014-11-10,210,387218925,2117
2014-11-11,210,369456340,-989
2014-11-12,210,373434382,235
2014-11-13,210,369322062,518
2014-11-14,210,360523636,236
2014-11-17,210,340658091,-1584
2014-11-18,210,368712475,4698
2014-11-19,210,330188965,-3753
2014-11-20,210,303200829,-1324
2014-11-21,210,357958992,10162
2014-11-24,210,307132308,-1670
2014-11-25,210,308918782,8818
2014-11-26,210,425807768,13145
2014-11-27,210,427042802,2054
2014-11-28,210,339793655,-7902
2014-12-01,210,315877859,-1717
2014-12-02,210,296580082,-162
2014-12-03,210,298410679,1527
2014-12-04,210,314435285,3387
2014-12-05,210,299397668,2322
2014-12-08,210,279362128,-2217
2014-12-09,210,332296375,349
2014-12-10,210,321483766,-872
2014-12-11,210,342694496,2729
2014-12-12,210,324611861,-2362
2014-12-15,210,320606270,1719
2014-12-16,210,306084317,-644
2014-12-17,210,339221523,4250
2014-12-18,210,359697924,4036
2014-12-19,210,304675347,-4108
2014-12-22,210,310459107,-744
2014-12-23,210,424023236,9730
2014-12-24,210,439706502,428
2014-12-25,210,424281887,-1783
2014-12-26,210,418468862,3123
2014-12-29,210,382762223,-64
2014-12-30,210,339810908,935
2014-12-31,210,366294558,3801
2015-01-05,210,376084097,-42
2015-01-06,210,386673400,615
2015-01-07,210,385144832,2385
2015-01-08,210,491404765,-683
2015-01-09,210,512890868,1848
2015-01-12,210,502915366,1731
2015-01-13,210,508725895,1830
2015-01-14,210,556522619,9945
2015-01-15,210,526502181,-971
2015-01-16,210,525902084,-594
2015-01-19,210,502972945,1478
2015-01-20,210,517717730,3197
2015-01-21,210,518805911,-363
2015-01-22,210,570875677,8605
2015-01-23,210,479144802,-3626
2015-01-26,210,506065627,4246
2015-01-27,210,535494940,6720
2015-01-28,210,521380605,625
2015-01-29,210,495804159,3198
2015-01-30,210,485422885,-151
2015-02-02,210,458895872,-1051
2015-02-03,210,410675286,-1927
2015-02-04,210,380856305,-4034
2015-02-05,210,372421611,-343
2015-02-06,210,383397597,2521
2015-02-09,210,381086604,1330
2015-02-10,210,381678554,634
2015-02-11,210,375697722,938
2015-02-12,210,376670612,359
2015-02-13,210,347624988,-4286
2015-02-16,210,336377750,-1308
2015-02-17,210,316877068,-438
2015-02-25,210,321962820,2863
2015-02-26,210,328598703,4015
2015-02-27,210,419917817,5945
2015-03-02,210,436655156,2449
2015-03-03,210,463455894,4519
2015-03-04,210,477796354,3135
2015-03-05,210,488031676,1426
2015-03-06,210,489675243,1664
2015-03-09,210,404399692,-4407
2015-03-10,210,386838965,180
2015-03-11,210,392368844,842
2015-03-12,210,394186804,447
2015-03-13,210,440149398,5971
2015-03-16,210,449936748,-60
2015-03-17,210,508521295,1582
2015-03-18,210,508260184,1055
2015-03-19,210,490324586,437
2015-03-20,210,506673013,281
2015-03-23,210,431067396,-6165
2015-03-24,210,355526685,-5949
2015-03-25,210,353184688,-384
2015-03-26,210,313267970,956
2015-03-27,210,289156797,-2604
2015-03-30,210,284745690,-402
2015-03-31,210,266175733,-450
2015-04-01,210,261411648,374
2015-04-02,210,255595372,-323
2015-04-03,210,247910487,602
2015-04-07,210,239104727,-1307
2015-04-08,210,181987515,-2124
2015-04-09,210,179072211,1007
2015-04-10,210,181274529,4955
2015-04-13,210,188577652,3000
2015-04-14,210,179107659,-1532
2015-04-15,210,217471038,5413
2015-04-16,210,209020123,4052
2015-04-17,210,226291418,2962
2015-04-20,210,219650089,-861
2015-04-21,210,266433089,36
2015-04-22,210,279308541,2176
2015-04-23,210,281267514,1554
2015-04-24,210,265713648,-1501
2015-04-27,210,324549352,7917
2015-04-28,210,326396533,2371
2015-04-29,210,326225677,-263
2015-04-30,210,368813178,4774
2015-05-04,210,371512799,969
2015-05-05,210,379996273,2201
2015-05-06,210,474689893,12326
2015-05-07,210,468998613,-638
2015-05-08,210,447941661,-4914
2015-05-11,210,461113521,715
2015-05-12,210,394497126,-5394
2015-05-13,210,436273408,5614
2015-05-14,210,369832862,-3618
2015-05-15,210,335708140,-3276
2015-05-18,210,283167276,-423
2015-05-19,210,286585262,2512
2015-05-20,210,287446461,1453
2015-05-21,210,217512699,-5838
2015-05-22,210,183659097,-1606
2015-05-25,210,178448296,856
2015-05-26,210,172217703,1811
