trading_date,rank,volume,volume_change
2013-11-05,210,367056311,-691
2013-11-06,210,372154320,-275
2013-11-07,210,391481925,1985
2013-11-08,210,412815050,1053
2013-11-11,210,402156368,1059
2013-11-12,210,399628012,1491
2013-11-13,210,408128002,3127
2013-11-14,210,377970388,-1741
2013-11-15,210,393109502,3091
2013-11-18,210,382652376,1199
2013-11-19,210,408401857,1819
2013-11-20,210,545712271,2689
2013-11-21,210,524219079,-770
2013-11-22,210,539791175,1467
2013-11-25,210,535750238,-100
2013-11-26,210,533441297,-336
2013-11-27,210,541483521,881
2013-11-28,210,610786259,5093
2013-11-29,210,641395345,2841
2013-12-02,210,635999362,-682
2013-12-03,210,635494307,196
2013-12-04,210,633856589,-595
2013-12-05,210,623137963,-2028
2013-12-06,210,597442002,-1060
2013-12-09,210,586620309,-1511
2013-12-10,210,508714464,-5835
2013-12-11,210,408164682,-6210
2013-12-12,210,315040436,-7925
2013-12-13,210,292863212,-4240
2013-12-16,210,236538376,-2911
2013-12-17,210,233867149,-1650
2013-12-18,210,214754619,-189
2013-12-19,210,210780009,235
2013-12-20,210,406639792,8770
2013-12-23,210,411757666,640
2013-12-24,210,447070487,4987
2013-12-25,210,483617806,7678
2013-12-26,210,442853866,-3061
2013-12-27,210,443395873,2183
2013-12-30,210,610742121,-717
2013-12-31,210,623740862,586
2014-01-02,210,661850625,3289
2014-01-03,210,696889515,1636
2014-01-06,210,643472699,-3260
2014-01-07,210,652232143,-516
2014-01-08,210,631632292,433
2014-01-09,210,619195155,-1029
2014-01-10,210,605381659,-1072
2014-01-13,210,613394658,1568
2014-01-14,210,643305412,2601
2014-01-15,210,636035736,172
2014-01-16,210,657474271,3055
2014-01-17,210,659193268,246
2014-01-20,210,673478474,1506
2014-01-21,210,679921743,1092
2014-01-22,210,736489089,6418
2014-01-23,210,726374101,750
2014-01-24,210,715925695,-2102
2014-01-27,210,721384492,-821
2014-01-28,210,713335272,-1793
2014-01-29,210,642491105,-4471
2014-01-30,210,587793194,-1689
2014-02-07,210,567964486,-1249
2014-02-10,210,576673752,2707
2014-02-11,210,553032661,-1868
2014-02-12,210,547724541,-162
2014-02-13,210,551947100,662
2014-02-14,210,542011062,226
2014-02-17,210,580614148,3228
2014-02-18,210,546531581,-855
2014-02-19,210,572647655,3065
2014-02-20,210,545797298,-450
2014-02-21,210,540454061,-246
2014-02-24,210,477179822,-5962
2014-02-25,210,466439623,-801
2014-02-26,210,626231406,2253
2014-02-27,210,592556645,-987
2014-02-28,210,601274442,2064
2014-03-03,210,587543252,-45
2014-03-04,210,592631746,1093
2014-03-05,210,676296280,10750
2014-03-06,210,692594362,655
2014-03-07,210,679026925,-1672
2014-03-10,210,467435689,-6474
2014-03-11,210,418915317,-1686
2014-03-12,210,395613529,1415
2014-03-13,210,362165554,-3036
2014-03-14,210,346955817,-1867
2014-03-17,210,335667855,-619
2014-03-18,210,306082533,-2674
2014-03-19,210,300069879,-285
2014-03-20,210,288973109,-10
2014-03-21,210,282272841,225
2014-03-24,210,272088562,-450
2014-03-25,210,265384291,521
2014-03-26,210,255790703,-1301
2014-03-27,210,243905727,-410
2014-03-28,210,237437877,-1462
2014-03-31,210,232311261,-637
2014-04-01,210,223945114,-1654
2014-04-02,210,224191339,775
2014-04-03,210,217401430,-793
2014-04-04,210,214576889,-55
2014-04-08,210,261016892,433
2014-04-09,210,254807952,-6
2014-04-10,210,247630357,-331
2014-04-11,210,254507321,431
2014-04-14,210,273420222,1232
2014-04-15,210,273312727,-21
2014-04-16,210,248315578,175
2014-04-17,210,253313446,2439
2014-04-18,210,260069637,1204
2014-04-21,210,255379555,-137
2014-04-22,210,264103684,1164
2014-04-23,210,284972328,3845
2014-04-24,210,310747165,2949
2014-04-25,210,312088071,663
2014-04-28,210,289539236,-1225
2014-04-29,210,261223443,-498
2014-04-30,210,245729676,-2007
2014-05-05,210,242371060,692
2014-05-06,210,234089752,-1014
2014-05-07,210,306707530,1624
2014-05-08,210,312706612,154
2014-05-09,210,303030453,-887
2014-05-12,210,318864627,3281
2014-05-13,210,350617501,5727
2014-05-14,210,317925565,-517
2014-05-15,210,332166043,1275
2014-05-16,210,255939141,-2231
2014-05-19,210,259817401,956
2014-05-20,210,255252802,-663
2014-05-21,210,246409769,-1437
2014-05-22,210,232299174,-1687
2014-05-23,210,215377112,-1327
2014-05-26,210,205227185,-942
2014-05-27,210,195783493,-558
2014-05-28,210,187632381,-763
2014-05-29,210,168676711,-3882
2014-05-30,210,164350207,-837
2014-06-03,210,161803791,-196
2014-06-04,210,155375587,-380
2014-06-05,210,262715671,839
2014-06-06,210,258864158,143
2014-06-09,210,294321786,5115
2014-06-10,210,388906953,8811
2014-06-11,210,548713396,22179
2014-06-12,210,545990921,975
2014-06-13,210,437454835,-7681
2014-06-16,210,409240274,-2824
2014-06-17,210,392702895,496
2014-06-18,210,397850480,3653
2014-06-19,210,398202282,301
2014-06-20,210,594687860,11073
2014-06-23,210,595406434,1240
2014-06-24,210,572711830,-727
2014-06-25,210,600290196,2356
2014-06-26,210,619018623,3011
2014-06-27,210,599781372,-1840
2014-06-30,210,664613844,7077
2014-07-01,210,671840099,3498
2014-07-02,210,597526200,-4159
2014-07-03,210,749132513,20472
2014-07-04,210,769457639,3010
2014-07-07,210,743419944,-4933
2014-07-08,210,866686973,13069
2014-07-09,210,858678329,3531
2014-07-10,210,834236355,3997
2014-07-11,210,815375078,-1871
2014-07-14,210,844249529,6021
2014-07-15,210,1153775229,17616
2014-07-16,210,1206755208,6842
2014-07-17,210,1315209357,4021
2014-07-18,210,1301446677,-1057
2014-07-21,210,1370974420,6582
2014-07-22,210,1391283982,4056
2014-07-23,210,1398453935,187
2014-07-24,210,1311778904,-1661
2014-07-25,210,1301331519,10013
2014-07-28,210,1355879503,2263
2014-07-29,210,1373804329,6066
2014-07-30,210,1202603783,-4274
2014-07-31,210,1296423452,3825
2014-08-01,210,1263973804,3893
2014-08-04,210,1235029539,42
2014-08-05,210,1259778735,4848
2014-08-06,210,1240114945,655
2014-08-07,210,1176824874,3485
2014-08-08,210,1258285443,264
2014-08-11,210,1208609460,-2446
2014-08-12,210,1286743158,11824
2014-08-13,210,1299268508,8546
2014-08-14,210,1315018236,242
2014-08-15,210,1292980728,-924
